0.002078+0.00090661i,0.0014671+0.00076157i,5.898e-05+6.3724e-06i,-0.00068327-0.00022907i,-0.0019345+0.00084266i,-0.0015047+0.0022495i,-0.00051956+0.0023713i,-7.8184e-06+0.0023983i,0.00098643+0.0018521i,0.00064603+0.00030061i,-0.00023019-0.00059124i,-0.00023857-0.00079114i,-0.00022027-0.00059356i,-0.00083804-0.00071181i,-0.000894-0.00060049i,-0.00019695-0.00010812i,0.00030564+0.00031951i,-6.3482e-05+0.00036282i,5.5929e-05-0.00027349i,0.0004137-0.00060088i,0.00034294-0.00073698i,-0.00019747-0.00085887i,-0.00052533-0.0010266i
-0.0028511+0.0016952i,-0.00027137+0.002375i,0.0013941+0.0025405i,0.0014618+0.002061i,0.00085676+0.0013563i,0.00095784-0.00040587i,0.00038558-0.00087171i,-0.00082732+0.0005047i,-0.00080977+0.0013257i,-0.00020541+0.00011845i,0.00036268-0.0011326i,0.00099168-0.00048197i,0.00069199+0.00040083i,2.2243e-05+0.0005976i,4.8434e-05+0.00045802i,0.00077868+0.0008733i,0.0014638+0.00097504i,0.0012577+0.00022952i,0.00018092-0.00027004i,-0.00074204-0.00033475i,-0.0012132-0.00037268i,-0.00061605-0.00055441i,0.0010917-0.00017285i
0.00096134-0.00053985i,0.0015453-0.0011499i,0.0015226-0.00082547i,0.0014649+0.00016353i,0.0011372+0.00088617i,5.1772e-05+0.00091143i,-0.00076136-0.00020839i,-0.00064418-9.3956e-05i,3.8948e-06+0.00017709i,0.00014419-0.00070118i,5.2897e-05-0.00075641i,0.00010489-0.00076119i,-8.9873e-05-0.00068599i,-0.00065472+0.00035537i,-0.00057004+0.00089778i,-0.00016775+0.00033367i,0.00024226-0.00047438i,0.00077423-0.00084955i,0.00087612-0.0002634i,0.00069518+0.00025398i,0.00058518+0.00029061i,0.00031162+1.2421e-05i,8.704e-05+1.0181e-05i
-0.00098558+0.00281i,0.00032476+0.0025229i,0.0018391+0.0023589i,0.0013031+0.0014641i,0.00072824+0.00081013i,0.00059966+0.0005525i,0.00018743+0.00060332i,-4.9887e-05+0.0010522i,0.00067811+0.0018317i,0.00068064+0.00058444i,0.0002832-0.00095369i,-1.5535e-05-0.00081888i,-0.00035134-0.00092205i,-0.00079897-0.00099472i,-0.0003452-0.00020986i,0.00015807+0.0002417i,0.00020186-6.8339e-05i,0.00014787-0.00067846i,-0.00024058-0.00034383i,-0.00079301+0.00040163i,-0.00048193+7.5877e-05i,-0.00031865+0.00011698i,-0.00014611+0.00076846i
-0.0026934-0.00013015i,-0.0028991-3.8235e-05i,-0.001257+0.00072915i,0.0004291+0.0022407i,0.0012562+0.0033646i,0.0019805+0.001933i,0.00090591+0.00027244i,-0.00063184+0.00059252i,-0.0008977+0.0013076i,-0.00070489+0.00052921i,-0.00067415-0.00054063i,-0.000164-0.00037673i,0.00015938+0.00035635i,-1.9197e-05+0.00068235i,-0.00044905+0.00032065i,-0.00066239+0.00044638i,-9.3211e-05+0.00064548i,0.00025578+0.00014923i,0.00013121-0.00059915i,0.00027647-0.00078675i,0.00013717-0.00030761i,0.00010492-5.6687e-05i,-0.00035485-0.00018263i
0.0038031-0.00053865i,0.0032462-0.0010749i,0.0034307-0.00099036i,0.0026074-0.0010522i,0.0014159-0.00087631i,0.0002189-0.00014079i,-0.00028057-1.6053e-05i,-0.00025678+0.00038683i,-0.00094844-8.178e-05i,-0.00041848-0.0015331i,8.2985e-05-0.0015598i,0.00027922-0.00047601i,0.00077891+0.00039511i,0.00011089+5.3025e-05i,-0.00066055+0.00016487i,-0.00090113+0.00086842i,-0.00069739+0.00072144i,0.00011991-0.00022989i,0.00054569-0.00032316i,0.00073144-0.0001577i,0.00069485-0.00073102i,0.00094478-0.00073957i,0.0003653-0.00032211i
0.00068114+0.0029208i,0.00073634+0.0030949i,0.00087262+0.0032677i,0.00078395+0.0027257i,0.00040059+0.0012243i,0.00037562+0.00094071i,-3.0227e-05+0.00085106i,6.0019e-06+0.00055597i,4.646e-05+0.00060919i,0.00010543+0.00040899i,0.00026056+0.00010548i,-5.9527e-05-0.00013487i,-0.00052623-0.00067496i,-0.00036794-0.0015118i,0.00010595-0.0013309i,0.00018176-0.00011681i,2.9251e-05+0.00038356i,0.00070998+0.00035887i,0.0012715+0.00063561i,0.00078184+9.4328e-05i,0.0012642-0.00066463i,0.0012716-0.00032434i,0.00038966+0.0003596i
-0.00070965-0.00061034i,0.00030527-0.00050201i,0.00036799-0.00031168i,7.7748e-05-0.00062614i,0.00073239+6.7513e-05i,0.00051042+0.00055343i,-0.00035401+0.00043207i,-0.00051646+0.00026274i,4.2502e-05+0.00053922i,-0.00038441+0.00023777i,-0.00075374-4.3717e-05i,-0.00047012-0.00015894i,-0.00013473-0.00022955i,-0.0006991+0.0004229i,-0.0007767+0.00063571i,-0.0002328-9.5569e-05i,-0.00026749-0.00064123i,0.00018144+0.00010994i,7.5364e-05+0.00018424i,-0.00044312-0.00022284i,-6.5442e-05-4.0428e-05i,-1.7349e-05+0.00015879i,0.00060432+0.00054797i
0.00053723+0.00073256i,0.00049647+0.0012326i,0.00035603+0.002822i,0.00051961+0.0028067i,0.00012132+0.0021287i,-0.00038617+0.0011267i,-0.00040595+0.00064493i,8.6449e-05+0.00040512i,0.00022625+0.0005367i,-4.645e-05+0.00029848i,0.00064491-0.00011778i,0.0013145-0.0006571i,0.00032433-0.0012067i,-0.00058532-0.0012319i,-0.0010332-0.00036645i,-0.00028114+0.00024233i,0.0002461-6.8761e-05i,0.00043867-0.00057432i,0.0011732-0.00037598i,0.00091639-0.00011052i,-0.00018465-0.00048324i,-0.00069507-0.00051978i,0.00011073-0.00036275i
0.0026307+0.0012625i,0.0031938+0.00079363i,0.0034561+4.644e-05i,0.0025526+4.3847e-05i,0.0011466+0.00080682i,0.00019738+0.0015801i,-0.00048932+0.0014325i,-0.00073363+0.0021417i,-0.0004593+0.0021837i,-0.00016665+0.00051592i,-0.00061058-0.00067786i,-0.00053486-0.000675i,-0.00020096-1.0181e-05i,-0.00069148+0.00036762i,-0.0010524+0.0004554i,-0.00049832+0.00015731i,0.00062757+0.00047563i,0.00095755+0.0013344i,0.00070062+0.0013142i,0.00024944+0.00075206i,0.00013028-0.00064629i,-0.00029302-0.0015044i,-0.00081091-0.00069752i
-0.00085188-2.5015e-05i,-1.8892e-05+0.00042376i,0.0018548+0.0014604i,0.0023931+0.0013464i,0.0024578+0.0009867i,0.0020776+0.00052011i,0.0010817+0.00073637i,-1.5872e-05+0.0012471i,0.00022657+0.00078866i,0.00045359-0.00032808i,0.00029552-0.0012971i,0.00022271-0.0010457i,0.00017155-0.00053017i,0.00026017-9.9896e-05i,9.5337e-05+0.00072137i,-0.00019237+0.00071326i,-0.00036672-0.00012312i,-0.00020528-0.00033588i,1.2283e-05+0.00023183i,-3.9927e-05+0.0003418i,0.00015519-2.8415e-05i,0.0010878-0.00026101i,0.0015784+0.00038694i
