-0.0031091+0.00014999i,-0.0019081+7.6787e-05i,-0.0028228+0.00078252i,-0.0020665+0.0018755i,-0.0011261+0.001943i,-0.00089926+0.0018355i,-0.0013619+0.00216i,-0.00047546+0.0014908i,0.0008508+0.00091235i,0.0013788+0.00053682i,0.0016021-1.8058e-05i,0.0013019-0.00067084i,-8.7552e-05-0.0012449i,-0.00078093-0.0011297i,0.00021358+0.00019001i,0.00028195+0.00035117i,0.00029467-0.00055595i,0.0004834-8.6859e-05i,0.00011912-0.00013247i,0.00025502+0.00030105i,0.00029615+0.00025385i,-9.735e-05-0.00023528i,2.2193e-05-9.8613e-05i
0.0013465-0.00045801i,0.0021109+0.00087873i,0.0017229+0.00045463i,0.00042406+0.00025276i,0.00023288+0.00086032i,0.00098841+0.0011337i,0.0011445+0.00030587i,0.0013713-0.0004448i,0.0018439-0.00083418i,0.00096007-0.00046945i,-0.00013072+3.8509e-05i,-0.00038584+0.00022982i,-0.00057174-6.9079e-05i,-0.00028986+4.9419e-05i,-0.00023118-5.9122e-05i,-0.00020451-0.00088093i,-4.4787e-05-0.00018496i,5.0673e-05+0.00076262i,9.1594e-05+0.0008935i,0.00071988+0.00033461i,0.00129-0.00035211i,0.0011061-0.00013287i,0.00073907+0.00047514i
-0.00043303-0.0011684i,-0.00014655-0.0010827i,-0.00065314-0.00066805i,-0.0017803+0.00069348i,-0.0013254+0.0014732i,0.0002179+0.001197i,0.00051695+0.00046679i,0.00035187+0.00040936i,-8.2385e-05+0.0010112i,-0.00073892+0.00080329i,-0.00091548+0.00051035i,-0.00083978+0.00098187i,0.00022784+0.001069i,0.00042746+0.00048717i,4.8175e-05+0.00030818i,0.00033449+0.0003864i,-1.462e-05+0.00044679i,-0.00025503+0.00034059i,0.00012751+0.00067981i,0.00042694+0.00030942i,0.00075877-3.8866e-06i,0.00055091+0.00017653i,-0.00034724-5.0527e-05i
0.0018559-0.00047839i,0.0016365-0.0013638i,-0.0003089-8.7299e-05i,-0.0013521+0.0017707i,-0.00065244+0.0022737i,-0.00037808+0.0016823i,-0.00060881+0.00034527i,-0.00036351-0.00060553i,0.00016223+4.9908e-05i,0.00027022+8.8005e-05i,-3.6843e-06-0.00043645i,-6.9559e-05-0.00025853i,-6.8335e-05-0.00010385i,0.00026746+0.00026178i,-5.9058e-05-1.2791e-05i,-0.0007343-2.0782e-05i,-0.00076554+0.00072647i,-0.00031793+0.00010694i,-0.00019911-0.00024189i,-0.00037012+3.3799e-05i,-0.00032294+0.00042858i,-0.00064027+0.00071544i,-0.00077626+0.00056534i
0.00047712+7.4392e-05i,0.00012005+0.0016453i,-0.00095677+0.0015967i,-0.0010042+0.00099988i,-0.00077332+0.00088755i,-0.00044548+0.0011158i,0.00021522+0.00051216i,1.6586e-05-3.1356e-05i,-0.00086591-0.00016424i,-0.000703-5.5681e-05i,-0.00040982+0.00017174i,-0.00055347+0.00025966i,-0.00055215+0.00030052i,-0.00025654+0.00036056i,7.5312e-05+0.00019674i,-0.00034905+8.9007e-05i,-0.00059657+0.00051293i,-0.0003206+9.3346e-05i,-7.0561e-05-0.00038483i,0.00032184+0.00019118i,-0.00053168+0.00032244i,-0.00062363-0.00046206i,0.00066887-0.00032684i
0.00042982+0.00055869i,0.0006046-1.0905e-05i,0.0002036-0.00022781i,-0.0017731+0.00023436i,-0.0024751-2.2496e-05i,-0.0014771+3.8973e-05i,-0.00084532+0.00038941i,-0.00045265+0.00042637i,-0.00066419+0.00031046i,-0.00079558+9.1629e-05i,-0.00038863-7.7856e-05i,-0.00022937+0.00012465i,-0.00050573+0.00064229i,-0.00072274+0.00016597i,-0.00020625-0.00076397i,-0.00018436-0.00064276i,-1.467e-05+0.00015954i,-0.00047769+0.0008382i,-0.0012999+0.0011809i,-0.00086768+0.00078573i,-0.00044454-3.1898e-05i,-0.00049441+2.9004e-05i,-0.00097408+0.00024862i
9.5496e-05-0.00054763i,0.00077625-0.00040313i,0.00010997-0.00033389i,-0.00097984+0.00054715i,-0.0010451+0.00065677i,0.00022134+6.8207e-05i,0.00073833+0.0001513i,0.00064054+0.00043134i,-0.00016555+0.00046892i,-0.0010842+0.00028228i,-0.00033637+0.00020332i,0.00097224+0.00044734i,0.00057968+0.001185i,-2.1793e-06+0.00064546i,0.00035725+2.2096e-05i,-0.00036168+0.00023011i,-0.001232+7.3519e-05i,-0.0011615-0.00018842i,-0.00012312-0.00015534i,-0.00015334+0.00010189i,-0.00087166+0.00044365i,-0.00064977+0.00021801i,-0.00044829-0.00016633i
0.0020689+3.5463e-05i,0.0016256+8.9825e-06i,0.00068691+0.00028302i,0.00023729+0.00024208i,9.9236e-05+0.00074961i,-0.00027837+0.0008433i,-0.00021051-0.0001029i,0.00042958-0.00042671i,0.00025766-0.00066285i,-4.5629e-05-0.0012213i,0.00042411-0.00093239i,0.00042556-0.00056632i,0.0001158-0.0001924i,0.00012419+3.1456e-05i,-4.4705e-05-0.00088452i,-3.3669e-05-0.0011485i,0.00018562-0.00044293i,0.00033676+0.00014502i,0.00031918+0.00037478i,-0.00017012+0.00040032i,-0.0006312-8.3219e-05i,-0.00026741-0.00072785i,0.00015867-0.0008019i
0.0022005+2.4081e-05i,0.0015878-7.8603e-05i,0.00012039+0.00011502i,-0.001129+9.5546e-05i,-0.0012951+4.9456e-05i,-0.00051891+0.0003859i,-0.00038819+0.00044873i,-0.00052241+0.00013502i,-0.00072102-0.00026727i,-0.0009705-0.00025083i,-0.00073591+4.8981e-05i,-0.0008396+0.00031728i,-0.0011988-0.00016245i,-0.00066009-0.00061488i,0.0003843+5.9139e-05i,0.00027632+0.00028543i,-0.00010363-0.0002496i,0.00027546-0.00042851i,-0.00049849-0.00030816i,-0.001386-0.00061093i,-0.00060876-0.00073853i,0.00074711-0.0008537i,0.001173-0.0009082i
-0.0019129+0.00083299i,-0.00041132+0.0010811i,0.00014442+0.0015928i,-0.00068766+0.0018001i,-0.00060723+0.0017539i,0.00020716+0.0014448i,0.00062858+0.00084518i,0.00031803+9.1627e-06i,-0.00026241-0.00058107i,5.5539e-06-0.00025211i,0.00010286+0.00044653i,0.00028984+0.0008643i,0.00062171+0.001366i,0.00064113+0.0012589i,0.00025331+0.00059328i,-0.00045793+3.8982e-05i,-0.00041612-2.8239e-05i,0.00022631+0.00029343i,0.00033545+0.00029506i,0.00015378+0.00031507i,0.00028192-0.00037454i,0.00036183-0.00024975i,0.00034786+0.0003654i
4.3081e-05-0.00040853i,0.0013843-0.00065595i,0.0010948-0.00010735i,0.0013557+0.0010401i,0.0015094+0.0013583i,0.001635+0.00060643i,0.001476+0.00014212i,0.00091249+0.00055681i,9.0281e-05+0.001086i,-0.00035588+0.00049139i,-0.0002715-2.8163e-05i,-0.00013602+0.00025348i,-2.3294e-05+0.00052118i,-0.00018466+0.00067807i,-1.7957e-05+0.0010311i,-3.5749e-06+0.00086415i,0.00014987+0.00035866i,0.00074416+0.00017547i,0.00057534-0.00016464i,-0.00027678+0.00063004i,-0.00051477+0.00142i,-0.00017584+0.0010265i,-6.3331e-05+0.00074602i
0.0009714+0.0012103i,0.00089332+2.7648e-05i,5.479e-05+4.907e-05i,-0.0012618+0.00014165i,-0.0020518+1.5337e-05i,-0.0016678+3.5547e-05i,-0.001332-4.8094e-06i,-0.00053331+0.00023457i,0.00024817+0.00025601i,-4.5866e-05+0.00036593i,-0.00081463-7.3032e-05i,-0.0013166-0.00043449i,-0.000465+4.1199e-05i,0.00029008-0.00029751i,0.00040764-0.00055964i,0.00061163-0.00010154i,0.00076357+0.00024253i,0.00046423+0.00053769i,0.00020477+0.00024759i,0.00085211-0.0001242i,0.00070455-7.4472e-05i,9.0445e-05+3.8345e-05i,0.00017234+0.00014714i
-2.1485e-05-0.00011625i,0.00027553+0.00083955i,-0.00052634+0.0010905i,-0.0017476+0.0011129i,-0.0011285+0.0010178i,-0.00024329+0.0012718i,-0.0005283+0.00083572i,-0.00081123+0.00013961i,-0.00075016-0.00064417i,-0.0010042-0.0010923i,-0.0011241-0.00062558i,-0.0011498-0.00039339i,-0.00068542-0.00051782i,-0.00033976-5.0845e-05i,-0.00041081+3.8517e-05i,-0.00010505-0.00048402i,-0.00027344-0.000585i,-0.00022147-1.4917e-05i,-6.0191e-05+0.00018019i,-0.00024408+0.00032614i,0.00050252+0.00069551i,0.00090187+0.00020397i,0.00033283-0.00012208i
0.0030891-0.00031753i,0.0026593-0.00034694i,0.00094975-5.9334e-05i,-1.0547e-05+0.0010759i,0.00015177+0.00087393i,0.00028055+5.6146e-05i,-0.00011442-0.00022763i,-0.00055978-0.001055i,0.00040144-0.00084189i,0.00060523+0.00023458i,-0.00051672+0.001007i,-0.0010355+0.00085155i,-0.0006696+0.00053406i,-0.0001083+0.0002307i,7.5141e-05+0.00010851i,0.00053404+0.00013978i,0.00062955+0.00018126i,-0.00025939-8.1449e-05i,-0.00073543-0.00090478i,-2.8534e-05-0.0011985i,0.00049242-0.00047871i,9.6841e-05+2.1873e-05i,5.0351e-05+0.00024513i
-0.00016876-0.00045908i,7.1853e-06-0.00090279i,-0.00040779+1.422e-05i,-0.0011215+0.0016745i,-0.0013504+0.001943i,-0.00061587+0.00065235i,5.8093e-05+1.3939e-05i,9.3977e-05-0.0003826i,0.00041766-0.00058693i,0.00012703-4.1613e-05i,-0.00026131+0.00020069i,-0.00056503+0.00047774i,-0.00086478+0.00057125i,-0.00060259+0.000581i,-0.00028957+0.0004027i,-0.00036893+0.00079837i,-0.00030754+0.0013195i,1.3863e-05+0.001099i,0.00053473+0.00082852i,0.00037951+0.00013052i,0.00016469-0.00032601i,0.00055844-0.00041782i,0.00071045-0.00012345i
0.00035669+0.00030933i,-0.00023362+0.00043729i,-0.0009133+0.00024721i,-0.00054926+0.0011473i,-0.00034204+0.0019677i,-0.00024181+0.0018124i,0.00016848+0.0015645i,9.9651e-05+0.00071725i,-0.0001028-0.00019014i,-0.00065666-0.00043657i,-0.0002681-0.00057943i,0.00022293-0.00075945i,0.00017016+2.5408e-05i,0.00037309+0.00011281i,0.0010337-2.6842e-05i,0.0012249-0.00015309i,0.0014196-0.00047853i,0.0014736-0.00059368i,0.0011224-4.8238e-05i,0.00054082+0.00041598i,0.00063192+2.2704e-05i,0.00049697-4.8105e-05i,2.3485e-05+0.00032367i
0.0011333+0.00031716i,0.0028654-0.0007588i,0.0017745+1.6656e-05i,0.00076293+0.001061i,0.0012761+0.00084406i,0.00014156+0.00045484i,-0.00044256+0.0010105i,0.00035326+0.00084447i,0.00096966-4.2553e-05i,0.00074424-0.00048776i,0.001336+0.00014432i,0.0011663+0.00040563i,0.00011706-0.00028517i,-5.7154e-05-0.00054428i,-0.0003575-0.00015488i,-0.00047345+8.0003e-05i,-9.0077e-05+0.00024383i,2.7093e-05+0.00018093i,-0.00011031+8.4567e-05i,5.7791e-05+0.0002426i,-0.00039474+0.0010647i,-0.00073334+0.00072269i,-0.00053295-0.0002403i
0.00096698-0.0011588i,1.0901e-05-0.00051002i,-0.00035057+7.2803e-05i,-0.0010382+0.00050299i,-0.001992+0.00095338i,-0.0021687+0.00061005i,-0.000753-0.00010672i,0.00013444-0.00031943i,-0.00011053-0.00013888i,-0.00066049+0.0002204i,-0.00016155-6.7679e-05i,0.00017313+0.00024439i,-1.8971e-05+0.0011483i,4.5088e-05+0.00070546i,-0.0003932+1.3145e-05i,-0.0011529-0.00031485i,-0.0016588+0.00029474i,-0.0012162+0.00088895i,-0.00018395+0.00036916i,-9.9979e-05-0.00017348i,-3.6203e-05-0.00041428i,0.000226-0.00011013i,0.00016781-0.00027374i
0.00098824+0.0012097i,0.0010661+0.00072254i,0.0011759-0.00062934i,-1.5749e-05-0.00045234i,-0.00095511+6.9702e-05i,-0.00054602+0.00080822i,-0.00065008+0.0012945i,-0.00063391+0.00086819i,-4.154e-05+0.00014998i,1.6225e-05-0.00042395i,2.3401e-05-0.0006397i,-0.00068716-0.00027854i,-0.0013148+0.00048673i,-0.0012675+0.00061128i,-0.00055118+0.00012734i,0.00030066+0.00014862i,0.00055979+0.00019663i,0.00054703-0.00037353i,6.8323e-05-0.00027123i,-3.2497e-05+0.00043071i,-7.4689e-05+0.00042971i,-0.00011524-0.00019309i,0.00033651-0.00069742i
