1.1461e-05+0.0013952i,-0.00063297+0.00076065i,1.9613e-05+0.00014525i,0.00057405-0.00065018i,-0.00036375-0.00080745i,-0.0011075+9.6541e-05i,-0.00033931+0.00017565i,0.00097729+0.00013887i,0.0013183+0.00052394i,0.00095151+0.00031471i,0.00046642-0.00068137i,-0.00012086-0.00092348i,-0.00058626-0.00022539i,-0.00065207-0.00021643i,-0.00084102-0.00066406i,-0.00056932-0.00076027i,-5.2127e-06-0.00036642i,0.00049812-1.093e-05i,0.00062048+1.976e-05i,-7.3309e-05+0.00012659i,-0.00071862+0.00025841i,-0.00021098+0.00042584i,-3.0877e-05-8.6048e-05i
0.002124-0.00055933i,0.0015286-0.00055993i,0.0013224-0.0011257i,0.0004435-0.0013142i,-0.00012038-0.00037595i,0.00014821+0.00055909i,0.00068636+0.00011695i,0.00062898-0.00027427i,-0.0004404-0.00015757i,-0.0011669-0.00047272i,-0.0011718-0.00049775i,-0.00094276-0.0003899i,-0.00055957-0.00021792i,-0.00058561-3.0038e-06i,-0.0008837-5.6687e-05i,-0.00074628-5.5685e-05i,-0.00033573-0.00014704i,-0.00033346-0.00021338i,-0.00076028-0.00022111i,-0.00060378-6.062e-05i,0.00045576-4.885e-05i,0.00091526-0.00013747i,-3.6575e-05+0.00021928i
0.00097707+0.00074905i,0.0019828+0.00042521i,0.0018853-0.00019823i,8.8477e-05-0.0010811i,-0.00093891-0.00080677i,-0.00036716+4.0738e-05i,0.00086155-2.2631e-05i,0.00060878-2.0199e-06i,-0.00061802+0.00029963i,-0.00081267+0.00034778i,-0.0002266-0.00013094i,-9.04e-05-0.00042267i,-0.00078868+0.00027476i,-0.0015861+0.00034114i,-0.001498+0.00041263i,-0.00085741+0.00038849i,-4.2391e-05-0.00030945i,0.0006625-8.5998e-06i,0.00053539+0.00044644i,7.1205e-05+6.7402e-05i,0.00013776-0.00013209i,-6.9083e-06-0.00041897i,-0.00055237-0.00014055i
-0.0012977+0.00022678i,-0.00079174+0.00016123i,-0.0005917+8.6676e-05i,3.9279e-05+0.00066452i,0.0011177+0.0011943i,0.0021849+6.601e-05i,0.0023499-0.0010892i,0.0015909-0.00095406i,0.00058206-0.00045586i,0.00010391+0.00013672i,-0.00019793+0.0004092i,-0.00043748+0.00047056i,0.0002534+4.862e-05i,-7.0221e-06-0.00053043i,-0.00047998-0.00060683i,-0.00045732-0.0010151i,-0.00036699-0.00084321i,-0.00042023-0.00022502i,-0.00091672+0.00065404i,-0.0011529+0.00099112i,-0.00060167-0.00015783i,-0.00017155-0.00080501i,-8.6219e-05+0.00011437i
-0.00080597-0.0013785i,-0.00069963+2.4767e-05i,-0.0012117+0.00063711i,-0.0012519+0.00082633i,-0.0009934+0.0013875i,0.00075445+0.0014065i,0.0011817+0.00054809i,-0.00042227+4.8335e-05i,-0.0011071+0.00046785i,-0.00013764-3.4901e-05i,-0.00054812-0.00082022i,-0.0014475-0.00038105i,-0.00091196-4.3789e-05i,-0.0003209-0.00066825i,-0.000348-0.00055127i,-0.0003142+3.4695e-05i,-0.00020673-9.1285e-05i,0.00038929+0.00026612i,0.00058442+0.00064475i,0.00027625+0.00069929i,-0.00020878+0.00043082i,-1.9125e-05-8.4858e-05i,0.00025577-0.00028795i
0.0011258+0.0007947i,0.0017558+0.0011131i,0.0022873+0.00064674i,0.0016411-0.00028845i,0.0013204-0.00076738i,0.0012537-0.0013038i,0.0011718-0.001087i,0.0012604-0.00054425i,0.0012249-0.0009221i,0.00067622-0.0014444i,0.0002427-0.0011254i,-8.5825e-05-0.00024261i,-0.00029321-6.0571e-05i,0.0002887-0.00074075i,-3.0876e-05-0.00062762i,-0.00075703+8.8421e-06i,-5.3023e-05+0.00010056i,0.0012727+4.4049e-05i,0.00098584+0.00031538i,0.00012775+0.00011821i,6.4266e-05-6.13e-05i,-0.00017237-9.9729e-05i,-0.00019833-0.00033007i
-0.0010193+0.00058559i,-0.00095668-2.6505e-05i,0.00043896-0.0011102i,0.00074157-0.00031878i,0.00023891+0.00022079i,-0.00020812-0.00050264i,0.0007262-0.0008208i,0.0003302-0.0003749i,-0.00029955-8.6339e-05i,0.00033939-0.00020886i,0.0002267-0.00048675i,-0.00063995-0.00037267i,-0.00091485-0.00047054i,-0.00053604-0.00042546i,-0.00021628-0.0010716i,-0.00046969-0.0010554i,-0.00013852+4.5114e-05i,0.00032421+0.0003168i,0.00063081-6.5868e-05i,0.00043164-0.00010601i,-0.00033534+3.3098e-05i,5.5006e-05+9.7457e-05i,0.00022295-0.00033243i
-0.0016081+0.0010593i,-0.0011135+0.0005073i,-0.00087558-0.00025965i,0.00031271-0.00010142i,0.0014346+0.00077402i,0.0017205+0.00022957i,0.0017479-0.0020793i,0.00091307-0.0029061i,0.00023002-0.0015754i,0.00060458+0.00021428i,0.00046389+0.0008678i,-1.2317e-05+0.00065421i,0.00013856+0.00019067i,0.00051902-0.00032755i,0.00048666-0.00054433i,-0.0002974-0.00050876i,-0.00086587-0.00034824i,-0.0004943+6.1588e-05i,-0.00030136+0.0002988i,-0.0002214+0.00021078i,0.00069224-0.00013565i,0.0010883-0.0003918i,0.00053539+3.1999e-05i
0.0016227+0.00050678i,0.0012497+0.00032584i,0.0011209+7.5231e-05i,0.0011333-5.829e-05i,0.00051975-0.00064469i,0.0011418-0.00056586i,0.0020996-0.00045778i,0.0014445-0.00063829i,-3.6829e-05-0.00064608i,-0.00023758-4.179e-05i,-0.00038163-0.00019834i,-0.00073217-0.00020994i,-0.00046238+0.00018751i,-9.5478e-05+0.00020644i,0.00019731+2.856e-05i,0.00034402+8.8495e-05i,0.00041953+6.3014e-05i,7.1025e-05-3.886e-06i,-3.1516e-05+0.00042608i,-9.65e-05+5.1911e-05i,0.00035079-0.00035002i,0.00050438+0.0001561i,0.00021321+1.211e-05i
0.0013756+0.0016911i,0.0011102+0.00079275i,0.00080326-0.000497i,-8.0727e-05-0.00040902i,-0.0002831-0.00073833i,0.00039241-0.00052444i,0.0017488-0.00046888i,0.0021099-0.0008068i,0.00037702-0.00070762i,-0.00033805-0.00078246i,0.00023399-0.00024706i,0.00045033+9.0195e-05i,0.00047615-0.00035483i,-0.00048839-0.00098296i,-0.0013725-0.0014448i,-0.00079839-0.0012431i,-0.0001676-0.00076096i,-0.00055932-0.00059717i,-0.0011047-0.00023685i,-0.00021428+0.00049264i,-6.3003e-05+0.00063675i,-0.00086117+2.3472e-05i,-0.00044617-9.6795e-05i
0.00098922+0.00056702i,0.00033327-0.00048307i,-0.00033777-0.00079514i,-0.00041133-0.00072807i,0.00030584-0.00052666i,0.00044828-0.00027335i,0.00045351-0.00047984i,0.00088679-0.00033721i,0.00071733+0.00027991i,-0.00010235+0.00010595i,8.6713e-05-1.9404e-05i,-6.3287e-06+0.0002575i,-0.0007506-0.00030495i,-0.00063825-0.00098432i,-0.00039043-0.00091298i,3.6372e-05-0.00021639i,0.00022181+0.00042296i,-0.00028108+0.00049548i,0.00011991+0.00036581i,5.7284e-06-9.1176e-05i,-0.00056741-0.0003746i,-0.00014551-0.00034642i,0.00070803-0.0002139i
