-0.0012638+0.00044156i,-0.00020663-0.00045193i,-0.00052215+0.00024354i,0.00016886+0.00046404i,-3.4344e-05+0.00021771i,-0.00097457-1.6103e-05i,-0.00097864+0.0010694i,-0.00052033+0.0017499i,-0.00017408+0.0011296i,0.00025273-0.00044486i,0.00026401-0.0010866i,0.00032617-0.00080993i,0.00011722-0.0015862i,-0.00090486-0.0015415i,-0.0010957-0.00027034i,-8.0756e-05+0.00032112i,0.00030052+0.00038198i,-0.00030278+0.00045252i,-0.00085157+8.0889e-05i,-0.0005603-0.00087548i,-0.0001376-0.00081772i,-0.00029415-0.0002925i,-0.00055684-0.00026657i
-3.0597e-05-0.000298i,0.00024386+0.00033885i,-0.00067666-0.00025834i,-0.00042228-0.00054809i,0.00012504-0.0005186i,0.00060194-0.00046032i,0.0011022+0.00032091i,0.00069857+0.00051305i,0.00078623+0.0006511i,0.00010879+0.00074003i,-0.00064673-0.0002508i,-0.0004387-0.00045894i,-0.00028267+0.00011598i,0.00013512+0.00046236i,0.00032516+0.00025173i,-0.00039759-0.00053389i,-0.00082971-0.00057781i,-4.5201e-05+3.8451e-05i,0.00053318-0.00025199i,0.00095797-0.00036145i,0.0015849-6.6929e-05i,0.0012765-0.00013779i,0.00064992+0.00029433i
-0.00036168-2.0207e-06i,-0.00064884-0.00082762i,0.0002529-0.00084724i,0.00088933-0.00038781i,-0.00030138-4.4212e-05i,-0.00054547-3.7183e-05i,-0.00023345-0.00029404i,-0.00041819+0.00016025i,-0.0007189-0.00021079i,0.00023487-0.00028107i,0.00082157+0.00073661i,0.0011699+0.00046598i,0.0014012-0.00039002i,0.0009221+0.00015661i,-0.00027464+0.0004484i,-0.0008665-0.00016414i,-0.00060985-0.00039304i,-0.00046757-0.0008012i,-0.00012115-0.00056798i,0.00046029-0.00043311i,-0.00037021-0.00032913i,-0.0014777+0.00063564i,-0.00084046+0.00038004i
-3.049e-05-0.0010452i,-0.0002117+0.00023591i,-0.00036435+9.3077e-05i,-0.00011639-0.00076391i,0.00022212-0.00099346i,0.00034918-0.0010214i,0.0003884-0.000609i,0.000413-0.00059319i,0.00028104-0.00074111i,0.00034611-0.00074091i,0.00060211-0.00075613i,0.00087244-0.0006808i,0.00040762-0.00021233i,-0.00064556+0.00028037i,-0.0013306+0.0004148i,-0.00052758+0.00041499i,0.00016387+7.4355e-05i,0.00034021+2.2632e-05i,0.00015643-5.886e-05i,-4.3174e-06-7.3384e-05i,-4.6913e-05+0.0004328i,-0.00091765+0.00022448i,-0.0012419+5.776e-05i
4.7972e-05-0.00052948i,-0.00063618+9.2809e-05i,-0.0018869-0.00068522i,-0.0022797-0.00095801i,-0.0023198-0.00039375i,-0.0014775+0.00064359i,-0.0010364+0.00061589i,-0.0007971-0.00036548i,-1.437e-05-0.00053548i,-0.00022492+6.0851e-05i,-0.00027426+0.00016208i,-0.00027881-0.00022585i,-0.00031912+0.00041692i,-0.00055627+0.00081803i,4.61e-05+0.0002225i,0.00046544-0.0003976i,-9.1074e-05-0.00019464i,-0.00049363+0.00039948i,-0.00040937+0.00017962i,0.00033796-0.00029562i,0.00043137-0.00010567i,-0.00057621+2.6656e-05i,-0.00062618-0.00048176i
-0.00056138+0.0015867i,-0.00030988+0.0017556i,0.0018876+0.00146i,0.0013861+0.00013878i,0.00056632-0.0012205i,0.00084553-0.0019178i,0.00073718-0.00098912i,0.00037164+1.9338e-05i,0.0002145+3.8286e-05i,0.00069739+1.3148e-05i,0.00056531-1.9188e-05i,-4.3181e-05-0.00014573i,6.4295e-05-0.00061313i,0.00025294-0.00055375i,0.00017335-0.00033877i,-0.00025195-0.00049647i,-0.00010715-0.00046459i,0.00074908-0.00038791i,0.0015187-0.00040315i,0.0013368+0.00014026i,0.00050585+0.00041802i,-0.00028529+0.0003614i,-0.00063735+0.00032339i
0.00028828+0.00034501i,0.0014514+4.7396e-05i,0.0011833-0.0004299i,0.0007872-0.00084627i,0.00062773-0.0017168i,0.0001449-0.0018778i,-5.772e-05-0.0012022i,-0.00099144-0.00061081i,-0.001086-0.00059847i,-0.00082225-0.00050746i,-0.00033469-0.00087706i,0.00020766-0.00093419i,0.00023666-0.00072819i,0.00023528-0.00052412i,0.00028037-0.00031832i,3.2736e-05-0.00080105i,-0.00024705-0.00079325i,-2.0173e-05-0.0001804i,0.00014363-0.00067795i,-0.00033355-0.00044161i,-0.00054897+0.00017384i,-0.00031669-0.00013389i,6.4362e-05-0.00033955i
5.2211e-05-0.00078425i,-0.00082422-0.00061855i,-0.0011013-0.00057446i,-0.00046549-0.0010563i,0.00055148-0.0015757i,-8.9374e-05-0.0013795i,-0.00070271-0.00071537i,-0.00085967+0.00012051i,-0.00089943+0.00041858i,-0.00043954-0.00024174i,0.00047404-0.00023724i,0.00087231-0.00016243i,0.00069068-0.000479i,0.00030713-0.00053194i,0.00011086-0.00099726i,3.7782e-05-0.0012327i,-0.00014151-0.0010348i,-0.0001625-0.00062271i,-0.00036307-0.00012242i,-0.00066731+0.00015289i,-0.00045785-0.00040432i,0.00033761-0.00067961i,0.0010498-0.00025994i
-0.0006007+0.000958i,-0.00067453+0.00017053i,0.0010219+0.0010479i,0.0018553+0.00049246i,0.00096512-0.00089803i,-0.00022696-0.0016206i,-0.00039447-0.0014095i,-0.0006565-0.00082299i,-0.00040681-0.00048995i,0.00021946+8.7087e-05i,-0.00018427+0.00023749i,-0.00068723+0.00012082i,-0.00072739+7.8808e-05i,3.2047e-05-2.2472e-05i,0.0003558+0.00018293i,-0.00069822+0.00020445i,-0.00093068-7.6127e-05i,-0.00021834-0.00046199i,-0.00017617-0.0011856i,-0.00043479-0.0011619i,8.9776e-05-0.0002734i,0.00017168-9.8491e-05i,-0.00014176-0.00038947i
0.00057316-0.0022165i,0.00063454-0.002157i,-0.00065509-0.0011978i,-0.001503+0.00021502i,-0.0012988+0.00079318i,-0.00025531+0.00073194i,-0.00013132-0.00024441i,-0.00014829-0.00098277i,-8.0687e-05-0.00019813i,-0.00011516+0.00024018i,-0.00043576+0.00057939i,-0.00062887+0.00096401i,-2.4923e-05+0.00054819i,0.00026442+0.00038776i,0.00062608+0.00092643i,0.00071933+0.0010185i,0.00016957+0.0011587i,-0.00051778+0.00028582i,-0.00024408-0.00079073i,7.1557e-05-0.00039701i,-0.00024942+0.00039108i,-0.00023087+0.00096759i,-2.6998e-05+0.00079696i
0.0010386+0.00055844i,0.0011763+0.0012361i,0.0017876+0.00032777i,0.0013658-0.0011412i,0.00039001-0.0015426i,-0.00065515-0.0015183i,-0.00071697-0.0011155i,0.00026775-0.00010053i,0.00072728+0.00030744i,-0.00014859+4.2046e-05i,-0.0013063-0.00021943i,-0.00142-0.00028628i,-0.0010866-6.0199e-05i,-0.00047145+0.00033278i,-0.00016635+5.1831e-05i,-0.00026733-0.00017747i,-0.00027409+0.00025035i,-0.00044929+0.0010225i,-0.00023353+0.0010763i,0.00034839+0.00036701i,0.00013182+3.8701e-05i,-5.9785e-05+0.00051443i,-9.5389e-05-3.8671e-05i
