-0.0035344-0.00082871i,-0.0030871-0.0015464i,-0.0029745-0.00085329i,-0.0017955-0.0015167i,-0.0010192-0.0013938i,-0.000895-0.00011405i,-0.00030883+0.0008343i,0.00014585+0.00080105i,-0.00022397+0.0009337i,-0.00049559+0.00077967i,-0.00066751-0.00034971i,-0.00051379-0.00097186i,-0.00024425-0.00075903i,-4.2938e-05-0.00092123i,0.000334-0.0007998i,8.1845e-05+0.00084314i,-8.4292e-05+0.0012207i,0.00064829+0.00024516i,-0.00023618-0.00020045i,-0.0011636-0.00020881i,-0.00025379-0.00020247i,0.00046588-0.00052804i,0.00080456-0.00060393i
0.0009401+0.0012258i,0.00045664+0.00040254i,-1.1681e-05+0.00041204i,-0.00071303+1.6001e-05i,-0.0016064-0.00062498i,-0.00079984-0.001249i,0.00026227-0.001685i,-0.00038676-0.0011149i,-0.0017905+0.00010843i,-0.0019257+0.00064207i,-0.0010749-0.00032571i,-0.00060987-0.0010346i,-0.00076351-0.00057303i,-0.0011523-0.0007496i,-0.00059512-0.001112i,0.00014389-0.00029436i,0.00023174+0.00058343i,0.00017722+0.00072312i,-0.00045202+4.8033e-05i,-0.00074953-0.00033667i,-0.00089712+6.9573e-05i,-0.0012666+0.00029248i,-0.00047842+0.00032949i
-0.0024308-0.0008896i,-0.0019676-0.0012688i,-0.0015106-0.0012809i,-0.0014296-0.00074166i,-0.0011915+0.00048068i,-0.00061084+0.001623i,-0.00016732+0.0011062i,-0.00053373-0.00022i,-0.00088112+0.00020152i,0.00016313+0.0009196i,0.0012073+0.00080597i,0.00044422+0.00052071i,-0.00034668+0.00031636i,-5.3644e-05+0.00045068i,-0.00022886+0.00082816i,-0.00080485+0.00043055i,-0.00089531-0.00028752i,-0.00086835-0.00015213i,-0.00046301+0.00071538i,5.9037e-05+0.00075577i,0.00043676+0.00064046i,0.00024408+0.0011505i,-9.5117e-05+0.0010507i
0.00054416-0.00063593i,0.00051002-0.001446i,-0.00055056-0.0012624i,-6.9537e-05-0.0016152i,0.00016305-0.0016545i,-0.00015083-0.0015278i,-0.00011522-0.0012416i,-0.00093883-0.0010924i,-0.0014224-0.00093195i,-0.00058936-0.00042109i,4.9201e-05-6.877e-05i,-0.00042738-0.00019327i,3.0542e-06+0.00021606i,0.00072574+0.00035828i,0.00070313-0.00014232i,-0.00015464+0.00011141i,-0.00040687+0.00045463i,0.0002244-5.7351e-06i,8.7108e-05-0.00046202i,0.00039663-0.00021007i,0.0006043+0.0006007i,-0.0001218+0.00050364i,0.00031875-0.00014582i
0.00035948+0.0011085i,0.00015557+0.0020078i,0.0001937+0.0010138i,0.00027584+0.00058776i,-6.2115e-05-2.1312e-06i,-0.00074088-0.00071837i,-0.0010216-0.0010091i,-0.00097498-0.0012067i,-0.00041872-0.00055201i,-0.00013686-0.00032756i,1.4498e-05-0.00054242i,5.4974e-05+0.00045045i,-0.00012575+0.00057527i,0.00037483-9.3568e-05i,0.00026954-0.0004527i,-0.00062307-0.00047535i,-0.00064855-0.00014205i,-0.00025787+7.0983e-05i,-6.7378e-05-0.00052134i,-0.00055154-0.00044399i,-0.00047552+0.000133i,0.00047472+0.0002538i,0.00090193+0.0002909i
0.0015918+0.00077376i,0.001971-0.00011657i,0.0012095-0.00080527i,0.00056943-0.0013304i,-4.8416e-05-0.0011774i,-0.00055582-0.00040632i,-0.00038996-0.000154i,-0.00078469-0.0001806i,-0.0012788+4.2642e-05i,-0.00097001+7.649e-05i,-0.0001223-0.00065379i,2.4394e-05-0.00023686i,0.00025489+0.00065504i,0.00031469+0.00045107i,0.00034838-0.00038139i,0.0004433-0.00018334i,0.00020412+0.00086478i,0.00047676+0.00048055i,0.00073528-0.00055323i,0.00060273-0.00085758i,0.00029004-0.00029337i,6.0489e-05-4.7225e-05i,4.9949e-05+0.00017949i
0.0010838+0.00073543i,-0.00033586+0.00090588i,-0.00066452+0.00047071i,-0.00025935-0.00021873i,-0.0005743-0.00073651i,-0.00022862-0.001114i,0.00081343-0.00087916i,0.00080229-0.00051136i,8.9686e-05+0.00028247i,-0.00027111+0.00017539i,0.00015092-0.00054244i,0.0010561-0.00057773i,0.0010376-0.00084089i,0.00043622-0.00085277i,-9.7761e-05+0.00012377i,-2.3463e-05+3.5641e-05i,0.00071536-0.00045682i,0.00088519-0.00037579i,0.00069887-0.0008015i,0.00079068-0.00042i,6.0732e-05+1.5549e-05i,-0.00015634-0.00053752i,0.00024275+0.00011723i
-0.0022551+5.3332e-06i,-0.0011925+0.00078624i,-0.00064112+0.00084043i,7.0234e-05+0.00089591i,0.00080025-0.00046211i,0.00059883-0.0014857i,3.6201e-05-0.001174i,-0.00047421-0.0010886i,-0.00051813-0.00039327i,-0.00011541+0.00017403i,-0.00043456+0.00058405i,-0.00039372+0.00030576i,0.00015869+0.00021114i,-1.3061e-06+0.00043775i,0.0003085+0.00021846i,0.00021117+0.00041746i,-0.00018875+0.00062148i,-0.00020713+0.00026096i,-0.00033935-0.00021135i,9.6627e-05-0.00016834i,0.00096891+0.00053315i,0.00064702+0.0010058i,0.00029199+0.0013409i
-0.00064207+0.00014966i,-4.7324e-05-0.00049732i,-0.00034027+0.00023581i,-0.0012469+0.00052553i,-0.00075925+0.00044991i,-0.0010161+4.5631e-05i,-0.00098939-0.00012317i,-0.00029181-2.5308e-05i,-0.0010337+4.5096e-05i,-0.0012369+0.00033426i,-0.00046739+0.00024285i,-2.165e-05+0.00012158i,-0.00010436+0.00052515i,-0.00070003+0.00046446i,-0.0008533+0.00018623i,-0.00040715+1.4417e-05i,2.5939e-05-0.00050461i,0.00039903-0.0011138i,0.00048541-0.0011662i,0.00036413-0.00018067i,0.00024289+0.00054936i,0.00029956+0.00022124i,0.00036751-0.00012383i
-0.0010568-0.0011136i,-0.0013002-0.0020918i,-0.0011088-0.001079i,-0.001103-0.0010423i,-0.0012299-0.0012881i,-0.0013819-0.00071302i,-0.0012222-0.00036001i,-0.00057493-0.00031537i,-0.00045399+0.00023305i,-0.00021247+0.00056467i,0.00023503+0.00062798i,0.00027134+0.00017943i,0.00072718-0.00023436i,0.0016165-0.00014021i,0.0010387-0.00033418i,-3.4275e-05+0.00024666i,-2.2068e-05+0.00067833i,0.00014402+0.00079068i,-0.00047661+0.00021468i,-0.00057107-0.00089338i,-0.00019807-0.00079175i,9.6537e-06-0.00040756i,-0.00016258-0.00017465i
-0.001326+0.00089132i,-0.0013293+0.0012354i,-0.00070104+0.0028411i,7.4073e-05+0.0026467i,0.00045779+0.001305i,-0.00014575-0.00017751i,0.0002603-0.00045996i,0.00020982-4.7085e-06i,-0.0010652+0.00018509i,-0.00048147+0.00080452i,0.00057303+0.0011708i,0.00074424+0.00037119i,0.0010188-0.00053325i,0.0013765-0.00064435i,0.0005494-0.00028431i,0.00017178-0.00045637i,0.0003241-0.00056951i,0.00031857+5.6111e-05i,0.00020786+0.00015637i,0.0004182+0.00043249i,0.0006656+0.0010205i,0.00064115+0.00095551i,0.00034581+0.00077363i
