0.00074219+0.00050191i,0.0010837-0.00052111i,0.0011732-0.0014757i,0.0007882-0.0015569i,4.0293e-06-0.0016504i,0.00036205-0.0013725i,0.0013817+0.00047804i,0.0011759+0.0016084i,0.00090174+0.0010085i,0.00095562+0.00027593i,0.00086689-0.00023112i,0.0004193-0.00059574i,-0.00031603-0.00035294i,-0.00083791-0.00021576i,-0.001279-0.00046611i,-0.0012741-3.9827e-05i,-0.0012934+0.00024724i,-0.0011245+0.00054256i,-0.00043004+8.033e-05i,0.00020833-0.00038827i,0.00041652-7.8973e-05i,0.00029837-0.00011824i,-0.00017663-0.00034684i
-0.000351-0.00086811i,-0.00087284-0.00065731i,-0.0014467-0.00048709i,-0.00049214-0.0008274i,0.00023076+0.00010977i,0.00074514+0.00073287i,0.00085395+0.00052203i,0.00067962-0.00055354i,0.00051775-0.0012136i,-9.2452e-05-0.00010988i,-0.00037038+0.00021031i,-0.00037469-0.00011596i,-0.00074877-0.00023229i,-0.00052771-0.00050635i,0.0004814-0.00050105i,0.00036012-0.00027928i,-0.00016586-0.0001551i,-0.00028665+2.6804e-05i,-0.00069353+0.00010249i,-0.00063117+0.00018215i,-0.00055979-0.00032096i,-5.5172e-05-0.0011451i,0.00034477-0.00081954i
-0.0023994+0.0013621i,-0.0011051+0.001299i,0.00057362+0.0012343i,0.001569+0.0011477i,0.0016616-0.00061425i,0.0016663-0.0021613i,0.00072871-0.0014824i,2.9032e-05-0.00045471i,-0.00029815-8.084e-05i,-0.0001814+0.00027485i,-3.7974e-05+2.467e-05i,-0.00018463-0.00045531i,6.9265e-06-0.00036945i,0.00091771-2.4511e-05i,0.0010657+0.00042792i,0.00059106+0.0013824i,0.00024049+0.00088077i,-6.1431e-05-0.00020692i,0.00033152-2.6523e-05i,-1.1716e-06+0.00014357i,-9.4379e-05+0.0005335i,0.00076333+0.00085284i,0.00021483+0.0010822i
-0.00042692-0.00095415i,0.00061319-0.00015299i,0.00085345-0.00011547i,0.00072596-0.001156i,0.00054258-0.0017051i,0.00081394-0.0019007i,0.00090335-0.000465i,0.00073729+0.00058861i,0.00075076+9.8656e-05i,0.00040236-0.00052239i,1.1289e-05-0.00027634i,-0.0003113+0.00034357i,0.00022089+0.0004993i,0.00093936+0.00059661i,0.00053686+0.00053533i,-0.00049675+1.4217e-06i,-0.001102+7.8032e-05i,-0.0017203-5.4597e-05i,-0.0010331-0.00025472i,0.00018789-0.00016227i,-1.192e-05-0.00010934i,0.00018388-0.00021572i,0.00088451+0.00046741i
-0.0015465+0.00062666i,-6.7556e-05+0.0012261i,0.0012181+0.00089093i,0.001836+0.00026945i,0.0018098-0.00060756i,0.001884-0.00079547i,0.0016991-0.00089189i,0.00096988-0.00083177i,0.00025227-0.00020905i,4.3924e-05-0.00029875i,0.00025959-0.00030526i,0.00035131-0.00025317i,0.00026757-0.0010033i,0.00061998-0.00059913i,0.0005261+8.5087e-05i,-7.338e-05+0.00034766i,-0.00056308+0.00047315i,-0.0010042+0.00061524i,-0.00082714+0.00032845i,-0.00034248-0.0006207i,6.3938e-05-0.00068382i,-0.00017545-0.00068272i,-0.00039809-0.00052116i
-0.0013765+0.00059998i,-0.00053738+0.00064848i,-0.00023837+0.0005077i,0.00051178-0.00018616i,0.0012874-0.00062429i,0.0011471-0.00038943i,0.00062627-0.00045306i,0.00075535-0.00071862i,0.00023212-0.00090891i,-0.00029421-0.0010219i,0.00019967-0.00086695i,0.00059032-0.00034484i,-2.9784e-05+0.0003479i,-0.00045409+0.00025401i,-5.6275e-05-6.5734e-05i,4.1129e-05+5.9093e-05i,-0.00022764-0.00041513i,-1.9864e-05-0.00065434i,0.00011381-0.00037899i,-0.00028251+0.00010764i,-0.00022297+4.1403e-05i,-0.00059776-0.00025025i,-0.00049292+0.0004185i
0.00026429+0.0010974i,0.0014894+0.00044673i,0.002017+0.0007381i,0.002297-0.00059687i,0.0021051-0.0021896i,0.0018824-0.0017953i,0.0010479-0.00036989i,0.00023301-0.00028458i,-0.00016455-0.00075092i,-0.00066207-0.00021226i,-0.00042062-0.00025148i,-0.00034916-0.00042313i,-0.00042262-0.00041899i,0.00014098-0.00031326i,0.00046532+8.165e-05i,0.00032223+0.00035848i,-0.0001115+0.00092595i,-0.00055915+0.0010801i,-0.00020646+0.00054489i,-2.5412e-05+0.00016911i,-0.00040743-3.7837e-05i,-0.00018081+0.00059653i,-2.5558e-05+0.00044923i
-0.00035944-0.0010945i,-0.0001699+0.00065006i,0.0013481+0.0011503i,0.0019267-0.00024355i,0.0015463-0.0010927i,0.0012256-0.0014237i,0.0014161-0.0013383i,0.0010849-0.00092364i,0.00034487-0.00064599i,-0.00016203+0.00018254i,0.00013891+0.00079486i,-3.2936e-05+0.00021607i,-4.8841e-06-0.00022547i,0.00034591+0.0004799i,0.00039284+0.0010664i,-0.00032891+0.0011602i,-0.0011281+0.00086223i,-0.00075035+0.00041918i,0.00035449+0.00031867i,0.00086067+0.00022117i,0.00058562+0.00021029i,2.0001e-05+0.00025093i,-4.9885e-05-0.00021299i
-0.0017136+0.0007433i,-0.0012484+0.0012048i,-0.00054311+0.00065962i,0.0011132-0.00018683i,0.0022962-0.00053631i,0.0012358-0.0010606i,-0.00012129-0.00042856i,0.00031352-0.00036347i,-8.4195e-05-0.0015692i,-0.0014112-0.0015475i,-0.00090893-0.00047012i,-5.1179e-05-0.00031006i,2.2183e-06-0.00039055i,-0.00031611+9.2738e-05i,-0.0010543-2.5103e-05i,-0.0012597-0.00095387i,-0.00015825-0.00090617i,0.00075008-0.00027068i,0.00058453+0.0005254i,-2.3164e-05+0.00055599i,-0.00057592-0.00042859i,-0.00032923-0.00041858i,-0.00015031+0.00070903i
-0.0019524-5.497e-07i,-0.001265+0.00079772i,-0.00029981+0.0011671i,0.0012473+0.00028748i,0.0021362-0.00083492i,0.0016923-0.0012442i,0.0013056-0.0014805i,0.00044885-0.001462i,-0.00094219-0.00031107i,-0.00068049+0.00056798i,-0.00017245-0.00051359i,0.00017583-0.00046607i,0.00024374+0.00044684i,-0.00043861-2.0197e-05i,-0.00040963-0.00043928i,0.00026974+0.00017465i,0.00038041+0.00084048i,0.0012326+0.0013051i,0.001649+0.00094095i,0.00022141-0.00023473i,-2.3777e-05-0.00045192i,0.00031566-0.00032836i,9.7505e-06-0.00019844i
0.00082177+0.00014145i,0.0012712+0.00078962i,0.0015204+0.00064718i,0.0011576-0.00094682i,0.00030603-0.0021507i,0.00064754-0.0015456i,0.00083163-0.00065708i,0.0001406-0.00060715i,0.00020179-0.00085967i,0.00026447-0.00077206i,-3.3303e-05-0.00012958i,-0.00047328+0.00033707i,-0.00082591+5.5963e-05i,-0.00065989-8.2053e-06i,-0.0010087+0.00013484i,-0.00090799+0.00016454i,-0.00026791+0.0006162i,-7.8221e-05+0.00062148i,0.00034285+0.0010449i,0.00017842+0.0014148i,-0.00064313+0.00037412i,-0.0003786-0.0002119i,4.4943e-05+3.7423e-05i
