-0.001256-0.00016756i,-0.0009272-0.00086048i,-0.0015103-0.00091044i,-0.0020595-0.0010743i,-0.00201-0.00069264i,-0.0016341+0.00015769i,-0.0014045+8.5649e-05i,-0.00072555+0.00051723i,0.00018884+0.00063134i,0.0010706-0.00030596i,0.0013907-0.00050156i,0.00083125-0.000604i,0.00056313-0.00075511i,0.00030417-0.0010391i,0.00011832-0.00066935i,0.00018961+0.00028604i,0.00016724-0.00016849i,0.00097947-0.00032297i,0.0011578-0.00025219i,0.00051764-0.00073802i,0.00011149-0.0006552i,-0.00041093-0.00052111i,-0.00022777-0.0004488i
0.0014181-0.0028646i,0.0012304-0.0039549i,0.00029538-0.0037116i,-0.0012436-0.0024584i,-0.0024956-0.0017044i,-0.002175-0.00069611i,-0.00073626-0.00075528i,4.9976e-05-0.00086204i,0.00049351-9.3702e-05i,-1.1315e-05+0.00061887i,-0.0010616+0.00094279i,-0.0013475+0.0011071i,-0.00078457+0.0015565i,-0.00031958+0.0010996i,-0.00033555+0.00042463i,-8.4337e-05+0.00056529i,0.00048902+0.00047076i,0.00086374+0.00019115i,0.0012288-9.3299e-05i,0.00099998-0.0010086i,0.00057914-0.0011454i,0.000191-0.00044874i,-0.00042281-7.2356e-05i
-0.00090264-0.00048837i,-0.00089451+0.00050717i,-0.00088075+0.00069345i,-0.00091866-0.00022002i,-0.002222-0.00046701i,-0.0017483-1.9173e-05i,-0.00057378+0.00070724i,-0.0002868+0.0015004i,5.5992e-05+0.0006384i,0.00018152+0.0002375i,-0.00022586+0.0010889i,-0.0006947+0.0010836i,-0.00039174+0.00049366i,0.00045143+4.6487e-05i,1.149e-05-0.0005873i,-0.00097298-0.0002575i,-0.00091233+0.0002444i,3.3674e-05+0.00012682i,0.00052266+0.00064095i,0.00048023+0.00063488i,0.0003413+0.00023261i,0.00049935+0.00014271i,0.00020472+0.00029171i
-0.003616-0.0017077i,-0.0037805-0.00058938i,-0.0020232-0.00027288i,-0.0012079-0.00026979i,-0.0012576-0.00040926i,-0.00090265-0.00073699i,-0.00060751-0.00068502i,-0.00044886-3.8336e-05i,-0.00056326+0.00097753i,-0.00086958+0.00096444i,-0.0013312+0.00089312i,-0.00067798-0.00010696i,0.00066688-0.0011576i,0.00073871-0.00054052i,0.00043373+0.00028268i,0.00075279+9.1599e-05i,0.00033506-0.00035944i,-0.00031513-0.00047116i,-0.00084535+7.5208e-06i,-0.00072766-0.00021291i,-0.00076657-0.00079191i,-0.00070297-0.00017327i,-0.00012293+0.00059195i
-0.00053258-0.0019184i,-0.0022369+0.00011887i,-0.0024728+0.0010098i,-0.0019408+1.1661e-05i,-0.0013445-0.0013652i,-0.0011823-0.00060621i,-0.00080847-0.00022637i,-6.2364e-05-0.0011219i,0.00023173-0.00077175i,-0.00015164-0.00019999i,-0.00031633-1.5593e-05i,0.000239+2.4328e-05i,0.0015474-0.000174i,0.0021702-0.00073033i,0.0015634-0.00074803i,0.00022123-6.0308e-05i,-0.00032971-4.6271e-05i,-0.00015359+0.00010717i,-5.7602e-06-9.7047e-05i,0.00057068-0.0003458i,0.00051004-0.00014244i,9.1726e-05-0.00022555i,0.00070959-0.00013504i
0.00048884+0.00016331i,2.9789e-05+0.00023586i,-0.00053761+0.00079122i,-0.0010544+0.0009277i,-0.00085705+0.00042165i,-6.5953e-05-2.0573e-05i,-0.00038927-0.0008652i,-0.00036301-0.0012656i,-0.00024006-0.00056036i,-0.00038743-0.00024243i,-0.00037794-0.00015949i,4.1599e-05+0.00053806i,-8.0295e-06+0.00088661i,-0.00047477+0.0013431i,-0.00049217+0.001331i,-0.00043047+0.00021801i,-0.00040809+5.4549e-05i,-0.00041785+0.00018498i,9.4308e-05-0.0003087i,0.00042254-5.0052e-05i,0.00040626-0.00046427i,0.0006691-0.0012176i,0.00057481-0.0006354i
-0.00065799-0.00027668i,-0.0010946-0.001232i,-0.00068811-0.0018608i,-0.0001096-0.0017997i,-0.00033617-0.0013475i,-0.0016585-0.001427i,-0.0017225-0.0021842i,-0.0010779-0.0019784i,-0.00065991-0.00065662i,0.00031732+0.00046239i,0.00020756+0.00063533i,-0.00024658+0.0007094i,-0.00037793+0.00094313i,-0.00033948+0.0016483i,-0.0001962+0.0018261i,-0.00036141+0.0007427i,-0.00024537+0.00013484i,0.00040512+0.0003652i,2.7499e-05+0.00014786i,-0.00069898-6.3704e-05i,-0.00046177-0.00051393i,0.00032181-0.00052523i,0.00050366-0.00012964i
-0.00092613-0.00096038i,0.00022272-0.00067389i,0.0017773-0.00044127i,0.0014445-0.00081397i,-0.00096136-0.0011659i,-0.0022537-0.0006061i,-0.0021865-9.35e-06i,-0.001631+0.0003041i,-0.0006318+0.00044971i,-0.00027124+0.00019465i,-0.00030581+0.00023092i,-0.00050492+0.0010119i,-0.00065342+0.0012281i,-0.00073656+0.00057499i,-0.00016263-0.00032213i,0.00032462-0.00073689i,0.00015993+0.00014418i,-0.00023626+0.00033708i,-0.00023661-0.00015935i,-0.00017807-0.00036209i,4.2312e-05+6.5445e-05i,0.00058941+0.00031851i,0.00041548-0.00023853i
-0.00074094-0.0025053i,-0.0011905-0.0011722i,-0.0019983-3.9888e-05i,-0.0011033-0.00045878i,-0.00039595-0.0010341i,-0.00059166-0.00055328i,-0.00037827-0.00059832i,1.5678e-05-0.00096106i,0.00026006-0.00070633i,-9.0392e-05-4.9379e-05i,3.3556e-05+9.0451e-05i,0.0010182-0.00055995i,0.0015951-0.00088006i,0.0013897-0.00080552i,4.7092e-05-0.0014381i,-0.00094373-0.0013643i,-0.0008911-0.00089156i,7.4357e-05-0.00052714i,0.00034553-0.00063099i,-0.00010066-0.00050627i,-0.00046414+3.5196e-05i,-0.0010967+0.00081423i,-0.00068605+0.00093569i
-0.0010518+0.00058173i,-0.00057451+0.0005531i,-0.0013054+0.00076759i,-0.0012778-0.00012749i,-0.00099231-0.00074842i,-0.0014839-0.00074352i,-0.0014943-0.00041829i,-0.00058591-4.8411e-06i,0.00022388-0.00028325i,3.1948e-05-0.00021161i,-0.00020632-0.00017492i,-4.4422e-05-0.00028785i,0.00065093-0.00014962i,0.00035225-0.00039935i,-7.2298e-05-0.00053469i,-0.00023841+0.00014608i,-0.00025413+0.00022073i,-0.00041684+0.00011748i,-0.0003551+0.00023502i,-0.0008713-0.00014415i,-0.0015767-0.00036924i,-7.1479e-05-0.00024056i,0.0007468-0.00012572i
-0.00067535-0.00033652i,-0.0010886+0.00050721i,-0.00069751+0.00081731i,0.00014803+0.001224i,-0.00095749+0.0012563i,-0.0011805+0.00017152i,-0.00037234-0.00048457i,-3.8879e-05-0.00065533i,-0.00020339-0.00085633i,-0.0002271-0.00044514i,0.00021121+0.00018309i,-0.00026435+0.0009367i,-0.00057185+0.00087154i,-0.00054215+0.00052621i,-0.00028819-0.00014727i,0.00039272-0.00072343i,0.00081738-0.00041059i,0.00073699-0.00025458i,0.00068144-0.00036075i,0.00015855-0.00034333i,-0.00085161-1.0429e-05i,-0.00085929-4.2634e-05i,-0.00026763-0.00059205i
