-0.0023886+0.0016377i,-0.0022975+0.0020343i,-0.0019431+0.0014354i,-0.0012534+0.0010037i,-0.00038815+0.0012014i,0.001099+0.00086767i,0.0021279-6.3467e-05i,0.0015844+0.00012792i,0.0010168+0.00015107i,0.00067783-0.00010139i,0.00073236-0.00042846i,0.00061465-0.00073133i,0.00087501-0.00086993i,0.00084334-0.0007448i,0.00074193-0.00058842i,0.00064959-0.0013914i,0.00031416-0.001533i,5.0051e-05-0.00071619i,-0.00034819-0.00037035i,-0.00044477-0.00059771i,-0.00034986-0.00024691i,-0.00045827+0.00043677i,-0.00083621+0.00059293i
0.0019721-0.00042855i,0.0015117-0.0010808i,0.00057172-0.0017675i,0.00029781-0.0013741i,0.00041834-0.00043015i,0.0002022+0.00014829i,0.00091468+0.00017037i,0.00071173+0.00011573i,0.00031028+0.0001686i,0.00039022-0.00022577i,-5.9333e-05-6.7279e-05i,-0.00027072+3.8381e-05i,-0.00024215-0.00021456i,-0.00065171+7.3727e-05i,-5.3717e-05+0.00045914i,0.00063792+0.00028534i,0.00038099+0.00019993i,-0.00023936+0.00023219i,0.00011142-4.0649e-05i,0.0004821+1.8505e-05i,0.00069523+0.00084057i,0.00048493+0.00044594i,0.00060614-0.00096902i
8.4243e-05+0.0001381i,4.4819e-05-9.4179e-05i,0.00025805+0.00013139i,0.00071464-1.0102e-05i,0.00064148-0.0011725i,0.00088833-0.0018547i,0.0005297-0.0016907i,0.00022315-0.00092027i,0.00068662-2.2557e-05i,0.00065837+0.00025586i,0.00027617-0.00010717i,0.00016487-0.0004324i,0.00022167+0.00022799i,0.00074713+0.00036159i,-4.6942e-05+1.4561e-05i,-0.0011798-0.00043771i,-0.00052798-0.0004609i,5.631e-05-0.00044069i,-0.00015625-0.00028282i,-0.00035717+0.00054478i,-0.0003638+0.00028442i,-0.0001458-0.00015542i,3.7026e-05-0.00024147i
-0.0026281-0.00080884i,-0.0020875+0.00039986i,-0.0017021+0.0018376i,-8.1903e-05+0.0016829i,0.0016303+0.00042128i,0.0015069-0.0011498i,0.0012681-0.0022238i,0.00089017-0.0023111i,-0.00059773-0.0012101i,-0.0010471-3.2899e-05i,-0.00012297+0.00014374i,0.00086506-0.00030013i,0.0013281+9.0649e-05i,0.00060294+0.0004474i,0.00038804-0.00032783i,0.00055455-0.00064878i,0.00056588-0.00047044i,0.00039465-0.0006088i,-0.00050239-0.00010438i,-0.00011136-0.000461i,0.00072346-0.00099912i,0.00026356+0.00011065i,0.00014377+0.00057856i
0.0013361+0.0034573i,0.002208+0.0025161i,0.0021748-0.00038839i,0.00070088-0.0010597i,-0.00039629+0.00028512i,-0.00064889+0.00070159i,-0.000323+0.00014912i,-5.4695e-05-0.00028333i,-0.00017048-0.00056898i,-3.1405e-05-0.0010274i,0.0002313-0.0011279i,0.00036167-0.00035467i,-0.00017914+7.1096e-05i,-0.00043259+0.00052398i,-8.7137e-05+0.00070972i,0.00084599+0.00049956i,0.00077473+0.00010732i,5.4875e-05+6.7615e-05i,0.00040122+0.00031748i,0.00098537+0.00047748i,0.00063938+0.00012272i,-0.00021279+1.2896e-05i,-0.00080885+0.00025438i
-0.0010862-0.0010302i,-0.00020572-0.00025724i,0.0011074-0.00057876i,0.00065309-0.00032175i,0.00042564-0.00024058i,0.0012313-0.0010496i,0.0013414-0.0025108i,0.0011326-0.002064i,-6.0925e-05-0.0009987i,-0.00012405-0.00046799i,0.0005208-0.00026247i,0.00036731-0.00051891i,0.00018797-0.00092981i,6.5835e-05-0.0011145i,-0.00010125-0.0010002i,-0.00047193-0.00086575i,-0.00063086-0.00079682i,-0.0004965-0.00032242i,-0.00011319+0.00071353i,-3.5721e-05+0.00097729i,-0.00029535+0.00051326i,-0.00020524+0.00021372i,-0.00037464+0.00049811i
0.00055671+0.00064811i,-0.00071832+0.00031085i,-0.0015772-0.00077213i,-0.00075858-0.00094239i,0.00044989-0.00018142i,3.8402e-05-0.00023006i,-0.00028379-0.00085281i,0.00021907-0.0016625i,0.00091576-0.0010479i,0.0009963+0.00029237i,0.00019678+0.00029372i,1.4813e-06-2.9301e-05i,-0.00029958+5.4964e-05i,8.5149e-05+4.663e-05i,0.00031126-5.5759e-05i,-0.0001638+0.00029799i,-0.00065096+0.00066867i,-9.7752e-05-6.3794e-06i,0.00048958-3.4987e-05i,0.00027802+7.8359e-05i,0.00038167+2.2448e-05i,4.535e-05-0.00075032i,-0.00030188-0.0013653i
-0.0017592+0.0014198i,-0.0010609+0.0015698i,-8.4836e-05+0.000432i,-7.6919e-05-0.00096463i,0.00063784-0.00088796i,0.0017454-0.00018965i,0.0021217-0.0010555i,0.0010986-0.0015693i,-0.00051384-0.0010948i,-0.00098222-0.00054301i,-0.00048178-0.00026084i,-0.00022609-9.2571e-05i,0.00018315-0.0002989i,0.00018317-0.00051474i,-0.00011562-1.9012e-05i,0.00059973+0.00025824i,0.00037307+0.00045667i,-3.4265e-05+0.00039638i,0.00020216-0.00048332i,0.00035473-0.00035402i,0.0002787+0.00028715i,7.6929e-05+0.00017855i,-0.00049694+5.0011e-05i
0.00093949-0.00097952i,-0.00024546-0.00019426i,-0.0014636-0.00039296i,-0.0011663-0.00013934i,-0.00010056+0.00023176i,0.00089332+4.7884e-05i,0.0013283-0.00063296i,0.0013492-0.0011255i,0.0010437-0.00075196i,-0.00023128+0.00027766i,-0.0012526+0.0011611i,-0.00086286+0.0014572i,-0.00029649+0.001353i,-0.00031984+0.0017067i,-8.3912e-05+0.0015884i,0.00019053+0.0003725i,0.00021782-0.0009168i,0.00026609-0.00093037i,0.00048706-0.00064257i,0.00067021-0.00012995i,0.00041219+0.00058634i,0.0003225-2.7894e-05i,-0.00058692-0.00069379i
0.00035529+0.0013602i,0.00032912+0.0007893i,0.0013694+0.00065034i,0.0019719+9.2808e-05i,0.0025285-0.00029393i,0.0020865-0.00030279i,0.00071033-0.00038225i,-0.00018635-0.00040141i,-0.0008475-0.00025721i,-0.00075275-0.00055111i,-0.00035046-0.0013249i,0.0001119-0.00059855i,2.2477e-05-0.00042664i,-0.0013884-0.0011542i,-0.0017934-0.00087802i,-0.00071112+0.00028568i,-0.00012949+0.00039834i,-0.00023242-0.00056924i,-0.00029005-0.00022831i,-9.9743e-05+0.0003169i,-0.00042729-0.00011959i,0.00010877-0.00042531i,0.00062173-0.00038356i
0.00063998+0.00047466i,0.00051169-0.00067306i,-0.00011018-0.0012616i,-9.8069e-05-0.0011414i,0.00042572-0.00084346i,0.0010322+7.376e-06i,0.0014282+0.00032439i,0.0013675-0.0004123i,0.00053934-0.00075101i,-9.0454e-05-0.0011473i,0.00011725-0.00081888i,-7.4367e-05-3.7565e-05i,-0.00054672+0.00042996i,-0.00013575+0.00086475i,0.00032944+0.00047515i,0.00048355+0.00044956i,0.00028134+0.00090832i,-0.00012399+0.00049376i,-0.00048703-0.00049021i,-0.00056045-0.0010499i,-0.00019655+0.00028799i,-0.00011495+0.0010389i,-0.00031843-0.00041128i
