-0.00011639+0.0015286i,0.00019826-0.00023225i,-0.00070819-0.0020217i,-0.0017411-0.0011478i,-0.0025789+0.00033927i,-0.0026232+0.0013866i,-0.0014973+0.0018653i,-0.00080706+0.0012676i,0.00028089+0.00063854i,0.00042429+0.00072012i,2.0292e-05+0.00048972i,0.0001841+8.8933e-05i,2.6103e-05+0.00042002i,-0.00078741+0.00072034i,-0.0012865+0.00068837i,-0.0005637+0.00042318i,0.000105-5.194e-05i,0.00036879-0.00048875i,0.00070424-0.00057276i,0.00058103-0.00067453i,0.00056204-0.00065716i,0.00074754-1.6329e-05i,0.00047226+0.00060644i
-0.00021646+0.0011778i,-0.00025259+0.002062i,0.00017482+0.0018726i,0.00062136+0.0012405i,0.00012729+0.00058682i,6.029e-05-0.0007935i,-0.00029636-0.0015636i,-0.0010234-0.00082862i,-0.00044374-0.00029326i,4.875e-05+0.00041313i,-0.00036381+0.0001466i,5.1076e-05-0.00057567i,0.00036589+7.4944e-05i,9.2501e-05+0.00097145i,-0.00019095+0.00056067i,-0.00045327-0.00036381i,-0.00033242-0.0006385i,-0.00026065-0.00067044i,-7.0653e-06-0.00065147i,0.0004527-0.00018339i,0.00066515+0.00011206i,0.00021072-0.00014707i,-0.00035267-0.00045016i
0.0012351+0.00098879i,0.00055466+0.0011295i,0.00061665+0.00068596i,0.00072852-0.0001679i,-0.00011669+4.7773e-05i,-0.00047778+0.00059534i,-0.00034516+0.00096659i,0.00025708+0.0011236i,0.00094105+0.00061988i,0.0011929-0.0005028i,0.0015403-0.00078911i,0.0013354+0.00032854i,0.00035162+0.00056452i,-0.0003974+0.00024721i,-0.00057749-0.00015304i,-0.00011939+0.00047482i,0.00036402+7.0418e-05i,0.00054948-0.00075814i,0.00070714-0.00036381i,0.00045242+0.00019724i,-8.8492e-05+0.0006579i,-0.00061471+0.00063427i,-0.00077464+0.00050191i
-0.0011192+0.00014219i,-0.0013673-0.00038439i,-0.0020944-0.00012249i,-0.0021955-0.00077338i,-0.0010687-0.0013292i,-0.00038798-0.00043277i,-0.0003964-0.00036324i,-0.00075189-0.00074981i,-0.00080017-0.00034786i,-0.00028706-0.00013612i,0.00032503+0.00021306i,0.00069918+0.00071431i,0.00035275+0.00078044i,0.0001081+0.00030028i,-0.00021718-0.00034778i,-0.00071952-0.00018708i,-0.00032472+0.0002629i,0.00049719+7.5227e-05i,0.00054441+0.00012724i,0.00034388+0.00014369i,0.00042925-0.00019945i,0.00039704+0.00038753i,0.0001794+0.00019581i
0.00021179+0.00060034i,0.0011696+0.00035459i,0.00016935+0.00017279i,-0.00050458+0.00049404i,6.7313e-05+0.00044064i,0.00037298-0.00088088i,-0.00032509-0.0011048i,-0.00080648-0.00024679i,0.00051957+0.00019317i,0.00041365+0.00088708i,0.00017494+0.0010558i,0.00096994+0.00057535i,0.00060039+0.00018963i,-7.7513e-05-0.00021415i,-0.00010381-2.6524e-05i,-6.29e-05+0.0011766i,-0.00037597+0.00092607i,-0.00067469+4.1008e-05i,-0.00012412-2.3108e-05i,0.00074845+0.00042996i,0.00054597+0.00028583i,-0.00020564-0.00084064i,0.00010643-0.00099263i
-0.00077028+0.0016058i,-0.0014721+0.0014477i,-0.00095527+0.0013264i,-0.0010422+0.0015979i,-0.0011215+0.00089511i,-0.00037516+1.0942e-05i,-0.00016756-0.00030567i,-0.0010093-0.00042948i,-0.0006836-0.00040079i,0.00028983+8.5852e-05i,-0.00020699+0.0006679i,5.6735e-05+0.00081848i,0.00063631+0.00031043i,0.00025315-9.4031e-05i,4.4435e-05+9.8696e-05i,-7.3242e-05+0.00064318i,-0.00049477+0.00027216i,-0.00026463-0.00014569i,6.1848e-06+0.00030666i,-0.00035056+0.00046323i,-0.00038095-0.00049594i,-0.00011142-0.00074846i,0.00015085-0.00021791i
-0.0020676-0.001029i,-0.0019814-0.00035636i,-0.002162+0.0015i,-0.0017933+0.001603i,-0.00040243+0.0012384i,0.0010649+0.00048678i,0.00090043-0.00022922i,-0.00029953+7.1289e-05i,0.00034497+9.8177e-05i,0.00079499+0.00022199i,-0.00014529+0.00031794i,-0.00045009+0.0001761i,0.00085379-0.00031653i,0.0014881+0.00013299i,0.00027967+4.4337e-05i,-0.00043648-0.0002891i,-0.00070453-0.00024393i,-0.00066561-0.00077246i,-0.0004925-0.00084326i,-5.794e-05-0.00087083i,0.00069472-0.0009996i,0.00060448-0.00046668i,-3.8414e-05+0.00028665i
-0.0003022-0.00088447i,-0.00057101+2.2657e-05i,-0.0001121+0.0006348i,-0.00039004+0.00025222i,-0.00064599-3.4235e-05i,0.00022474-0.0006515i,0.00018959-0.00090001i,0.00074731-0.00049775i,0.0010335-0.00036989i,0.0003565-0.00044516i,0.00059217-0.0001603i,0.0010258+0.00028974i,0.00072156-0.00043841i,-2.7707e-05-0.0011893i,-0.00011535-0.00084063i,-0.00053509-0.00017412i,-0.00061507-9.878e-05i,-9.6839e-05-0.00015986i,0.00026455-0.00051006i,0.00052499-0.00026499i,0.00060372+0.00062886i,4.1208e-05+0.00091904i,-0.00016726+0.00092183i
0.00029586+0.0013005i,5.8699e-05+0.00048752i,-0.00082681-0.00024123i,-0.0013012-0.00022546i,-0.0010629-0.00011535i,-0.00054909-0.00023403i,-0.00080697-2.4284e-05i,-0.00090404+8.4829e-05i,-9.6899e-05-8.1503e-05i,0.00053188+4.7719e-06i,0.00046434+0.00022377i,0.00056062+3.4641e-05i,0.00088524-0.00041545i,0.00059059-0.00079998i,-0.00043965-0.00082833i,-0.00044963-0.00072948i,0.0003248-0.0011021i,-1.5604e-05-0.00075351i,-0.00065456+0.00048505i,-0.00084869+0.0004175i,-8.0917e-05+0.00022216i,0.0004777+0.00043476i,-0.0001815-2.4612e-05i
0.00093845+0.0019654i,0.00061673+0.0014373i,-0.00056533-0.000239i,-0.0012489-0.00091066i,-0.0010222-0.0001015i,-0.00057584-9.9989e-05i,-0.0005038-0.00092102i,-0.00079589-9.4455e-05i,-0.00062232-8.3518e-05i,-0.00020262-0.00091475i,0.00031973-0.00056431i,0.00053863+0.00029085i,-0.00052128+0.00062433i,-0.0013037+0.00027738i,-0.00092277-0.00023284i,-0.00063087+5.3846e-05i,-0.00031153+0.00061903i,0.00013651+0.00097422i,0.00013686+0.00082489i,-0.00038291-7.2145e-06i,-0.0003352-0.00045713i,0.00019027+0.00012916i,-0.00019072+0.0001015i
0.00039054+4.2508e-05i,0.00036601+5.3505e-05i,-0.00060162+0.00045986i,-0.0014508+8.7e-05i,-0.0012894-0.00043429i,-0.00078781-0.00060461i,-0.0004103-0.0010988i,-4.3263e-05-0.0001951i,0.00076046+0.00057042i,0.00085829-0.00023445i,5.4121e-05-0.0005895i,-0.0003341-0.00012541i,-0.00061716-0.0004082i,-0.00098041-0.0010282i,-0.0011234-0.0009256i,-0.00083325-0.00078445i,-0.00016232-0.00018374i,0.0005341+0.00040034i,0.0005125-0.00071873i,0.00097492-0.0012785i,0.0012648-0.0004478i,-7.0784e-05-4.4807e-05i,-0.00052451+0.00054923i
