-0.0016051+5.1184e-05i,-0.00070899-0.0016465i,-0.00043064-0.0021931i,-0.00068447-0.0011547i,-0.0009565+0.00072224i,-0.00089071+0.0018096i,-5.4651e-05+0.001788i,0.00059167+0.0022969i,0.00053639+0.0017876i,0.00083738+0.00041011i,0.0012658-0.0003894i,0.0013299-0.0014143i,0.00081259-0.00059779i,-0.00017584+0.00034751i,-0.00018204-4.9573e-05i,9.9079e-05-0.00017661i,-0.00019348-0.00014943i,-1.4056e-05+0.00030975i,5.791e-05+4.0476e-05i,-0.00031885-0.00098611i,-0.00058333-0.00084147i,-0.00054504-0.00044549i,-4.1408e-05+4.8535e-05i
0.00079576+0.0010353i,0.0010675+0.0017299i,0.00077583+0.0021928i,0.00050637+0.0025116i,0.00065141+0.0013923i,0.001252+0.00046046i,0.00095486+0.00080628i,7.5102e-05+0.0007941i,-0.00030495+0.00078866i,5.0156e-05+0.00058443i,0.00050053-6.6425e-05i,0.0009727-0.00029428i,0.0010001-0.00034838i,0.00012169-0.00036147i,1.2343e-05+0.00047253i,0.00050679+0.0010648i,0.00027768+0.0004657i,-0.00044072-0.00013482i,-0.00028517-4.2638e-05i,0.00023942-0.00041765i,-5.8064e-05-0.0007389i,0.00011381+1.0506e-05i,0.00032121+0.00046483i
0.0014809-0.0028998i,0.00067403-0.0022031i,0.00010632-0.0017843i,0.00010952-0.00075949i,0.00014893+0.00076738i,0.00097222+0.0008473i,0.00084059-4.0143e-05i,0.00017236+0.00018347i,-6.9126e-05+0.00051515i,-0.00041792+0.0011838i,-0.00067293+0.0014215i,0.00019641+0.00076398i,0.0008285+0.00052042i,0.0009572+0.00043577i,0.0014229-7.7502e-05i,0.00145-0.00080829i,0.00082802-0.001313i,0.00053141-0.001227i,-8.3643e-06-0.00070274i,-0.00015357-0.00014942i,0.00042113+8.5062e-05i,0.00033309-0.00043735i,0.00010035-0.0011772i
-0.0015185+0.00059944i,-0.0018469-8.4608e-05i,-0.0019539+0.00079426i,-0.0010741+0.0016036i,0.00019113+0.0019616i,0.00014256+0.0015626i,0.00016292+0.00048077i,0.00029045+0.00013575i,-0.00061591-0.00045292i,-0.0014294-0.00085556i,-0.00062373-0.00058718i,0.00056623-0.00057854i,0.00029619-0.00042553i,-0.00030022-0.00034638i,0.000354-0.00078721i,0.00058255-0.00031182i,-1.1786e-06+0.00051505i,-0.00056891+0.00010991i,-0.0004998-0.00074565i,-9.4641e-06-0.0011814i,-5.8497e-05-0.00046905i,-4.7427e-05-4.6407e-05i,0.00053808-0.0002799i
0.0021753+0.0029055i,0.0026932+0.0033861i,0.0032988+0.003816i,0.0034658+0.0029175i,0.00261+0.0011975i,0.0011989+0.00031299i,0.00043011+0.00010131i,0.00023876-4.7815e-05i,-0.0004357-7.8969e-05i,-0.0013507+0.00019273i,-0.0013522+0.00033711i,-0.00097084-0.00060045i,-0.00088339-0.0012956i,-0.0007345-0.0012584i,-0.00010437-0.00081457i,0.00012591+0.00023404i,-0.00058313+0.00033543i,-0.00074228-0.00077212i,-0.00074994-0.00076655i,-0.00016397-0.00037886i,0.00027658+0.00010604i,-0.00032535+0.00018475i,-0.00017256+0.00022896i
0.0001942-0.00033725i,-7.9316e-05-0.00091802i,0.00087303-0.00061905i,0.0019052+0.00057698i,0.0010797+0.0014319i,0.0008715+0.00061564i,0.00059017+0.00031386i,-0.00096394+0.00061883i,-0.001098+0.00019525i,-0.00026124+0.00024022i,0.00019376+0.00017411i,0.0006128-0.00043024i,0.00050068-0.00076682i,0.00056241-0.00063607i,0.00042031+0.00015732i,-0.00012892+0.00060499i,0.00042907-0.00074812i,0.001359-0.00096759i,0.00092446+6.6014e-05i,-0.00033959-0.00030305i,-0.00054168-0.00083038i,-0.00067013-0.00038102i,-0.00072691-5.543e-05i
-0.0002792+0.0014046i,-0.00033199+0.00018945i,0.00034905+0.00071477i,-5.2377e-05+0.001236i,-0.00036089+0.00064694i,0.00030044+6.6377e-05i,0.0011909-0.0006708i,0.0010295-0.00058468i,6.8375e-05-7.7538e-05i,-0.00030802-0.00037791i,-0.00021965-0.00079664i,-0.00042397-0.00071005i,-0.00031757-0.00032662i,0.00033142-0.00056582i,0.0005338-0.00018477i,-0.00039315+0.00055772i,-0.00050753-0.00032499i,-0.00016926-0.00092801i,-4.9801e-06-0.00042312i,0.00039594-0.00011104i,0.00033711-0.00019304i,0.00072287-0.00023229i,0.0006433+0.00034078i
-0.00062799-0.00070467i,-0.0011624+4.3797e-06i,-0.00079348+0.0023265i,0.00024427+0.0026899i,0.0011704+0.0013736i,0.001687+0.00042779i,0.0012219+0.0003898i,0.00089355+0.00063317i,0.00051465+0.00070894i,-0.00044461+0.00048086i,-0.00030421+0.00063057i,0.0002038-0.00018578i,0.0001755-0.00078359i,-0.00031762-0.00095825i,-0.000264-0.00097658i,0.00017958-0.0006945i,1.1767e-05-0.0010988i,-0.00073895-0.0010314i,-0.00026635-0.00085341i,0.00068101-0.00096908i,0.00020233-0.00071496i,-0.00010407-0.00082507i,0.00021109-0.00038307i
0.00088774-0.00065091i,0.0008857-0.0013805i,0.0015148-0.0025616i,0.0011386-0.0019141i,0.0002064-0.0011803i,0.00014708-0.00061669i,0.00035467+0.00010398i,-4.3635e-05+0.00047304i,-0.00044641+0.00029705i,-0.00058577+0.00073905i,0.00040023+0.00076305i,0.00023622+0.00023064i,-0.00068951-0.00037965i,-0.00065078-0.00027104i,-0.00028053+0.00028614i,-0.00031181+0.00010742i,-0.00029016+0.00046663i,0.00018734+0.00036668i,0.00045905-1.3009e-06i,-7.5501e-05-0.00013719i,-0.00069528-0.00027215i,-0.00032402+2.3296e-06i,0.00051488+0.00014328i
-0.0013384+0.0011183i,-0.0013519+0.00077281i,-0.0013781+0.00187i,-0.00010855+0.0021615i,0.00075705+0.0018196i,0.00076795+0.0013831i,0.00060814+0.00082116i,0.00034822+0.00053747i,-0.00061665-2.2856e-05i,-0.0011387+0.00022014i,-0.00070064+0.000232i,0.00047455-0.00032768i,0.00081615-0.00085147i,0.00024126-0.0014966i,-0.00015808-0.0013787i,-0.00014562-0.00064432i,0.0004551-0.00018085i,0.0003848+0.00015303i,2.3041e-05+0.00075315i,-6.8904e-05+0.00087418i,0.00030202+0.00067166i,0.00032232+0.00073901i,-9.6868e-05+0.0004786i
-3.2616e-05+0.0022902i,-0.0003084+0.0025292i,0.00018579+0.0017774i,0.0010996+0.00050444i,0.00048241+0.00048654i,-4.6578e-05+0.00029997i,0.00039993-0.0003232i,0.00054208+1.0608e-05i,0.00083025+0.0005518i,0.0010345+0.00066904i,0.00073771+0.00053913i,-2.7066e-05+0.00021358i,-0.00079446+8.1018e-06i,-0.00058995-2.8047e-05i,5.3161e-05-0.00013688i,-0.00034137+0.00014197i,-0.00055415+0.00039135i,-0.00033529-0.00026866i,-0.00039767-0.00088293i,-0.00026828-0.00010565i,0.00018393+0.00019742i,0.00049706-0.00010831i,0.00027386+0.00024024i
