-0.0015007+0.00079965i,-0.00070162+0.0021015i,-0.00036784+0.002547i,-0.00027288+0.0018473i,-0.00037525+0.0012536i,-0.00063515+0.0019719i,5.638e-05+0.0023931i,0.00099921+0.0014283i,0.0011188+0.00072799i,0.0010549-0.00018418i,0.00068659-0.0011248i,0.0007091-0.00085529i,0.00076166-0.00095739i,-0.00050613-0.0012292i,-0.0013802-0.00049861i,-0.00095522+1.1514e-05i,1.5638e-05+0.00028664i,-5.1421e-05+0.00067046i,-0.00036544+0.001048i,-0.00039668+0.00071494i,-0.00023195-0.00054567i,0.00055382-0.0004696i,0.00080678-0.00025156i
0.0012898-0.0013249i,0.0011499+0.00030296i,0.00058896+0.00025716i,-0.00044033-0.00018478i,-0.0008469+0.00057306i,0.00013226+0.0010488i,0.001127+0.00041053i,0.0012773-0.00050924i,0.00093526-0.00070966i,0.00039765-0.0016214i,0.00048198-0.0016492i,0.00016444-0.00040549i,0.00023268-0.0002757i,0.00058723-0.00070865i,1.1988e-05-0.00041166i,0.0004694-0.00043791i,0.00098037-0.00011174i,0.00047901+0.00075544i,-0.00048124+0.0010541i,-0.00019174+0.0010038i,0.00097985+0.00026435i,0.00078452-0.00041511i,0.00037099-0.00039658i
-0.00020173-0.00017429i,0.0011513-0.00010261i,0.0015766-6.271e-05i,0.0010428+0.00056247i,0.0013035+0.0018489i,0.0013659+0.0021301i,0.00046177+0.00096846i,0.00012355-2.4005e-05i,-8.4632e-05-0.00046089i,0.00013413-0.0013689i,0.00025767-0.0018261i,-0.00066148-0.0010387i,-0.00083502-0.00051578i,-0.00030412-0.00028106i,-0.00042026+0.00013721i,-0.00054252+0.00024445i,0.00010163+0.00031044i,0.00019977+0.00020076i,-9.5201e-05-0.00037155i,-0.00017001-0.00036925i,-0.00034053+0.00010706i,-0.00053293-6.523e-05i,-0.00077842-0.00038857i
0.00015976-0.00012887i,-4.5973e-05+0.00055631i,-0.0011413+0.0016246i,-0.00058718+0.0022044i,0.00038489+0.0019696i,0.00082223+0.0010786i,0.0011246+0.00076949i,0.00081133+0.00029183i,0.00025697-0.00037398i,-7.1172e-05+8.1564e-05i,0.00012235-0.00032758i,0.00046895-0.0010749i,0.00031515-0.0007162i,4.8119e-05-7.32e-05i,0.00031043+0.00012188i,0.00028525-4.1022e-05i,-0.00032458+0.00035695i,-0.0006582+0.00081725i,-5.4852e-05+0.00071909i,0.00012393+0.00014858i,-7.5934e-05-0.00041758i,2.4115e-05-0.00015475i,-0.00073175+0.00021107i
0.00081048+0.0019472i,0.0016486+0.002486i,0.00097357+0.0021971i,0.00040608+0.00086808i,0.00083017+0.0010812i,0.00041597+0.0013288i,0.00029358+0.0005587i,0.00050785+0.00094286i,0.00064832+0.00061849i,0.00085493-0.000585i,1.6437e-05-0.00084236i,-0.00048644-0.00076165i,0.00012021-0.00064225i,0.00028709-0.00042004i,0.00013258-0.00079685i,-0.00036499-0.00058079i,-0.0008172+0.00034947i,-0.00063313+0.00052622i,-0.00016717+0.00048194i,0.00052239+0.00086031i,0.00051454+0.000301i,0.00014263-0.00035248i,0.00019067-0.00014767i
-0.00080731-0.0013874i,-8.9313e-05-0.0013257i,0.00016413-0.00051292i,4.1711e-05+0.00030165i,0.00038255+0.0010873i,0.0003769+0.0021512i,4.9926e-05+0.0025295i,0.00059931+0.0015248i,0.0010777+0.00050416i,0.00074839+0.00032544i,-0.00022954+0.00024398i,-0.00027896+0.00024684i,0.00092152+0.00048918i,0.00093149+0.00045097i,0.00010932-0.00036355i,-0.00024769-0.00090541i,-0.00041642-0.00015646i,-0.00059625+2.7041e-06i,-0.00013692+0.00029939i,-4.4186e-05+0.00069916i,-0.00054959+0.00028566i,-0.00089449+0.00035689i,-0.00022084+0.0007233i
1.1471e-05+0.00069583i,0.00067973+0.0016752i,0.00099592+0.0021738i,0.0011413+0.0015746i,0.0014473+0.0016394i,0.0017995+0.0019109i,0.0013267+0.00058625i,0.00057819-0.00053798i,7.6614e-05-0.00059695i,-0.00020384-0.00042395i,-0.00034281-0.00073683i,-0.00072964-0.001055i,-0.00058999-0.00073377i,-0.00022906-0.00048534i,0.00049743-0.00067378i,0.0014218-0.00086673i,0.0012125-0.0007074i,0.0002696-0.00038005i,2.9869e-05-0.00014402i,0.00047174-0.00026653i,0.00046716-4.5963e-05i,0.0011302+0.00044363i,0.001392+0.00035141i
0.00092568+0.0011772i,0.0024392+0.0010867i,0.0027198+0.0010962i,0.0024031+0.0012787i,0.0020173+0.0012334i,0.00098444+0.00069884i,0.00048105+0.00092315i,0.00058645+0.0002316i,0.00082031-0.0001853i,0.00060214-0.00015059i,-0.00027147-9.0734e-05i,-0.00054717-6.0014e-05i,-0.0002348+8.1092e-06i,0.00022931+4.2575e-05i,-2.6055e-05-0.00013993i,-4.5407e-05+6.2852e-05i,-0.00027622-0.00040983i,-0.0002385-0.00068414i,0.00030546-0.00024453i,0.00041906+2.6475e-05i,-0.00023987+0.00037365i,-0.00069948+0.0006363i,9.0143e-05+0.00010042i
-0.0012871+3.194e-05i,-0.0007602-0.00038354i,0.00045257+7.1381e-05i,0.0014198+0.00025478i,0.0025276-0.00051226i,0.0027803+0.00015031i,0.0017213+0.00067404i,0.00096247-0.00028856i,0.00047223-0.0001037i,8.9245e-05-0.00044164i,-0.00064541-0.00076487i,-0.00067803+4.0503e-05i,0.00022549+0.00028225i,-7.3931e-05+2.0216e-05i,-0.00015009-0.00033528i,0.00040078-0.00039219i,-6.0222e-05-0.0002996i,-0.0004095-2.6052e-05i,-0.00041795+0.00032154i,9.174e-05+0.00042055i,-1.1255e-05+0.00023003i,-0.00051489+0.00020877i,-0.00019299+0.00040361i
0.00033008+0.00023153i,0.00011862+0.0015569i,0.00018048+0.0028731i,0.00023844+0.0033522i,0.00011334+0.0023252i,0.00062067+0.00075356i,0.0011687+0.00050514i,0.00058789+0.00052785i,-0.00017228-7.8915e-06i,-0.00034379-0.0010315i,0.00029162-0.0013089i,0.00033174-0.0011407i,-0.00012186-0.00082616i,-0.00034398+0.00026358i,-0.00042994+0.00070171i,-0.00049703+0.00029098i,-0.00022805+0.0001994i,0.0010181-7.1598e-05i,0.001913-0.00029487i,0.0016462+0.0002216i,0.0011139+0.00062231i,0.00068856+0.00046995i,0.00061572-8.0566e-05i
0.00095596-0.000211i,0.0006762-0.00060385i,0.0001792-0.0010135i,1.8399e-05-0.00033714i,-8.3495e-05+0.00031185i,0.00065586+0.0010442i,0.0011488+0.00074653i,0.00089135-0.00034928i,0.00070682-0.00076952i,0.00012218-0.00096911i,7.3264e-05-0.00088967i,-5.784e-05-0.00083747i,-0.00042999+3.7281e-05i,-9.4727e-05+0.00071587i,8.0604e-05+0.00038575i,2.8539e-05+0.00033995i,-0.00020497+0.00045553i,-0.00029236-2.7848e-05i,-0.00051666+2.8065e-05i,-0.00064641+0.0007703i,-0.0003327-8.512e-05i,-0.00031276-0.00015103i,-0.00043007+0.0003386i
0.00030912-0.0016571i,0.00013146-0.002048i,0.0005775-0.00044434i,0.0005722+0.00076339i,5.7386e-05+0.0010765i,-0.00013214+0.0020718i,0.00041217+0.001709i,0.00062372+0.0002294i,0.00029767-0.00014236i,0.0001601-0.00040155i,-0.00021646-0.00041427i,-0.00022195+0.00037056i,0.00010776+0.00074244i,6.8483e-05+0.00013117i,-2.8021e-05-0.00042894i,0.00010777+7.4621e-05i,0.00021798+0.00039297i,-0.00040432+0.00015764i,-0.00042734+0.00019634i,-0.00023807+0.00050437i,-4.1978e-05+0.00060391i,0.00047577+0.00036681i,0.00017533-6.343e-05i
-0.00021633-0.00066764i,-0.00030642+0.00047989i,-0.00019389+0.001854i,0.00041097+0.0022763i,0.00075156+0.0028429i,0.00065244+0.0025133i,0.0011216+0.0012008i,0.00097603-0.00015639i,0.00024921-0.00087061i,0.00061203-0.0010805i,0.00064876-0.0015424i,0.00022804-0.0017112i,9.7648e-05-0.0014017i,0.00050948-0.00093814i,0.00047733-0.00085792i,0.00019745-0.00033654i,0.00030841+0.00029583i,0.0006594+0.00043057i,0.00062213+0.00040736i,0.00023172+0.00015026i,0.00051616+0.00045989i,0.0013164+0.00020422i,0.0011756-0.00035127i
0.0013673-0.00047139i,0.0011031-0.0003833i,0.0008338-0.00063435i,0.0012161+0.00013807i,0.00068382+0.00065478i,-5.8725e-05+0.0012336i,0.00034685+0.0018993i,0.00096537+0.0013554i,0.00098105+0.00047945i,0.0006205-0.00053718i,-0.0001909-0.00041107i,-0.00079337+0.00047729i,-0.00061866+0.00023995i,-0.00017586-0.00019996i,0.00052169+0.00052697i,0.00080822+0.00074625i,-8.106e-05-5.4422e-05i,-4.5516e-06-0.00068171i,0.00032113-0.0010703i,-0.00055684-0.00069714i,-0.00048516-0.0004994i,-0.00022518-0.00040081i,-0.00029069+7.8017e-05i
0.00030943+0.0013254i,-0.00096877+0.0016587i,-0.0013679+0.0021186i,-0.00074064+0.0016514i,0.00035626+0.00098547i,0.00078257+0.001172i,0.00055694+0.0017043i,0.00074124+0.001562i,0.0012149+0.00073716i,0.00092217+0.00013504i,0.00065793-0.0002101i,0.00018766-0.00071583i,-0.00030162-0.00046015i,-0.00050639-0.0004358i,0.0001541-0.00077506i,0.00021245-0.0010101i,-0.00087694-0.00067435i,-0.00068932-1.7989e-05i,-0.00021174+0.00014281i,-0.00018682+0.00049452i,-0.0001492+5.5506e-05i,-6.0251e-05-0.00040657i,0.00046073+0.00020424i
-0.00038106+0.00094283i,-0.00061082+0.0017493i,-0.00041369+0.001637i,0.0001704+0.0011945i,0.0010612+0.0011277i,0.0014581+0.00078134i,0.00076197+0.00010754i,0.00080708-0.0010492i,0.00052797-0.001232i,0.00032509-0.0011389i,-0.00020318-0.0014712i,-0.00069351-0.0008181i,-0.00040784-0.00047597i,-0.00049905-0.00054529i,-0.00013708-0.00035469i,0.00019591-0.00056379i,-8.2778e-06-0.00092615i,5.2368e-06-0.00020386i,-1.5943e-05+0.00034078i,-0.00037854+0.00048776i,-0.00073108+0.00085664i,-0.00091029+0.00054296i,-0.00066215+0.00011023i
0.00011967-0.0018072i,0.00087978-0.00096818i,0.00040307-4.0714e-05i,-3.0971e-05+0.0013259i,0.00026743+0.0023174i,0.00040352+0.0026397i,0.00045282+0.0015096i,0.00047878+0.00082369i,-0.00036749+0.00033221i,-0.00063018-0.00018907i,-0.00020949-0.00060177i,0.00011384-0.00069916i,0.00054251-8.6885e-05i,0.0005621+0.00052784i,-0.00022833+0.00041629i,-0.00037769-0.00015842i,-0.00019188+7.5315e-05i,-0.00030485+0.00020891i,-0.000177+0.00020151i,-0.00012354+0.00066242i,8.0349e-05+0.00052707i,0.0006259+0.00014197i,0.0010288-0.00043286i
-0.00023377+0.0017217i,-2.9991e-05+0.0029675i,-0.00029702+0.0025089i,0.0005121+0.0016688i,0.0018393+0.0016675i,0.00094493+0.0015336i,-0.00021709+0.0012915i,-0.00043063+0.00033276i,-6.2417e-05-0.00012578i,0.001089+0.00029236i,0.0012078-0.00048746i,0.00037156-0.00087384i,2.9874e-05-0.00034746i,-2.9926e-05-0.00083753i,-0.00054356-0.0012725i,-0.0010607-0.0012858i,-0.00013436-0.00083686i,0.0012621-0.00043442i,0.0014114-0.00023475i,0.00081792-0.00057105i,0.00090295-0.0010615i,0.00099983-0.00059166i,0.0005668-6.1043e-05i
-0.00018304+0.00070176i,-0.00014425+0.0011002i,-7.3317e-05+0.0018396i,0.00010773+0.0015707i,0.00026133+0.0010274i,0.00076856+0.0010194i,0.0005227+0.0012455i,4.1103e-06+0.00067157i,0.00026588+7.8721e-05i,0.0001859-0.00043652i,0.00017615-0.00096761i,-0.00019036-0.00065358i,-8.5693e-05-0.00048584i,0.00095991-0.00079022i,0.00086517-0.00088259i,-2.3779e-05-0.00074728i,-0.00031182-0.00080996i,-0.00045883+0.00014349i,-0.00024872+0.00084424i,-0.00018986+0.00077668i,-0.00041016+0.00056876i,-0.00028579-0.00011346i,-0.00044094+0.00032341i
0.00087214-0.0028341i,0.00029305-0.0034387i,-0.0002426-0.0024101i,-0.00079991-0.00023959i,-0.0012187+0.0014586i,-0.0015412+0.0015016i,-0.00039422+0.00071452i,0.00082377+0.00028642i,0.00055111-0.00050283i,0.00018249-0.00093553i,0.0004651-0.00082964i,0.00049413-0.00048472i,0.00041822-0.00056452i,-0.00028313-0.00075951i,-0.00043723-0.0004986i,-0.00027578-0.00074512i,-0.00052943-0.00048219i,-5.1262e-05+0.00022298i,-0.00018033-0.00023365i,-0.0003886-0.00048674i,-0.00035772-0.00044942i,-0.00068484+0.0001007i,-0.00043531+0.00072415i
-0.0017665-1.298e-05i,-0.0019865+0.00084125i,-0.00041815+0.0015286i,0.0015134+0.0016566i,0.0023088+0.0011996i,0.0021279+0.00052851i,0.0016063+0.00069901i,0.00086598+0.00064618i,3.3321e-05-0.00026815i,0.00011198-0.00067852i,0.00024705-0.00072554i,-0.00085462-0.00031786i,-0.00068406+0.00027853i,0.00021504+3.2305e-05i,0.00041947+0.00017497i,0.00051571+0.00077492i,-0.00011922+0.00089428i,-0.00069019+1.8664e-05i,-5.0915e-05-0.00039572i,0.00046242+0.0003147i,4.9128e-06+0.00046615i,-0.00069921+0.00011598i,-0.0005285+8.4821e-05i
