-0.0013475+0.00049752i,-0.0023271+0.00074068i,-0.0025175+0.0016245i,-0.0017575+0.0015219i,-0.00066145+0.0017498i,4.7515e-05+0.0018545i,0.00015887+0.00086507i,0.00043943+0.001418i,0.00077314+0.0020406i,0.0013853+0.0016816i,0.0015362+0.0010433i,0.0011086-7.2604e-05i,0.0010484-0.0010181i,0.0011968-0.00080548i,0.00022088-0.00044913i,2.1516e-05+4.0291e-05i,-0.00017154+0.00027963i,-0.00084456+0.00061429i,-0.00060759+0.00089535i,-0.00019538-0.00013262i,-0.00031814-0.00068464i,-0.00091024-0.00049425i,-0.0011318-0.00010017i
0.0010874+0.0010512i,0.00039453+0.00079817i,-0.00055145+0.00043661i,-0.0012505-0.00043359i,0.0007763-0.00027824i,0.0015252-0.00025053i,3.576e-05-0.00026979i,-0.00039259+0.00039749i,0.00043288+0.00096511i,0.0005602+0.00063275i,0.00025397-0.00024726i,0.00014016-0.00094461i,-4.814e-05-0.00044798i,-0.00015277-0.00022115i,0.00063053+4.6505e-05i,0.00097748-9.8539e-05i,0.00012311-0.00046834i,2.9611e-05+5.6812e-05i,0.000664-1.4743e-06i,0.00039559-0.00057383i,5.519e-05-0.00050987i,0.00052719-0.0010052i,0.00064751-0.0012901i
-0.00038936-0.0021334i,-0.0019509-0.0016811i,-0.002545-0.0010026i,-0.0020723+0.00023306i,-0.00035508+0.0022607i,0.0010726+0.0018375i,0.00085991+0.00048025i,0.0001485+0.00046731i,0.00017488+0.00043982i,0.00063139+0.00059307i,0.00096985+0.00074212i,0.0012521+0.00086467i,0.00070519+0.00064172i,0.00034827+0.00029946i,0.0009096+6.6881e-05i,0.00073974+0.0001359i,-2.1826e-05-5.8703e-05i,-0.00037403-0.00044976i,-0.00021194-0.00041982i,-7.0267e-06-2.5714e-05i,-2.0647e-05+0.00064479i,-0.00045499+0.00027401i,-0.0008415-0.00013122i
8.7883e-05+0.0013446i,-0.00077209+0.0017706i,-0.0012658+0.0023139i,0.0001824+0.0021029i,0.0016428+0.0020332i,0.0019789+0.00094665i,0.0010572-0.00077826i,-5.2426e-05-0.00082132i,-0.00057517+7.6079e-05i,-0.00095182+0.00039638i,-0.00033775+0.00032622i,-0.0002261+0.00064925i,-1.331e-05+7.979e-05i,0.0001619-8.2418e-05i,0.00012014-0.00029537i,0.00019938-0.0006197i,-0.00018131-0.00024466i,7.6273e-06-0.00022352i,0.0006785-1.1806e-05i,0.00075621+0.00036128i,0.00089264+0.00025454i,0.0010708-0.00015125i,0.00093716-0.00021554i
0.0015126-6.5934e-05i,-5.2577e-07-0.00046861i,-0.0022544-0.0014118i,-0.0030591-0.0010416i,-0.0019557+0.00028377i,0.00045547+0.0010121i,0.00065001+0.0011969i,-0.00046102+0.00090173i,0.00033886+0.00054503i,0.00017034+1.525e-05i,-0.0004504+0.00027401i,-0.00030401+0.0010669i,-0.00019811+0.00077609i,0.00014839+0.00055782i,0.00078663+0.00050114i,0.00072332-0.00018129i,-1.0302e-05-0.00064274i,-0.00021224+0.00010271i,-0.00038746+0.00082783i,-0.00069556+0.00064249i,-0.00059775-2.5454e-05i,-0.0002419-0.00051608i,-0.00029359-0.00028113i
0.00021367-0.0015528i,-0.00077308-0.0017819i,-0.0014837-0.0009882i,-0.001915-0.00011764i,-0.0010715+0.00087374i,0.00057358+0.00065259i,0.00062207+3.791e-06i,-0.00032211+0.00031758i,-0.00027361+0.00058422i,0.00013552+0.00063383i,-3.063e-05+0.0011167i,-0.0001213+0.0011538i,0.00046715+0.0003175i,0.00042016+0.00014241i,-0.00013936-0.00016052i,-0.00019003-0.00028512i,0.00029513-0.00012757i,-0.00019842-0.00090729i,-0.00021196-0.0009189i,0.00058257+1.4827e-06i,0.00024266+0.00056215i,-0.00019079+0.0012893i,0.00010745+0.0015931i
0.001093-2.7827e-05i,-0.00074354-3.6064e-05i,-0.001327+0.00056833i,-0.00051638+0.0017269i,0.00067696+0.002733i,0.0015582+0.0013631i,0.00075804-0.00064242i,-9.9548e-05+0.0001947i,0.00014236+0.0012801i,-7.2384e-05+0.00086986i,-0.00051976+0.00020505i,-0.00016687-0.00037958i,-0.0001419-0.00063814i,-0.00028912-0.00024482i,0.00023346-0.00045743i,-0.00064682-0.00072758i,-0.001606-0.00052949i,-0.0010818-0.00050762i,-0.00032851-0.00050303i,9.0795e-05-0.00023126i,0.00074023+0.0006065i,0.00073906+0.00088501i,0.00066141+0.00049902i
0.0010497-0.00014687i,0.00083514-0.0011599i,0.00095418-0.0012173i,0.00033031-0.0011845i,0.00027172-0.0011479i,0.0006781-0.0010606i,6.97e-05-0.0010825i,-0.00027329-0.00024483i,-0.00073506+0.00050325i,-0.00035976+0.00053909i,0.00030764+0.00040622i,-0.00043199+0.00034457i,-0.00061472+0.00034749i,-0.00014269-1.0679e-05i,0.00019264-0.00059798i,0.00034358-0.0006555i,0.00010086+2.8337e-05i,-0.00039685-1.6134e-05i,-0.00035081-0.000639i,-0.00021173-0.00038512i,0.00028925-0.00029903i,0.00034511-0.00022077i,-0.00071706+6.6148e-06i
-0.00084729+0.00091037i,-0.00084505+0.0015682i,-0.0011666+0.0024842i,-0.0011323+0.0027374i,-0.0001831+0.0018649i,0.00096152+0.00026893i,0.00082327+0.00037572i,0.00013244+0.0011996i,-0.00015739+0.00084997i,-0.00024124+2.9214e-05i,-0.00065946-0.00050608i,-0.000639-0.00062107i,-0.00049025-0.00026409i,-0.0011944-0.00048701i,-0.0012382-9.33e-05i,-0.00068681+0.0010013i,-0.00057162+0.0010764i,-0.00072366+0.00091927i,-0.00045763+0.00073747i,-0.00031753-0.0002096i,-0.00032634-0.00037652i,-7.6954e-05-0.00012723i,-0.00058894+0.00021761i
-0.0027264-0.0018802i,-0.003065-0.00048903i,-0.0032027+0.0020465i,-0.002307+0.0039621i,-0.00036911+0.0039388i,0.0013013+0.0021736i,0.0010817+0.00070838i,-0.00068045+0.00031275i,-0.0013971+0.00086541i,-0.00074211+0.0010968i,-0.00029191+0.00045219i,0.00012662+3.6491e-05i,0.00026369-0.00050058i,0.00053658-0.00091795i,0.0007711+0.00015351i,-0.00011382+0.00014467i,-0.00081588-0.00085006i,-0.00024362-0.00078098i,0.00034203-8.3745e-05i,0.00071476-0.0001824i,0.00089216-0.00047756i,-0.00080048+0.00032254i,-0.001778+0.00058287i
0.00043915+0.0010299i,-0.00020412+0.00020027i,-0.00052549+0.00018476i,-0.00018768+0.000568i,0.00062777+0.00013968i,0.00040338-0.00064427i,-0.00062809-0.00098423i,-0.00033578-0.0012016i,0.00019545-0.00034123i,-0.00030931+0.000692i,-0.0012151+0.00036046i,-0.0012359-0.0006127i,-9.7756e-06-0.00037147i,0.00052829+0.00031449i,0.00020059+0.00060347i,-0.00021658+0.00074624i,-0.00072045+0.00038739i,-0.00049624-4.9597e-05i,0.00034641-0.00017839i,0.0011475+0.0001887i,0.00088946+0.00032131i,0.00022208-0.0005732i,-9.2234e-05-0.00077433i
