-0.001024-0.00012925i,-0.0018928+5.8044e-05i,-0.0022852-0.000473i,-0.001709-0.00049685i,-0.001715+0.00050968i,-0.0016267+0.0012373i,-0.001081+0.0020979i,-0.00014993+0.0017111i,0.00069337+0.00080423i,0.0012028-4.1209e-05i,0.0012095-0.00085322i,0.00056752-0.00077782i,0.00079053-6.4705e-05i,0.0010365-0.00023189i,0.00026669-0.00041804i,-0.00027821+0.00071181i,-8.2896e-05+0.001345i,0.00054389+0.00044963i,1.3644e-05-0.0001161i,-0.00050206-0.00056291i,-5.174e-05-0.00035842i,-0.00012739+2.3656e-05i,-0.00039512-0.00060664i
-0.0007993-0.00072484i,-0.0014716-0.001533i,-0.0020011-0.0014116i,-0.0015579-0.00038677i,-0.00028866+0.00025093i,0.0010229+0.00085865i,0.0011355+0.00069853i,0.00099614+0.00059079i,0.00080646-7.1994e-05i,0.00023386-0.0012606i,0.00027625-0.0011101i,0.00047572-0.00068031i,0.00042259-0.00069446i,0.00040115+0.00011027i,0.00074254+0.00061244i,0.00048528+0.00018542i,0.00021682-3.7266e-05i,0.00017542+0.00024211i,0.00012453+0.00029221i,-0.00014407+6.425e-05i,-0.00063116-1.0489e-05i,-0.00086646+4.284e-06i,-0.0010048+0.00068927i
-3.0122e-05+0.00084002i,0.0004509-0.0001897i,0.0011231-0.00045304i,0.00052514-0.00060446i,-0.00032124-0.00069593i,-0.0011913+1.6147e-06i,-0.0011742+0.00091544i,-5.4363e-05+0.0010546i,0.00017437+0.00094589i,-0.00025812+0.00023008i,-0.00037441-0.0014129i,3.3535e-05-0.0017483i,0.00028244-0.0011934i,-0.00016144-0.00039135i,-0.00036718-0.00022185i,-0.00068952-0.00063228i,-0.00057036-0.00065404i,6.8178e-05+9.7463e-05i,0.0001481+0.00052107i,-0.00017801-0.00035328i,-0.00017213-0.00082789i,-0.00040007-0.00032035i,-0.0006071+1.3123e-05i
8.2231e-06-0.002518i,-0.0018484-0.0024645i,-0.0037313-0.0021017i,-0.0028102-0.001211i,-0.0010297-9.7683e-05i,-0.00054696+0.00047758i,-0.0004733+0.00064331i,0.001022+0.0011319i,0.0012211+0.00082996i,0.00056887-0.00012932i,7.9809e-05-0.00043612i,-0.00072741-0.00010136i,-0.00083027-5.9522e-05i,-0.00066168-0.00063828i,6.7137e-05-0.00091365i,0.00030146-0.00063662i,-0.00011577-0.00024905i,-0.00076258-0.00013036i,-0.00097521+8.3593e-05i,-0.0002849+2.7318e-05i,0.00023072-0.00010554i,-4.0043e-05-0.00012866i,-0.000992-0.00043187i
-0.00088354-9.0275e-05i,-0.0008597+0.0010937i,-0.00097064+0.00097001i,0.00041399+0.00074207i,0.00091234+0.0010294i,0.0012263+0.00057585i,0.0012136+0.00012283i,-0.00014421+0.00017369i,-0.00043666-0.00065167i,0.00013456-0.0004673i,0.00044419+9.553e-05i,0.00084082+5.0938e-05i,0.00036622+0.00059866i,-0.0002897+0.0010576i,-0.00019549+0.00061168i,-0.0002124+0.00038729i,-0.00060852-0.00016033i,-0.00085046-0.0009435i,-0.00036989-0.00076i,0.00052318-0.00058051i,0.0010604-0.00024957i,0.00058392+0.00012905i,-0.00016309-0.00010455i
-0.00051867-0.00018392i,0.00061994+0.00015575i,0.0010566+5.2478e-06i,0.00083741+0.00035128i,8.6304e-05+0.00013634i,-0.00089668+0.0001371i,-0.001543+0.00049525i,-0.00096067+0.00082458i,-3.5236e-05+0.00073667i,-0.0003687+0.00028194i,-0.00057412+0.00059916i,-0.00065368+0.0001679i,-0.00081416-0.0004909i,-0.0013526-0.00080187i,-0.0008055-0.0012812i,1.6034e-05-0.00073542i,-0.00035363+2.2574e-05i,0.00023836-0.00013848i,0.00083743-0.00040281i,0.00041352-0.00071885i,0.00014449-0.00056943i,6.8661e-05+0.00034445i,2.9752e-05+0.00039595i
-0.00072569+0.0004671i,-0.0010213+0.00039538i,-0.00081685-0.00011402i,0.00050287-0.00083531i,0.00049974-0.00095292i,-0.00028541-0.00034086i,-8.0446e-05+0.00011722i,0.00011794+0.00058311i,-1.1391e-05+0.00034252i,0.00014725-0.00032136i,0.000399+3.4958e-05i,0.00024149+0.00010416i,-0.00022524-0.00089528i,-0.00043432-0.0014416i,-0.00063624-0.00021891i,-0.00063127+0.00035752i,-0.00063872-0.00055368i,-0.00090687-0.0007436i,-0.00048819-0.00062826i,-0.00065973-0.00029598i,-0.00068994-0.00010569i,0.00043258-0.00060494i,0.00055274-0.0007636i
0.0031084-0.00054541i,0.0024982-0.00071291i,0.0022362-0.00022942i,0.0011547+0.00051976i,0.00024087+0.00047369i,-0.00016441+0.00089002i,-0.00061845+0.00049528i,-4.4584e-05-0.00081077i,0.00063362-0.0012207i,0.00018962-0.0010116i,0.00025497-0.0010546i,0.00020644-0.00018936i,-3.049e-05+0.00096702i,2.2672e-05+0.00079334i,-0.00033959-0.00021843i,-0.00010103-0.0008415i,0.00029-0.00067019i,0.00014112-0.00032546i,-0.00047759+0.00028681i,-0.00047369+0.00060745i,5.0709e-05+0.00052057i,0.00079428+0.00061371i,0.0012218+0.00026657i
-0.00014181-0.0012384i,0.0016057-0.0012716i,0.0017483-0.00077422i,0.0012645-0.00063558i,0.00065815-0.00045107i,0.00027083-0.00022754i,0.00047365+0.00025989i,-0.00022365+0.00057399i,-0.00084593+0.0006643i,-0.0005668+0.00030633i,0.00013351-2.0694e-05i,0.00049791+0.00059104i,-0.00022016+0.00030444i,-0.00052545-0.00092826i,0.00069941-0.00076116i,0.00067999-0.00036219i,-4.4916e-06-0.00025936i,0.00054184+0.00037313i,0.0015051-0.00011897i,0.0012875-0.00010975i,7.5983e-05+0.00071506i,-6.4509e-05+0.00013419i,0.00035963-0.00091758i
0.0015552-0.00022292i,0.00038395-0.00019994i,0.00041707+1.1928e-05i,0.0012549+2.1633e-05i,0.00096398-0.00030084i,0.00051663+0.00032908i,0.00013787+0.0012844i,-0.00042099+0.0012316i,-0.00047458+0.00092187i,7.4939e-05+0.0010346i,-9.0975e-05+0.0007969i,-0.00011044+1.2834e-06i,-0.00011444-0.00063267i,-0.00046975-0.00056015i,-0.00053238-0.0010485i,0.0002635-0.00080392i,0.0006343-0.00024183i,-5.5542e-05+5.9648e-06i,9.4103e-05+0.00025874i,0.0006635+0.00024873i,0.00081742-0.00024954i,0.00045317-0.00032624i,0.00031005-0.00014971i
-0.0004534-0.00043716i,0.00054756-0.0011695i,0.00036861-0.00093481i,0.00021561-0.00038681i,-0.0002456-0.00021894i,-7.5067e-05-0.000149i,5.3072e-05-2.9895e-05i,-0.0002363-0.00023678i,-0.00015275-0.00015713i,0.00019017-5.0051e-05i,0.00039935-0.00019531i,8.4082e-05-1.7668e-05i,-0.00070587+0.00012956i,-0.00090133-0.00019882i,-0.00050296+0.00031553i,7.9795e-06+0.00063339i,-1.6538e-05+7.9124e-05i,-9.4678e-05+0.00017071i,0.00038473+3.4695e-05i,0.00077333-8.8219e-05i,0.00052151+0.00054641i,-0.00019403+0.00055103i,-0.00011886+6.0426e-05i
