-0.002697+0.0011295i,-0.0016274+8.8096e-05i,-0.0019039-5.722e-05i,-0.0016071-0.00073394i,-0.0011973-0.00027551i,-0.0010613+0.00074618i,-0.00028604+0.00090743i,0.00039774+0.00077275i,0.00070411+0.0002825i,0.00024423+0.00036137i,-0.00033657+0.00021009i,-0.00097466-0.00054994i,-0.0017426-1.3244e-05i,-0.001673+0.00013886i,-0.00040945-0.00082465i,0.00015363-0.00094745i,-0.00011473-5.9239e-05i,0.00019985+0.00015789i,0.00029198+0.00024732i,9.7871e-06+0.00028978i,-0.00064998+0.00023001i,-0.00093704+0.00044368i,-0.00084065+0.00052364i
-0.0010173+0.00097656i,-0.00075575+0.00090785i,-0.00091885+0.0013198i,-0.00091427+0.0016907i,-0.0012361+0.0012753i,-0.0010916+3.6512e-06i,-0.00071791+2.0104e-06i,-0.00048918+0.00014901i,-0.00060229-0.00046055i,-0.00084972-0.0005262i,-0.00091036+0.00047315i,-0.0008371+0.00022754i,-0.0012511-0.0006096i,-0.0010556-0.0004011i,-0.00033542+1.8528e-05i,-0.00010553+0.0003218i,0.00033848+0.00017068i,0.00039345-8.7976e-05i,-0.00014188-0.00010395i,-0.0001704-0.00010486i,-0.000526+0.00041979i,-0.0002046+0.00050827i,0.00065962+5.4162e-05i
-0.00040466-0.00066505i,-0.00034844-0.0015559i,-0.0002384-0.0009421i,-4.354e-05-0.00026654i,0.00022833-0.0013697i,-4.7418e-05-0.0016373i,-0.00020738-0.00080273i,4.0388e-05-0.00047388i,0.00010513-0.00054442i,-0.00016483-0.00074747i,-0.00061428-0.0006912i,-0.0012757+0.00028799i,-0.0019044+0.0010054i,-0.0015919+0.0010013i,0.00017709+0.00090307i,0.0003414+0.00038506i,-0.00018006+0.00018254i,-0.00035584+0.00036056i,-0.00058843+0.0004787i,-3.5993e-05+5.6143e-05i,0.00037099-7.1136e-05i,-0.0001234-0.00039169i,-0.00057272-0.00057994i
-0.0021843-0.00097599i,-0.0028389-0.0012008i,-0.0030474-0.001497i,-0.0022798-0.00081738i,-0.00057886-0.00024982i,0.00048603-0.00071778i,0.00090767-0.001332i,0.0010029-0.0012633i,0.00022085-0.0012481i,-0.00041079-0.00040166i,-0.00050298+0.00074184i,-3.6522e-05+0.0005278i,-7.7506e-05+0.00014063i,-0.0012553-0.00027382i,-0.0015233-0.00020654i,-0.0011955+2.2018e-05i,-0.00079333-5.3946e-05i,-3.6135e-05-0.00050328i,0.00064727-0.00071696i,0.00083195-0.00099315i,-0.0002135-0.00042474i,-0.00097524-4.8609e-05i,-0.0002876+0.00016304i
0.0014376-0.0010556i,0.0017261-0.0009325i,0.0014424-0.0012363i,0.00076312-0.0010954i,-0.00024946-0.00051378i,-0.0011703-5.8235e-05i,-0.00086786-0.00053511i,-0.00063189-0.00059021i,9.6619e-05-0.00098998i,0.00055292-0.0012126i,-0.00076268-0.00062035i,-0.0018425-0.00037119i,-0.0014889-0.0004638i,-0.0012286-0.00029533i,-0.00098516-0.00038756i,-0.00039906-0.00062879i,-0.00014203-0.00042809i,-0.00040339-5.6709e-05i,-0.0003045+0.00053896i,-0.00027914+0.00035071i,-0.00037198+0.00016481i,-0.00068686-4.2828e-05i,-0.00026513-0.00042358i
0.0016249+0.0009953i,0.00068202+0.0009723i,0.00017363+0.00076346i,0.00020313+0.00019259i,0.00092245-0.0003202i,0.0014142-0.00053592i,0.0013031-0.00071451i,0.0012306-0.00071772i,0.0013199-0.00050119i,0.0010883+0.00018264i,0.00025461+0.00025832i,-0.00028017-0.00043i,-0.00018628-0.00067248i,-0.00020526-0.00080356i,0.00019841-0.00047808i,0.00043481-0.00044572i,-0.00024227+0.00014737i,-0.00042231+0.00096437i,-0.00036904+0.0010191i,-0.0006317+0.00031539i,-0.00083685-0.00016515i,-0.00082164+9.2368e-05i,-0.00013747-0.00013488i
-0.0023256-0.0012689i,-0.0028742-0.00099006i,-0.0033933-6.9007e-05i,-0.0031305-0.00027184i,-0.0019909-0.00036244i,-0.0013435-0.00090367i,-0.00091583-0.0017715i,-0.00086342-0.0011554i,-0.00097348-8.4146e-05i,-0.0013368+0.00069716i,-0.0011256+0.00085082i,-0.00025066+0.00013245i,-0.00020574-0.00042559i,-0.00048294-8.6885e-06i,-0.00057445-4.0292e-05i,-0.00094455-0.00022465i,-0.0005194+3.2839e-05i,2.9629e-05+0.00025308i,1.8463e-05+0.00058736i,-0.0006329+0.00083987i,-0.001117+0.0010162i,-0.00095057+0.0010591i,-0.00090277+0.00023641i
-0.00048668+4.1951e-05i,0.00014911+0.00041085i,0.0016722-5.5257e-05i,0.0026626-0.00055859i,0.0022755-0.0010302i,0.0012517-0.0015638i,0.00047353-0.00067534i,0.00052158-0.0010256i,0.00032902-0.0016861i,-0.00040235-0.00094729i,-0.00039651-0.00021197i,-0.00041125+7.1483e-05i,-0.00020503-0.0002946i,-0.0005723-0.00073468i,-0.0010407-0.00035211i,-0.00021274+4.1169e-05i,-0.00019509+0.00038251i,-0.00070656+0.00066353i,-0.00021544+0.00016163i,2.0314e-05-0.0003197i,-0.00030365-0.00040357i,-0.00033306+0.0001265i,-0.00035968+0.00038951i
-0.0029752+0.0025153i,-0.0017454+0.0029841i,-0.0023422+0.0022554i,-0.0019493+0.0014848i,-3.1526e-06+0.00079347i,0.00035321-0.00057946i,-4.4196e-05-0.0012783i,-0.00010349-0.0013689i,-0.0005037-0.00097674i,-0.00035726-4.7034e-05i,7.5845e-05+0.00034286i,0.00036381+0.00025708i,0.0001343+0.0002061i,-0.00035948+9.9201e-05i,-0.00028745-3.5263e-05i,-0.00014974-0.00012153i,0.00029177-0.00031392i,0.0001738-0.00038911i,0.00030637+8.1082e-05i,0.00026797+4.4506e-05i,-6.1417e-05-0.00046256i,-0.00066731-0.00020992i,-0.00070485+7.2832e-05i
-0.00089846+0.00080288i,-0.0012825+0.0021496i,-0.0023259+0.0016981i,-0.0013429+0.00062019i,-0.00023124+0.00071612i,0.00023538+0.0002391i,0.00077514-0.00049129i,0.00061624-0.0010779i,-0.00052911-0.00093936i,-0.00079128-1.4054e-05i,-0.00091123+0.00040577i,-0.0010376+0.00027067i,-0.0011382-7.7491e-06i,-0.00083272-0.00014459i,-0.00041857-0.00021805i,-0.00098757-0.00036651i,-0.00081272-0.0002092i,-0.0002554+0.00046944i,-0.00012019+0.00095666i,3.7271e-05+0.0006415i,0.00010007+0.00062943i,-0.00011103+0.00076641i,0.00029831+0.00093513i
-0.0012763+0.00023803i,-0.0013413+3.0849e-05i,-0.00025956-0.00074987i,-0.00034853-0.00031336i,-0.00030124+0.00014628i,0.00036024-0.00061444i,0.00077468-0.0019244i,0.00093655-0.0022644i,0.00038029-0.00072492i,-3.5472e-05+0.00012317i,2.3682e-05+0.00012558i,-0.0002106-0.0001954i,-0.00059277-0.00011474i,-0.00074033-0.00024041i,-0.00019279+0.00017207i,0.00027149+0.00038221i,-4.5505e-05-7.9744e-05i,-0.00050897-0.00039936i,-0.00011129-0.0004876i,0.00028093+0.00034049i,0.00014892+0.00048304i,9.4339e-06-0.00015845i,0.00015653-0.00040239i
