-0.0013173-0.00028982i,-0.0023228+0.00070725i,-0.0034089+0.0014125i,-0.001982+0.00073762i,-0.0014581+0.00082404i,-0.0018414+0.0013656i,-0.00096021+0.0014263i,0.00041076+0.0013316i,0.0011284+0.0011836i,0.0011087+0.00021185i,0.0010639-0.00032466i,0.00070819-0.00042964i,0.00065621-0.0011602i,0.00050856-0.00098184i,0.00053676+0.00035685i,0.00031758+0.00050115i,-0.00030827-0.00052049i,0.00044327-0.0010331i,0.0008326-0.00031293i,2.948e-05+0.00035335i,-0.00034927+0.00068476i,-0.00060834+0.00017445i,-0.00032688-0.00020592i
-0.0031927+0.0001656i,-0.0035226+0.0011044i,-0.003103+0.0022864i,-0.0011139+0.0017149i,0.00015198+0.0011492i,9.7235e-05+0.00068847i,-0.00057928-0.00026475i,0.00034478-0.00047184i,0.0010125+0.00037333i,0.00045354+0.00084432i,0.0004774+0.00013814i,0.00088484-0.00059713i,0.0011583-0.00095823i,0.00092219-0.00066788i,0.00057791+1.7506e-05i,0.00072793-0.00018574i,0.0002287-0.00047548i,-0.0006511-0.00056035i,-0.00041589-0.00022684i,-0.00023406+0.00064486i,-0.00035159+0.00065766i,-0.00048216+0.00065473i,-0.00046749-1.2505e-05i
-0.00098063+0.00011731i,0.00013849+0.00081792i,-0.00019933+0.0011412i,-2.7187e-05+0.00075592i,0.00069851+0.00029543i,0.00029256+0.00070994i,-0.00049764+0.0013909i,-0.00043157+0.0017851i,-3.4906e-05+0.0014496i,0.00011855+0.00069098i,-7.3315e-05+6.6372e-05i,-0.00063122-0.00041991i,-0.00048762-0.001026i,-8.3645e-05-0.0015296i,0.00014271-0.0011157i,0.00051048-9.3764e-05i,0.00016513+0.00053448i,-0.0004439+0.00077377i,-0.00050351+0.00039164i,-0.00012168+0.00036155i,0.00025629+0.00049436i,0.00043684+0.00034942i,-0.00012584+0.00039025i
-0.0014868-0.00041768i,-0.0021542+0.00011904i,-0.0019634+0.00077923i,-0.0012945+0.00052357i,-0.00052819+0.00027967i,-0.00021694+0.00048059i,-0.00019815+0.00068579i,8.063e-05+0.00047899i,-0.00020265-0.0010178i,0.00012433-0.0015318i,0.00065-0.00066515i,0.00019939-0.00049147i,-0.0005831-0.00073093i,-0.00036598-0.00051313i,-0.00025232-0.00039379i,1.2517e-05-0.00061761i,-4.0479e-05-0.00074729i,-2.5009e-05-0.00037599i,0.0003339+0.00022667i,-8.1707e-05+0.00032065i,-0.00037197+0.00049228i,0.00012564+0.0012077i,0.00045841+0.00082162i
0.00039733+0.00012572i,0.00068356+0.00034824i,0.0011473+0.00072407i,0.001277+0.00029483i,0.00060513-0.00075836i,-0.00018106-0.00066487i,0.00022114+0.00044947i,0.00045494+0.00042871i,0.00071777-0.00052268i,0.0010286-0.00023076i,0.00022709-0.00024406i,-0.000217-0.00017638i,-0.00037912+0.00075622i,-0.00043609-7.7278e-05i,-3.332e-05-0.0010722i,0.00020492-0.00090009i,0.00025111+7.9723e-05i,0.00016241+0.00028297i,0.00047846-1.3342e-05i,0.00012897-0.00013099i,-0.00072973-6.8908e-05i,-0.0006502+0.00092115i,-2.0151e-05+0.00068328i
0.0028806-0.00029972i,0.0024565-0.00043768i,0.0019179+0.00024203i,0.0010755+0.00010889i,-0.00022366+2.0614e-05i,-0.0009167+0.00044833i,0.00010331+0.00079333i,0.00084519+0.0010321i,0.00037901+0.00053291i,0.00032744+4.7535e-05i,0.00028383-2.9004e-05i,-0.0002638-0.00026179i,-0.0011752+0.00023434i,-0.0019752+0.0010123i,-0.0016375+0.0010168i,-0.0012273+0.00050147i,-0.001278+0.00056642i,-0.00049149+0.00073534i,0.00014158+0.00090416i,0.00043798+0.00081314i,0.00034105+0.00014876i,0.0003015-0.00063358i,0.00054885-0.00098961i
-0.00083947+0.0011996i,-0.0005069+0.0018138i,-0.00019621+0.0012628i,0.00012709+0.0002841i,0.00019121+0.00015547i,0.00011265+0.00046652i,0.00018264+0.00084135i,-0.00030327+0.0012537i,-0.00037325+0.0010595i,-5.5034e-05+0.00064753i,0.00048113-4.7117e-05i,0.00029185-0.0010736i,7.0049e-05-0.0010793i,1.8841e-05-0.00053623i,-0.00019624-3.8203e-05i,0.00029996+0.0002228i,8.9268e-05+0.00029391i,-0.00024512+0.00030544i,-4.4129e-05-2.6577e-05i,-0.00021691-0.00084333i,0.0002889-0.0010497i,0.00032172-0.00023377i,0.00010745+0.00017944i
-0.0038937+0.00015029i,-0.0027739+0.00071675i,-0.0024012+0.0016327i,-0.0018667+0.0013811i,-0.00014795+0.0010116i,0.0012589+0.00082827i,0.0013731+0.00026808i,0.00039696-0.00044339i,0.00017657-0.00082894i,0.00023653-3.7341e-05i,-0.0011281+0.00060178i,-0.00034195+0.00043876i,0.0012572+0.00041051i,0.0010878+0.00042539i,0.00066257+3.9915e-05i,0.00018721-3.6997e-05i,-0.00020852-0.00016423i,-0.0004756-0.00065658i,-0.00039997-0.00069481i,-0.00036074-0.00068561i,0.00018217-0.00047492i,0.00060915-5.8508e-05i,9.1669e-05+2.0675e-05i
-0.0029004+0.00051478i,-0.0018119+0.0012711i,-0.00064147+0.0017417i,-0.00020809+0.0014217i,-0.00017417+0.00092717i,-0.00037806+0.00088549i,-0.00046056+0.0005517i,-0.00012863+0.00015635i,0.00057233-0.00011594i,0.0010507-0.00051631i,0.0012803-1.1539e-05i,0.0016136+0.00030314i,0.0016734+0.00045378i,0.00075495+0.0006147i,-0.00062582+2.9732e-06i,-0.0010847-0.0011893i,-0.00015036-0.001514i,0.00074868-0.00086119i,0.0012516-0.00015277i,0.00077367-0.00042605i,0.00028763-0.00064245i,0.00021544-0.00031169i,0.00051005-0.00012311i
0.00033279+0.00038045i,0.00037195+0.00088972i,0.0001834+0.00022245i,-3.9805e-05-0.00085257i,0.00011319-0.0010467i,-4.7562e-05-0.00048889i,0.00042261+0.00069922i,0.000454+0.00098237i,0.00012096+0.00086055i,-9.3201e-05+0.00056225i,0.00056085+0.00044386i,0.00012038+0.00016766i,-0.0011409-2.6415e-05i,-0.00079795-0.00031602i,5.5551e-05-0.00019172i,0.00041341+0.00016634i,0.00017615-0.00021586i,-9.0307e-05-0.00023708i,-0.00026845+0.00038645i,0.00044313-0.00012269i,0.00093178-0.00054412i,0.00051099-5.9276e-05i,8.9436e-05+0.00058296i
0.00097661-0.00042755i,0.00080718-0.00022352i,0.0010528+0.00073735i,0.00084817+0.0011449i,-0.00036635+0.00076356i,-0.00067234+0.0011161i,-7.5625e-05+0.0019644i,3.4282e-05+0.0014984i,7.2645e-05+0.0002028i,-5.7869e-05-0.00010562i,-0.00032997+0.00050918i,-0.00015301+0.00044507i,0.00078981+5.1817e-06i,0.00083102-0.00019511i,-3.4995e-05-0.00023554i,-0.00047532+0.00031947i,-0.00056039-0.00037553i,6.8761e-07-0.00095378i,-3.3336e-06-0.0003354i,-0.00039283-0.00054471i,-0.00046728-0.0015441i,-0.00084057-0.0018338i,-0.00051237-0.001064i
