-0.00099468+0.0011518i,-0.00068774+0.00031205i,-0.0015758+0.0010156i,-0.0007942+0.0015921i,-6.2757e-05+0.001699i,-0.00046317+0.0014145i,-0.0008362+0.00094393i,1.3471e-05+0.0010585i,0.0010438+0.00081725i,0.00058416-6.9106e-05i,0.00041151-0.00046323i,0.00039711+0.00019312i,-9.96e-05+0.00077718i,-0.0001047+0.00062168i,0.00024137+0.00072742i,-0.00034204+0.00022036i,-0.00047673+0.00022917i,-0.00013341+0.0011931i,-0.00025781+0.0010071i,-0.00013313+2.7632e-05i,0.00030584-0.00056808i,-0.00035959-0.00056122i,-0.0010816-0.00043287i
-4.2645e-05+0.0001774i,-0.00028283-3.2979e-05i,0.0001196+0.0003072i,0.0012314+0.00046695i,0.0010127-0.00025946i,0.0007237-0.00085434i,0.00052395-0.00052344i,0.00027662-0.0005499i,-0.00019359-0.0011414i,-0.00061599-0.00061062i,-0.00067689+0.00063953i,-0.00066243+0.00076693i,-0.00093348-0.00013764i,-0.00084107-0.00076492i,-0.00035086-0.00051909i,-0.00018569+0.00034081i,-0.00038082+0.00052766i,-0.00019836+0.00027954i,0.00043204-0.00018526i,0.00087117-0.00093007i,0.0003947-0.00058705i,-0.00032279+0.00021973i,-0.00015305-0.00036709i
4.4903e-05-8.7663e-05i,0.00033682+0.00086101i,0.0021621+4.3919e-05i,0.0027267-0.00057952i,0.0010516-0.00056029i,0.00032266+7.5768e-06i,0.00071858-0.00032852i,0.00038532-0.0012223i,0.00019358-0.0012552i,-2.7329e-05-0.00093418i,5.6604e-05-0.00042248i,0.00029914+0.00033125i,0.00047327+0.00066402i,0.0010877+0.0012618i,0.00073242+0.0014167i,0.00017145+0.00088547i,0.00036127+0.00038251i,0.00091915+0.0008104i,0.00076631+0.00075523i,0.00019228+0.00012419i,-3.6288e-05-0.00021114i,-0.00081776-0.00018984i,-0.0017087-0.00057804i
0.0010035+0.0015289i,0.00039073+0.0018074i,0.00040782+0.0012992i,0.0013448+0.00010012i,0.0016703-0.0003457i,0.00089747-0.00023578i,0.00079527-0.00036129i,0.00087084-0.00061989i,0.00031437-0.0010421i,0.00011078-0.0012965i,-3.4444e-05-0.00030192i,-1.0937e-05+0.00062542i,-0.00013209+0.00097131i,-0.00065643+0.00041369i,-0.00051662-0.00019495i,-0.00061355+7.516e-05i,-0.0015842+0.00033866i,-0.0013774+0.00025958i,-0.0005647+0.00020735i,4.518e-05+0.00022498i,-8.2075e-05-0.00025569i,-0.00070106-0.00049136i,-3.3644e-05+7.3983e-05i
-0.00022749-0.0013757i,0.00033263-0.00014849i,0.00069092-0.000321i,0.00010943-0.00082834i,-5.8433e-05-0.00026825i,0.00046495+0.00016037i,0.0011668+6.0782e-05i,0.00086502-0.00015755i,3.1486e-05+0.00012862i,-0.00025526+0.00059895i,-0.00051307+0.0013341i,-0.00016491+0.00173i,0.0001167+0.0013169i,-0.00039339+0.0004951i,0.00010122+0.0002302i,0.00044639-0.00021914i,-0.00013016-0.0008417i,-8.0681e-05-0.0012384i,0.00063641-0.0015219i,0.00071338-0.00051318i,0.00051655+0.0003432i,0.00063405-6.2476e-05i,0.00085024+0.00022619i
0.0017897+0.00035246i,0.0010603+0.00022058i,0.00052017+0.00044114i,0.00027369-9.3592e-05i,0.00046527-0.00082416i,0.00057204-0.00018456i,-0.00014442+0.00030565i,-0.00031352-0.00051145i,-0.00068947-0.00086397i,-0.0015089-0.0015543i,-0.0013094-0.00092084i,-0.0012393+0.00023269i,-0.00087513-6.2381e-06i,0.00022829-0.00058961i,0.00074193-0.00062625i,-9.1012e-05-0.00042714i,-0.00047405-0.00039474i,5.4489e-06+4.6577e-05i,0.00010462+0.00036028i,-0.0001891+0.00024177i,-0.00044324+0.00056763i,1.2074e-05+0.00089671i,0.00014386+0.00051402i
2.8464e-05+0.0020547i,0.00041144+0.0018416i,0.0010461+0.001225i,0.00094452-5.6321e-05i,0.0014266-0.001379i,0.00097466-0.00080142i,0.00027315-6.1154e-06i,7.747e-05+0.00031607i,-0.00072123-0.00038112i,-0.00082613-0.0011873i,-0.00054109-0.00087498i,-0.00022148-0.00053475i,-0.00011142+0.00010051i,-0.00022651+0.00066715i,0.00014264+0.00025315i,0.00053735-4.7374e-05i,0.00043372+0.00016953i,0.000232+0.00036185i,0.00028965+3.6817e-05i,1.5621e-05+3.6515e-05i,0.00033746+0.00034053i,0.00071959+0.00052129i,0.00014883+0.00056038i
0.00089959+0.001207i,0.0012063+0.0004944i,0.001638-0.00085166i,0.001009-0.0013131i,0.00043037-0.0013346i,-0.00012016-0.00074869i,-0.00060236-0.00059103i,-0.00052993-0.0011271i,-0.00075148-0.0011548i,-0.00077128-0.0006012i,-0.00027083-7.4957e-05i,-0.00063868+0.00056196i,-0.0008887+0.00093339i,-0.00059012+0.0011627i,-0.00075584+0.00056309i,-0.00030371+0.00030649i,0.00020025+0.0011924i,0.00080102+0.0010904i,0.0010979+0.00033265i,-9.8214e-05+0.00055189i,-0.00096215+0.00038955i,-0.00019672-0.00055373i,0.00011339-3.4104e-05i
-0.00076106-0.0022346i,-0.00068915-0.0022449i,-0.00075367-0.0023604i,-0.00063095-0.0010533i,-0.00064695+0.0001254i,-0.0008196+0.00077105i,-0.00050478+0.00075602i,-0.00034725+0.00021508i,-0.00050136-0.00065756i,-0.00035092-0.00086154i,-0.00038659+0.00011796i,-0.00020226+0.00082624i,0.00041643+0.00088841i,0.00043295+0.00096505i,-2.8338e-05+0.00060721i,0.00013642+0.0004758i,0.00051421+0.00087027i,0.00076945+0.00070898i,0.00041084+0.00016878i,-0.00017227+0.00017433i,-0.0002406+0.00049839i,-0.00022379+0.00071324i,-0.00033179+0.00040057i
-0.0001478-0.00025772i,-0.00052603+0.00071314i,2.7591e-05+0.0013819i,2.7938e-05+0.0013973i,0.000352+0.00044028i,-0.00023726-6.0018e-05i,-0.00047306+0.00030533i,0.00075929+3.0276e-05i,0.0011024-0.00033367i,0.00043522-0.00027498i,8.3884e-05+2.7728e-05i,-0.00016966+0.00016717i,-0.00060996+0.00054176i,-0.00060482+0.00034094i,-0.00036369+0.00038279i,-0.00036689+0.0010326i,0.00023884+0.00071591i,0.00073472+0.00057833i,0.00015838+0.0006209i,-0.00018866+0.00034807i,-4.0801e-05-0.00019308i,0.00011997-0.00014141i,-0.00040833-0.00017519i
-0.00071994+0.001037i,-0.00014397+0.0010424i,7.597e-05+0.0010657i,0.00068262+0.00083418i,0.0017697+0.00036035i,0.0015243-6.2121e-05i,0.00054387-3.8181e-05i,-0.0004725+0.00030773i,-0.00073072+3.1021e-05i,-0.00033266-0.00020141i,-0.0006286-6.5822e-05i,-0.00094963+0.00015474i,-0.00044261+0.00034809i,-0.00010751+0.00049615i,8.5516e-05+0.00045219i,0.00023286-0.00034106i,0.00027391-0.00037535i,-0.00012028+0.00079756i,-0.00025492+0.00066392i,0.0002348+0.00051701i,8.343e-05+0.0006122i,-8.436e-05+0.00045087i,0.00048178+0.00012526i
