-0.00099468+0.0011518i,-0.00068774+0.00031205i,-0.0015758+0.0010156i,-0.0007942+0.0015921i,-6.2757e-05+0.001699i,-0.00046317+0.0014145i,-0.0008362+0.00094393i,1.3471e-05+0.0010585i,0.0010438+0.00081725i,0.00058416-6.9106e-05i,0.00041151-0.00046323i,0.00039711+0.00019312i,-9.96e-05+0.00077718i,-0.0001047+0.00062168i,0.00024137+0.00072742i,-0.00034204+0.00022036i,-0.00047673+0.00022917i,-0.00013341+0.0011931i,-0.00025781+0.0010071i,-0.00013313+2.7632e-05i,0.00030584-0.00056808i,-0.00035959-0.00056122i,-0.0010816-0.00043287i
-0.0017637-0.0018019i,-0.0017425-0.001121i,-0.002694-0.00076876i,-0.0022813+3.9056e-05i,-0.00077705+0.0011901i,-0.0001224+0.0010782i,0.00065731+0.00029626i,0.00042363-0.00037686i,-9.5238e-05-0.0012189i,-0.00032697-0.001336i,-0.00076166-0.00093841i,-0.000627-0.00061218i,-0.00011183-0.00064378i,-0.00010868-0.00022865i,-0.00025325+0.00072351i,-0.00077882+0.0009983i,-0.00079181+8.8527e-05i,0.00034913-0.00062364i,0.0012956-0.00033581i,0.0012893+0.00027922i,0.00052752+0.00016408i,-0.00017042-0.0008985i,-0.00071446-0.001567i
0.00049353+0.00057406i,0.0016952+0.00071758i,0.0022751+0.0017675i,0.0016014+0.0013793i,0.0011586+0.00026829i,0.0014932+9.2746e-05i,0.0010285+0.00050845i,1.5637e-05+0.0005085i,0.00036179-0.00061506i,0.00052214-0.0010115i,-4.2456e-05+0.00023625i,-0.00077438+0.0013907i,-0.0012829+0.0011866i,-0.00098509-6.3281e-05i,3.3121e-05-0.0005229i,0.00015612-0.00042296i,-0.00015031-0.00022706i,-0.0005483+0.00061127i,-0.00048703+0.00054793i,5.9391e-05+0.00048745i,0.00019169+0.00052453i,-0.00039378+0.00046878i,-0.001249+0.00096538i
-0.0017448-0.00060605i,-0.0014879-0.0010862i,-0.00086795-0.00042799i,-0.0001391+0.00032702i,-3.0611e-05+0.00097006i,0.00022293+0.0007235i,0.0013492+2.523e-05i,0.0015505-0.00043976i,0.0010627-0.00069201i,0.00088363-0.00048873i,0.00054507-0.00050771i,-5.5862e-05-0.00073278i,-0.0011777-0.00069839i,-0.0021402-0.00075387i,-0.0013229-0.001164i,-0.00057416-0.0010984i,-0.0013523-0.00074728i,-0.0016241+0.00017927i,-0.0017652+0.0012069i,-0.0010369+0.00054828i,0.00040947-7.0929e-05i,0.00063785-0.00043575i,0.00031548-0.00067474i
-0.0027483+0.0012453i,-0.0028004+0.0017495i,-0.0022459+0.00265i,-0.00074638+0.0029118i,0.00098255+0.0021349i,0.0016119+0.00046515i,0.0013671-0.00074668i,0.00044697-0.00054383i,3.7479e-05-0.00073195i,-1.568e-05-0.0010916i,-0.00032574-0.0011839i,-0.0012385-0.00036214i,-0.0017913+0.0008441i,-0.0004342+0.001503i,0.0005059+0.001007i,0.0003927+0.00049938i,0.00055652+0.00051997i,0.00099869+0.00015529i,0.00093149-0.00074681i,0.00086892-0.00091397i,0.0006367-0.00053416i,-0.00048432-0.0006491i,-0.0008822-0.00080166i
-0.0014677-0.00068683i,-0.001437+7.2684e-05i,-0.0017078+0.00063469i,-0.0015389+0.0012082i,-0.00094645+0.00099549i,-0.00036413+0.0006579i,-0.00022763+8.135e-06i,-8.6859e-05-0.00038438i,7.5469e-05-0.00023752i,-0.00068559+0.00015168i,-0.0011568+0.0010704i,-0.00024131+0.0015923i,0.00042214+0.00082097i,0.00018888-0.00045916i,0.00040408-0.00053706i,0.00091235+0.00034019i,0.0010848+0.00055399i,0.0007777+0.00059149i,0.00072605+0.00077898i,0.00057797+0.000353i,0.00043678+0.00033288i,0.00063005+0.0014101i,-1.2465e-05+0.0014773i
0.001185+0.00016556i,0.0013148-0.00017231i,0.0017451-0.00011038i,0.0012738+4.7557e-05i,0.00033128+1.1283e-05i,-1.6022e-05-0.00071452i,0.00025333-0.0008119i,0.00018091-0.00056185i,0.00021586-0.00062387i,0.00047284-0.00070145i,0.00050262-0.00072454i,4.627e-05-8.1104e-05i,-0.00013919+0.00053478i,-0.0005944+0.00097968i,-0.0010691+0.0007051i,-0.00075942-0.00039251i,-6.739e-06-0.00046528i,0.00022842+0.00052687i,0.00056627+0.0014575i,0.00017065+0.0018383i,-0.0010083+0.0010985i,-0.0012606-0.00010696i,-0.00068483-0.00096349i
-0.00067044+0.0025847i,-0.0010465+0.0024513i,-0.00027738+0.0015538i,0.0012419+0.00050683i,0.0011178+6.0752e-05i,0.00034648+7.3341e-05i,-1.1499e-07-0.00012236i,0.00028614-0.00056338i,-0.00012794-0.0010243i,-0.0012334-0.0015719i,-0.0017289-0.0017988i,-0.0015819-0.00090348i,-0.0013945+0.00031504i,-0.00093578+0.0015069i,6.1966e-05+0.0014843i,0.00019965+0.00030299i,-0.0005483+0.00065323i,-0.000854+0.00074085i,-0.00045842-9.6959e-05i,-0.00017182-0.00043201i,0.00051688-0.00046154i,-8.2961e-05-0.00091571i,-0.00099671-0.0010347i
0.0019752-0.00027807i,0.0019741-0.00086626i,0.0018837-0.0013566i,0.0017023-0.0011568i,0.00035188-0.00081147i,-0.00018167-0.0004455i,0.00028407-0.00067387i,2.1963e-05-0.0012945i,-0.00050167-0.0014467i,-0.00057942-0.0010675i,-0.00052712-0.00023017i,-0.00044067+0.00051468i,-0.00062909+8.7273e-05i,-0.00085228-0.00067051i,-0.00037078-0.00086398i,0.00022927-0.0012504i,-0.0003637-0.0012141i,-0.00042041-0.0011682i,4.5572e-05-0.00089314i,-0.00048604-0.00033644i,-0.00047068-0.00096874i,0.00039354-0.0012672i,0.00094195-0.00023159i
-0.00074463-0.0006603i,-0.00045354-0.00087077i,-0.00084699-0.00098995i,-0.00011491+0.00040077i,0.0004254+0.0018372i,1.3848e-05+0.0017947i,0.0009612+0.00023889i,0.0016109-0.00055736i,0.0010075-0.00040349i,0.00030592-0.00050836i,-3.3416e-05-0.00080746i,5.1016e-05-0.00014072i,-0.0011002-6.3063e-05i,-0.0021384+0.00031708i,-0.0025173+0.001387i,-0.0013602+0.00094189i,-0.00026214+0.00021528i,0.00036106-8.8347e-05i,0.0015866-8.9552e-05i,0.0014937-0.00032118i,0.00079885-0.00018054i,0.00032608+5.7911e-05i,0.00014047-0.00091833i
-0.00043798+0.0016884i,-0.00090397+0.0014821i,-0.00074991+0.000768i,0.00022772-0.0013242i,0.0005191-0.0014851i,0.00032555-0.00021684i,-0.00028653+0.00034225i,-0.00050545+3.4316e-06i,-0.00030356-0.00094245i,-0.00069074-0.0018122i,-0.0013903-0.001494i,-0.0017829-0.00038854i,-0.0014098+0.00069877i,0.0001909+0.0011411i,0.0012381+0.001076i,0.00090261+0.00080501i,-8.8844e-05+0.0012374i,-0.00038735+0.0020109i,-0.00059603+0.0018333i,1.3952e-05+0.00085515i,0.00034186+0.00058697i,-0.00057532+0.00075282i,-0.0011455+0.00018416i
-0.00011174-0.0013299i,-0.00023256-0.00016661i,-0.001046+0.0015977i,-0.0022794+0.0015305i,-0.0023887+0.00065797i,-0.00073026+3.4094e-05i,0.00079278-0.0010471i,0.00091243-0.0012811i,0.00021981-0.00083172i,-0.00068954-0.00070131i,-0.00090077+0.00059137i,-0.00023459+0.00077179i,0.00062364+0.00069286i,6.7586e-05+0.001359i,-0.00050934-5.1654e-05i,-0.00053378-0.00093173i,-0.00024771-0.00030834i,0.00023178+0.00023949i,-0.0001405+0.00071344i,-0.00076703+0.00084261i,-0.0010338+0.000542i,-0.0002897-9.4075e-05i,0.00024361-0.00039287i
-0.002673-0.0034894i,-0.0021243-0.0029071i,-0.0010551-0.0020651i,-0.00051841+0.0002012i,-0.00058805+0.0022234i,7.5502e-06+0.0020906i,0.00032548+0.00094459i,0.00064526+0.00070934i,0.00070364-0.00044308i,0.0010993-0.0018261i,0.0015586-0.00074005i,0.00138+0.00087592i,0.0013995+0.0011897i,0.0014507+0.0012205i,0.00046065+0.0014211i,-0.00047402+0.00076503i,-0.00094488+0.00035595i,-0.00090609+0.00055381i,-4.2777e-05+0.00012281i,0.00030781-0.00079116i,0.0001361-0.0011852i,-0.00059107-0.0013716i,-0.00096009-0.00063506i
6.4378e-05-0.0010138i,-0.0006767-0.0010488i,-0.001428-0.0018448i,-0.00064959-0.002076i,4.4305e-05-0.00106i,0.00053612+0.00013809i,5.1555e-05-0.00025064i,0.000327-6.7674e-05i,0.00026494+2.3817e-05i,-0.00044525-0.0010545i,-0.00072771-0.0014684i,-0.00070446-0.00097392i,0.00036247-0.00023303i,0.001324-0.00011806i,0.0017457-0.00079596i,0.0012978-0.00074515i,0.00068301-0.00027709i,0.0014686+0.00043542i,0.0017467+0.0011782i,0.00026403+0.00086834i,0.00022355+0.00028843i,0.0005675-0.00021247i,-0.00017607-0.00055021i
-0.00013142+0.00044637i,0.00021421+0.0018283i,0.0004469+0.002322i,-0.0002088+0.0017584i,0.00029154+0.0018684i,0.00085514+0.00085912i,0.00050775+0.00014993i,-0.00031545+0.00030785i,-0.0003343-0.00035848i,-4.2046e-05-0.00081155i,-0.00092271+0.00021874i,-0.0017211+0.00086979i,-0.001605-0.00046526i,-0.00023027-0.0012835i,0.00047862-0.00086927i,0.00024246-0.00047159i,-0.00010565-0.00037757i,-0.00020393+0.00012218i,0.00028887+0.0007351i,0.00021271+0.00098429i,-0.00013811+0.0005973i,0.00033694-0.00010389i,0.0002934-0.00065677i
0.00040415-0.0021599i,0.00085767-0.0028478i,0.0011322-0.002779i,0.0017613-0.001607i,0.0017298+0.00010226i,0.0014919+3.6422e-05i,0.0014749-0.0008796i,0.0017534-0.00091747i,0.0016108-0.00089174i,0.00034425-0.00098358i,-7.0345e-05-0.00073735i,9.1784e-05+1.3515e-05i,-0.00075864+0.00028999i,-0.0016781+0.00065166i,-0.00098395+0.0017956i,-0.00054146+0.0019206i,-0.0015134+0.0011539i,-0.0019528+0.00055725i,-0.0016557-0.00015874i,-0.0011004-0.00088985i,-0.00098148-0.0013434i,-0.0016056-0.0013412i,-0.00077987-0.00087359i
-0.00063917-0.0015687i,-0.0013456-0.0020564i,-0.0027952-0.0026466i,-0.002553-0.002857i,-0.0012735-0.0021287i,-0.0012841+5.4489e-06i,-0.0013788+0.0013065i,-0.0012436+0.0010409i,-0.00079931+2.6418e-06i,-0.001081-0.00080495i,-0.0021962-0.00034161i,-0.0024106+0.00029066i,-0.0019481+0.00093764i,-0.00090082+0.0013566i,2.7408e-05+0.0010925i,-0.00039782+0.00042831i,-0.00035352-0.00058851i,6.3837e-06-0.00094765i,0.00064866-0.00091809i,0.0011995-0.00064884i,0.00047699-0.00026098i,-0.0004902+0.00052081i,-0.00034124+0.00011989i
0.001067-0.0026633i,0.00014679-0.00084971i,-0.00070716+0.0012785i,-0.0019849+0.0027913i,-0.0028187+0.0022954i,-0.00046331+0.0017305i,0.0013568+0.0009647i,0.0016624-0.00028097i,0.0012469-0.0013988i,0.00059006-0.00074692i,0.00030041+0.0020072i,-0.00015224+0.002931i,-0.00027786+0.0018687i,-3.4092e-05+0.00049481i,-0.00016572-0.00045629i,-8.4419e-05+0.00028442i,0.00080963+0.00073585i,0.0014287+0.00038408i,0.00095618+0.00019088i,0.0010993+0.00041536i,0.0015759+0.00076838i,0.00068764+0.00091805i,-0.00064788+6.1157e-05i
-0.0008126-0.0017204i,0.00028196-0.0018756i,0.0021606-0.0031418i,0.0042772-0.0025919i,0.0036171-0.00047601i,0.0011704-0.00060682i,0.00044991-0.00092043i,7.1923e-05-0.00052656i,-0.00052597-0.0003711i,-3.4872e-05-5.9311e-05i,-0.00016834-0.00020138i,0.00014438-0.00030784i,0.0016441-3.5555e-05i,0.0020446+0.00075498i,0.002011+0.0009331i,0.0018772+0.00047299i,0.00090805+0.001797i,1.6821e-05+0.0029674i,-0.00056922+0.0028599i,-0.0006168+0.0025805i,-0.00097559+0.0014036i,-0.0011353+3.5788e-05i,-0.00026048-0.00045896i
-0.0041475-0.00097119i,-0.0057989+2.5214e-05i,-0.0070976+0.00084745i,-0.0060811-1.5989e-05i,-0.0032935-0.00017521i,-0.00055687+0.0018785i,0.00046942+0.001562i,0.00062496-0.00011675i,0.0002876-0.00043792i,-0.0002655-0.00059644i,-0.00031193-0.00094048i,-0.00024859-0.0011874i,-0.00033188-0.00070542i,0.00040784-0.00038996i,0.0017648-0.00021629i,0.0014879+0.00031923i,-0.00015285+0.00043047i,-0.00084242-9.3225e-05i,-0.00063484-0.00054348i,-0.00042416-0.00066282i,4.6147e-05-0.00079196i,0.00019813-0.00084056i,0.00017182-0.00074248i
0.0034458-0.00028076i,0.0041087+0.00058748i,0.0043492+0.0020338i,0.0034247+0.0034127i,0.0011407+0.0019502i,0.0002149+0.0001793i,0.00067371+0.00046166i,0.00012659+0.0013683i,4.4985e-05+0.00084052i,0.00029594+9.3569e-05i,-0.00048891+0.00046708i,-0.001346+0.00095387i,-0.0015389+0.00050247i,-0.001381+0.00012104i,-0.0010875-3.9836e-05i,-0.0010787-0.0001112i,-0.0012046-1.9366e-05i,-0.0010843-0.00018664i,-0.00098432-0.00039872i,-0.00066118-0.00073436i,-0.00034921-0.00088855i,0.00021698-0.00052419i,0.001-0.00015345i
-0.0010448+0.00082792i,-0.00080424+2.1115e-05i,0.00022357-0.0016293i,0.0028779-0.0025685i,0.0037436-0.00086004i,0.0015385-0.00012258i,-0.00027537-0.0015582i,0.00013191-0.0018151i,0.00096593-0.0013203i,0.00046639-0.001849i,-0.0003968-0.0017388i,-0.00057507-0.00066236i,-0.0010351-0.00020106i,-0.0011537-0.00011902i,-0.00062858-3.3748e-05i,-0.00040538-0.00050773i,-7.0412e-05+0.00017511i,0.00078+0.0012168i,0.0029799+0.0017271i,0.002842+0.0012005i,0.0005153+0.00055065i,0.0001119+9.1259e-05i,-8.5713e-05-0.0010797i
0.00042653-0.00084411i,0.00041674-0.00022064i,-0.0030812-0.00089714i,-0.0052727-0.0025564i,-0.0027863-0.0026852i,-0.00061558-0.00095397i,-0.00038973-0.00012029i,-0.00060131-0.0013719i,-0.00088715-0.0015913i,-0.0018607-0.00067209i,-0.0022463-0.00058966i,-0.001517-0.00052441i,-0.0010998+0.00036646i,-0.00047697+0.0006072i,-8.6612e-05+0.00065709i,-0.00016352+0.00099508i,-0.00064759+0.000837i,-0.00071138+0.0006369i,-0.00072126-8.7346e-05i,-0.00096302-0.0005026i,-0.00096166-0.00068429i,-7.4718e-05-0.0011474i,0.00073388-0.00084031i
0.0032128-0.0020001i,0.0042609-5.4056e-05i,0.0063844+0.00080348i,0.0058746+0.0023197i,0.0028618+0.0025048i,0.0013018+0.00024917i,0.0012581-0.0002793i,0.0013472+0.00036663i,0.0013127-2.03e-05i,0.00077257-0.00013041i,0.0001524+0.00059536i,8.2695e-05+0.0023919i,0.00057575+0.002384i,0.00052415+0.0018185i,9.6638e-05+0.0020044i,-0.00031063+0.0019084i,-0.0016516+0.00209i,-0.0019727+0.0027997i,-0.0012352+0.0024989i,-0.0006188+0.001617i,-0.00030549+0.00094166i,6.2627e-05+0.00016343i,0.0012834-0.00036871i
-0.00011972-0.0043293i,-0.00069143-0.0061581i,-0.0016316-0.0081491i,0.00018811-0.0073144i,0.00098741-0.0037503i,-0.00069516-0.0012414i,-0.0010631-0.0011876i,0.00024026-0.0013456i,0.00033738-0.0011917i,-2.8317e-05-0.0011943i,0.00088433-0.00076245i,0.0019536-0.00024477i,0.0015417-0.00025681i,0.0005868-0.0006975i,0.00080382-0.00066815i,0.0014548+0.00016864i,0.00092859-0.00013602i,0.00037999-0.0014097i,0.0015183-0.0012677i,0.0023075-0.0001155i,0.0025361-0.00026429i,0.0012267-0.00080446i,-0.0012519-0.00069442i
-0.00040827+0.002697i,-0.0014026+0.0034339i,-0.0049121+0.0040212i,-0.0063973+0.0022797i,-0.0039779-2.0054e-05i,-0.001728+0.00069621i,-0.0012113+0.0019121i,-0.00065849+0.0011119i,-0.00042057-0.00025638i,-0.00035013-0.0009837i,-0.001171-0.00064436i,-0.0021046-0.00029134i,-0.0011789-0.0004528i,-0.00037494+0.00035125i,-0.0006015+0.00016434i,-0.00047695-5.7839e-05i,-0.00047843+0.00044062i,-0.00037136+0.00048901i,-0.00022842+0.00019085i,-0.00071913+0.00028908i,-0.00079831+0.00023038i,-3.3937e-06+0.00035948i,0.0005097+0.00065053i
-0.0026606+0.00015118i,-0.00023679-6.1252e-05i,0.0045883+0.0033171i,0.0068259+0.007338i,0.0053614+0.0055564i,0.0038954+0.0011515i,0.0032071-0.001047i,0.001309-0.0008364i,-0.00018969-0.00036149i,0.00083436-0.0009477i,0.0015167-0.00088854i,0.0006355-0.000412i,0.00010633+1.9283e-05i,0.00048771+0.00061962i,0.00049328+0.00081128i,0.00035119+0.00055437i,0.00083081+0.0010787i,0.0018034+0.0020634i,0.0027193+0.0026953i,0.0025706+0.0023293i,0.0018419+0.0015724i,0.0013693+0.00033084i,0.00097703-0.00091173i
0.00049737-0.0037965i,-0.00099166-0.0058669i,-0.0029265-0.0090822i,-0.0018033-0.010833i,0.00033678-0.006595i,-0.0005275-0.0019436i,-0.0024534-0.00041717i,-0.0020826-0.00027978i,-0.0011484-0.0010497i,-0.00096535-0.0019305i,-0.00081778-0.001835i,-0.00044362-0.0017174i,-0.00022212-0.0017525i,-0.00070917-0.00085976i,-0.00078979-0.00062665i,-0.0005941-0.00095439i,-0.0010848-0.00082753i,-0.0020433-0.00029619i,-0.00188-0.00045322i,-0.00042979-0.00085637i,-0.00014154-0.0002223i,-0.00089162+2.6642e-05i,-0.0015001+0.00053651i
-0.00032051+0.0010202i,-0.0025412+0.0039551i,-0.0056816+0.0076559i,-0.0076571+0.0083876i,-0.0060256+0.0052639i,-0.0022342+0.0027243i,0.00029043+0.0026893i,0.00060802+0.0023398i,0.00046877+9.4792e-06i,-0.00034742-0.0012839i,-0.0017127-0.0010176i,-0.0020606-0.00020967i,-0.0025952+0.0012451i,-0.0028395+0.0022235i,-0.001557+0.001949i,-0.0012422+0.00077134i,-0.0024538-0.00015889i,-0.0021172+0.00035232i,-0.0012809+0.00071557i,-0.0010258+0.00010107i,-0.00017076-0.00044864i,0.00068622-0.0011525i,0.001091-0.0015649i
-6.082e-05-0.00031456i,0.0044951-0.0014953i,0.009062-0.00040295i,0.011026+0.0017941i,0.0080012+0.0017448i,0.0039084-0.0013332i,0.0023643-0.0034872i,0.0013118-0.0023667i,0.0004777-0.0013224i,0.00029613-0.00043895i,-0.0003992+0.00064172i,0.00048125+0.0016494i,0.0014379+0.0019192i,0.0012934+0.00056627i,0.0015701+0.00033629i,0.0023416+0.0010026i,0.0027568+0.0005659i,0.0030093-0.00068845i,0.0024642-0.0011404i,0.0010173-0.00027449i,-0.0004291+0.00019089i,-0.0012928-0.00011927i,-0.0013666-0.00084314i
-0.00072452-0.0023741i,-0.0034653-0.0025445i,-0.0069542-0.0075682i,-0.006275-0.011192i,-0.0039634-0.0080723i,-0.0027821-0.0020607i,-0.0020964+0.0007209i,-0.00072005+0.00024232i,0.00029542-0.00053963i,-0.00047145-0.0012838i,-0.00062749-0.0010448i,-0.00028632-0.0004994i,-0.00056106-0.00039577i,-0.0012143+7.0939e-05i,-0.0013879-0.00054373i,-0.00032456-0.00096824i,-8.8264e-05-0.00070637i,-0.00086771-0.00034402i,-0.0012944+1.1725e-05i,-0.00035496-2.8904e-05i,0.00050902+0.00015084i,0.00052418+0.00086492i,0.00026314+0.00090112i
0.00017501+0.0011338i,-0.00013029+0.0045371i,-0.0021369+0.0087629i,-0.0053065+0.011591i,-0.0039439+0.0088233i,0.0016974+0.0042261i,0.0037424+0.0031487i,0.0019854+0.0022576i,0.00039141-2.779e-05i,-0.00074796-0.0018075i,-0.0017489-0.0025205i,-0.0016135-0.0015931i,-0.001095+0.00027392i,-0.00095622+0.0014242i,-0.00090084+0.001898i,-0.00059415+0.0026271i,-0.00053402+0.0032535i,-0.0012076+0.0036677i,-0.0011937+0.0034918i,-0.000705+0.0022894i,-0.00067904+0.00062799i,-0.001127-0.0011098i,-0.0012884-0.0017292i
0.0038894-0.0035235i,0.0065866-0.0066272i,0.010296-0.0082995i,0.01186-0.0058343i,0.0068095-0.0029796i,0.00015967-0.0036161i,-0.00067384-0.0049613i,0.00064865-0.0035384i,-0.00010614-0.0015479i,-0.0013082-0.0012748i,-0.0011082-0.00070945i,0.00015882+0.00060983i,0.0022638+0.00049015i,0.0030029-0.0010334i,0.0030199-0.0022143i,0.0021742-0.0029988i,0.00054316-0.0024957i,0.00023283-0.0012249i,0.00034978-0.00086807i,0.00039738-0.00049472i,0.00061996+0.00064991i,-7.801e-05+0.0018913i,-0.00084911+0.0017536i
-0.00039821-0.00021529i,-0.0049225-0.0016648i,-0.0099129-0.006813i,-0.011437-0.01087i,-0.0081988-0.0079095i,-0.0049624-0.0005959i,-0.0036013+0.002975i,-0.0015832+0.0020386i,0.0004851+0.00028949i,0.00024185-0.00096182i,-0.00051147-0.0013799i,-0.0011112-0.0010649i,-0.0021157-0.0012255i,-0.0027192-0.00089809i,-0.0024651-6.7245e-05i,-0.0017886-0.0005726i,-0.0023517-0.0014361i,-0.0020317-0.00095289i,-0.00027822+0.00028804i,0.00058277-0.00041758i,0.0011887-0.0020843i,0.001194-0.0028422i,0.00028662-0.0020192i
0.0020846-0.0026614i,0.0032297+0.0019199i,0.0046538+0.0093129i,0.0031465+0.013661i,0.0016735+0.0094685i,0.0038117+0.0034915i,0.0056706+0.0012529i,0.0039381+0.00035781i,0.0010006-0.00021462i,-0.0016252-0.0010822i,-0.0035826-0.00095885i,-0.0040272+0.00059052i,-0.0026864+0.0025489i,-0.00075701+0.0041612i,0.0011989+0.0044062i,0.0027674+0.0040396i,0.0029456+0.0029755i,0.0033786+0.0022061i,0.0034399+0.0013075i,0.0021664-0.00027978i,-0.000244-0.00019818i,-0.002507+0.00047135i,-0.0018731+0.00064968i
0.0023235+0.00033124i,0.0045564-0.0041867i,0.011127-0.010458i,0.01532-0.01107i,0.0095952-0.0070121i,-0.00014839-0.0053303i,-0.0037714-0.0056487i,-0.0016664-0.0049998i,0.00021638-0.0035249i,0.0008029-0.0016545i,0.0010717-2.6754e-06i,8.2835e-05+0.0014705i,-0.0003631+0.0008067i,-0.00070404-0.0012844i,-0.00058086-0.0027641i,-3.5642e-05-0.0025655i,-0.0006863-0.00088292i,-0.0016767+0.00090017i,-0.0013232+0.0017702i,3.7667e-05+0.00083666i,0.0012447-0.00011964i,0.0021493+0.00052765i,0.0023367+0.0005901i
-0.0042547+0.0021652i,-0.0075587+0.0022905i,-0.014417+0.0014447i,-0.017194-0.0021686i,-0.010969-0.0015702i,-0.0044773+0.0032619i,-0.0022445+0.0052153i,-0.00088645+0.0032211i,0.0014232-9.2397e-05i,0.0027379-0.0015761i,0.0010176-0.0014941i,-0.00089433-0.0018118i,-0.001818-0.0018048i,-0.0028261-0.00017712i,-0.0033311+0.0016403i,-0.0031431+0.0014516i,-0.0025635+0.00057758i,-0.0025387+0.0011398i,-0.0024019+0.0013587i,-0.0023248+8.6597e-06i,-0.0024366-0.0010843i,-0.0027686-0.0015574i,-0.0020686-0.0016633i
0.0011033+0.0016937i,0.0052223+0.0056259i,0.0090158+0.01371i,0.0081266+0.016947i,0.0062099+0.0095931i,0.0066823+0.00012596i,0.0073396-0.0034672i,0.0056062-0.0022296i,0.0025973-0.0012455i,0.00037071-0.0018782i,-0.00039379-0.0015835i,-0.0004016-3.1826e-05i,0.00043645+0.00077289i,0.0016787+0.0014244i,0.0025334+0.0013181i,0.0030073+4.4569e-05i,0.0024039-0.00097934i,0.0014978-0.0022126i,0.00098763-0.0026001i,0.00015778-0.001031i,-0.0001795+0.0006582i,1.5094e-05+0.0012028i,0.00021915+0.00064906i
0.002437-0.0012936i,0.0033655-0.0068039i,0.0069785-0.013541i,0.012061-0.015187i,0.0084032-0.0098139i,-0.0019975-0.0041792i,-0.0074694-0.0020479i,-0.0057131-0.0010297i,-0.0024748-0.00028675i,-0.0011013+0.00025246i,-0.00072622+0.00054685i,-0.00023989-0.00015217i,-0.00026695-0.0010109i,-0.00045916-0.0020822i,-0.001155-0.0026408i,-0.0017323-0.0019364i,-0.00084989-0.0014203i,0.00065158-0.00070907i,0.0018274-1.4574e-05i,0.0022899-0.00056065i,0.0017271-0.00087154i,0.0013877-0.0012337i,0.0013672-0.0018777i
-0.0003673+0.0019379i,-0.0039658+0.0033339i,-0.013568+0.0035778i,-0.019076+0.0017956i,-0.010785+0.0025436i,-0.00018842+0.0065289i,0.0034249+0.0081056i,0.0025022+0.0060625i,0.001675+0.0022852i,0.0013252-8.4823e-05i,1.7817e-05-0.00069342i,-0.0023911-0.00039999i,-0.0045105+0.00064811i,-0.0047347+0.0027285i,-0.0031766+0.0043785i,-0.0016147+0.0041186i,-0.0012536+0.0041257i,-0.00057828+0.0043043i,0.00033446+0.0035163i,-8.6988e-05+0.0027984i,-0.0015434+0.0026182i,-0.0026212+0.0021859i,-0.0027019+0.001633i
0.0021151+0.00020187i,0.0067945+0.0031087i,0.013548+0.010823i,0.015394+0.015962i,0.010047+0.009036i,0.0050975-0.003455i,0.003718-0.0089866i,0.0035668-0.0065735i,0.0017516-0.0035204i,-0.00091721-0.0017206i,-0.0026003-0.00057705i,-0.0018997+0.0010983i,-0.00017514+0.0024544i,0.0012845+0.0012998i,0.0025618-0.000309i,0.002877-0.00064844i,0.0015083-0.00053225i,-0.000878-0.00034814i,-0.00202+0.00042003i,-0.00068867+0.00076626i,0.001591+0.00091962i,0.0025992+0.00078474i,0.0019989+0.00020436i
-0.0022733-0.00083943i,-0.0040953-0.0057122i,-0.0011441-0.015007i,0.0035353-0.019544i,0.0017479-0.011858i,-0.0044531-0.0014601i,-0.007303+0.0026384i,-0.0052145+0.0014406i,-0.0012995+0.00060598i,0.00080792+0.00062186i,0.0011312-0.00011827i,0.0011605-0.0012934i,0.00019112-0.0023604i,-0.0016202-0.0026186i,-0.0029686-0.0018728i,-0.0035921-0.00099523i,-0.0022439-0.0017557i,-0.00022637-0.0024284i,0.0001958-0.0015238i,-0.0011929-0.0011276i,-0.0026204-0.0014738i,-0.0025908-0.0026499i,-0.0012218-0.0027513i
0.00072727+0.0033566i,-0.0038462+0.0092781i,-0.014035+0.013843i,-0.018469+0.011433i,-0.0087355+0.007593i,0.0045946+0.0060126i,0.0094601+0.0062445i,0.0067158+0.0048998i,0.0031374+0.00097132i,0.0013238-0.002408i,8.2874e-05-0.0023262i,-0.001011-6.9019e-06i,-0.0022124+0.0019156i,-0.0017893+0.0032359i,-8.0688e-05+0.0036294i,0.0016259+0.0025966i,0.0024876+0.001865i,0.0018418+0.0013026i,0.0016761+0.00034742i,0.0015641-0.0003745i,0.0011655+0.00010179i,0.0011508+0.00054709i,0.00039942+0.00051711i
-0.00040296-0.0016617i,0.007831-0.0011892i,0.019436+0.0047943i,0.021926+0.012041i,0.012316+0.008497i,0.002435-0.0026594i,-0.0012524-0.0087814i,-0.0010169-0.0073666i,-0.0011099-0.0047046i,-0.0023464-0.0024742i,-0.0023154-0.00050416i,-0.0010611+0.00089855i,0.00084745+0.0013286i,0.0025503+0.00029929i,0.0025896-0.0023423i,0.0016003-0.0038757i,0.00099836-0.0024592i,0.00085344+0.00097583i,0.00073623+0.0033199i,0.00059996+0.0027718i,0.00047043+0.0002849i,0.00012113-0.0013892i,0.0010192-0.0013782i
