-0.0021892-0.0024327i,-0.003469-0.0042136i,-0.0032656-0.0037917i,-0.0027829-0.0031676i,-0.0026176-0.0021195i,-0.0019419-0.00031724i,-0.00067748+0.00073262i,0.00044118+0.001597i,0.0009076+0.00155i,0.00048927+0.00066869i,0.0001612-8.868e-05i,0.0003912+0.00020194i,0.00087546+0.00024433i,0.0015452+0.00065385i,0.0014996+0.0012609i,0.0010567+0.0014628i,0.00063179+0.00080271i,2.6569e-05+0.00019225i,-0.00022148-6.9253e-05i,0.0001966+5.1142e-05i,-2.3336e-05-3.6581e-05i,8.7431e-05+0.0002206i,0.00081838-4.7338e-06i
0.00019852+0.0035179i,0.0010824+0.004104i,0.0037464+0.0027341i,0.0041317-0.00052751i,0.002347-0.0025579i,0.0010403-0.0029076i,0.00063949-0.0013778i,-0.00018564-0.00012911i,-0.00072549-0.00018253i,0.00021887-0.00064417i,0.0012107-0.00071628i,0.00068106-0.00054431i,-0.0001651-0.0010829i,-0.00026462-0.0013557i,0.00034769-0.0010656i,0.00081612-0.00090034i,-0.0001811-0.00047795i,-0.00010823-0.00014239i,0.00074585+5.6726e-05i,0.00051763+0.00072466i,0.00011633+0.00074793i,-0.00039809+0.00057725i,-0.00078758+0.00046934i
0.0025054-0.00056561i,0.003288-0.0018632i,0.0023754-0.0028799i,0.0010119-0.0024744i,0.00062996-0.0019009i,0.00022364-0.00077374i,0.00018065+0.00029912i,0.00014499+0.00041995i,0.00020058-0.00023965i,0.00042477-0.00017742i,0.00062146-0.00036738i,0.00041822-0.00034897i,-0.00010478+0.00015157i,-0.00031847+0.00033317i,-0.00062602+0.00054322i,-0.00084832+0.00043249i,-0.00071781+0.00026033i,-0.00027439+0.00088008i,0.00029726+0.00071497i,-4.6172e-05+0.00029481i,-0.00013476-0.00012309i,0.00081233-0.00030147i,0.00060492-3.495e-05i
0.00014605+0.00094507i,0.00024903+0.00069326i,0.00093688-0.001342i,0.0017644-0.0016718i,0.00088487-0.0010888i,-0.00050985-0.0014019i,-0.00095816-0.00092612i,-0.00083662-0.0005518i,-0.00060773-0.00036401i,-6.1919e-05-0.00010193i,0.00057114-0.00020905i,0.00034486-0.00030122i,-0.00024823-0.00023883i,-0.0001665-0.00025386i,0.0003813-0.000107i,0.00039977-1.572e-05i,0.00016083-9.7679e-05i,0.00025416-0.00031245i,0.0002281-1.6197e-05i,-0.00030153-5.2515e-05i,-0.00067499-0.00063201i,-0.0006592+2.9498e-05i,-0.00062815+0.00065002i
-0.002833+0.0011574i,-0.0029041+0.0009659i,-0.0015636+0.00022622i,-0.00065116-0.00096973i,-0.00018869-0.0014486i,0.00011258-0.00065381i,0.00049524-0.00016899i,0.00045166-0.00040564i,0.00037755-0.00032465i,0.00013238+0.00046909i,-0.00013356+7.7607e-06i,-0.00011354-0.00072402i,0.00039214-0.00011082i,0.000214+0.00085579i,0.00045928+0.00047459i,0.00083537+0.00025084i,0.00029631+0.00044519i,-9.3343e-05+0.00021552i,-0.00024848+0.00018782i,-0.00051452+0.0002527i,-0.0003744+6.6873e-06i,-7.1074e-05-0.00061582i,1.8452e-05-0.00054842i
0.00047391-0.0020911i,-9.1464e-05-0.0022738i,-0.00035122-0.00097161i,0.00046195-0.0012139i,0.0013444-0.0018248i,0.00090597-0.0016442i,0.00030624-0.00030604i,-8.7452e-05+0.0002326i,-0.00015697-0.00053306i,0.00042016-0.00040737i,0.00056643-0.0004362i,0.00052478-0.00037946i,0.00063587-0.00037228i,0.00094638-0.00088153i,0.0010602-0.00096034i,0.00041004-0.0004291i,-0.0001969+0.00039819i,0.00012545+0.00039835i,2.7199e-05-0.00015891i,1.1295e-05-0.00025619i,9.1146e-05-0.00042787i,-2.8901e-05-0.00011927i,-0.00012209+0.00019949i
-0.00074098-0.00063207i,-2.5143e-05-0.00010932i,0.0006169+0.00013559i,0.0014947-0.00067891i,0.00054176-0.0012227i,0.00045277-0.00049561i,0.00080224+0.00050523i,0.0001923+0.000489i,-0.00073432+0.0007647i,-0.0014022+0.00093235i,-0.00065067+0.00049714i,0.00058899+0.00027797i,0.00072641-6.5356e-05i,0.00059718-0.00090078i,0.0011103-0.0010387i,0.00087269-0.0010413i,-4.4863e-05-0.00026374i,-0.0006185+0.00061712i,-0.00066095-1.0667e-05i,0.00019584-0.00080228i,0.00064181-0.00010798i,-0.00040349+0.00053657i,-0.00069188-7.3058e-05i
0.0018944+0.00081255i,0.0028054+0.00092671i,0.0024261+8.5069e-05i,0.0012197-0.00043957i,-0.00028162-0.00078283i,-0.0014712-0.0012636i,-0.0014846+6.237e-05i,-0.00085658+0.0011305i,-1.6917e-05+0.00027319i,0.00071296-5.6627e-05i,0.00048687+0.00016476i,-0.00080688-0.00018292i,-0.0011763+0.00017743i,-0.00098452+0.00054367i,-0.00086458-0.0003875i,-0.00061119-0.0010593i,-0.0005535-0.00031554i,-0.00038516+0.00013729i,-0.00012461+0.00036626i,0.00012612+0.00060589i,0.00014375+0.00037328i,-5.9451e-05+7.649e-05i,-0.00069645+0.00022167i
-0.00078589-0.0025549i,-0.00062435-0.001493i,-0.00058427-0.00064877i,-0.0015687-0.00086203i,-0.0017937-0.00079715i,-0.00032307-4.7959e-06i,0.00052476-0.00011796i,0.00067702-0.00081632i,0.00069835+6.1973e-06i,0.00018944+6.1999e-05i,-0.00022938-0.00038729i,-0.00032964+0.00019675i,-0.00025789+0.00037913i,0.00024743+0.0005227i,0.000807+0.00081592i,0.0006714+0.00012408i,-0.00023516-1.8402e-05i,-0.0004033+0.00038451i,0.00020245+0.00053428i,0.00023147-0.00044363i,-0.00018404-0.0010962i,-0.00010809-0.00024436i,0.00015494-0.00021237i
0.00016194+4.3399e-05i,0.0010804-0.00095167i,0.0013151-0.0019608i,0.001054-0.0022439i,0.00084671-0.0012876i,0.00028349-0.00062537i,-0.00060826-0.00037251i,-0.0011835+0.00012742i,0.00016546+0.00049375i,0.0010867+0.00074019i,0.00028991+0.00072494i,0.00025566+0.00012175i,0.00025981+4.7544e-06i,0.00040847+0.00019096i,0.00015202-0.00034276i,-0.00023255-0.000443i,3.9821e-05-0.0002173i,0.00033576+0.00035676i,0.00040482+0.00079964i,0.00048225+0.00081859i,0.00026108+0.00089188i,-0.00020103+0.0006668i,0.00025134-0.00020739i
-0.00010647-0.00011848i,-0.0013017-0.0004143i,-0.00065136-0.00049517i,-0.00031882-0.00091531i,-0.00017333-0.0011853i,-0.00011454-0.00058214i,-0.00072948-0.00026224i,-0.00072608+0.00015177i,-0.00014336+0.0006462i,6.2867e-06+0.00041636i,0.00052923-0.00016686i,0.0012473-0.00032961i,0.0012597+5.5703e-05i,0.0010475+1.7e-05i,0.0012464+0.00012884i,0.0007665+2.5417e-05i,0.00034936-5.5642e-05i,-2.0097e-05+9.6168e-05i,-0.00027888+0.00027219i,0.00025323-9.3303e-05i,0.00035131-0.00028755i,-0.00059315+0.00022505i,-0.0011412-0.00035633i
