-0.0011345+0.0011483i,-0.0011144-0.00049693i,-0.0012906-0.0017028i,-0.0014215-0.0012233i,-0.0014936-0.00028576i,-0.0021366+0.0014347i,-0.0020206+0.0026342i,-3.8932e-05+0.002511i,0.0010803+0.0014824i,0.00069757+0.00018565i,0.00041727-0.00041909i,-5.7472e-05-0.00023998i,9.0941e-05+2.9692e-05i,-0.00048041-0.00015745i,-0.0012745-0.00091187i,-7.021e-05-0.00057501i,0.00051117+0.00010704i,-0.00056983+1.2779e-05i,-0.00029131+0.00012315i,0.00049565+0.00044314i,0.00083147-2.3003e-06i,0.00065778-0.00027235i,7.3602e-05-0.00066898i
1.08e-05+0.00096103i,0.00038006+0.0004017i,0.0011636-0.00059886i,0.00046194-0.0004681i,-0.00094171-0.00044994i,-0.0011312-0.00036166i,-0.00037787+0.00021441i,0.0005859+0.00060515i,0.0006517+0.00036844i,0.00013303+0.0001672i,0.00015235+0.00034676i,0.00022851+0.000671i,0.0004522+0.00048918i,0.0008473+0.00029869i,0.00056408+0.00040098i,9.4731e-05-0.00048328i,0.00050653-0.0013488i,0.0011114-0.00079699i,0.00085926-0.00022908i,0.00059593-0.000145i,0.00052548+0.00024902i,0.00016303+0.00015153i,-0.0002412-0.00050525i
-4.9188e-05+0.00043854i,0.0011165+0.0010731i,0.00072732+0.0013245i,-0.00016607+0.0011154i,-0.00077593+0.00069083i,-0.0016455+0.00031383i,-0.0018315+0.00027893i,-0.00099193+0.00025332i,-0.00038523+5.9895e-05i,-4.8872e-05+0.00038921i,-0.00060592+0.00073183i,-0.0011017+0.00022249i,-0.00072686-0.00051165i,-0.00015872-0.00071776i,-0.00010264+7.2996e-05i,-0.00042108+0.00040078i,-8.1175e-05-9.1528e-05i,-0.00019187-0.0001513i,-0.00047912-0.0002768i,-1.4863e-05-0.00030865i,0.00057153+0.00013135i,0.00032419+4.8661e-05i,0.00015544-0.00025055i
-0.0013787-0.00016829i,-0.0009389+0.00011231i,-0.00029638+0.00095027i,0.00021111+0.001317i,0.00045332-5.4063e-05i,-0.00083834-0.0011666i,-0.0016789-0.00027863i,-0.0011072+0.00026956i,-0.00023311-0.00029008i,0.00044179-0.00035788i,0.00036822+0.00030286i,-0.0004905+0.00043462i,-0.00065696-0.00043004i,-0.00047044-0.00062492i,-0.00075952-0.00090843i,6.0434e-05-0.00072207i,0.00073817+0.00021597i,0.00065024+0.00027275i,0.0005918+0.0001503i,0.00074302-3.437e-05i,0.0013475-0.00060747i,0.0017051-0.00066091i,0.00085594-0.00047789i
-0.00023369-0.0016538i,-0.00029871-0.00031505i,-0.0010386-0.00028371i,-0.0016323-8.7615e-05i,-0.0014922+0.00028321i,-0.001432+0.00055786i,-0.00081554+0.00018058i,-0.00035102-0.00021664i,-9.352e-05-0.00053015i,4.2546e-05+0.00014986i,-0.00018973+0.00033409i,0.00026172+1.8324e-05i,0.00034719-0.00046171i,-0.00039917-0.00060869i,-0.00026466+3.9915e-05i,-0.00012136+0.00026915i,-0.00014062+0.00055284i,-8.5931e-05+0.0011295i,-2.0386e-05+0.0013684i,-0.00010366+0.0008417i,-2.2691e-06-0.00012768i,-0.00081348-0.0007655i,-0.00073721-0.00025881i
0.00041169+0.0010498i,-9.9394e-05+0.0014434i,9.1771e-05+0.00075557i,-0.00051149+0.00023526i,-0.0011787+3.5805e-05i,-0.0011751-0.0006421i,-0.0010178-0.00068932i,-0.00064598+0.00029277i,-0.00053712+0.00031767i,-3.9328e-05-0.00021852i,0.0004706-0.00036797i,0.00045686-0.00014617i,-1.6729e-05+0.00033673i,-0.0011243+0.00053575i,-0.00098806+0.00083075i,-0.00018912+0.0011854i,0.00023406+0.0010648i,0.00053934+0.00070702i,0.00018094+0.00070002i,0.00014067+0.0008781i,0.00031151+0.00073902i,-0.00037846+0.0005606i,-0.00081358+7.295e-05i
-0.00014-0.00054786i,0.0013204-0.00039714i,0.0013928-0.00016939i,-4.3867e-05+0.00040946i,-0.0014742+0.0011034i,-0.0015227+0.0017014i,-0.00099476+0.0011777i,-0.00034461+0.00022677i,0.0003195-4.675e-05i,4.7869e-05+0.0003367i,-0.0004592+0.0007396i,2.6982e-05+0.00061918i,0.00057284+0.0001121i,0.00045418+0.00033478i,0.000114+0.00073877i,-0.00024957+0.0003424i,-0.00018429-0.00030268i,-3.5771e-05-0.00026939i,0.00024407+0.00057041i,0.00022557+0.00099641i,0.00049909-0.00014007i,0.00017948-0.00021552i,-0.00011398+0.00091148i
-3.947e-05+0.00068179i,-0.00072666+0.0020347i,-0.0012942+0.0022812i,-0.00019279+0.0010995i,4.8979e-05+0.00086795i,-0.00094971+0.00076509i,-0.0016206-0.00030018i,-0.00063733-0.00054869i,-0.00026032+0.00041148i,-0.00022526+0.00050565i,-0.00047946+6.783e-05i,-0.00097266+0.00024155i,-0.0007895+0.00083171i,-0.00027433+0.0009949i,-0.00012709+0.00066039i,-0.00038934+4.9238e-05i,-0.00052869-0.00046587i,-0.00019949+4.2114e-05i,-0.00043931+0.00040937i,-0.00046634+7.5605e-05i,-0.00038229-0.00019596i,-0.00061123-5.427e-05i,-0.00073352-1.3808e-05i
0.00073259-0.0013595i,0.00024387-0.0019504i,-0.00019851-0.0020048i,-0.00031945-0.0012345i,-0.0012249-9.128e-05i,-0.0017077+0.0012452i,-0.0010521+0.00084427i,-0.0008644-0.00043418i,-0.00031198-0.0011553i,0.00032843-0.00059592i,0.00033176+0.00038748i,0.0011681+0.00021012i,0.0014644+0.00062702i,0.00072625+0.0010237i,5.7044e-05+0.00080995i,-0.00049494-0.00037501i,0.00024908-0.00049045i,0.00054317-0.00026336i,0.00059416-0.00053385i,0.00081684-0.00050053i,0.00020444-0.0011101i,0.00034081-0.0010489i,0.00019237-0.00065113i
-0.00099609-0.00053849i,-0.00015142-0.0007242i,0.00023707+0.00028105i,-2.9975e-05+0.00096484i,-0.0013612+0.0010135i,-0.0018326+0.0011218i,-0.001322+0.0012021i,-0.00092858+0.00015985i,-0.00045073-0.00057688i,0.00019778-0.00033159i,0.00037994-0.00028982i,6.7027e-05-0.0007006i,-0.00018459+4.1979e-06i,-0.00044764+0.00028772i,-7.6942e-05+0.00043286i,0.00031335+0.0007265i,-0.00039868+0.00023786i,-0.00034682-0.00021549i,1.4078e-05-0.00017375i,-0.00023513+0.00017729i,3.6642e-05+0.000555i,0.00027348+9.9109e-05i,-6.5391e-05-0.00036701i
-0.0030408+0.00088279i,-0.0027334+0.0016925i,-0.0010966+0.0017067i,-0.00038646+0.0011431i,-0.00069223-3.2225e-05i,-0.0010467-0.00051991i,-0.000883-0.00018582i,-0.00046493+0.00025273i,-0.00016631+0.00040557i,-0.00035266+0.00050469i,0.00050955+0.00060216i,0.001496+0.00036749i,0.0012111-0.00018035i,0.00093892-0.0004017i,0.00015029-0.00080354i,-0.00057605-0.00074891i,-0.00066082-0.00059525i,-0.00015413-0.00033094i,0.0001706+6.6592e-05i,-0.00050262-1.446e-05i,-0.00070642-0.0008101i,0.00017078-0.00094716i,0.00081328-0.00057858i
0.001746-0.00033602i,0.001945-0.00028776i,0.00052097-0.00041108i,-0.00048707-8.8616e-05i,-0.0011146+0.00028619i,-0.00098305-7.327e-05i,-0.00035246-6.8855e-05i,0.00049734+9.5402e-05i,0.00060519+0.00011447i,-0.00024045+0.00047435i,-0.00012922+0.0003606i,3.44e-05-0.0002547i,0.00013843-0.00063806i,0.00039425-0.00037683i,0.00029225+0.00011203i,0.00037503+9.9845e-05i,0.00033162+0.00011699i,0.00039552+0.00042147i,0.00095594+9.644e-05i,0.00093984-0.00042051i,2.2057e-05-0.00040021i,-0.00067579-3.6825e-05i,-0.00073681+0.00038173i
-0.00039507+0.0012233i,3.7991e-05+0.0012777i,0.00031175+0.0020618i,0.00020413+0.0024829i,-0.0011387+0.0010016i,-0.0025315-0.00034915i,-0.0026814+0.00035136i,-0.00229+0.00063109i,-0.00066497-0.00048895i,0.00016142-0.00083419i,-9.8816e-05+0.00011747i,-0.00059831+0.00039778i,-0.00016054+1.2733e-05i,0.00057387-0.00011043i,0.00067337-0.00070539i,8.2594e-05-0.00066075i,-0.00038847-0.00062801i,-8.2895e-05-0.00038933i,9.9488e-05-0.00063317i,0.00043583-0.00099143i,0.0012066-0.00059872i,0.00084016-0.00080287i,0.00029044-0.0010275i
-0.00090985-0.0015896i,-0.00055338-0.00088887i,-0.00039549-0.00013573i,-0.00040207-1.1294e-05i,0.00027191+0.00021762i,-8.5589e-05+0.00055153i,-0.00076009+0.00072599i,0.00012875+0.0010655i,0.00039912+0.0008207i,5.0992e-05+0.00055635i,-9.7212e-05+0.00092975i,0.00015153+0.00070483i,0.00041114+0.00019191i,0.00023577+0.0001619i,0.0002142+1.155e-05i,0.00026173+0.00021578i,-0.00017741+0.00064224i,-0.0009694+0.00067813i,-0.00042333+0.00082776i,0.00062918+0.00055165i,0.00067622+6.1935e-05i,0.00056825+0.00050596i,-0.00034693+0.00088013i
0.00034108+0.0013387i,-0.00018557+0.0012593i,-0.00029537+0.00073i,-0.00089161+7.1715e-05i,-0.00216-7.172e-06i,-0.0018404+2.2969e-05i,-0.00086916+0.00032357i,-0.00039496+0.00088104i,-5.7012e-05-2.453e-05i,-0.00011071+0.00013239i,-4.0089e-06+0.00083341i,-0.0001146+0.0012545i,0.00020785+0.0013575i,0.0007466+0.00093667i,0.00033221+0.0001235i,-0.00021212+8.8969e-05i,-0.00028718-0.00031497i,0.00017376-0.00037503i,-0.00052223+0.00040917i,-0.0013469+7.6599e-05i,-0.00057201-0.00065498i,0.00028718-0.00054589i,0.00035436-0.00010213i
-0.0024614+0.00088113i,-0.0011881+0.0011442i,-0.00014066+0.0014824i,-0.00049037+0.0013334i,-0.00085318+0.00084786i,-0.0014618+0.00060979i,-0.0021021+9.4555e-05i,-0.0019655+0.0003113i,-0.0017768+0.00071909i,-0.0013154+0.00086558i,-0.00020612+0.00084423i,0.00023006+0.00059698i,0.00027185+0.00022045i,0.00014711-0.0004295i,0.00026085-0.00033403i,-0.00010039+0.00013121i,4.9478e-05-0.000674i,0.0003-0.00039429i,-1.3853e-05+0.0013237i,-0.00030196+0.001386i,-0.00037317+0.00054285i,-0.00024087-0.00038427i,-5.8372e-05-0.0013635i
-0.00080617-0.0013817i,-0.0011464-0.0012424i,-0.0015859-0.00068932i,-0.0011068+4.3959e-05i,-0.00073192-0.00021391i,-0.00045705-0.00030419i,-0.00034583+0.0005018i,0.00042344+0.000433i,0.00060954+0.00067123i,0.00022815+0.0011423i,1.8782e-05+0.0011383i,6.4599e-05+0.00078322i,1.0403e-05+0.0006443i,7.1433e-06+0.00085619i,0.00010831+0.00038475i,0.00022075-0.00033091i,0.00029084-0.00014095i,7.0959e-05-4.3953e-05i,0.00034925-0.00058711i,0.00013475-0.00089754i,0.00027886-0.00026841i,0.00071224+9.8258e-05i,-0.00013448+2.0653e-06i
0.0012261+0.0015939i,0.0016405+0.001776i,0.0023154+0.0018923i,0.002093+0.001415i,0.00080758+0.0010002i,-0.00033591+0.001174i,-0.0011623+0.00060134i,-0.00055822-8.347e-05i,0.00010942+0.00011985i,0.00074216+0.00087666i,0.0011334+0.00096039i,0.0010071+0.00067991i,0.00036996-0.00036918i,-6.0464e-05-0.00070704i,0.00067608-0.00019061i,0.00085105-0.00050093i,-8.3016e-05-0.0010641i,-0.00052334-0.00052425i,-0.00046503-0.00025793i,-7.0888e-05-0.00039214i,0.00025887+0.00023737i,-0.00029174+0.0007637i,-0.000476+0.00040796i
0.0017067-0.00049075i,0.0016274-0.0014898i,0.0011018-0.0014669i,-0.00011943-0.001011i,-0.00097699-0.00015546i,-0.0011965+0.0015058i,-0.00065728+0.0010692i,-0.00035972-0.00013504i,-0.00090597+0.00012251i,-0.00054201+0.00012337i,-0.00028989+0.00014719i,-0.00085325+0.00048936i,-0.00063431+0.00070445i,-0.00037651+0.001412i,-0.00080377+0.0010413i,-0.00023327+0.00010126i,-0.00011269+0.00029407i,-0.00020147+0.0012805i,3.5537e-05+0.0011583i,2.4438e-05+3.9731e-05i,-2.8013e-05-0.00021014i,-0.00025377-6.9991e-05i,-0.00061736+0.00027971i
-0.0019422+4.3688e-05i,-0.0014028+0.0017239i,-0.0008141+0.0023108i,-0.00054071+0.0012161i,-0.0012434+0.00060353i,-0.0018139-4.7368e-05i,-0.00086766-8.3747e-05i,-0.00040493+0.00019162i,-0.00030813+0.00037282i,-5.2047e-05+0.00064395i,-0.00048575+0.00013887i,-9.0185e-05-0.00038881i,0.0005508+2.5035e-05i,0.00036108+0.00015795i,-0.00010849-0.00039801i,-0.00023555-0.00017741i,0.00045523+0.00098897i,0.00088622+0.0010059i,0.00070384+0.00042395i,0.00018859-6.3416e-05i,-0.00012955-0.00041524i,-1.1301e-05+0.00010072i,0.00044193+0.00055337i
-0.0011882-0.0013807i,-0.0011371-0.00051759i,-0.00094354+0.0012036i,-0.00040824+0.00135i,-6.9749e-05+0.00070522i,0.00021527+0.00018277i,-0.00030676-0.00076226i,-0.00086001-0.00046275i,-0.00070359+0.00069213i,-5.5674e-05+0.0013573i,0.00078394+0.0014743i,0.00077502+0.001217i,0.00058671+0.00059423i,0.00079682+0.00073728i,0.0008266+0.001058i,0.00046103+0.00051092i,-5.2277e-05-0.00015198i,-0.00022307-0.00016126i,-0.00067918-0.00020772i,-0.00086876+0.00015645i,-0.00040577+0.00034504i,0.0002722+0.00040098i,3.5557e-05+0.00040068i
