-0.00082935+0.00097378i,-0.00032099+0.00032309i,-0.00089439-0.00078984i,-0.0026036-0.0016412i,-0.0030228-9.3948e-05i,-0.0020794+0.0016162i,-0.0018819+0.0015127i,-0.0015645+0.00046114i,-3.2288e-05-1.5293e-05i,0.00068116+0.00061882i,0.00046909+0.00045518i,0.00053086-0.00079836i,0.00061641-0.0010392i,0.00075968-0.00029004i,0.0010503+0.00075559i,0.0010874+0.00070282i,0.00064233+0.00027152i,-0.00026024+0.00063145i,-0.00050008+0.00038122i,-0.00030845+0.00032186i,-0.0008409+0.00016162i,-0.00086521+8.5542e-05i,0.00020192+0.00094952i
0.001117+0.0010381i,0.0014253+0.0013642i,0.0020687+0.00099811i,0.0010156-0.00099958i,-0.00096178-0.002635i,-0.0015343-0.0021119i,-0.0012088-0.00048805i,-0.0016424-7.0096e-07i,-0.0011555-0.00058503i,-0.00011182-0.0013976i,-0.00035848-0.0016467i,-0.0010381-0.0012955i,-0.000678-0.00059174i,-0.00012145+0.00034675i,0.00079196+0.0006753i,0.0018483+0.00038219i,0.0017279+9.8845e-05i,0.00077296+0.00021398i,-0.00024752+0.00031511i,-0.00056937-0.00026043i,-0.00053728-0.0010026i,-0.00034424-0.0016963i,0.00063842-0.00090994i
-0.0015159-0.0011142i,-0.0020644-0.00029307i,-0.0019293-0.00074967i,-0.0019353-0.0018932i,-0.0023374-0.0010842i,-0.0016544-0.00011259i,-0.00099533-0.00016852i,-0.00058794-0.00048823i,-0.0010835-0.00055706i,-0.0014231-0.00049827i,-0.00095851-0.00083216i,-0.00015156-0.0010492i,0.00058704-0.0005071i,0.00056992+0.00042768i,0.00079996+0.0010351i,0.00074465+0.0011433i,0.00034169+0.00026526i,0.00029226-0.00103i,0.00058432-0.0010126i,0.00028368-0.00027063i,-0.0006563-0.00021231i,-0.00020536+0.00017833i,0.00041297+0.00038738i
0.0011639-0.00051765i,0.0015544-0.0014102i,0.00048746-0.0031558i,-0.0011083-0.0030313i,-0.0024986-0.0020283i,-0.0027926-0.00070578i,-0.0015437+0.0004942i,-0.00086594+0.00029615i,-0.0011338-0.00075633i,-0.00093822-0.0013314i,-3.2614e-05-0.00070128i,1.5127e-05-2.4392e-05i,-0.00025294+0.00017564i,0.00031021+0.00027954i,0.0011148+0.00031799i,0.0013192+3.6269e-05i,0.00094538-0.00022425i,0.00036909+9.9616e-05i,-0.00037549+0.00022603i,-0.00049176-0.00010585i,-0.00021035+0.00019215i,3.3611e-05+0.00055946i,0.00061099+0.00065428i
7.5388e-05+0.00014025i,0.0013286+0.00077853i,0.0030255-0.0011771i,0.0021103-0.0023058i,-0.00021632-0.0020944i,-0.0004313-0.0023153i,-0.00041336-0.0016801i,-0.00073393-0.00018665i,-0.0001095+0.00023651i,0.0008519+0.00044993i,0.001018+0.00057151i,0.00077733+0.00024591i,0.00066041-0.00016347i,0.00097331-0.00029291i,0.0013406-0.00071651i,0.001251-0.00075903i,0.00077881-0.00031521i,8.2708e-05+0.00025247i,0.000179+0.00059908i,0.00011063+0.00091457i,-0.00046277+0.0011283i,-0.00029439+0.00063837i,2.4975e-05+7.6364e-05i
-0.0009251+0.00030822i,-0.0017201-0.00040025i,-0.0019974-0.0011355i,-0.0022282-0.0014678i,-0.002387-0.00052905i,-0.0011515+0.0005155i,-9.044e-05+0.00015877i,-0.00022227-0.00044028i,-0.00068177-0.00049333i,-0.00066044-6.1007e-05i,-0.00078866+0.00011674i,-0.00082209-0.00030606i,-0.00035178-0.00038587i,-0.00039007-0.00021911i,0.00024849-0.00062074i,0.00028262-0.00046032i,0.00022574-0.00028474i,0.00052512-0.00044718i,0.00027804-0.00081397i,3.9278e-05-0.00036926i,-0.00017703+0.00074041i,5.4092e-05+0.00095186i,-0.00022863+0.00031037i
0.0006336+0.00029185i,-0.00031731-0.00077728i,8.2262e-05-0.0010789i,-0.00049748-0.0017236i,-0.0018299-0.0021514i,-0.0022298-0.0016616i,-0.0013855-0.00048523i,-0.00042118-0.00030128i,-0.00055668-0.0010002i,-0.00062802-0.00095903i,-0.00067685-0.00080918i,-0.00057591-0.00074944i,6.6072e-05+0.00036739i,0.00028204+0.0016614i,0.00072169+0.0015071i,0.0014186+0.00059528i,0.0013987-4.63e-05i,0.00020801-8.9548e-05i,-0.0009657+7.2e-05i,-0.0011462+0.00022983i,-0.00035913+0.00032216i,5.7556e-05+0.00043819i,-1.5913e-05+0.00015526i
-0.00080315-0.00050082i,-0.00070705+0.00057538i,-0.00099974+0.00066835i,-0.0013776+0.00010571i,-0.0015814+0.0001011i,-0.0014232+0.00021259i,-0.00099155+0.00037464i,-0.00057116+0.00080128i,-0.00032501-0.00010897i,-0.00012377-0.00075401i,-0.00012574-2.3505e-05i,-0.00046088+0.00044842i,-0.00068511+0.00033514i,-0.00063458+0.00031741i,-2.1743e-05-0.00010608i,0.00068252+6.5175e-06i,0.00055487+0.00024673i,0.00089275+5.3252e-05i,0.0011331-0.00010131i,0.00035489-0.00013227i,0.0003363+0.00034026i,2.4801e-05+0.00024442i,0.00020434+4.5336e-06i
-0.00034476-0.00057664i,0.00064242-0.00024412i,0.00084807-0.0018496i,-0.0011973-0.0023927i,-0.0027987-0.001431i,-0.0031513-6.9038e-05i,-0.0021031+0.0008533i,-0.00097694+0.00080051i,-0.00075728+0.00025727i,-0.00054736-4.497e-05i,-0.00054166-0.00039215i,-0.0003865-0.00030375i,-0.0002249+0.00051303i,-0.0002689+0.0011097i,-5.9622e-05+0.00085748i,0.00014132+0.00050896i,-5.8727e-05+0.00059245i,-0.00035739+0.00055132i,-0.00013152+0.00029764i,-0.00029938+0.00087014i,-0.00079002+0.00014867i,-0.0012058-0.00097072i,-0.0009068-0.00048784i
-0.00021991-0.00078359i,0.00084692-0.0008179i,0.0012475-0.0018826i,-0.00013994-0.002652i,-0.0013837-0.0013067i,-0.0020286-0.00012776i,-0.0015183-0.00022335i,-0.0017724-0.00085699i,-0.0025928-0.00083813i,-0.0015569-6.0587e-05i,-0.00096695+0.00021718i,-0.0008436-0.00078129i,-0.00025497-0.00062963i,5.2318e-05+0.00027119i,0.00026126+0.00036205i,0.00061604+0.00032591i,8.2929e-05+0.00049048i,-0.00061577+0.00051518i,-0.00073632+0.00051153i,-0.00069033+2.0683e-05i,-0.00059703+0.000175i,-0.0005259+0.0008349i,-0.00056486+0.00060138i
0.00115+0.00043516i,0.001167-0.00051024i,-5.3819e-05-0.0031557i,-0.001197-0.0041652i,-0.0016868-0.0026931i,-0.00097552-0.0017321i,0.00039268-0.0014056i,-4.5399e-05-0.0009486i,-0.00062671-0.00037925i,-0.00041069+3.9288e-05i,0.00011426-9.7585e-05i,0.00038115+0.00036207i,0.00014507+0.00063145i,0.00030471-5.4541e-05i,0.00074436-0.0002147i,0.00022933-3.8761e-05i,-0.00029383-0.00037963i,-0.00026569-0.0010181i,-0.00020824-0.00083693i,-0.00015025-0.0006297i,-0.00055348-0.00036917i,-0.00042221-0.00016833i,0.0003502-0.00035783i
-0.0014291-0.00012176i,-0.00095862-0.00024671i,-0.0013497+0.0003765i,-0.0014408+0.00046066i,-0.0011804+0.00044529i,-0.00082728+0.0007399i,-0.0010407+0.00069709i,-0.001106-0.0003261i,-0.0011053-0.00098005i,-0.0010621-0.00046286i,-0.00067204-0.00068173i,-0.00021838-0.0014553i,-0.00042933-0.0011585i,-0.00023537-0.0010227i,9.3419e-05-0.001348i,0.0004664-0.0010008i,0.00072618+2.0797e-05i,0.00074164+0.00045336i,0.00036512-2.7732e-05i,0.00032284-0.0003034i,0.00038075-0.00016254i,5.4657e-06-0.00016656i,9.0244e-05+0.00038569i
0.00054174+7.7948e-05i,0.00026205-0.001904i,-0.00046806-0.0034661i,-0.0017974-0.0037028i,-0.0026837-0.0026501i,-0.0020601-0.0013022i,-0.00073669-7.0349e-05i,0.00032145+0.00044659i,-0.00041672+5.6767e-05i,-0.00075636-0.00047316i,-2.8044e-05-0.00019734i,0.00037759+0.00050461i,2.6066e-05+0.0012118i,-0.00048323+0.0013352i,-0.00061021+0.00036566i,-0.00026338-4.4994e-05i,1.5683e-05+0.00045639i,0.00026777+0.00043564i,0.00033482+0.00062751i,-1.2271e-05+0.00092663i,0.00015461+0.00017928i,0.00044437-0.00097144i,0.00031066-0.00096355i
0.0011557+0.00033008i,0.0023091-0.00035123i,0.0042758-0.0017148i,0.0028924-0.0032446i,-0.00026729-0.0035669i,-0.0020118-0.0021571i,-0.0020069-0.00044834i,-0.0015469+8.3135e-07i,-0.0012003-0.00070584i,-0.00091527-0.00079275i,-0.00038772-0.00030765i,0.00010397+0.00050267i,-0.00014607+0.0005846i,-0.00018329+0.00038441i,-0.0001233+0.00090629i,2.1852e-05+0.0012096i,-0.00016131+0.00043603i,0.00021055-0.00016084i,0.00052714-9.5652e-05i,-0.00014243-1.1209e-05i,-0.00023469-0.00022879i,0.0002588-3.5591e-05i,0.00038511-1.9112e-05i
-0.00017204-0.00070662i,0.00019216-0.00074503i,-0.00087124-0.001289i,-0.0028518-0.0017401i,-0.00326-0.0011619i,-0.0022446-0.00064291i,-0.0011407-0.00063804i,-0.0011471-0.0010885i,-0.001253-0.00039397i,-0.00083014+0.00028892i,-0.00090278+0.00015679i,-0.00091818-0.00016952i,-0.00036635-0.00073718i,-5.316e-05-0.00086896i,-5.8862e-05-0.00024101i,-2.39e-06-0.00010084i,0.00042042+9.3589e-05i,0.00028224+0.00035109i,0.00020358+0.00059908i,6.2896e-05+0.00081148i,-0.00057875+0.000733i,-0.0010102-2.7202e-05i,-0.00033108+9.386e-06i
0.00042388+0.00073186i,0.00047726+0.00023735i,0.00060149-0.00043447i,-7.0289e-05-0.0018303i,-0.0019222-0.0023125i,-0.0028389-0.001259i,-0.0011538-0.00073111i,-0.00033572-0.00045425i,-0.00093323-0.00029727i,-0.00045702-9.914e-05i,-0.00045571-0.00049818i,-0.00099494-0.0011615i,-0.00056738-0.0001632i,-0.00014652+0.0014597i,5.4812e-05+0.0014422i,0.00039023+0.00072985i,0.0006179+0.00049725i,0.00023745+0.00057675i,-0.00014781+0.00027816i,-0.00040505-0.00029094i,-0.00069318-0.00026694i,-0.00061316-6.7568e-05i,-0.00062728+0.00016439i
0.0012018-0.0015025i,0.0015142-0.0012844i,0.0020531-0.0029958i,0.00046333-0.0037064i,-0.0020062-0.0030461i,-0.0024773-0.00079993i,-0.0011207+0.0014753i,-0.00057507+0.00050982i,-0.001179-0.00083261i,-0.0010361-0.00041224i,6.2674e-05+0.00050589i,0.00046037+0.0011086i,-8.4722e-05+0.0010452i,4.8372e-05+0.0010283i,0.00053541+0.0014554i,0.00092993+0.0010474i,0.00070004-8.1063e-05i,0.00045086-0.00063974i,-5.7962e-05-0.00024369i,-0.00046882+0.00025905i,-9.846e-05+0.00067568i,0.00023424+0.00043947i,-0.00047291+0.00020751i
0.0013-0.00036826i,0.00098744-0.0010881i,0.0016213-0.0035886i,0.00078294-0.006272i,-0.0011283-0.0051238i,-0.0020334-0.0014724i,-0.0014352+0.00050039i,0.00014083+0.00054872i,0.00010131+8.7526e-05i,-0.00047592-0.00058544i,-0.00026669-0.00075613i,-1.3503e-05-0.0004705i,0.00025277-0.00038867i,4.3791e-05-8.8385e-05i,-0.000382+0.00072732i,-0.0004012+0.0014983i,-0.00010296+0.0010683i,0.00019763+0.00050657i,0.00067341+0.00026151i,0.0003468+0.00044952i,-0.00022481+0.0006467i,-0.00020704+9.5099e-05i,0.00014538-0.00047454i
0.0013931-0.0009091i,0.0016023-0.0012144i,0.0014671-0.0027918i,9.475e-05-0.0038973i,-0.0015307-0.0024183i,-0.0011166-0.00016838i,0.00018673+0.00060926i,-0.00011855+0.0002055i,-0.00069708-0.00053055i,-0.00073324-0.00082097i,-0.00086281-0.00023379i,-0.00095124+0.00046227i,-0.00046904+0.00097671i,5.593e-05+0.00096417i,0.00037928+0.00058022i,0.00058213+0.00032964i,0.00041533+0.00032212i,0.00012005+0.0002575i,-0.00020387-1.5241e-05i,-0.00010598-0.00057343i,-0.00020015-0.0010006i,0.00017466-0.00027438i,0.0013852+0.00042i
-0.00024717-0.0006653i,0.00084302-0.0019499i,-5.1658e-05-0.0023154i,-0.0015535-0.0021309i,-0.0023687-0.0020172i,-0.0018386-0.0011812i,-0.0005425+0.0003408i,4.0991e-05+0.00014126i,0.00021976-0.00023992i,0.00029108+0.00030907i,-0.00027149+0.00016418i,-0.00055904-0.00024337i,2.7317e-05-0.00064744i,-1.5003e-05-0.00097888i,0.00050654-0.00050992i,0.0012366+0.00052844i,0.00058634+0.00052789i,-0.00025865-7.0964e-05i,-0.00069371-6.9521e-05i,-0.00059955-0.00026237i,-0.00083576-0.00010444i,-0.0010667+6.1489e-05i,-0.0010339+0.00042496i
0.0025858-0.0010764i,0.0027858-0.00050851i,0.0025305-0.0011138i,0.0015217-0.0024376i,-0.00052574-0.0016229i,-0.0015803+0.00073016i,-0.0012072+0.0013759i,-0.00047615+0.00015003i,-0.00055922-0.00046774i,-0.00035481-0.00036796i,-0.00023625-0.00042341i,-0.00049683-0.00023873i,-0.00023154+0.00020315i,0.00054073+0.00038473i,0.00073997+0.00029893i,0.00027382-1.9752e-06i,4.8799e-05+1.0855e-05i,0.00010097+0.00032279i,1.8755e-05+0.00035537i,0.00024229+0.00047795i,-0.00024795+0.0012227i,-0.0010182+0.0011437i,-0.0003988+0.00027622i
0.00016338-2.8266e-05i,0.0012232-0.0010116i,0.0017697-0.0020281i,0.001085-0.0023728i,-7.5889e-05-0.0020382i,-0.0014642-0.0016057i,-0.0016826-0.00095183i,-0.00087293-0.00038205i,-0.00081339-0.00058946i,-0.00023816-0.00066753i,0.00028052-0.00080135i,-0.00045503-0.0011572i,-0.00095172-0.00062978i,-0.001055+0.00018789i,-0.0006927+0.00045224i,5.4321e-06-0.0001008i,0.00053634-0.00077602i,0.0001529-0.00031651i,-0.00017348+0.00014487i,-0.00057984+0.00038825i,-0.00057179-8.3664e-05i,-0.00024824-0.00047461i,-0.00042996-0.00019852i
-0.00059683-0.0010989i,0.00018042+0.00021155i,-0.00080477+0.00047875i,-0.0017309-0.00028818i,-0.0015922-0.00075835i,-0.001092-0.00052516i,-0.00078532+0.00066161i,-0.00066684+0.00054369i,-0.00061626+0.00011154i,-0.00024779+0.00019746i,8.1023e-05+4.3111e-05i,0.0001525-0.00010122i,-0.00016252-8.6507e-05i,0.00010672-6.3449e-05i,0.0002266+0.00030198i,0.00063043+0.00015614i,0.001164+9.3238e-05i,0.00094885-3.8415e-05i,0.00070346+0.00018344i,0.00011697+0.00021755i,-0.0002363+1.1005e-05i,4.5874e-05+0.00052371i,0.00037562+0.00023474i
-0.0018049+0.0012091i,0.00026282+0.00058005i,0.0015561-0.00044605i,0.00038131-0.0015235i,-0.0009742-0.00079256i,-0.00045512+0.00025417i,-8.6248e-05+0.00016883i,9.9185e-05-0.00019603i,0.0005309+0.00055507i,0.00091287+0.00076283i,0.0008214-0.00019297i,0.00033555+1.6594e-05i,-0.00081785+0.00095287i,-0.0017346+0.00086697i,-0.00068633+0.00056698i,0.00085237+6.3616e-05i,0.00033097-0.00013031i,-0.00094716+0.00030029i,-0.0011268+0.00034352i,-0.00051682+0.00041062i,-0.00069584+0.00057933i,-0.00088423+0.00018313i,-5.47e-05-9.1475e-05i
0.0014845-0.00069176i,0.0022306-0.0014421i,0.0014115-0.0028086i,-0.0008152-0.0032895i,-0.0013707-0.0022571i,-0.0010458-0.0010432i,-0.0011649-0.00050635i,-0.0010368-0.00021115i,-0.0014167-2.0617e-05i,-0.0021784-0.00036077i,-0.0014394-0.0010331i,-0.0006297-0.0012846i,-0.00031791-0.00025124i,0.00067486+0.00058109i,0.0010854+0.00020602i,7.6717e-05-0.00013184i,-0.000569+0.0001192i,-0.00053157-2.8695e-05i,-0.0004491-0.00042054i,-0.00054505-0.00065289i,-0.00017834-0.00040039i,-3.647e-05-0.00013896i,-0.00057433-8.3297e-05i
0.0010489-0.00015101i,0.00042562-0.00056093i,-6.2065e-05-0.0015221i,-0.00098104-0.0025686i,-0.0020051-0.0027396i,-0.0014075-0.0016408i,-0.001484-0.00030625i,-0.0013523-3.6831e-05i,-0.0010528+3.9589e-05i,-0.0009877-0.00019863i,-0.00068-0.00026145i,-0.00059673+0.00029946i,-0.00067652+0.00064535i,-0.00073438+0.00086812i,-0.00012846+0.00036427i,0.001011+0.00014892i,0.0007639+0.00052124i,-0.00061601+0.00033922i,-0.0011155-0.00021124i,-0.00075715-0.00022305i,-0.00024576+0.0003993i,0.00048024+0.00018893i,0.00042519+0.00010672i
0.00032755+0.0002804i,0.00073691+0.00099154i,0.0012907+0.0014563i,0.0010901-3.1691e-05i,-7.4166e-05-0.0016569i,-0.00077918-0.0013023i,-0.00067032-0.00052081i,-0.0010848-0.00041485i,-0.00137+8.6959e-05i,-0.00060346+0.00020132i,0.00021629-1.2627e-05i,1.2674e-05-3.6336e-05i,-0.00015168-0.00025782i,-0.00011235-0.00038974i,4.333e-05-4.8595e-05i,0.00011739+0.00035982i,0.0003837+0.00027704i,0.00076034-0.00045581i,4.9824e-05+1.3954e-05i,-0.0010719+0.0002776i,-0.00149+0.00035908i,-0.001204+0.0010687i,-0.00071067+0.0010688i
-0.0011955-0.0015412i,-0.0010929-0.00054901i,-0.0022793-0.00090274i,-0.0026656-0.0016144i,-0.0028038-0.0014023i,-0.0016203-0.00011708i,-0.0003674+0.00019118i,-0.00088522-0.00047968i,-0.0022013-0.00073853i,-0.0017934+2.5602e-05i,-0.00043146+0.0007447i,-3.7745e-05+0.00042408i,-0.00019786+0.00015896i,0.00027952+0.00011028i,0.0011395-9.1254e-05i,0.001346-9.6704e-05i,0.00029175+0.00029084i,-0.00052154+0.00032737i,-0.00050198-6.3762e-06i,-0.0004656-0.00049084i,-0.00017033-0.00089534i,-8.9814e-05-0.0017037i,0.00028543-0.0011431i
-0.0011469+2.5524e-05i,-0.00031976-0.00034616i,0.00081906-0.0026053i,-0.00062647-0.0037414i,-0.0021656-0.0023176i,-0.0012882-0.00019568i,-0.0011384+8.0574e-05i,-0.001116-0.00012044i,-0.00045701-0.0002239i,-0.00053642-0.00011347i,-0.00029626-0.00052026i,0.00061179+0.00010872i,0.00096416+0.00036088i,0.00085261+0.00019303i,0.0009575+0.0011679i,0.00051668+0.00073965i,-4.0102e-05-0.00030637i,0.00016122-0.00012917i,-6.3936e-05+0.00019372i,-7.1592e-05-0.00015007i,0.00027933-0.0010463i,-0.0003358-0.00099188i,-0.0010184-0.00040106i
0.0012099-0.00095443i,0.0017597-0.0016663i,0.00083753-0.003569i,-0.0010331-0.0036633i,-0.0030624-0.0018048i,-0.0028988-0.00044958i,-0.0013125-0.00060475i,5.7721e-05-0.00068677i,-0.00025187-0.00063613i,-0.0015195-0.00057358i,-0.0014871-0.00030219i,-0.001111-0.00036687i,-0.0004016-0.00030366i,0.00069646-0.00040117i,0.00098963-0.00020127i,0.00068244+9.8227e-05i,-0.0005464-9.6464e-05i,-0.00098049-0.00011888i,-0.00071571+6.5025e-05i,-0.00052485-0.00029748i,-0.00047626-0.00028488i,-0.0009921-0.00058415i,-0.00095431-0.00075517i
-0.0013085+0.00081981i,0.00040654+0.00042716i,0.00074527+4.7623e-05i,-0.00087812+2.8478e-05i,-0.0023335-5.9683e-06i,-0.0016541+0.00034297i,-0.00043812+0.00029374i,7.6489e-05-0.00076399i,-1.9122e-05-0.0013572i,-0.00055663-0.00044928i,-0.00095663-0.00011325i,-0.00068123-0.00024854i,5.2436e-06+0.00065495i,0.00051008+0.001079i,0.0007378+0.0011463i,0.00069078+0.0011578i,0.00055078+0.0004108i,0.00019891+0.00022136i,4.9648e-05+0.00069673i,-0.00032614+0.00025129i,-0.00052234-0.00016322i,-0.00046987+0.00021095i,-0.00076762-0.00019568i
-0.00074276-0.001004i,-0.00042489-0.00040047i,-5.789e-05+0.0011557i,-0.0009667+0.0011383i,-0.0020605+0.00071009i,-0.0010015+0.0010118i,7.4484e-05+0.00070684i,-0.00028742+0.00018459i,-0.00057284-0.00029459i,-0.0006533+0.00012405i,-0.00066308+0.00096407i,-0.00058646+0.00083024i,-0.00070111+0.00014835i,-0.00099254-0.00032528i,-0.00052226-0.001038i,0.0006387-0.00053582i,0.00050242+0.00014847i,-0.00046314+4.5562e-05i,-0.00090578+8.0659e-05i,-0.0012233-1.9215e-05i,-0.0011219-0.0002883i,-0.00090462-0.00025952i,-0.00014919-9.422e-05i
0.00099297-0.00054911i,0.001016-0.0014124i,0.000795-0.0030832i,0.00024227-0.0042593i,-0.00089939-0.0035445i,-0.0013487-0.0016115i,-0.00034546-0.001028i,0.0006089-0.0016801i,0.00015653-0.0016492i,-0.0010381-0.0014544i,-0.00068236-0.0011749i,-0.0001349-0.00065494i,-0.00056957-0.00040973i,0.00023822+0.00045167i,0.0011018+0.001325i,0.0010706+0.00088573i,0.00086323+0.00024685i,-0.00013506+0.00071984i,-0.00086457+0.00070443i,-0.00081099-0.00035685i,-0.00070947-0.0013328i,-0.00046323-0.00082971i,-0.00056187+0.00094847i
0.00057401-0.00079925i,0.00087624-0.0006064i,0.00014327-0.0016929i,-0.0012816-0.0040313i,-0.0034167-0.0038653i,-0.0031783-0.0019333i,-0.00080235-0.00041396i,-0.00024437+0.0002808i,-0.00060291-0.00021039i,-0.00058972-0.00077995i,-0.00074688-0.00026119i,-0.00072877+0.00063998i,-0.00054838+0.00041017i,-0.00054822-0.0002603i,0.00021713-0.0004516i,0.0010461-0.00022139i,0.00033197+0.0003352i,-0.0003274+0.00068002i,-0.00047701+0.00098946i,-0.000292+0.0011963i,0.00015014+0.0010697i,1.4715e-06+0.00032106i,-0.00037878-0.00023854i
-0.00052589+0.00022242i,-0.00069594-0.00037108i,-0.00094062-0.0013801i,-0.0013624-0.0010966i,-0.0019769-0.0005861i,-0.0015059-0.00016812i,-0.000475+0.00019289i,-0.00054166-0.00046447i,-0.0013665-0.00053735i,-0.0013624-0.00023297i,-0.00093958-0.00065223i,-0.00053333-0.00043382i,-0.00062579+5.5016e-05i,-0.00044401-0.00014781i,0.00055098-0.0007944i,0.00089379-0.00037405i,0.00015745+0.00035138i,-0.00023068-0.00010275i,-0.00022651+0.00025385i,-0.00065004+0.0006949i,-0.00084034+0.00042403i,-0.00014029-0.00045075i,0.00021449-0.00079501i
0.0012396+0.00043014i,0.0029595+0.00046219i,0.0023118-0.00057165i,0.00027133-0.0020952i,-0.00057531-0.0025676i,-0.00016523-0.0013404i,0.00012612-0.00040517i,-0.00036676-0.00057332i,-0.00074781+4.0408e-05i,-0.0015466-1.0106e-05i,-0.0018343-0.00047412i,-0.00082654-0.0004107i,-0.00026409-9.2893e-06i,0.00029134+0.00064288i,0.00035721+0.0010602i,0.00024812+0.0013543i,0.00017056+0.0011204i,5.7134e-05+0.00082354i,0.00054561+0.00063887i,0.00077357+0.0010279i,0.00033556+0.001002i,-0.00056892+0.00019415i,-0.00080021-0.00022749i
2.9596e-05-0.00010412i,0.00026974+0.00024993i,-0.00014317-0.00058821i,-0.0015806-0.0015489i,-0.0025446-0.0021522i,-0.0021274-0.0015473i,-0.00064075+6.0503e-05i,-0.00076377-0.00010445i,-0.0015951-0.00087981i,-0.00067889-0.00090126i,0.00030229+2.3315e-05i,0.00048044+0.00064998i,-2.6479e-05+0.00023607i,0.0001472-0.00029978i,0.00028229-0.00036819i,-0.00033785-0.0008411i,-0.00048166-0.0010873i,-0.0002263-0.00040178i,-0.00037854-3.189e-05i,-0.00075215-0.00022289i,-0.00010555-0.00058042i,0.00055177-0.00036987i,0.00095667+0.00047363i
-0.00061899-0.0014222i,-0.00034808-0.0021381i,0.00018821-0.0018714i,-0.00036285-0.0018878i,-0.0012896-0.0021233i,-0.0017669-0.0017446i,-0.0019979-0.00066322i,-0.0013555-0.00014991i,-0.0007833-4.8436e-06i,-0.00067166-0.00012755i,-0.00016304-0.00049278i,-0.00035011+8.8453e-05i,-0.00061125+0.0014916i,-0.00016493+0.0012258i,-0.00013721+0.00020536i,-0.00041696+0.0002352i,-0.00026485-0.00022723i,9.2356e-05-0.0008628i,0.00029533-0.00035614i,0.00052009+6.3728e-05i,7.632e-05+0.00062129i,-9.3252e-05+0.00099174i,0.0002531+0.00044256i
0.0016221+0.0018509i,0.001599+0.00018329i,0.0029695-0.001307i,0.0026611-0.0026308i,-0.00062686-0.0036084i,-0.0015201-0.0025122i,-0.00077022-5.9096e-05i,-0.00083766+0.00082914i,-0.00040696+0.00047512i,0.00041627-0.00022119i,0.00078921-0.00055173i,0.00067107-0.00026385i,-6.6314e-05-0.00016902i,-0.00034591+0.00040185i,0.00023275+0.00082079i,0.00034953+0.0010652i,0.00074749+0.00085161i,0.00069174+0.00054131i,-0.00020419-0.00015172i,0.00052571-0.00078699i,0.00072242-0.00074874i,-0.00015632-0.0003106i,8.7087e-05+0.00023138i
0.0011296+0.00040695i,0.0013094-0.00023104i,0.0017015-0.0019689i,0.0010199-0.0032175i,-0.00047821-0.0022346i,-0.00045559-0.00066361i,-0.000635-2.694e-05i,-0.0013427+0.00045355i,-0.00032521+0.00076645i,-3.2458e-05+0.00067449i,-0.00060458+3.2201e-05i,-5.2237e-05-9.0693e-05i,0.00062019+0.00036874i,0.00056253+0.00079609i,4.879e-05+0.0013796i,0.00066154+0.001472i,0.0016148+0.00049223i,0.0012771+0.00029417i,9.4088e-06+0.0005622i,-0.00032081+0.00010359i,0.00025879+0.00049765i,0.00012653+0.00094968i,-8.51e-05+0.00075796i
0.00087583-0.00099687i,0.00089281-0.0010294i,-0.00082857-0.0035381i,-0.0024996-0.0052825i,-0.0029897-0.0036688i,-0.0022545-0.001321i,-0.0012838-0.00011892i,-0.00090383-0.00021079i,-0.0011144-0.00042527i,-0.0011252-0.00091046i,-0.00047476-0.00075311i,0.00021115-0.00037994i,0.00027874+0.00025874i,0.00026197+0.00058636i,0.00072016+0.00031019i,0.0011612+0.00020775i,0.0012037+0.00028172i,0.00048876+0.00048435i,3.5947e-05+0.00072225i,-0.00014652+0.00060948i,-0.00053953+0.0010271i,-0.00032869+0.0008699i,-0.00028771+0.00021079i
-0.0003077+0.00044326i,0.00072759-4.4296e-05i,0.0013966-0.00092762i,0.00099034-0.0016806i,-6.2769e-05-0.0010926i,-0.001527-0.0003118i,-0.0020634-0.00035616i,-0.0016649-0.00048569i,-0.0013593-0.00049154i,-0.0013766-0.00043936i,-0.0006926-0.0001384i,-0.00044974+5.5721e-05i,-0.00078003+0.00052795i,-0.00069955+0.00047692i,-0.00041358+0.00076847i,-0.00015237+0.001407i,-0.00031326+0.00038582i,-0.00062482-0.00038427i,-0.00078134+0.0007316i,-0.00049296+0.0010585i,0.00014042+0.00052175i,0.00041212-0.00018759i,0.00062814-0.00067138i
