-0.0017045-0.00049653i,-0.0016445-0.00033549i,-0.0021233-0.0001542i,-0.0024048-0.0001339i,-0.0021698-5.6944e-05i,-0.0010678-9.5527e-05i,-0.00072416+0.0013022i,1.7128e-05+0.0026068i,0.0016434+0.0019376i,0.0022917+0.00055562i,0.001481-0.00039799i,0.00057868-0.0010339i,-0.00011843-0.00035579i,-0.00092429-0.00032693i,-0.00062147-0.00046287i,0.00026777+0.00015638i,0.00016607+0.00038844i,-0.00023379+0.00020402i,-0.00029859+0.00044279i,-0.00039195+0.00066842i,-0.000404+0.00012918i,-0.00078182-0.00039567i,-0.0010233-0.00031452i
0.00018487-0.0010193i,-0.00070815-0.00052138i,-0.00099694-0.0013915i,-0.0016566-0.0020966i,-0.001701-0.0010719i,-0.0013114-0.00026675i,-0.0010994-0.00076267i,-0.0010302-0.00055315i,-0.00061835+0.00048726i,-0.0003223+0.00021005i,-0.00045619-0.00035537i,-0.00068978-0.00019296i,-0.0011362+0.00042512i,-0.0010017+0.00041959i,-0.00017096+0.00023588i,2.6915e-06+1.2873e-05i,-0.00045803+0.00011802i,-0.00038865+0.00043842i,-0.00033761-6.9446e-05i,-0.00038823-0.0001003i,0.00010519+5.8763e-05i,0.00048596+0.00019968i,0.00041615-0.00010038i
-0.0020235-0.0010864i,-0.0021079-0.00061715i,-0.0026267+0.0011444i,-0.0026316+0.0015403i,-0.00036928+0.0012588i,0.0014881+0.00097073i,0.0016244-0.00031367i,0.001166-0.00061389i,0.00069962-0.00062886i,0.00033051-7.319e-05i,-0.0002766+0.00060513i,-0.00069092+0.00017412i,-0.00048739+0.00027056i,-0.00024559+0.00053062i,-0.00039663+0.00027825i,-0.00064023+0.0007312i,-0.00062874+0.00041616i,-0.00060007-0.0004528i,-7.1355e-05-0.00027887i,0.00026635-0.00015309i,-0.00064179+1.2918e-08i,-0.00062086+0.0001092i,0.00029984+0.00024808i
-0.00078888+0.0027523i,-0.00014132+0.0017543i,-0.000107+0.0018474i,7.5846e-05+0.0020359i,0.00013126+0.00070096i,4.4524e-05-0.00081506i,0.00018914-0.00043657i,0.00097345+9.2621e-05i,0.0014798-0.00031738i,0.0013565-0.0010823i,0.00077831-0.0012922i,0.00016726-0.00083678i,-0.00037106-0.00030866i,-0.00076931-0.00058404i,-0.00081902-8.9441e-05i,-0.00070031+0.0005353i,-0.00036078+0.00056556i,0.00029532+0.00041363i,0.00048971+0.00052267i,0.00038683+0.00065481i,0.00016518+0.00035088i,-7.0129e-05+0.00027182i,0.0005381+0.00012997i
-0.001065+0.0021049i,-0.00058939+0.0028541i,0.00026568+0.0022962i,0.00070751+0.00078265i,0.0012947+0.0003079i,0.0012182-0.00016721i,7.0706e-05-0.00041064i,-0.00025988-0.00060689i,0.0005344-0.00065415i,0.00055479+0.0001004i,0.00014482-0.00013463i,-0.00018938-4.2421e-05i,-0.00095651+0.00061796i,-0.0012854+0.00049661i,-0.00064388+0.00044802i,-0.00036355+0.00021876i,-0.0010399+0.00018568i,-0.0014859+0.00027642i,-0.001353+0.00021086i,-0.001402-4.3568e-05i,-0.00096266-0.00010709i,-0.00019303+0.0008534i,-8.5367e-05+0.0013241i
-0.0014019+0.00045326i,-0.00085272+0.00063741i,-0.00036755+0.00091927i,-0.00056298+0.00028073i,0.00028305-0.0003302i,0.00056931-0.00044045i,-5.1912e-05-0.00041263i,2.3707e-05-0.00048865i,0.00043799-0.00072526i,7.2054e-05-0.0007278i,1.8008e-05-0.00063825i,0.0006075-9.1546e-05i,0.00071001+0.00022498i,0.00017877+0.00032553i,0.00028011-3.5751e-05i,0.00073725-0.00052193i,0.00084026-0.00037611i,0.00031862+0.00024541i,0.00018898+0.00015474i,0.00046461-0.00021751i,0.00065713+6.4627e-05i,0.00068328-1.6788e-05i,0.00071401-0.00028998i
0.0013167+0.00064346i,0.0015648+0.00071779i,0.0022049+0.00047967i,0.0014873+0.00017545i,0.0011226-0.00073039i,0.00096503-0.0022185i,6.7889e-05-0.0018165i,-0.00021631-0.00058656i,0.0002471-0.0010476i,0.00026972-0.0011499i,-0.00013439-0.00045147i,-0.00036392-5.4436e-05i,-0.00097704-0.00032472i,-0.00089858-0.00015279i,-0.0010826+0.00026741i,-0.0010046+0.00015034i,5.1645e-06-2.8791e-06i,0.00043883-0.00037528i,0.00076791-0.00091865i,0.0014121-0.00099828i,0.0011306-0.00076893i,0.00084551-0.00075785i,0.00094409-0.00078611i
-0.0023994-0.0039752i,-0.0033373-0.0045469i,-0.0052945-0.0037016i,-0.0051401-0.0017577i,-0.0031569-0.00017533i,-0.0010533+0.00044754i,2.893e-05+0.00015301i,0.00043243+0.00020476i,0.00030062-0.00038454i,-0.00014095-0.00050942i,-0.00014544-0.00033448i,-0.0003259-0.0007745i,-0.0011093-0.00048328i,-0.00038374-0.00065357i,0.00099251-0.0012218i,0.00099412-0.00071388i,0.00039758-0.00012748i,1.6897e-05+0.00013858i,-0.00017841-0.000125i,-0.00046009-0.00042988i,-0.00076171-0.00080029i,-0.00022515-0.0011316i,0.00040985-0.0008066i
0.001033-0.00095652i,0.0016109-0.00058906i,0.0018779-0.00073972i,0.00088163-0.00059825i,0.00010646-0.00081955i,0.00074227-0.00048081i,0.00044294+0.00046987i,0.00044925-0.00026648i,0.00089416-0.0013323i,0.0004357-0.001039i,-0.00059514-0.0011788i,-0.00080474-0.0012145i,-0.00056416-0.0011071i,-0.00078315-0.0015594i,-0.00040909-0.0012872i,-0.00023065-0.00035604i,-8.2437e-05+0.000193i,0.00030766+0.00026703i,0.00075367-0.00045519i,0.001335-0.00088886i,0.0012673-0.00070065i,0.00094391-0.00041622i,0.0010256+0.00029307i
-0.00064046-0.0026785i,-0.0018554-0.002614i,-0.0034146-0.0025662i,-0.0039927-0.0017518i,-0.0034467+0.00024964i,-0.001487+0.00029311i,-9.0643e-05-0.00048888i,-0.00054325-0.00030736i,-0.0010069-0.00051416i,-0.0012393-0.00062114i,-0.0010159+0.00025903i,-0.00075548+0.0009034i,-0.00074807+0.00077981i,-0.00019921+5.456e-05i,0.00052609-0.00057943i,0.00098732-0.00061151i,0.00088862-0.00026507i,0.00032414+0.00013132i,-0.00010539+0.00023874i,-0.00015466+0.00061539i,-0.00042634+0.00063143i,-7.1473e-05+0.000434i,0.00073798+0.00056591i
0.0016266-0.00087399i,0.00030889-0.0011245i,-0.00087194-0.0015233i,-0.00096457-0.0020728i,-0.0013115-0.0021738i,-0.0013058-0.00078738i,-0.00025049-0.00015508i,0.00075145-3.0458e-05i,0.00073131-0.00095261i,-0.0001822-0.002029i,-0.0016201-0.0005137i,-0.0019521+0.00090095i,-0.0011755+0.0008044i,-0.00095543+0.00030999i,-0.00052975+0.00050964i,-0.00047134+0.00039718i,-0.00079428-0.00047174i,-0.00010895-0.00034258i,0.00038527+0.00054187i,0.00028179+0.00045381i,6.0927e-05-0.0006101i,-0.00039396-0.00029222i,-0.00014765+0.00083042i
0.00092612-0.0039539i,0.00053902-0.0030906i,-0.0008808-0.003518i,-0.0018118-0.0029925i,-0.0011261-0.0011766i,-0.0002276+0.00011576i,-3.6428e-06-0.00045117i,-3.2654e-06-0.00082638i,5.4931e-05-0.00050725i,-0.00053753-0.00047874i,-0.00042161-3.1035e-05i,1.0104e-05+0.00063734i,-0.00023746+0.00067445i,9.184e-05-0.00035702i,0.00018774-0.0011953i,5.3893e-06-0.00089088i,-4.4414e-05-0.00042555i,-1.4194e-05-0.00049121i,0.00063725-0.00056488i,0.0010603-0.00020214i,0.0007066+0.00023875i,0.00042343-7.0905e-05i,0.00082543-0.00022513i
-0.0010794+0.0008145i,-0.0019019+0.00021023i,-0.0018861+0.00028888i,-0.00083642+0.00011662i,0.00041907-0.00016747i,0.00093217-0.00014319i,0.0002017+5.9522e-05i,-8.1041e-05+1.9211e-05i,0.00071203-0.0006195i,0.00084489-0.00075682i,8.9986e-05-0.00039207i,0.00017208-0.00019994i,0.00062078-0.0002054i,0.00060764+6.0971e-05i,0.00010609+0.00031865i,-0.00031013-0.00029637i,-0.00017205-0.00015177i,-8.9619e-05+0.00032612i,0.00018505+0.00019134i,-5.1497e-05-0.0004231i,1.8457e-06-0.00066477i,0.00010737+0.00011837i,-0.00039086-0.00020667i
