-0.0048759+0.0017919i,-0.0033015+0.0014256i,-0.0036011+0.00024387i,-0.0032201-4.1337e-07i,-0.0021581+0.0010621i,-0.0014082+0.001816i,-0.0010656+0.0018916i,-0.0008361+0.0017275i,2.335e-05+0.0013425i,0.0015651-0.00043489i,0.0016546-0.0011028i,0.00077862-0.000603i,0.00029284-0.00021142i,0.00038489+0.00078423i,0.0005309+0.00052803i,0.00012212-0.00017675i,0.00048145-0.00019882i,0.0013219+4.3456e-05i,0.00084643-0.00044759i,0.0010105-0.0010896i,0.0018986-0.00073406i,0.0017995-0.00036528i,0.0002699-0.00049472i
0.0015244+0.00053716i,0.00055282+0.00062733i,0.00018542-0.00034346i,0.0008153-0.00020361i,0.001097-0.000127i,0.00020065+0.00038267i,-7.3553e-05+0.0012501i,-1.5992e-05+0.00087549i,0.00028839+0.00032548i,2.1259e-05-0.00015632i,-0.00018474-0.00059491i,-0.00037827-0.00061486i,-0.00082023-0.00076442i,-0.00043266-0.00063485i,0.00019995-0.00015109i,1.8452e-06-0.00066769i,-1.7183e-05-0.00082551i,0.00024133+0.00034656i,0.00032736+0.00033287i,0.00015044-0.00059307i,0.00015128-0.00057309i,0.00042929-0.00015524i,0.00050513-9.9876e-05i
0.0010663+0.0011262i,0.00097839+0.0013555i,0.00043473+0.00076104i,-0.00012393-0.0006025i,-0.00070078-0.00051502i,-0.00085668-0.0006395i,-3.2284e-05-0.00045719i,0.00061512+0.00024616i,0.00095328+0.00043294i,0.00042771-0.00016309i,0.00046188-0.0011793i,0.00040115-0.001383i,-0.00051692-0.0010091i,-0.00092503-0.00087588i,-0.00078596-0.0010095i,-0.00035451-0.00087425i,-0.00024045-0.00023706i,-0.00043928-0.00025416i,-0.00054966-0.00021176i,-0.00035059+9.7098e-05i,0.00043301-0.00047561i,0.00081064-0.0005661i,0.0006412-6.5761e-05i
-0.0021129-8.5446e-05i,-0.0019782+0.00024793i,-0.0015266+0.0011426i,-0.0014196+0.0015974i,-0.0010267+0.00065186i,-0.00017962-1.2265e-05i,-0.0004916+0.00016883i,-0.00019242+0.00014651i,0.00078827-0.00014124i,0.00091253-0.00017813i,0.00084777-4.7229e-05i,0.00069856-0.00040799i,0.00029417-0.00036886i,0.00022663+3.8028e-05i,0.00082823+0.00028137i,0.0012436+6.3593e-05i,0.00011793-0.00018259i,-0.0011128-0.00023317i,-9.828e-05-0.00039873i,0.00025724-0.0009838i,-0.00049181-0.00078405i,4.5722e-05+5.2651e-05i,0.00055772+8.2669e-06i
0.00018733+0.0003608i,0.00049387+0.00089816i,-0.0005251+0.00035621i,-0.00078906-0.00011716i,-6.514e-06+6.4883e-05i,0.00049554+0.00048949i,0.00017921+0.0010204i,0.00032309+0.0016329i,0.00092964+0.0010903i,0.00075278+0.00049774i,0.00076043-0.00010878i,0.00096872-0.001019i,-7.9713e-05-0.00078633i,-0.00020675-0.00026724i,0.00059-0.00043741i,0.00019568-0.00062403i,-0.00069435-0.00046834i,-0.00039885-0.0001634i,-0.00018271-0.00047646i,-0.00040393-0.00083315i,0.00022652-0.0002825i,-5.7942e-05+0.00013269i,-0.00032585-0.00018991i
-0.00070897-0.0011274i,-0.0013068-0.00081666i,-0.0019536-0.0001221i,-0.0018533-2.1399e-05i,-0.0015049-0.00015304i,-0.0012153+0.00012325i,-0.00078615+0.00046771i,6.269e-05+0.00062515i,0.00066751+0.00014979i,-4.1891e-05-0.00070719i,3.7401e-05-0.0011287i,0.0010085-0.0014936i,0.0011703-0.0012964i,0.00068001-0.00026971i,0.00024662+0.00069288i,6.7449e-05+0.00059294i,0.00018515-0.00056135i,0.00011682-0.0006956i,-0.00039157-4.5052e-05i,-0.00073642+0.00034377i,-0.00023495-0.00017462i,0.0003401-0.00070212i,-2.5535e-05-8.5698e-05i
-0.00045781-0.00062443i,-0.00052042+0.00046496i,-0.00039266+3.4936e-06i,0.00010567-0.00012605i,-1.6116e-05-0.00053842i,-0.00035885-0.00078671i,8.5049e-08-0.00073236i,0.00021859-0.00056676i,0.00026229-0.00054741i,0.000607-0.00067173i,0.00099481-0.0010013i,0.00071995-0.0013003i,-0.00019234-0.0010649i,-0.00041222-0.0010232i,0.00039759-0.00061403i,0.0011357-0.00031269i,0.00040086-0.0001773i,0.00023133-0.00031168i,0.00073347-0.00026134i,0.0013664-0.00030001i,0.0014999-0.00017987i,0.00018079-0.00010766i,-0.0010015-0.00048043i
-0.00027358-7.3248e-05i,-0.00049331-0.00070412i,-1.6097e-05-0.0019745i,-0.00027276-0.0024564i,-0.00090147-0.001913i,-0.00025312-0.001122i,-2.7541e-05+0.00029218i,0.00014186+0.00067999i,0.00080161+3.645e-05i,0.00093687-0.00038681i,0.00095919-0.0010425i,0.00064442-0.0012907i,-0.00011321-0.0016287i,-6.9147e-05-0.0017088i,0.00088052-0.00058928i,0.00090034-7.5153e-05i,5.7085e-05+0.00019011i,-0.00011558-0.00021992i,-0.00032627-0.00088221i,-0.0008007-0.00081049i,-0.00074774-0.00068795i,1.6867e-05-0.00056748i,0.00036946-0.00012759i
-0.00077016-0.00060294i,-0.0004391-0.00072842i,-0.0012906-0.0015607i,-0.0015114-0.0010865i,-0.0014394-0.00098903i,-0.0010578-0.00091076i,-0.00067087+8.1046e-05i,-0.00050727+0.00051202i,0.00024924+0.00016003i,0.00049765-0.00040743i,0.00017598-0.0004063i,0.00041587-0.00078679i,0.0012582-0.00075356i,0.0010899-0.00033112i,0.00020902-0.00011157i,-0.0010301+0.00061592i,-0.0013799+0.00081931i,-0.00097711+0.00030874i,-0.00051319-0.0001522i,9.8629e-06-0.00053738i,0.0006578+0.0001238i,0.00050744+0.00081414i,-0.00037647+0.00053092i
0.00019111+7.5411e-05i,0.0014446+0.00024445i,0.0018678+0.00059103i,0.0013726+0.0004717i,0.00097553-0.00024094i,0.00035302-0.00063416i,-7.8498e-05-0.00041698i,-0.00011323-8.5083e-05i,0.00041194-0.00058055i,0.00036419-0.0010257i,-0.00026256-0.0010482i,-0.00098822-0.00070505i,-0.00055271-0.00040528i,-0.00011487+2.7051e-05i,8.4639e-05+0.00049556i,-0.0001228+0.0011578i,-0.00087253+0.00073519i,-0.0011354+0.00032294i,-0.00055005+0.00057897i,0.00019304-0.00067351i,0.00042105-0.0011683i,-0.00055699-0.00058192i,-0.0014922+0.00022572i
-0.00072087+0.00039037i,-0.0013994+0.00059624i,-0.002068+0.001081i,-0.0022525+0.0012313i,-0.0013146+0.00082853i,-0.00086266+0.00012662i,-0.00061926-0.00025356i,0.00066928+4.904e-05i,0.0011944+4.776e-05i,0.00032949-0.0011642i,0.00059165-0.0013115i,0.0010829-0.00076164i,0.00096131-0.00025261i,0.0008159-0.00040747i,0.0010966-0.00052026i,0.0011291-3.2462e-05i,0.0004905-0.00018223i,-0.00020459-1.8627e-05i,-0.00072924-5.3903e-05i,-0.0004085-0.00048933i,0.00015921+3.5503e-05i,0.00019511+0.00017227i,-0.00020804-0.00028123i
0.0010903-0.0021692i,0.00056039-0.0021822i,0.0014284-0.0033072i,0.0017968-0.0019896i,0.00057833-0.0012602i,-0.00098414-0.0008638i,-0.0013111+0.00088023i,4.3363e-05+0.0014395i,0.00035617+0.00027652i,-0.00013417-0.0009021i,0.00033732-0.0017085i,0.00055539-0.0020337i,-0.00027436-0.0015961i,-0.00081531-0.001259i,-0.00026507-0.00024885i,0.00031759+0.00020899i,-0.00024795+0.00025286i,-0.00083853+0.00062003i,-0.00029731+0.00071171i,0.00022449+0.00070514i,6.462e-05+0.00075901i,3.4109e-05+0.00072727i,-0.00035447+0.00049457i
0.00059306+0.0015855i,0.00057596+0.001053i,0.00099297+0.001312i,0.0013195+0.00085436i,0.0009632+0.00026945i,-0.00020168+0.00094223i,-0.00077865+0.00025682i,-0.00032166-0.00048267i,0.00043762-0.00036002i,0.00043035-0.00053877i,6.9137e-05-0.00087723i,0.00015396-0.00057035i,0.00052792+0.00046316i,0.0004407+0.00075434i,6.806e-05+0.00033947i,0.00028487-1.9413e-05i,0.00035967-0.00011046i,-0.00026861-1.1154e-05i,4.2053e-05-0.00031155i,0.00029987-0.00053167i,0.00018242-6.9199e-05i,0.00022823+0.00073459i,2.0567e-05+7.4229e-05i
0.0012424+0.00098661i,0.00050425+0.0018062i,4.8998e-05+0.00032136i,-0.00051462-0.00077303i,-0.0016188-7.862e-05i,-0.0016356+0.00019089i,-0.0011931+0.00012403i,-0.00034952+0.00051883i,0.001578+0.00053066i,0.001734-0.00043957i,0.00072174-0.0013875i,0.00052838-0.0024304i,0.00055338-0.0027389i,0.0010089-0.0015859i,0.0011783-8.6611e-05i,0.00058181+0.00046977i,0.00012054+0.00044388i,-6.1235e-05+0.00012888i,-0.00058038-0.00040502i,-0.00066651-0.00085799i,-0.00024072-0.00091381i,-0.00030929-0.00093155i,-0.00074603-0.00076448i
0.0020867+0.00034979i,0.0026705-0.00015549i,0.0028033+0.00083798i,0.0020371+0.0011217i,0.00142+0.00045111i,0.0003365-7.5981e-05i,-0.00081184+0.00030411i,-0.00084973+0.00053176i,0.00033749+0.0002381i,0.00083531-0.00010114i,0.00038504-0.00072392i,0.00072129-0.0018111i,0.0010076-0.0019255i,0.00078225-0.0014975i,0.00085989+4.0822e-05i,0.00092593+0.001017i,0.00079134+0.00011563i,0.0005728-0.00097319i,0.00078073-0.0016466i,0.00099049-0.0013894i,8.1259e-05-0.0010265i,-0.00043109-0.0010872i,0.00010937-0.00082547i
-7.7451e-05-0.00043046i,-2.1249e-05-0.00054264i,-0.00079554-0.00032677i,-0.0012953-0.00047892i,-0.00072131-0.00043745i,-0.00056514-0.00042827i,-0.00073411-0.0003075i,-0.00018429+0.00029793i,0.00048267+0.00011309i,0.00089879-0.00019912i,0.00030093-0.00058841i,-0.00017737-0.0016578i,-0.00012325-0.0014644i,-0.00061711-0.00066129i,-0.00059684-0.00079747i,-0.00044959-0.00033141i,-0.00026865+8.3913e-05i,7.5017e-05-0.00026824i,9.5428e-05-0.00064133i,-6.2318e-06-0.0011554i,7.5118e-06-0.0012876i,0.00015053-5.2591e-05i,0.00070009+0.00052404i
0.00061851+0.00044498i,-0.00017299+0.00044878i,-8.0762e-05-0.00010074i,0.00033869-0.00036996i,0.00028006-0.00086648i,-0.00016085-0.0004966i,-4.7288e-05+0.00071887i,-0.00015216+0.0014863i,1.9852e-05+0.0010744i,0.00043836-0.00019862i,0.00090143-0.00063176i,0.0012327-0.00053101i,0.00063334-0.00050182i,2.5435e-05-8.9493e-05i,-9.883e-05+0.00021886i,-0.00016123-0.00058025i,8.2706e-06-0.0011886i,7.8639e-05-0.00056955i,-1.4329e-05-0.00014761i,-3.8e-05-5.7669e-05i,0.00057292-7.1447e-05i,0.0010619+0.00046673i,0.00081518+0.00064536i
0.0012085-0.0028271i,0.0016016-0.0034948i,0.0013381-0.0024449i,0.0009245-0.00061596i,6.1879e-05-0.00036271i,-0.0005276+7.2276e-05i,-0.00062616+0.0013652i,-0.00027371+0.0013269i,0.00059678+0.00026597i,0.00040966-0.0005211i,-8.598e-05-0.0011042i,-0.00038462-0.0016577i,-0.00026546-0.0018197i,0.00054398-0.0015518i,0.00035557-0.00050571i,-0.0006123+7.8275e-05i,-0.00051861+9.9353e-05i,7.3954e-05+0.00046032i,0.00084913+0.00031551i,0.00013974-5.5419e-06i,-0.00089493-6.5795e-05i,-0.00073486+0.00036795i,-8.6064e-05+0.00052652i
-5.1006e-05+0.0014135i,0.00025237+0.0015585i,0.00019124+0.00085011i,6.4003e-05+0.00028695i,-0.00026683-0.00010579i,-0.0011958-0.00011329i,-0.00095465+0.00051429i,0.00070221+0.0014292i,0.00063684+0.00039545i,-0.00060445-0.00034954i,-0.0012075-1.8982e-06i,-2.2772e-05-0.00022884i,0.00032925+0.00016322i,-0.00027658+0.00088985i,0.00026315+0.00012092i,0.00038448-0.00014748i,-0.0002856+0.00075463i,-0.00017569+0.00060507i,-7.4332e-05-0.00036102i,2.936e-05-0.0003344i,4.5735e-05-5.0377e-05i,-0.00045915-0.00072118i,-4.7425e-05-0.0006335i
0.0016437+0.00069385i,0.0013336+0.00049728i,0.0014904+0.00016352i,0.0010082-0.00076213i,0.00070983-0.0013185i,0.00036829-0.00055276i,2.1884e-05+0.00070777i,0.00019034+0.00066444i,0.0012028-3.261e-05i,0.0017603-0.0003109i,0.0015554-0.0015325i,0.00068895-0.0023323i,-0.00035103-0.0013421i,-0.0003745-0.00047845i,0.00038757-0.0004095i,0.00076172-0.00050689i,0.00089044-0.00030627i,0.00052219+2.8213e-05i,0.00019155+6.3688e-05i,0.00033791-0.00018112i,0.00024082-6.5923e-05i,-1.2883e-05-0.00027327i,-0.00031463-0.00039907i
