-0.0022267+0.00012065i,-0.0009728-0.00016228i,-0.0021749+0.00070219i,-0.002087+0.00086356i,-0.0010155+0.00049106i,-0.00028112+0.00024838i,-0.00032654+0.00051957i,-0.00085674+0.00072242i,-0.00082068+0.00054191i,-0.00072724+0.00041705i,-0.00072316+0.00050764i,-0.00069189+0.00055753i,-5.0278e-05+0.00068776i,0.00034874+0.0011315i,-0.0002834+0.00071008i,-0.0003747+0.00085556i,-0.00022284+0.00071416i,-0.00013215+6.4918e-05i,-0.00063185-0.00065644i,-0.00032442-0.00042447i,0.00033817-0.00032559i,0.00028027-0.00025141i,8.0319e-06+0.00034527i
0.00078535-0.0014962i,0.0015068-0.0012836i,0.0025621-0.0014405i,0.0022438-0.0016448i,0.0011844-0.0010157i,0.00083936-0.00018321i,0.00078362-0.0004021i,0.00026738-0.00086939i,-0.00021086-0.00034682i,4.738e-05+0.00055495i,0.00031351+0.0011716i,0.00017078+0.001302i,0.00028527+0.00096672i,0.00029047-3.0745e-05i,5.6053e-05-0.00037954i,0.00032569+0.00018694i,0.00052427+0.00062978i,9.2098e-05+0.0010498i,-0.00024923+0.00068622i,0.0001032+0.00029373i,0.0005408+0.00079712i,6.0077e-05+0.0012115i,-0.00041344+0.0012532i
-0.00093932+0.0018361i,-0.0012254+0.0011575i,-0.0013427+0.001212i,-0.00073307+0.0010141i,-0.00035036+0.00031017i,-0.00065874-0.00080315i,-0.00073235-0.00063888i,-0.00064014-0.00022537i,0.00014432-1.9624e-05i,-0.00012662+0.00058674i,-0.00039043+0.0010273i,0.00046939+0.0015282i,0.00022481+0.0016423i,-0.00038066+0.0012811i,0.00033387+0.00060316i,0.00073077+0.00025241i,0.00012868+9.6904e-05i,-0.00026876+5.6501e-05i,-0.00070375-1.9398e-05i,-0.00021795-0.00081776i,0.00051597-0.00055008i,0.00038056+0.00023339i,0.00023272-6.8317e-05i
-0.0006402+0.0023864i,0.0011399+0.0021537i,0.0015194+0.0032494i,0.00073765+0.0027681i,0.0011512+0.00082457i,0.0013694-0.00034964i,0.00021423-0.0012168i,-0.0010525-0.0010421i,-0.00071125+8.2092e-05i,-0.00012699+0.00076693i,-0.00018782+0.0012009i,0.00051981+0.001613i,0.00040521+0.0016546i,4.7088e-05+0.001174i,-5.6057e-05+0.00041061i,0.00010464+0.00020401i,5.5085e-05+0.00036454i,-0.00043172+0.00087369i,-0.0007619+0.00057894i,0.00020073-0.00018774i,0.00044543+0.00031105i,-0.00060208+0.00069999i,-0.00096026+0.00044212i
0.00052038+0.0020311i,0.0011299+0.0021966i,0.00193+0.003625i,0.0022263+0.0034841i,0.0018402+0.00078957i,0.00077899-0.0012793i,-0.00025506-0.0013397i,-0.00048563-0.00059227i,-0.0006686+0.00039096i,-0.00057753+0.00081994i,2.324e-05+0.00078858i,-3.0429e-05+0.00043206i,0.0006797-0.00019383i,0.00084047-5.3829e-08i,8.4998e-05+0.00014699i,-0.00033589+2.6401e-05i,-0.00067993-0.00013365i,-0.00050462-0.00044894i,-0.00018281-0.00053499i,-0.00063529-0.00013767i,-0.0011456-5.4959e-05i,-0.0010399-0.00013725i,-0.00021273+7.9882e-06i
0.00050084-0.0013078i,0.00076266-0.0022275i,0.00043324-0.0027466i,-0.00025343-0.0031404i,-0.00035673-0.0024534i,-0.00059631-0.0016014i,-0.00031838-0.0018088i,3.2577e-05-0.0014424i,-0.0004124-0.00093932i,-0.0011511-0.00081724i,-0.0010511-0.00023017i,-0.00055668+0.00091451i,-3.9491e-05+0.0016894i,-0.00028474+0.0011155i,-0.0006405-0.00016853i,-0.00044031-0.00012602i,9.3424e-05+0.00054776i,0.00042098+0.00086877i,-6.6106e-05+0.00079138i,8.8555e-05+0.00012184i,0.00059524-0.00043562i,0.00057368-0.0001579i,0.00042823+0.00053733i
-0.0002515+0.0011977i,-0.00079326+0.00094463i,-0.00097056+0.00096746i,-0.0002538+0.00063612i,0.00074707-0.00046098i,0.00044088-0.0007107i,-0.00063856-0.00019307i,-0.00073963-5.3e-06i,-0.00014207+0.00013008i,-0.00022992+0.0009289i,0.0005906+0.0011423i,0.00073944+0.00054939i,0.00027008-0.00030811i,-0.00025127-0.0002193i,-0.00052306+0.00097746i,-0.0003305+0.00087994i,0.00016138+3.1505e-05i,0.00067155-0.00080094i,0.00013288-0.00070101i,-8.0541e-06+0.00037738i,-1.8954e-05+0.00054106i,-0.00012699-0.00012187i,3.9187e-06+0.00028483i
0.00054286-0.0020369i,0.0012099-0.0025151i,-8.1273e-05-0.0023742i,0.0001928-0.0013779i,0.0007062+0.00016429i,0.00052694+0.0011539i,0.0007497+0.00034379i,4.683e-05+0.00014355i,-0.00037746+0.00019941i,5.6492e-06+0.00022005i,0.00032965+0.00056627i,0.00067853+0.00066702i,0.0004079+0.00092607i,0.00021042+0.00066253i,1.4216e-05-0.00024408i,-0.00021634-0.00021053i,-0.00060911+9.2691e-06i,-0.00042053+8.6828e-06i,-0.00010103+0.00020831i,-0.00025055+4.0148e-05i,9.0712e-05-0.0003231i,0.00059369-0.00025276i,0.00042674+0.0004081i
-0.0017552+0.00058294i,-0.00095311-6.1462e-06i,0.00050035+0.00048206i,0.00052149+0.00011614i,-2.6772e-05-0.00079186i,0.00062125-0.0013281i,0.00059779-0.0006961i,-8.6022e-05-0.00048915i,-0.00054844-0.00014551i,-0.00063121+0.00064573i,0.00041938+0.00061608i,0.00061999+0.00033767i,0.00060195+0.00014732i,0.00086625+0.00013311i,0.00022225+2.7167e-05i,3.0509e-06+0.00051061i,0.00028357+0.00040066i,0.00077902+0.00011015i,0.0002804+0.00072803i,-0.0006744+0.00057116i,-0.00041474+0.00045513i,9.9432e-05+0.001362i,-6.9086e-06+0.0012016i
-0.001685-0.00062332i,-0.0019915+0.00032628i,-0.0018293+0.00040151i,-0.0013011+0.00010158i,4.7279e-05+0.0001755i,0.00066213-0.00048771i,-3.8675e-05-0.0013705i,0.00032039-0.00099087i,0.00032269+0.00014539i,-0.00070129+0.00079774i,-0.0012962+0.00099407i,-0.0010365+0.0012767i,-9.0614e-05+0.0013014i,0.00010978+0.00081093i,-0.00025511+0.00049985i,-0.00041112-0.00025835i,-0.00014511-0.00029703i,-7.5679e-05+0.00012514i,-0.00045174-0.00053783i,-0.00047334-0.00064582i,-0.00043979+0.00041227i,-0.00069079+0.00069214i,-0.00033437+0.00024211i
-0.0014265-0.0004795i,-0.0011496-0.00080519i,-0.00067352-0.001219i,0.00026153-0.0012047i,-5.6629e-06-0.00057162i,-0.00016192-0.00023011i,0.00030891-0.00026126i,0.00010385+0.00022251i,-0.00052402+0.00036374i,-0.0013757+0.00045981i,-0.0011642+0.00084144i,-0.00029297+0.0008916i,0.00014929+0.0010751i,0.0011477+0.0012817i,0.00083716+0.00068046i,0.00038054+0.00040378i,0.0002907-0.00016359i,0.0002044-0.00085715i,0.00036326-0.00048758i,0.00028834-0.00031618i,0.00023148-0.00015374i,-0.00028838+0.0004889i,-0.00010909+0.00078751i
