-0.00087406-0.00025407i,-0.0020792-0.00023802i,-0.0032252+0.00078926i,-0.00305+0.0014502i,-0.0027262+0.00087922i,-0.002171+0.00087516i,-0.0014934+0.0021528i,-0.00041693+0.0031401i,0.0012841+0.0023918i,0.0024233+0.00080225i,0.0024406+0.00030514i,0.0019287+0.00070405i,0.00088151+0.00064348i,-0.00042071+0.00023353i,-0.00073075+0.00011312i,-0.00030527+1.3683e-05i,-0.00051816-9.15e-05i,-0.00056949-0.00027137i,-9.5781e-05-0.00055134i,0.00028982-0.00019362i,5.541e-05-3.8869e-05i,-0.00082302+0.00020787i,-0.00096378+0.00046973i
0.00074663-0.0044388i,0.001179-0.004789i,0.00086099-0.0038202i,-4.4756e-05-0.0021349i,-0.0010333-0.0010408i,-0.0012914+0.00015307i,-0.00070422+0.00018098i,-0.00025145+0.00014655i,0.00020502+0.00046363i,0.00055669+0.00029408i,0.00048906+0.00012184i,0.00051327-0.00054476i,0.00048605-0.0011421i,0.00036308-0.0011234i,-0.00026001-6.9824e-05i,-0.00060113+0.00015498i,-0.00015507-0.00046087i,-0.00030343-0.0011214i,-0.0016747-0.0013181i,-0.0009503-0.0012271i,0.00038834-0.0011736i,0.00041762-0.00061229i,-0.00037838-0.00021949i
0.00023624-0.0013644i,0.00060541-0.0010976i,0.00046338+5.7244e-05i,0.00019429+0.00039574i,-0.0011328-6.4555e-05i,-0.0017475-0.00017947i,-0.0005553-0.00011555i,-0.00016191-6.5942e-05i,-0.0001233+0.0010316i,0.00039912+0.0016546i,0.00098084+0.00096804i,0.00085978+0.0003523i,0.00062965-0.00030882i,0.0002971-0.00098439i,-0.00010073-0.00052067i,0.00042694-3.5885e-05i,0.00021712-6.052e-06i,-0.00099862-0.00017299i,-0.0015155-6.8956e-05i,-0.00087184+0.00034128i,-0.00042262-0.00016626i,-0.0004165-0.00024399i,-0.0010867+0.00040234i
-0.0017851+0.0019458i,-0.0018517+0.0021522i,-0.0017687+0.002011i,-0.00097544+0.0018207i,0.00051992+0.0016617i,0.00068186+0.00098302i,4.859e-05-0.00018519i,-0.00021439-5.1523e-05i,-5.3052e-05+0.0014125i,0.00079661+0.0009625i,0.0016828-1.8441e-05i,0.0018714-0.00013952i,0.00166+1.8794e-05i,0.0013191+0.00011728i,0.00086397-0.00016685i,0.00083627-0.00036167i,0.00033616-0.00045461i,-0.00027524+4.7877e-05i,-0.00054431+0.00064027i,-0.0010263-9.9263e-05i,-0.00061297-0.00035631i,-0.00027392-0.00025984i,-0.0001574-0.00053802i
-0.00011167-0.0011265i,-0.0014577-0.0011166i,-0.0019807-0.0001851i,-0.00075622+9.0666e-05i,-0.00027808+0.00015042i,5.539e-05-0.00013252i,0.00035016-0.00053163i,6.762e-05-0.00028697i,0.00033037+0.00014058i,0.00092045+0.00042816i,0.0012077+0.00034437i,0.0013212+0.00054866i,0.00082299+0.00054987i,0.00060075+0.00066164i,1.2867e-05+0.00075625i,-0.00042829+9.1073e-05i,-0.00035802+2.248e-05i,-0.00045441+0.00033185i,-0.00029744-0.00014816i,0.00014107-0.0005911i,0.00061894-0.00040199i,0.00028192-0.00020697i,-0.00049821-2.3389e-05i
-0.00037681+0.0013922i,0.00016541+0.0014705i,0.00079761+0.0012881i,0.0007281+0.0014944i,0.0003685+0.0011325i,-0.00031546+0.00034808i,-0.0011436-6.2854e-05i,-0.0014123+0.00059285i,0.00026851+0.002067i,0.00099524+0.0021812i,0.0011825+0.00079316i,0.001506-0.00032985i,0.0011886-0.00073485i,0.00030992-0.0004977i,-0.0001523-0.00037338i,0.00029194-0.00098059i,0.00032135-0.00059694i,-0.00049775+0.00033851i,-0.00033229+0.00019247i,0.00048614-4.5861e-05i,0.00076546-0.00027062i,0.00062502-0.00075465i,0.00029257-0.00087373i
-0.00063686+0.0011818i,-0.0016686+0.00021927i,-0.0017952+0.00015839i,-0.0010899+9.1443e-05i,-0.00048313-0.00045949i,-0.0007551-0.00064656i,-0.00043717-0.00013239i,0.00020612+0.00088664i,0.00081479+0.0014334i,0.0020955+0.0009123i,0.0028612+0.00022729i,0.0026248-0.00015201i,0.0022605-0.00061222i,0.0014397-0.00052111i,0.00042118-6.4946e-05i,0.00073259-2.0533e-05i,0.00060047-0.00035779i,-0.00012278-0.0002772i,-0.00024863+0.00056585i,-0.00043442+0.00098568i,2.1007e-06+0.0012648i,9.2865e-05+0.0011029i,-4.2714e-05+0.00069851i
0.0012565+2.8628e-05i,0.0013961+0.0012989i,0.0016273+0.0014953i,0.001359+0.00037398i,0.0013012-0.00039212i,0.00077888-0.00065991i,-0.00054291-0.00084843i,-0.00063169+0.00026935i,0.00059897+0.0016535i,0.001054+0.0018915i,0.0016664+0.0014398i,0.0027563+0.0010204i,0.0027309+0.00059137i,0.0012474+0.00044325i,-0.00066973+0.00020742i,-0.0017819-0.00056605i,-0.0015152-0.00034672i,-0.00055721+0.000323i,0.00018684-4.6813e-05i,0.00012498-0.0003642i,-3.3876e-05-0.00046242i,3.7833e-05-0.00066058i,5.7634e-05-0.0006822i
0.0010067+0.001402i,0.00044149+0.0016004i,-2.7209e-05+0.0010492i,-7.0508e-05+0.00099956i,-5.2635e-05+0.00054073i,-0.00047945-0.00047344i,-0.00062202-0.00014687i,-0.00045167+0.00093819i,7.3271e-05+0.00079699i,0.0012669+9.4352e-05i,0.0021737+0.00040477i,0.0024466+0.00068858i,0.0018032+0.00089573i,0.00082827+0.00077412i,2.2467e-05+0.00039413i,-0.00036262-0.00020415i,-2.3271e-05-0.00041686i,1.8921e-05-0.00023599i,0.00029417-0.00010071i,0.00045786+0.00026456i,0.00015228+0.00041807i,-1.1787e-05-0.0006348i,-0.00030802-0.0011007i
0.00042312-0.0004782i,0.00095671-0.00049292i,0.0013644-0.00011773i,0.0012446-0.00065607i,0.00076181-0.00099406i,-0.00048565-0.0014069i,-0.00040431-0.00078413i,3.7399e-05+0.0005271i,0.00024931+0.00097835i,0.0012673+0.00042875i,0.0015475+2.0785e-05i,0.0017186+0.00022259i,0.00094121+0.0003542i,7.1273e-05+0.00035831i,0.00057725-0.00019859i,0.0011635-0.00014823i,0.00050816+2.7999e-05i,-0.0011419-2.1118e-05i,-0.0013592+0.00039704i,6.068e-05+0.00056912i,0.00059587+5.1412e-05i,0.00058954-0.00034047i,0.00080083-0.00025233i
-0.0016987-0.00059731i,-0.00046713+0.00037181i,-0.00033519+0.00010842i,-0.001105-0.00054068i,-0.0015007+0.0004347i,-0.001236+0.0012413i,-0.0015834+0.0010708i,-0.0017499+0.00048978i,-0.00052279+0.00057364i,0.00047285+0.0015022i,0.0006303+0.0015698i,0.0011634+0.00048264i,0.0020896-0.00015616i,0.0019406-2.2379e-05i,0.00095082-0.0003368i,-0.00041338-0.0010309i,-0.0010141-0.00062133i,-0.00080573-0.00011975i,-0.0007235+0.00013458i,3.5735e-05-0.00012163i,-0.00017323-0.00078311i,-0.00060367-0.0010288i,0.00017683-0.0011713i
