0.0011892-0.0007388i,0.0021432-0.00083218i,0.0018878-0.00015537i,0.0010164+0.00063322i,0.00068645+0.0012612i,0.00052328+0.0015745i,-0.0001792+0.00096589i,-0.00060545+0.0008312i,-0.00016338+0.00074558i,0.00041148+0.00037359i,0.00066771+0.00034583i,0.00062892+0.00047133i,-0.00020571+0.00041286i,-0.00025074-4.7886e-05i,0.00027726-0.00061797i,0.00030965-0.00071159i,0.00022415-0.00025232i,5.7284e-05-0.00045428i,0.00031388-0.00051295i,-0.00022847+0.00013403i,-0.00064162+0.00048134i,-6.9152e-05-0.0002404i,0.00031989-0.00030904i
0.00043807-0.00033232i,0.0016588+0.0013466i,0.0021165+0.0027604i,0.0020546+0.0022748i,0.0013037+0.00086403i,0.00041158-0.00026497i,0.00069251-0.00044124i,0.00047924-0.00022687i,-0.00038528-0.00036153i,-0.00010579-0.00047789i,0.00067471-0.00040541i,0.00093165+1.3442e-05i,0.00071432+0.0006782i,0.0004586+0.00051659i,-9.3969e-05-0.00037728i,-5.5114e-05-0.0010639i,-2.1237e-05-0.00089393i,7.5999e-05-0.00038481i,0.00057457-0.0004891i,0.00081269-0.00048919i,0.00092682-0.00018424i,0.00047093-0.00043236i,-0.00011023-0.00038831i
0.00036208+0.0021354i,-0.00023004+0.0026812i,0.00084855+0.0013202i,0.00084698+0.00059576i,-0.00068247+2.0634e-05i,-0.0018124-0.00014336i,-0.0013014+0.0005304i,-0.00035432+0.00077836i,0.00039001+0.00085356i,0.00041516+0.00045474i,-0.000107-0.00012475i,-0.00052375+8.043e-06i,-0.00039059+0.00013399i,-0.00036555+0.00045715i,-0.00052687+0.00033428i,6.4986e-05+7.9923e-05i,6.8473e-05-0.00031716i,-0.0001713-0.00022346i,-0.000362+9.4162e-05i,-0.00011528-0.00027745i,0.00043806-0.00057028i,-7.2807e-05-0.00017759i,-0.00027094+0.00021232i
-0.00035693+0.00034834i,0.00016188+0.001107i,0.0006022+0.00075169i,0.00042369+0.00059457i,0.0003557+0.00048412i,0.00047148+0.0010778i,0.00026239+0.00091275i,0.0003863+0.00046707i,0.00058457+0.00042164i,0.00028766+0.00027028i,7.0706e-05+0.00042788i,-0.00036577+0.00024473i,-0.00082884+0.00075258i,-0.00080532+0.0014364i,-0.00033366+0.00076377i,-0.00047213+0.0005549i,-0.00037914+0.00041673i,-0.00049849+0.00011008i,-0.00078902-4.3676e-05i,-0.00063094+0.00021734i,-0.000773+0.00018208i,-0.00064622+2.7544e-05i,-2.6583e-05+0.00022362i
0.00051974-0.0014862i,0.00053733-0.0011813i,0.00036796-1.6316e-05i,0.00051542+0.00087551i,-0.00025906-0.00031274i,-0.0010523-0.0010148i,-0.0010581-0.0016043i,-0.00052295-0.00075026i,-0.00045958+0.0006522i,-5.714e-05+0.00037241i,0.00081352-0.0003493i,0.00099806-0.00046719i,0.00051808-7.4539e-05i,0.00024286-0.00051189i,0.00081941-0.00096577i,0.00078802-0.0010344i,-6.0548e-05-0.0012096i,-0.00047798-0.0014903i,-0.00053158-0.0010622i,-0.00014371-8.2475e-05i,0.00029062+0.00030179i,7.6269e-05+0.00053596i,-9.8415e-05+0.00085891i
0.0010483-0.00020045i,0.0016373+0.00038067i,0.0023318+0.00060668i,0.0019029+0.00047983i,0.00066315+0.0010414i,-0.00063768+0.0011675i,-0.0011991+0.00066188i,-0.0003673+0.00050969i,0.00022498+0.0004027i,0.00042599+0.00014489i,0.00035534+1.174e-05i,-6.6762e-05+0.00016134i,9.8206e-05+0.00068792i,0.00051831+0.0005688i,0.000492+4.3435e-05i,0.00092179-0.00041139i,0.001118-0.00065473i,-3.7376e-05-3.6595e-05i,-0.00051021+0.00040968i,-8.791e-05-0.00021189i,0.00069588-0.00033976i,0.0010033-0.00012982i,-5.0657e-05+2.6515e-05i
-3.7904e-05+0.00042529i,0.00012536+0.00026804i,-0.00027467+0.00049382i,-0.00032785+0.0015368i,5.4168e-05+0.0018977i,0.00018961+0.00064712i,8.9898e-05-0.00015347i,-7.1711e-05+0.00034412i,-0.00029721+0.00019048i,-0.00016995-0.00025246i,8.3365e-05-0.00038477i,-0.00014904-0.0001208i,-0.00029167-9.6317e-05i,-8.562e-05+0.00017723i,-9.6019e-05+0.00047591i,-0.0002745-5.6227e-05i,-0.00060729-0.00024213i,-0.0010194-3.4251e-05i,-0.00092071-0.00013501i,0.00035303-0.00013975i,0.00019161-0.00024102i,-0.00075543-0.00022803i,-0.00014942-0.00021378i
0.00056421+0.0012539i,0.00032591+0.0020369i,0.0010268+0.0019861i,0.0011144+0.000888i,0.00017571-5.9125e-05i,-0.00090156-0.00026248i,-0.0013171+7.9126e-05i,-0.00086256+0.0005764i,-0.00092304+0.0006596i,-0.00053487+0.00039327i,0.00018139+0.00029965i,0.00049256-0.00018255i,0.00052732+7.8347e-05i,0.00057676+0.00084022i,0.00013195+0.00068369i,9.8984e-05+0.00078393i,0.0010866+0.00096105i,0.0010871+0.0010877i,0.00042687+0.001017i,0.0003559+0.00082752i,0.00057864+0.00081146i,0.0004676+0.001044i,1.9037e-05+0.00097345i
0.00040492-0.00017077i,0.0010272+0.00033347i,0.0012963+9.2588e-05i,0.00091558+0.00014507i,-3.0526e-05+0.00078624i,-0.00077014-0.00019125i,-0.00014556-2.5298e-05i,0.00057446+0.0012215i,2.1028e-07+0.0010806i,-0.00047998+0.00028035i,-0.0001037+0.00017728i,-4.6502e-05+0.00056243i,0.00022222-0.00029447i,0.00045371-0.0010284i,3.6525e-05-0.0004637i,-0.00016065-0.00030003i,-0.00012333-0.00047542i,0.00016352-4.3709e-05i,0.0010443+0.00077275i,0.00045692+0.00013961i,-0.00043233-0.00022842i,-0.00012305-0.00027517i,-0.00012877-0.00046849i
0.00070503-0.00092175i,0.00029661-0.00076457i,0.00056511-0.00023649i,0.00013121+0.00047053i,-0.0014523+0.00068115i,-0.0018956+0.001029i,-0.00091991+0.00051071i,-9.5955e-05+0.00011717i,-0.00030314+0.00029749i,-0.00068947+7.9013e-05i,-0.00036044+0.00019521i,-6.0801e-05+6.4006e-05i,0.00029659+1.0688e-06i,0.0003307+0.00027565i,-0.00018227+0.0002098i,-0.00031466-0.00025227i,-0.00035092-0.00016551i,0.0002944+0.00069205i,0.00069227+0.0011204i,0.00064101+0.00070955i,0.00046712+0.00036663i,5.0213e-05+0.00066122i,-0.00013854+0.0010931i
