-0.00026261+0.0016713i,-0.0005717+0.0008461i,-0.00042029+6.9511e-05i,0.00095847-0.00062921i,0.00078685+0.00016541i,-0.00086356+0.001187i,-0.0010115+0.00093552i,-7.7417e-05+0.00069362i,0.00025472+0.0012438i,0.0004008+0.00091668i,0.0002695-0.00030297i,0.00053186-0.0014216i,0.0010556-0.0011312i,0.00063596-0.00081858i,0.00042384-8.4834e-06i,-0.00029387+0.0004036i,-0.00092345+0.00069338i,-0.00073238+0.0010238i,-0.00039723-0.0001538i,4.194e-05-0.00059182i,5.7272e-05-0.00012694i,-0.00049202-9.9425e-05i,-0.0003539-0.00040569i
-1.1621e-05-0.0011325i,-6.1749e-05-0.00097533i,-0.00016195+8.4889e-05i,-0.00095737+0.0012399i,-0.00087488+0.0016701i,-0.00014258+0.0015177i,-0.00021664+0.0011296i,1.6148e-05+0.00042114i,0.00041927+0.00019089i,0.00066402+0.00016987i,0.0013964+0.00021633i,0.0016556-6.5518e-05i,0.0011266+0.00015058i,7.4443e-05+0.00042862i,0.00037905+0.00018933i,0.00096963+0.00023508i,0.00078451+0.00066736i,0.00036858+0.00019147i,-0.00050852-0.00068539i,-0.0012944-0.00031831i,-0.00050163+0.00011346i,0.00067553+0.00072291i,0.00096704+0.00061285i
0.00080838-0.00034707i,0.0010212-0.00017162i,0.0014934-0.0010728i,0.001328-0.0018252i,0.00074158-0.0015425i,0.00032328-0.001143i,-0.00036819-0.00077217i,-0.0010241-0.00052595i,-0.00055698-0.00011992i,0.00014209+5.2105e-05i,0.00044209+0.0007074i,0.0010484+0.0014525i,0.0013931+0.0012553i,0.000681+0.00021928i,-3.5031e-05+5.6779e-05i,-4.1275e-05+0.00064987i,0.00036833+0.00047561i,0.00052626+0.00010536i,0.00020789+0.00030147i,-7.7091e-06+0.00059011i,0.00023067+0.00065832i,0.00049988+0.00079975i,0.00025492+0.00059214i
0.00039788+0.00021947i,0.00052869+0.00051638i,0.00020158+0.00088647i,-0.00046319+0.0011709i,-0.0005041+0.0013343i,-0.00052972+0.00059072i,-0.00054764-0.0011011i,-0.00033453-0.0016609i,0.00063571-0.0010612i,0.0013629-0.00027438i,0.001305-0.00046764i,0.0010957-0.00066021i,0.00059204+0.00025656i,0.00086749+0.0006926i,0.00093771+0.00030629i,7.282e-05+0.00045163i,-0.00087423+0.00015145i,-0.00033176-0.00026493i,0.00043817-0.00017055i,3.0753e-06-0.00019295i,0.00026592-0.00052087i,0.00055464-0.00030917i,-4.7008e-05+0.00011921i
-0.00051823+0.0013497i,-0.00044165+0.0010863i,-0.00032835+0.00063993i,-5.3749e-05+5.2582e-05i,0.00019311-0.00031638i,0.00030627-0.00034664i,0.00020658+2.7445e-06i,-0.00068692+0.00062654i,-0.0012113+0.00078048i,-0.00027748+0.00059426i,0.00052365+0.00071814i,0.0013156+0.00090151i,0.0020352+0.00093266i,0.0014923+8.2066e-05i,0.0008009-5.5443e-05i,0.00020772+0.00080411i,0.00021692+0.0008732i,0.0001286+0.00089279i,-6.9192e-05+0.00086054i,4.5037e-05+0.00019036i,0.00029706-0.00025851i,0.00075762-0.00037118i,0.00027329-0.00020089i
0.00063179-0.00033094i,-0.00035046-0.00016389i,-0.00010006-4.4607e-05i,0.00059609-0.00055403i,0.00037941-0.00061513i,0.00041229-0.00035695i,0.00033962-0.00075826i,-1.3689e-06-0.0011359i,-0.00072147-0.00066665i,-0.00088738-0.00016606i,-0.00013563+0.00023785i,0.00028551+0.00071224i,0.00087633+0.0012914i,0.00069698+0.00055098i,0.0003435-0.00021976i,0.00029672+6.2127e-05i,0.00047466+2.1833e-06i,0.00051095-0.00056148i,0.00051973-0.00010753i,0.001182+0.00026605i,0.00085283+0.00011476i,-0.00049406+3.4407e-05i,-0.001069-0.00014238i
-0.0014555-0.0010509i,-0.0021919-0.00097302i,-0.0023035-0.0016547i,-0.0016516-0.00055454i,-0.0014859+0.00032882i,-0.0014378+0.00014864i,-0.0004311-9.4127e-05i,0.0011144-0.00035186i,0.0014491+3.9778e-05i,0.00040537+0.00030153i,-5.8792e-05+0.00013227i,2.5781e-05+0.00021921i,0.00010849+0.00057757i,0.00035372+0.00034476i,0.0007027+0.00059815i,0.00070957+0.0014323i,0.00024116+0.0015496i,0.00041139+0.0016187i,0.0010397+0.00024272i,0.00065461-0.00060614i,-0.00020456-0.00014834i,-0.00031363+0.00012063i,0.00033413-0.0002449i
0.0015594-0.0011468i,0.0014884-0.00044707i,0.0018556-0.0019756i,0.0020124-0.0024229i,0.00087619-0.0011268i,-0.00041474-0.00088633i,-0.00060862-0.00080584i,-0.00063528-0.00020826i,-0.00026494+0.0010237i,0.00062922+0.0015273i,0.00086001+0.0010005i,0.00098098+0.00068244i,0.0010838+0.00043084i,0.0009684-0.00023426i,0.00097651-0.00057157i,0.00044433+0.00024783i,-0.00019071+0.00041225i,-0.00037077-0.00015449i,-0.00023248-6.3166e-05i,-0.00050528+0.00010529i,-0.0004083+0.00023317i,-0.00021997-0.00013914i,-0.00021254-0.00037192i
-0.00030845-2.964e-05i,0.00024895-0.0010791i,0.0012698-0.00036225i,0.00042251-6.3454e-05i,0.00033457-0.00014785i,0.0003728+0.00012266i,-0.00016677-0.00047775i,0.00027456-0.00030091i,0.00098647+0.0005057i,0.00046649-0.00013483i,0.00052101-0.0003028i,0.00097328+0.00063048i,0.00054988+0.0011997i,0.00021782+0.000934i,0.00084456+0.00044056i,0.0010287+9.4347e-05i,0.00032556+0.00014495i,-0.00026051+0.00015104i,-0.00024728-7.5133e-06i,-0.00023553+0.0005454i,-0.00018951+0.00058579i,-0.00037229+8.5265e-05i,-0.00043963+0.00028045i
0.0014872+0.00035311i,0.00089651-0.00076597i,0.0011492-0.00027694i,0.0012294-0.00039707i,0.00020993-0.0005183i,-0.00056812-0.00046232i,-0.0014971-0.00033416i,-0.0012039+0.0004147i,-0.000328+0.00050353i,0.00016085+0.00035918i,0.0010575+0.00077103i,0.0020091+0.00080826i,0.0020615+0.0007345i,0.0016942+0.00064535i,0.0010256+0.00046871i,0.00017329+0.00030276i,0.00016237-0.00010682i,-0.00036386-0.00074401i,-0.00036795-0.0011793i,0.00039876-0.00045561i,0.0004892+0.00023313i,0.00060262-7.5678e-05i,0.00087282-0.00031125i
0.00019377-0.00082977i,0.00025111-7.781e-07i,-0.0005677+0.00020842i,-0.00010008+0.00037724i,0.00029947-0.00018777i,0.00042419-0.00012122i,0.00058305+0.00090172i,-0.00036513+0.00074601i,-0.00070418+0.00032417i,-0.0006104+0.0010859i,-0.00045866+0.0011767i,0.00049681+0.00042247i,0.0010055+0.00051981i,0.00061354+0.00068975i,-0.00018275+0.00023128i,-7.3784e-05+0.00026063i,0.0007037+0.00056067i,0.00078766+0.00038253i,0.00067402-1.7034e-05i,0.00030564-0.00063559i,-2.7157e-05-0.00096804i,0.00022793-0.00033785i,0.00014791+0.00046746i
0.00070449+0.0010627i,-0.00011331+0.0017644i,-0.00074601+0.001822i,-3.5369e-05+0.0022318i,-0.00038825+0.0015195i,-0.0014147+0.00017221i,-0.0010837-0.00041082i,0.00029465-0.00060392i,0.00057589-0.00045424i,0.00038672+0.00011569i,0.00024582+0.00053948i,0.00014848+2.5646e-05i,2.6093e-05+0.00052923i,-0.00038464+0.00064711i,-0.00021243-0.00027777i,0.0005108-0.00072233i,0.00063125-0.00073383i,0.000622-0.00059028i,0.00074146-0.00019102i,0.00039397+0.00030707i,0.00012561-0.00022561i,-0.00033403-0.00022953i,-0.00030992+0.00042182i
-0.00065063-0.001141i,-0.0013011-0.00046919i,-0.0013463-0.00020513i,-0.00066065-0.00087014i,-0.00042832-0.00037793i,-0.00032227+0.00025072i,-9.3673e-05+0.00034249i,0.00013368+0.00084631i,9.6323e-05+0.0011425i,0.00025902+0.0012693i,0.00018772+0.00079449i,-0.00023961+0.00049215i,4.8277e-05+0.0010636i,0.00034208+0.001454i,-0.00027412+0.0015198i,-0.00035296+0.00090454i,0.00012228+6.8401e-05i,0.00013573+0.00013374i,0.00014385+0.00015093i,0.00071001-0.00012256i,0.0013779-0.00029223i,0.000955-0.00033999i,-5.1041e-05-0.00021398i
0.0027382+0.001654i,0.003055+0.0016615i,0.002243+0.00098545i,0.0016442+0.00044744i,0.00070419+5.1467e-05i,-0.0004809-0.00026881i,-0.0012894-9.6759e-05i,-0.0013323+0.00011698i,-0.00015279-0.00063332i,0.00019565-0.0010379i,-9.4398e-07-0.00021507i,0.00071223-0.00017848i,0.0013822-0.00022295i,0.0011711+0.00039342i,0.00070061+0.00061108i,0.00048607+0.0005708i,0.00055978+0.0002818i,0.00083461+3.3869e-05i,0.0010291+0.00026054i,0.00085858+0.00057107i,-0.000284+1.9459e-05i,-0.00036371-0.00024976i,2.388e-05+0.00023726i
0.00079468+0.00075142i,0.0017871+4.6021e-05i,0.0016481+7.2287e-05i,0.00077748+0.00093276i,3.5448e-05+0.00050632i,0.00011051-0.00046978i,-0.00017714-0.00066681i,-0.0001718+0.00024008i,0.00021149+0.00031946i,0.00048685-0.0002865i,0.00052554+8.2746e-05i,0.00072916+0.0010144i,0.00045038+0.00084971i,0.00034329+0.00029526i,0.00050911+0.00055084i,0.00023684+0.00059509i,0.00023826+0.00052495i,0.00046415+0.00023303i,0.00090544+0.00024701i,0.0011693+0.00012926i,0.00071285-0.0008124i,0.00020877-0.00037512i,0.00040588+0.00049088i
0.00074778+0.0020143i,0.00014877+0.002292i,-9.1688e-05+0.0012896i,0.00034629+0.00016235i,0.00047754-3.5142e-05i,0.00018599+8.5832e-05i,-0.00047666-0.00050008i,-0.00015479-0.0006942i,0.00045514-4.4244e-05i,0.00029672+0.00034248i,0.00021268-5.9243e-05i,0.00064762+0.00011484i,0.0011405+0.00031452i,0.0012014+0.00028232i,0.0003498-2.6109e-05i,-0.00022175+0.00048841i,-3.5113e-05+0.00037724i,-8.2396e-05+0.00052336i,-0.00021816+0.0012898i,-0.00022539+0.00013322i,8.3548e-05-0.00062192i,-0.00014183-0.00042432i,-0.00054363+0.00012945i
-0.0011457+3.627e-06i,-0.0011663-0.00053291i,-0.00053955-0.00015688i,-0.00084837+0.00039623i,-0.0013982+1.2001e-05i,-0.0011911-0.00038793i,-0.00080636-0.00039115i,-0.00083581-3.5498e-05i,-0.00054129+0.00024886i,0.00061951+0.00017043i,0.0012909-9.5513e-05i,0.0011509+0.00027444i,0.00071586+0.00080551i,0.00021858+0.0011445i,-0.00012745+0.0016686i,0.00042136+0.0015888i,0.00058119+0.0007072i,0.00048144+0.00026534i,0.00042758+0.00027846i,-7.8193e-05+0.0004655i,-3.9289e-05-0.00014558i,0.00024284+2.3854e-05i,1.0045e-05+0.00057818i
-0.0012466-0.00014483i,-0.0013352-0.0008813i,-0.0010145+0.00029664i,-0.00015886+0.0014808i,0.00026897+0.001299i,0.00060626+0.00012322i,0.00029948-0.00041191i,-2.5584e-05-7.796e-06i,-0.00017378+0.00027211i,-1.0197e-05+3.5012e-05i,3.7405e-05+3.3483e-05i,-1.3708e-05+0.00027754i,0.00077382-3.6897e-05i,0.0011599+5.9556e-05i,0.00068727+0.00016951i,0.00033445-0.00019923i,0.00059465-0.00059407i,0.00066163-5.5515e-05i,0.0005236+0.00092512i,0.00038858+0.00051745i,0.0001044-0.00068655i,-1.6228e-05-0.00065866i,-0.00021274-0.00038007i
0.0025061+0.00044568i,0.0035664-0.0012307i,0.0030538-0.0021285i,0.0013145-0.0025275i,0.00029098-0.0021114i,-0.00075759-0.00091349i,-0.00090386-0.0001124i,8.0836e-05+0.0003193i,0.0008962+0.00019679i,0.0012221+0.00029704i,0.0015687+0.00075963i,0.0015889+0.00055752i,0.001041+0.0004567i,0.00039904+0.00078967i,0.00028326+0.00072899i,0.00034803+0.00020766i,0.00023642+4.7542e-05i,-0.00021897-0.00013771i,-0.00023355+0.0002822i,-0.00037946+0.00048578i,-0.00044639+4.4577e-05i,-0.00055728-0.00028974i,-0.0011657-0.00074008i
-0.00049572-0.0014749i,-0.0011033-0.00027064i,-0.0011285+9.4122e-05i,-0.00050416+0.00035395i,-0.00036963+0.00058777i,-0.00045542+0.0005726i,-0.00012463+0.00024104i,5.1025e-05-0.00029984i,-0.0002894-0.00065341i,-0.00050615-0.00019486i,0.00019308+0.00011478i,0.0013722-0.00015881i,0.0011899+0.00044881i,0.00057198+0.00080043i,0.00058883+0.0010236i,0.00026291+0.0018298i,-0.00016026+0.00079153i,8.7832e-05-0.00053508i,0.00052839-0.00067985i,0.00061802+0.00011291i,-4.4841e-06+0.00080988i,-0.00018753+0.00053082i,0.00011526-0.00017536i
-0.00048119+0.00082468i,-0.00022031+0.0005054i,-0.00046626+0.0015597i,8.3628e-05+0.0020636i,0.00021745+0.0013454i,-0.00035006+0.00044139i,-9.8373e-05+0.00042493i,-9.6277e-05+0.00048898i,-0.00070853+0.00079402i,-0.00037231+0.00062752i,0.00098979-8.7903e-05i,0.0014222+3.3487e-07i,0.00082804+0.00050171i,0.00056637+0.0010607i,0.00013976+0.00017212i,-0.00015763-0.00037854i,-0.00010073-0.000275i,0.00025912-0.0007961i,0.00099525-0.00038995i,0.00040621-0.00025749i,-0.00032644-0.0010299i,-4.8213e-05-0.0010135i,-0.00025369-0.00054146i
