0.00090892-0.00079819i,-0.00018606-0.0014019i,-0.0012084-0.0019495i,-0.0018507-0.0010332i,-0.0015747-0.00059874i,-0.000774+0.00053963i,0.00059546+0.0016635i,0.0012385+0.0021584i,0.0010506+0.0013772i,0.00018301-0.00010538i,-0.00014925-0.0007144i,-0.00015442-0.0003436i,-0.00017916-3.2954e-06i,0.00070631+0.00093615i,0.00044852+0.0018585i,-0.00071446+0.0009435i,-0.0011751-0.00045239i,-0.00066619-0.0008677i,0.00012284-0.00094527i,0.00021745-0.0010347i,-0.00031341-0.00091623i,-0.0008136-0.00051702i,-0.00079872+1.1569e-05i
0.0017615-0.00050175i,0.00071917-0.0010781i,-0.00041403-0.00046262i,0.00018228-0.00032226i,0.0011331-0.00056772i,0.00099271-6.2079e-05i,0.00017409+0.00084385i,-4.234e-05+0.00094542i,-9.1691e-06+0.00037498i,8.8829e-05+0.00058545i,-0.00021606+0.00060083i,-0.00092699+0.00018294i,-0.00019994+0.00027077i,0.00032144+0.00015372i,-0.00032129+7.3138e-05i,-0.00011517-0.00018035i,-5.9476e-05-0.00023457i,-0.00028938-0.00010403i,0.00027957-0.00019332i,0.00079615+0.00020968i,0.00082131+0.00062587i,0.00024249+0.00016016i,-0.00039147-0.00032001i
-0.00087381+0.00061259i,-0.00028166+0.0018103i,-0.00021614+0.0029851i,-0.00055572+0.0018189i,-0.00018619+0.00044311i,0.00025563-0.00014411i,-0.00021002-0.00030705i,-0.00083251+0.00022626i,-0.00063317+0.00056586i,0.00063047+0.00058623i,0.00050089+0.00035706i,1.3035e-05-0.00012251i,0.00091242-0.00066561i,0.0013415-0.00088294i,0.0007524-0.00078404i,0.00058103-0.00057161i,0.00067189-0.00071647i,0.00023484-0.00033524i,-0.00056409+0.00038237i,-0.0006225+0.00062739i,-0.00035149+0.0004594i,-0.00014555+0.00013477i,-0.00030037+8.0381e-05i
-0.00076395-0.00055725i,-0.00044376-0.00075901i,-0.00059179-0.00071141i,-0.0010901+0.00016367i,-0.0015755+0.00058945i,-0.00081184+2.2354e-05i,0.00040508-8.9101e-05i,0.00056585-0.00020712i,-0.00016186-0.00030135i,-5.4929e-07+0.00020554i,0.00036511+0.00051246i,0.00048495+0.00048981i,0.00035021+0.00046909i,0.00011512+0.00033448i,4.8982e-05+0.00030408i,3.1658e-06+2.6421e-05i,0.00012718-0.00013714i,-0.00018341-0.00083258i,-0.00052608-0.00064289i,-2.1781e-05-0.00018017i,0.00050879-0.00045001i,-1.6508e-05-0.00026525i,-0.0001578+4.1737e-05i
-0.00092379-0.0028226i,-0.0013113-0.0028141i,-0.0021254-0.0017465i,-0.0016426-0.0011652i,-0.00082867-0.00061238i,-0.00092452-6.353e-05i,-0.00046411-0.00026337i,0.00072496-0.0010376i,0.00024151-0.00080403i,-0.00089842-0.0001986i,-0.00088033+0.00016798i,-0.00039482+0.00060959i,5.438e-05+0.00035791i,0.00015911+0.00057557i,-9.9277e-06+0.00090775i,-0.00021122+0.00088433i,0.00015154+0.00056754i,0.0012437-8.1003e-05i,0.0015561-0.00067689i,0.00094119-0.00022246i,0.0002044+0.00015424i,-1.2448e-05+0.00021602i,0.00050277+0.00024947i
0.0010118+0.00057739i,0.00071973+0.00064533i,0.00043912+0.00072239i,0.00079346+0.00027009i,0.00033787-0.00083219i,-0.00018656-0.0011861i,0.00050023-0.0011548i,0.00053951-0.0008077i,0.00096394-0.00033182i,0.0018279-0.0003691i,0.0010309-0.00034172i,0.00026378-0.0003988i,-0.00027811-0.00057772i,-0.00055169-0.00035441i,-0.00011678-0.00058019i,0.00024447-0.00037321i,6.7541e-05+0.00046815i,5.1375e-05+0.00025063i,-1.1741e-05+0.00019218i,-0.0001115-0.00041147i,0.00023047-0.0012067i,0.00087407-0.0010256i,0.0008919-0.00020688i
-0.00056592+0.0015993i,-0.000396+0.002183i,0.00084856+0.0023287i,0.0014125+0.0010871i,0.00071671-0.00032118i,0.0002007-0.00038883i,-3.6161e-05+0.00081421i,-9.8117e-05+0.001448i,0.00026892+0.0011434i,-0.00030099+0.00041306i,-0.00078326-0.00034937i,-0.00073978-0.00024486i,-0.0010849+0.00052835i,-0.0016436+0.00043846i,-0.0015048-0.00082298i,-0.0011336-0.00098294i,-0.00096718-0.00036349i,-0.00043635-0.00026385i,-0.00018948-6.0984e-05i,-0.00048562+0.00012161i,0.00012249+5.5311e-05i,0.00046071+4.6366e-05i,0.00061252+0.00026793i
0.0027742+0.0005381i,0.0037599-0.00030277i,0.003471-0.00095785i,0.0018489-0.0017338i,0.00035143-0.0016424i,-0.0012182-0.00055199i,-0.00077205+9.1719e-05i,0.00048049+0.0012782i,0.00051551+0.0015114i,0.00047145+0.00032175i,0.00038384+9.2947e-06i,0.00010343-0.00016464i,-4.8709e-05+0.00041611i,-3.0806e-05+0.001298i,-0.00069165+0.00098538i,-0.00083194+0.00035538i,-0.00060528+0.00063005i,-0.00019924+0.00077868i,-0.00013955+0.00074881i,-0.00092583+0.00038878i,-0.00081253-0.0005112i,-0.00047172-0.00084741i,-0.0001352-0.00039971i
-0.0022933-0.00056944i,-0.0020987-0.0026918i,-0.001579-0.002066i,-0.00046723-0.00052321i,0.00045474-0.000406i,0.00080649-0.00075271i,0.001039+0.00040579i,0.00058583+0.00074476i,0.00028896+0.00037706i,0.00021004+0.00024463i,0.00044165+0.00011823i,0.00011563-4.2023e-05i,0.00025771-0.00077556i,0.00057463-0.0005112i,0.00049982+0.00025695i,0.00029751+0.00057127i,0.00020292+0.00086258i,5.2346e-05+0.00023657i,0.0003353+0.00019219i,0.00083683+0.00039132i,0.00026809+0.00011653i,-0.00044753-0.00011612i,-0.00048116-0.00049971i
0.0009365-0.00020299i,0.00013133+0.0010894i,-0.00090458+0.0019932i,-0.00080573+0.0013385i,-0.00041313+0.00054901i,-0.00078806+0.0007303i,-0.00075248+0.00059352i,-0.00064889-0.00066349i,-0.00092317-0.00032614i,-0.00072431+0.0006929i,-0.00056169+0.00045884i,-0.00055922+0.00014502i,0.00031006-9.1638e-05i,0.00042832+0.00016523i,-9.0965e-05+0.00053982i,0.00023543-0.0005027i,0.0004394-0.0010305i,9.8618e-06-0.00085739i,-0.00088105-0.00027835i,-0.00094123+0.00025587i,-0.00047039+0.00092988i,-0.00043782+0.0009386i,-0.00047034-0.00018363i
-0.0013266-0.00071407i,-0.00096382-0.0021556i,-0.00017578-0.0012122i,0.00070822+0.00016245i,0.00066199-0.00036889i,0.0004179-0.00091309i,0.00046708-0.00081558i,0.00035649-0.00074892i,0.00027466-0.00038256i,0.00058043-0.00046661i,0.00068536-0.0001952i,0.00038804+0.00019771i,0.00038224-3.3466e-05i,0.00049994-0.00059553i,-7.802e-05-0.0004549i,5.3875e-05+5.5787e-05i,0.0003809-6.9049e-05i,0.00073551+2.461e-05i,0.00059205-0.00022635i,0.00054783-0.001255i,0.00011487-0.00077823i,3.6789e-05+9.0442e-05i,0.00088997-0.00019669i
0.0018884-0.00024386i,0.0021931-0.00048895i,0.0019677-0.00090927i,0.00069265-0.00087391i,0.0001854-0.00073871i,0.00063256-0.00044089i,0.0011945+0.00045071i,0.00057828+0.00075995i,-0.0004014+0.00035209i,-0.00023697+0.00043753i,-0.00012775+0.00020785i,-0.0002925-0.00014692i,-0.00051671-0.00029606i,-0.00040959+7.2131e-06i,0.00017353+0.0010132i,0.00021555+0.00072333i,-0.00028421-0.00028649i,-0.00051991-5.041e-05i,-0.00048319+0.00035037i,-0.00010091+0.00016856i,-9.0253e-05+0.00010313i,6.7273e-05-2.1097e-05i,-0.00010164-8.0834e-05i
0.0019685-0.0025207i,0.0011592-0.0040833i,-0.00080911-0.004184i,-0.0015355-0.0017278i,-0.0018244+0.00035821i,-0.0015019-7.0248e-05i,-4.0333e-05+5.1204e-06i,0.00035881+0.00050805i,0.00033446+0.00011914i,-0.00011649+4.0734e-05i,0.00041462+0.00090105i,0.00062881+0.00090659i,2.6461e-05+0.00034731i,-0.00019793+0.00050495i,-1.0608e-05+0.0011282i,0.00037508+0.001701i,0.00013521+0.00090036i,-0.00011928+0.00012421i,0.00010413+0.00024091i,7.2932e-05+0.00020045i,-0.00025435+0.00013406i,-0.00067713-0.000118i,-0.00061946+2.514e-05i
-0.0014104+0.00057017i,-0.0011444+0.0010307i,-0.00059655+0.0015166i,0.00057778+0.0015315i,0.00091458+0.00067758i,0.00010501-0.00012326i,-0.0012379-0.00041755i,-0.0012073-0.00032921i,-0.00036443-0.00026016i,5.9433e-05+0.00010674i,-9.888e-05-0.00027522i,-0.00099404-0.00094877i,-0.0012886-0.0013021i,-0.0007939-0.0010786i,-0.00037837-0.001022i,0.00040914-0.00087085i,0.00057251+0.00022246i,0.00022347+0.00023369i,5.0016e-05-0.00019924i,3.8086e-06-0.00016031i,0.00037931-8.1739e-05i,0.00058248-0.00046374i,0.0008737-0.0008687i
0.0013959+9.0512e-05i,0.0010637-0.00038334i,0.00069393-0.00033697i,0.0003395+0.00011839i,0.00022787+0.00080704i,0.00032152+0.0011423i,0.0005351+0.00068919i,0.0003386-0.00028709i,4.4602e-05-0.00032375i,-0.00044686+0.000257i,-0.00053451+0.00032446i,-0.00074491-0.00017032i,-0.00082835-0.00028221i,8.0285e-05-0.00013984i,1.4898e-05-0.00027436i,-0.00029493-0.00040213i,-4.3734e-05-0.00024786i,0.00043939+0.00020011i,0.00017618+0.0006936i,-0.00086407-6.5709e-05i,-0.00080368-0.00081392i,0.00020792-0.00021502i,0.00062015-4.8607e-05i
-0.00073801-0.00040834i,-0.0020775-0.001608i,-0.0021536-0.00099374i,-0.001685-0.000161i,-0.0014238-8.9417e-05i,-0.00070722+4.2275e-05i,-0.00014927-0.00057528i,6.804e-05-0.00054769i,-8.4261e-05-0.0006679i,-0.0003035-0.00069356i,-0.00013229-0.00037158i,0.00050493-0.00053304i,0.00094068-0.00086471i,0.00041118-0.00042102i,-0.00036402+0.00029224i,-0.00043337+0.00030475i,-4.8062e-06+0.00065872i,0.00042402+0.00060105i,0.00012121-2.725e-05i,-0.00024257+0.00024737i,0.00015386+0.0003657i,0.00028102+0.00051958i,-7.3954e-05+0.0002264i
0.0005752-0.0014612i,-0.00037991-0.0020116i,-0.00066038-0.001722i,0.00025294-0.0012688i,0.00033863-0.00083686i,-0.00073836-0.00079985i,-0.00098442-0.00028556i,0.00022226-6.3712e-05i,0.00049526-0.00023973i,0.00023898-0.00066669i,-8.6687e-05-0.00076398i,-0.00031798-8.5247e-05i,-0.00065246+0.00078344i,-0.0016094+0.00105i,-0.0014375+0.00059704i,-0.00072523+0.00026205i,0.00022233-6.2823e-05i,0.00083662-0.00045814i,0.00025173+0.00014808i,-0.00039168+0.00079494i,7.9197e-05+0.0004754i,0.00099735+4.793e-05i,0.00098631+0.00035449i
0.00042171-0.00042761i,0.00020504-0.00029617i,0.00013612-3.7494e-05i,9.4397e-05-2.5492e-05i,0.00068258-0.0001874i,0.0010725-0.0011214i,0.00089568-0.00084156i,0.00039424+0.00087056i,0.00055382+0.00057101i,0.00039038-0.00041454i,0.00026773-0.00043746i,0.00014866-0.00035135i,-0.00027932-0.00033261i,8.2698e-05-8.3803e-05i,0.00021236+4.1647e-05i,0.00023128+0.00013094i,6.2744e-05-0.00022149i,-0.00072022-0.00058712i,-0.0006997-0.00034701i,-0.00015979-0.00028635i,-1.6932e-05-0.00032483i,-0.00073693-7.6154e-05i,-0.0010031+0.00050648i
0.00047531-0.00015391i,-0.00014895-0.0012099i,-0.0011067-0.00093893i,2.9872e-05-0.00022843i,0.00074867-0.0001518i,0.00024254-0.00043291i,0.00010042-0.00039418i,0.00022943-0.00090313i,-7.1417e-05-0.00083071i,-0.00033891-9.6029e-05i,0.00010802+6.0375e-06i,4.7313e-05-0.00070175i,5.4435e-05-0.00048928i,0.00060843+0.00012498i,0.000612+0.00015137i,0.00026971-0.000191i,-5.4929e-05-0.00035726i,-7.6399e-05-0.00044933i,0.00040856-0.00058938i,0.0004318-0.00018209i,1.6479e-05-5.4793e-05i,-3.7086e-05-0.00043925i,-3.0828e-05-0.00016795i
0.00045771+0.00065889i,0.00094722-0.00011929i,0.00013526+6.1506e-06i,-4.1367e-05+5.1951e-05i,0.00068029-0.000538i,0.0007524-0.0014687i,0.00031519-0.00058331i,4.7002e-05+0.00098211i,0.00054903+0.00066517i,0.0006428+0.00017059i,2.4085e-05+0.00019337i,0.0002159+0.00073637i,0.00054874+0.00030228i,0.00078665-0.00075173i,0.00037804-0.00027937i,-0.00044848-0.0003206i,-0.00043615-0.00053024i,-0.00044402-0.00069726i,-0.00083108-0.00082675i,-0.00012443+3.631e-06i,0.00081148+0.00052793i,0.00043098+4.2082e-05i,0.00014229+0.00028127i
-0.00087898-0.0024607i,-0.0011894-0.0025271i,-0.0016956-0.00060413i,-0.0010633+0.00091313i,2.324e-05+0.00072142i,0.00034761+0.00052453i,0.00030266+0.00027063i,0.00032202+0.00065626i,0.00018701+0.001511i,-0.00043445+0.0013421i,-0.00023961+0.00095159i,9.5153e-05+0.00066511i,0.00057099+0.00013008i,0.00083858+0.0001558i,0.00056233+0.00038011i,7.35e-05-0.00010842i,-0.00042749-0.00021732i,-0.00078354-0.00021505i,-0.00064882-0.00047344i,-3.1305e-05-0.00085834i,0.00060521-0.00080455i,3.185e-05-0.00013586i,-6.6458e-05+0.00015352i
