-0.0036235+0.00030553i,-0.0032767+0.0029046i,-0.0039781+0.0035961i,-0.0041529+0.0037631i,-0.0024766+0.003444i,-0.0014438+0.0021454i,-0.0014465+0.0010592i,-0.0012476+0.00034366i,-4.1727e-05+7.3654e-05i,0.00041753-0.00046318i,-0.00032989-0.00063208i,-0.00015499-0.00031684i,9.8973e-05+0.00063211i,-0.00039527+0.00054678i,-0.00091708-0.00057723i,-0.00067631-0.00051476i,8.6659e-05-0.00024382i,0.00013946+1.9123e-05i,-6.0769e-05+2.6276e-05i,0.00032794-0.00049401i,0.0010164-0.00056573i,0.00084026-0.00068112i,-0.00021909-0.00037442i
-0.003329-0.0027308i,-0.0037185-0.0018862i,-0.003429-0.00081636i,-0.0024053+0.00023458i,-0.0016971+0.0013548i,-0.00077088+0.0010927i,-0.00080181+0.00027185i,-0.0015081+0.00013792i,-0.0014448-5.0647e-05i,-0.0009808+8.3632e-05i,1.2935e-05+0.0001823i,0.00055877+0.0002308i,3.4117e-05+0.0005932i,-0.0007056+0.00052576i,-0.00086957-4.5036e-05i,-0.0010202-3.0429e-05i,-0.00055697+0.00056681i,-0.0003855+0.00034405i,-0.00013307+5.3044e-05i,-0.00017762-2.6588e-05i,-0.00071847-0.00028834i,-0.00022181-0.00016178i,0.00057466-1.5877e-05i
-0.0012971-0.0018308i,-0.0023042-0.00071661i,-0.002831-0.00020874i,-0.0021362+3.5925e-05i,-0.0015292+0.00078967i,-0.0012199+0.0011562i,-0.00045902+0.00066232i,-1.577e-05+9.8629e-05i,-0.00011353-8.8397e-05i,-0.00028989-0.0010717i,-0.00011035-0.0013943i,-3.2835e-06-0.00070883i,-0.00027751+0.00011418i,-0.00044983+0.00025385i,-0.00058943-0.00045666i,-0.00010264-0.0002781i,5.4067e-05+0.00066685i,-0.00017058+0.00051928i,0.00047965+3.4759e-05i,0.00012407+4.206e-05i,-0.00030367+0.00014474i,4.5319e-05-0.00013466i,0.00035736-0.0005162i
-0.0018048-0.0020533i,-0.0022666-0.0024761i,-0.00072529-0.0013635i,0.00033128-0.00038313i,-0.00076074-0.00038399i,-0.0018614-0.00079223i,-0.0014656-0.00040558i,-0.0013464+0.00041773i,-0.00059395+0.000604i,0.00061144+0.00025274i,8.9205e-05-1.4579e-05i,-0.0007212+0.00016341i,-0.00035534+1.8248e-05i,0.00041082-0.0005147i,0.00052806-0.00099563i,-7.2154e-05-0.001016i,-0.00049103-0.00049454i,-0.00037212-0.00016268i,7.6381e-05-0.00016129i,0.00084975-0.00077835i,0.00095538-0.00097203i,0.00030723-0.00092433i,-0.0006061-0.0010852i
-0.00015363+0.00093955i,7.2272e-05+0.001875i,0.00028555+0.0017124i,-0.00095046+0.0015351i,-0.0013037+0.0016718i,-0.00026137+0.0012819i,-0.00066393+0.00019779i,-0.00076773+0.00057313i,-0.00016474+0.0013133i,-0.00034018+0.00066867i,-0.00054701-3.2909e-05i,-0.0007972+0.00029882i,-0.00068842+0.00097713i,0.00011013+0.00088657i,0.0006022+0.0002648i,0.00045945+1.5982e-05i,5.0789e-05-3.6743e-05i,0.00049677+0.00051654i,0.00036112+0.00058225i,-0.00064725+0.00066402i,-0.00061502+0.0011525i,-0.00023388+0.00053424i,-0.0002317-0.00079445i
-0.0016253-0.00059731i,-0.00079685-0.00034908i,-0.00060077+0.00066941i,-0.00017165+0.00084558i,0.00040049+0.00092815i,0.00065628+0.00021719i,0.0011807-0.0009742i,0.0005858-0.0013225i,-0.00072642-0.0014423i,-0.00092065-0.0010095i,-0.00019975-0.00092426i,0.00015332-0.00057796i,5.5146e-05+0.00025492i,0.00015224-0.000295i,6.5101e-05-0.0010466i,0.00017068-0.00033032i,-0.00017246+0.00015312i,-0.00012104+0.00026913i,-0.00017522+9.6455e-05i,2.6963e-05-0.00056886i,0.00039753-0.00098581i,-1.2073e-05-0.00094088i,-0.00065189-0.00044602i
-0.0026202-0.002829i,-0.0020597-0.0018491i,-0.0018713-0.00013534i,-0.0017101+0.0004067i,-0.001865+0.00053752i,-0.00064679+0.00068859i,1.605e-05+0.00038931i,-0.00096705-0.00085576i,-0.0010033-0.0013873i,-0.0005688-0.00052071i,-0.00060684-0.0001172i,-0.00058343+0.0002553i,-6.5388e-05+0.00039252i,0.00051113+0.00010348i,0.00056963+0.00033186i,0.00026884-7.8992e-05i,0.000299-0.00092983i,0.00018441-0.00091179i,-0.00027043-0.0013921i,-0.00025935-0.0012262i,-8.7855e-05-0.00032473i,-2.1607e-05-0.00015808i,-0.00046867-0.00036532i
-0.0020921-0.0026452i,-0.0033699-0.002619i,-0.0036259-0.0019353i,-0.0023736-0.00025293i,-0.00054923+0.00088181i,0.00090102+0.00060472i,0.00054902-8.6666e-05i,-0.00074265-0.00050606i,-0.0014266-2.721e-05i,-0.001044+0.00041445i,-0.0001878+0.00059093i,-3.0435e-05+0.00087537i,-0.00014301-5.3985e-05i,-0.00063909-0.0011606i,-0.0009118-0.00067425i,-0.00069252-8.1446e-05i,-0.00030449+0.00032139i,-0.00021998+0.00014272i,4.6824e-06-0.00011142i,4.7272e-05-7.3523e-05i,-9.9014e-06-2.1186e-05i,-0.00016702-0.00041127i,-0.00014188-0.00067929i
-0.0017877-0.002011i,-0.0015776-0.00070119i,-0.0015381-8.3946e-05i,-0.0018748-0.00016561i,-0.0016766-0.0010746i,-0.0010983-0.0010782i,-0.0014386-0.00061873i,-0.0015116-0.0012332i,-0.0010131-0.0009366i,-0.00065146-4.3831e-05i,-0.00084951-0.00035481i,-0.00090731-0.00078139i,-0.00031738-0.00012662i,-0.00018715-7.1154e-05i,-0.0001325-0.00057573i,4.1916e-05-0.00069876i,0.00040106-0.00015114i,0.00061608+0.00072733i,0.00068077+0.0011951i,0.00014904+0.0010674i,3.6516e-05-0.00010526i,0.00086138-0.00066034i,0.0011757-0.00021704i
-0.0029061-3.0803e-05i,-0.0024705+0.0010603i,-0.002757+0.0024267i,-0.0025314+0.0031778i,-0.0017921+0.0024822i,-0.0014471+0.00054291i,-0.00060487-0.00042938i,-0.00061731-0.00062051i,-0.00069864-0.00047719i,-0.00061467+0.00054361i,-0.0010685+0.00050212i,-0.00085759-2.4076e-05i,-0.00044776+0.00048921i,-0.00083321+0.00056869i,-0.00063777-0.00037204i,8.7137e-05-0.00040389i,0.00051978+0.00020348i,0.00059301+0.00049989i,2.4846e-05+9.9746e-05i,-0.00010511+6.3228e-05i,0.00025443+0.00034036i,0.00017218-0.00021255i,-0.00011976-0.0001011i
0.00012859-0.0016566i,-0.00014171-0.0013375i,-0.00019342-0.0013172i,-0.00040426-0.002076i,-0.0017225-0.0012077i,-0.0018034-2.2396e-05i,-0.00064756-0.00015061i,1.4614e-05-0.00027709i,0.00049069-0.00030935i,0.00031596-0.00077577i,-0.00079364-0.00080616i,-0.0012268+0.00022076i,-0.00039285+0.00024766i,-0.00012495-0.00042449i,-0.0003397-0.0006695i,-0.00083314-0.0010312i,-0.00063397-0.00090381i,5.7464e-05-0.00015124i,2.5859e-05-7.806e-05i,7.0858e-05-0.0007611i,3.459e-05-0.0011417i,-0.00073367-0.00085841i,-0.00041639-0.00079602i
-0.0010044-0.001558i,-0.0010727-0.00085546i,-0.00080391-0.00026764i,-0.0013068+0.00071102i,-0.0010964+0.0009442i,-0.00096843+0.00057108i,-0.0010343+0.00016557i,-0.001252+0.00029244i,-0.0010132+0.00085867i,-0.00051757+0.0012364i,-0.00034934+0.00048943i,-0.0005397+5.5072e-05i,-0.0010191+3.7719e-05i,-0.00098573+0.00015654i,-0.00065563+0.00095529i,-0.00065512+0.00067278i,-0.00084248-0.00015303i,-0.0010503-0.00054313i,-0.00034089-0.00086902i,0.00016401-9.1963e-05i,3.0106e-05+0.00093012i,0.00034221+0.00048851i,0.00020576+9.4524e-05i
0.001206-0.0010478i,0.001345-0.0015273i,0.0017033-0.0025414i,0.0012472-0.0025784i,0.00047299-0.0025319i,-4.3686e-05-0.0016092i,-3.2087e-05+0.00011496i,-7.84e-05+0.00097384i,-0.00013239+0.00078596i,7.891e-05+8.5652e-05i,-0.00063738-0.0011931i,-0.00092496-0.0011391i,9.683e-05+1.9584e-05i,-4.3627e-05-0.00047531i,-0.0010247-0.001516i,-0.000986-0.00099473i,-0.00049072-0.00017442i,-0.00018136-2.728e-05i,-0.00055266+0.00026394i,-0.00081076+6.9016e-05i,-0.0001145-0.00027861i,-0.00048981-0.00040215i,-0.00099539-0.00092204i
0.0023925+8.1577e-05i,0.002071+0.00050799i,0.0021048-2.7991e-05i,0.0012516-8.6017e-05i,-0.00033567-0.00040679i,-0.001299-0.0003608i,-0.0011677-4.1316e-05i,-0.0012442-0.00055325i,-0.0010837-0.00081203i,-0.00014706-0.0005881i,0.00040133-0.00046477i,0.0003459-0.00037553i,-9.4399e-05+0.00012317i,-0.00056008-0.0006492i,-1.0347e-05-0.0008865i,0.00050258-0.00024038i,0.00027058-0.00032644i,9.8348e-05-0.00044207i,0.00044621-0.00060565i,0.00075393-0.00074247i,0.00084915-0.00031736i,0.00016057+0.00023095i,-0.00035426+0.00025676i
-0.0044132-0.0014284i,-0.0033896+0.00021372i,-0.0019564+0.00096392i,-0.00082903+0.0008969i,-0.00022926+1.7944e-05i,9.2392e-05-0.00089946i,0.00034421-0.00079701i,-6.7739e-05-0.00043266i,-0.00035164-0.00032209i,-0.00065198-0.00011045i,-0.00095347-0.00061333i,-0.00041218-0.0010866i,0.00024855-0.00078147i,0.00067383-6.0555e-05i,0.0009675+0.00032801i,0.00029395+0.00016156i,-0.00046847-0.00027609i,-0.00074016-0.00060652i,-0.00059889-0.0012i,5.2427e-05-0.00066359i,-0.00019096+0.00077158i,-0.0010617+0.00022347i,-0.0011873-0.00060431i
