-0.001004-4.5693e-05i,-0.00054164-0.0011591i,-0.00024756-0.0016781i,-6.2423e-05-0.00010086i,-0.00023972+0.0013249i,-7.3243e-05+0.00092512i,0.0013787+0.00095679i,0.0018673+0.0013143i,0.001053+0.00055873i,0.0011319-0.00045629i,0.0009424-0.0005222i,0.00013453+0.00010634i,0.00014305+0.00088072i,0.00036702+0.00087964i,0.00030681+0.00031302i,8.0689e-05-0.00018687i,-0.00025632-7.4266e-05i,0.00027988+0.00024453i,0.00026671+0.00051537i,-0.00015397+0.000251i,-1.6795e-05-0.00033281i,-5.4772e-05-0.00086714i,0.0003-0.00072373i
-0.0036472-0.00071869i,-0.0046106+0.00014923i,-0.0036695+0.0014652i,-0.0019796+0.0023552i,-0.001027+0.0015769i,0.00014461-0.00058232i,0.00076407-0.0019475i,0.00035235-0.001521i,0.00028621-0.00022809i,0.00026078+0.00019999i,-0.00012217+0.00027537i,7.2405e-05+0.00013074i,-0.00021-0.00012394i,0.00024966-0.00026003i,0.00077601+2.9797e-05i,-0.00029514-2.4501e-05i,-0.00050731-0.00065355i,-0.00010305-0.00097053i,-0.00048495-0.0001937i,-0.00074015+0.00028403i,-0.00054986+0.00028631i,-0.00047538+0.00048394i,-0.00038264+0.00017668i
-0.00044356+0.00030444i,-0.0015373-0.00014644i,-0.0017722+0.00036344i,-0.0003838+0.00037124i,0.00050207-0.00014401i,0.00054555-0.0011771i,-0.00019689-0.0024029i,-0.00094619-0.0019616i,-0.00095297-0.00086802i,-0.00066585-0.00048471i,-0.00016331-5.0515e-05i,-7.3587e-05+0.00041243i,-0.00030027-1.6134e-05i,0.00011142-0.00023974i,0.0012096+0.00019202i,0.0012229+0.0005462i,0.00063133-0.00035388i,0.00039121-0.00037898i,-2.7865e-05+0.00038706i,-0.00099599+0.00028118i,-0.00093015+0.0002622i,-0.00071471+0.00015614i,-0.00064658-7.3566e-06i
-0.0023644+0.0031149i,-0.002492+0.0036471i,-0.0024597+0.0040983i,-0.00096397+0.0031953i,0.00031907+0.0010408i,0.00056533-0.0011371i,-0.00016109-0.0022366i,-0.00070566-0.0021853i,-3.2381e-05-0.0017806i,0.00014133-0.0013389i,0.00014743-0.00054742i,0.00092092-0.00043734i,0.0016032-0.00048053i,0.00096404-0.0004218i,0.00025788-0.00072166i,1.2189e-05-0.00062858i,-0.00037401-0.00057184i,-0.00032641+0.0004321i,-0.00038157+0.0017608i,-6.949e-05+0.001473i,0.00068973+0.00082112i,0.00072101+0.00060133i,0.00075622+0.00030591i
9.0279e-05-0.0021291i,-0.00014573-0.0028048i,-0.0013823-0.0025394i,-0.0014431-0.0020109i,-0.001043-0.001324i,-0.00073605-0.00091619i,-0.00027218-0.0010606i,0.00027022-0.00070723i,0.0006467-0.00060411i,-0.00011291-0.00088857i,-0.0011797-0.00071244i,-0.0016456+4.7489e-05i,-0.00090255+0.0012119i,-0.00014675+0.0013451i,-0.00033378-1.6137e-05i,-8.416e-06-0.0013971i,0.00098935-0.00069664i,0.0013564+0.00042137i,0.00085568+0.0005464i,0.00094692+0.00057259i,0.00097103-4.9496e-05i,0.00027474-0.00079615i,-0.00085927-0.00029676i
-0.00060823-0.0011447i,-0.0012794-0.00011338i,-0.00035924+0.0012525i,-2.3929e-05+0.001965i,-0.00031669+0.0013062i,-0.001151+5.932e-05i,-0.0012397-0.0019329i,-0.00043679-0.0024475i,-0.00057763-0.0017617i,-0.00037191-0.00047011i,-3.788e-05+0.00025087i,-0.0004937+0.00023439i,-0.000602-0.00042119i,5.546e-05-0.00038915i,0.00041572+0.0011004i,0.00033556+0.0012793i,0.00020209+0.00091707i,0.00018054+0.001066i,0.00057863+0.00046051i,0.00048348+0.00023348i,8.9252e-06+0.00063933i,-0.0007904+0.0006682i,-0.0010977+2.2383e-07i
-4.52e-06+0.00037823i,8.1102e-06+1.5935e-05i,-0.00066018+0.00015816i,-0.0016908-0.00020221i,-0.0012066-0.0003795i,0.00025998-0.00015472i,0.00027682-0.00086745i,-0.00013527-0.00156i,0.00015598-0.00094079i,-0.00021501-0.00032998i,-0.00034213-3.5375e-05i,-0.00075616+0.0010127i,-0.0013922+0.0017095i,-0.00076132+0.0011357i,-9.743e-05+0.00034041i,-0.00027161+0.00056511i,-7.3305e-05+0.00071242i,0.00043468+2.8087e-05i,0.00049266-0.0005022i,0.0007562-0.00059432i,0.00040894-0.0002207i,-0.00015448+0.00017266i,-0.00014802+0.00034179i
-0.00053393-0.0011551i,-0.001071-0.00067829i,-0.0017652-0.00062788i,-0.001958-0.00025501i,-0.000953+0.00020396i,0.00036383-0.00070858i,0.00013394-0.002127i,-0.00049379-0.0013255i,-0.00059598-0.00045373i,-0.00016369-0.00045873i,0.00032273-0.00086358i,0.00040757-0.0013309i,0.00048872-0.0017044i,0.00047332-0.0012716i,0.00028683-0.00024999i,0.00027644-6.1028e-05i,0.00032721-0.00046027i,0.00078862-0.00023728i,0.00032787+0.00062108i,-0.00029385+0.0007618i,0.00014609+0.00027724i,-2.6414e-05-1.7424e-05i,-0.00063459-0.00062756i
-0.00028874+0.00060909i,-0.00016721+0.00033327i,-0.00017067+0.001149i,-0.00079865+0.0020495i,-0.00079756+0.0014297i,0.00066505-0.00017302i,0.0012636-0.0006662i,0.00078987-0.0007199i,0.00016801-0.00027387i,-0.0009799-2.6674e-05i,-0.00067879-0.00018884i,0.00019986-0.0001833i,0.00020043-6.2647e-05i,6.1821e-05+0.00025003i,0.00019801+0.00086033i,2.6343e-05+0.00092589i,0.00039672+0.0003486i,0.00075548+0.00014427i,0.00030163-0.00038572i,0.00020224-0.00056176i,-0.00038947+0.00034064i,-0.00060425+3.4549e-06i,0.00047193-0.00011222i
-0.0017869+0.00021335i,-0.0015249+0.00072483i,-0.00092254+0.00078478i,-0.0006957+0.0010013i,-0.00070648+0.00041714i,-0.00013444-0.0016961i,0.00048333-0.0020535i,0.00031417-0.0011909i,8.7908e-05-0.00075767i,-0.00049778-0.00047029i,-0.00081303-0.00010967i,-3.7656e-05+0.00014887i,0.00039172-0.00033363i,-0.00010288+9.715e-06i,0.00045421+0.00048917i,0.00076457+0.00099921i,-0.00020195+0.00024177i,-0.00032528-0.00072073i,0.0003212-6.4799e-05i,0.0001297+0.00034462i,-0.00023622-0.00039611i,0.00013786-0.00060903i,0.00042136-0.0002692i
-0.0012572-0.0019029i,-0.0011272-0.0023268i,-0.00094275-0.0014803i,-0.00059801-0.00036918i,0.00020083-0.00066079i,0.00039676-0.0022601i,8.3122e-05-0.0029159i,-0.00035774-0.0021147i,-0.0002691-0.00073474i,-4.5286e-05+0.00042844i,-0.0003429+0.00097282i,-0.00066965+0.0007663i,-0.00063974+0.00046253i,0.00015968+0.00031293i,0.00067178+0.00030388i,0.00021697+0.00050965i,-1.4111e-05+0.00062778i,4.0407e-05+0.00066802i,-0.00050289+1.1141e-06i,-0.0011468-0.00061938i,-0.0010181-0.0008002i,-1.0326e-06-0.0005298i,0.00038347-0.00023788i
