-0.001004-4.5693e-05i,-0.00054164-0.0011591i,-0.00024756-0.0016781i,-6.2423e-05-0.00010086i,-0.00023972+0.0013249i,-7.3243e-05+0.00092512i,0.0013787+0.00095679i,0.0018673+0.0013143i,0.001053+0.00055873i,0.0011319-0.00045629i,0.0009424-0.0005222i,0.00013453+0.00010634i,0.00014305+0.00088072i,0.00036702+0.00087964i,0.00030681+0.00031302i,8.0689e-05-0.00018687i,-0.00025632-7.4266e-05i,0.00027988+0.00024453i,0.00026671+0.00051537i,-0.00015397+0.000251i,-1.6795e-05-0.00033281i,-5.4772e-05-0.00086714i,0.0003-0.00072373i
-0.0010207-0.0011276i,-0.0012368+0.00010749i,-0.0015368+0.00185i,-0.0012442+0.0021462i,-5.0064e-05+0.0015892i,0.0013345+0.00024579i,0.00092307-0.0014218i,-0.00027618-0.0013722i,-0.00073209-0.00088847i,-0.00097784-0.00054783i,-0.00083103+0.00028039i,-0.00012082+0.00020211i,0.00091755+0.00014961i,0.00083315+0.00018621i,0.0011985+0.00049538i,0.0011726+0.00096715i,0.00079201+0.00039082i,0.0009415-0.00042455i,0.0006059-0.00044972i,0.00080795+2.9976e-05i,0.0012985+0.00024852i,0.0013265-9.7388e-05i,0.00083952-0.00022493i
-0.0011543-0.0003966i,-0.0011236-0.00017939i,-0.00070019+0.0012433i,-0.00041963+0.0014052i,-0.00016379-8.1167e-05i,7.904e-05-0.0016682i,0.00025365-0.0015385i,-0.00031494-0.0011978i,-9.0716e-05-0.00040048i,1.3976e-05-6.3591e-05i,-0.00051689-0.00022465i,-0.00068533+0.00015193i,-4.4828e-05+4.4177e-05i,0.00022446-0.00067286i,0.00054507-0.00031116i,0.00073113+0.00025377i,7.7225e-05+0.00063928i,-8.3816e-05+0.00066048i,-4.2125e-05+0.0006781i,-0.0010201+0.00043448i,-0.0014728+0.0004029i,-0.00078617-0.00014686i,-0.00035102-0.00050269i
-0.0017216-0.0024393i,-0.0030119-0.0019386i,-0.0032924-0.00090656i,-0.0015394-0.00023568i,0.00079119+0.00014993i,0.00050258-0.00068762i,-0.00022032-0.0017462i,0.00030371-0.0013792i,0.00093343-0.00052203i,0.00064073-0.00036118i,0.00052137-1.9277e-05i,0.00045242+0.00059406i,0.00026252+0.00047191i,0.00088045+0.00053519i,0.00067834+0.00046807i,0.00046753+0.00020418i,0.00072265+0.00064289i,0.00022167+0.0004528i,0.00015609+0.00030597i,1.0305e-05+0.00021141i,0.00017694-0.00014813i,0.00061771-0.0002826i,0.00015411-0.00015244i
-0.00060996-0.0020483i,-0.00047561-0.0018295i,-0.0012882-0.00091205i,-0.0011491-3.791e-05i,-0.00048742+0.00014756i,0.00022729-0.00085007i,0.00036012-0.001148i,2.3073e-05-0.00077175i,-0.00015673-0.00071973i,-4.8865e-05-0.00047254i,6.0128e-05-6.7759e-05i,-5.393e-05-0.00024687i,-0.00026044+8.8918e-05i,-0.00012068+0.0004345i,-8.8007e-05+0.00011408i,-0.00036548-0.00029498i,-0.00045794-0.00019475i,-0.00047523+0.00017355i,0.00013974+8.0603e-05i,0.00042742-0.00026999i,-0.00047526-0.00019693i,-0.0010756-0.00061027i,-4.0143e-05-0.0012736i
-0.0021492-0.0010022i,-0.0026346-0.0014102i,-0.0029978+0.00061805i,-0.0030595+0.0020974i,-0.0021303+0.001283i,-0.00037161-0.00092528i,0.00050634-0.0021364i,0.0004796-0.0019165i,0.00048852-0.0013382i,0.00022385-0.0006455i,4.0452e-05-0.00014796i,0.00040358+0.00014087i,0.00071448-0.0001086i,0.00020657-0.00016206i,0.00010071+0.00042644i,0.00015948+0.00045664i,-0.00092216+0.00013755i,-0.00098406+0.00018623i,-0.00049548+0.00067219i,-0.00043074+0.00083522i,0.00018883-0.00012903i,0.0007379-0.00085655i,0.00096309-0.00052446i
-0.00056302-0.0018284i,-0.00093416-0.0021675i,-0.00077617-0.0016521i,-0.00046202-6.6003e-05i,-0.00048472+0.00053848i,0.00053887+0.00025418i,0.0013913-0.00033794i,0.00098511-0.00074609i,2.0075e-05-0.00072239i,-0.00066526+8.2065e-05i,-0.00075713+0.00074932i,-0.00081264+0.00080612i,-0.00025428+0.0004156i,-2.0514e-05+0.00073911i,-0.0010519+0.00086151i,-0.0010099+0.00019672i,0.00010435-0.00036862i,0.00015923-0.00032458i,4.2115e-06-0.00018166i,-0.00013184-0.00058763i,-4.5977e-05-0.0011983i,0.00032284-0.0012902i,0.00012199-0.0009008i
0.00054873+1.9229e-05i,-0.00013556+0.00061515i,-0.00091803+0.0011929i,-0.00060016+0.0015609i,-0.00033272+0.00071843i,-0.00043737-0.00069735i,-0.00036765-0.001248i,-0.0002595-0.00096013i,-0.00072739-6.2994e-05i,-0.00085798+0.00038207i,-0.0010787+0.00014953i,-0.0014475-6.539e-06i,-0.0012758-2.2909e-05i,-0.00034258+6.607e-06i,0.0007433-0.00017548i,0.0010137-0.00010487i,0.0008151+0.00034594i,0.00062898+0.0013918i,0.00095478+0.0019052i,0.00085311+0.00068325i,0.00019959+0.00011605i,0.00026601+3.1874e-05i,0.00084128-0.00064432i
0.0011096-0.00057348i,0.00063778-0.0008199i,0.00036901-0.0015767i,-0.00034355-0.0016404i,-0.00070457-0.0014891i,0.00038302-0.0020485i,0.0014042-0.0020508i,0.0013606-0.0019547i,0.00056137-0.0016012i,0.00046088-0.00073268i,0.00033456+0.00021881i,0.0001763+0.0006979i,0.0001008-0.0001991i,-0.00045075-0.00089099i,-0.00049112-0.0006134i,0.00021457-0.00024707i,-0.00011958+9.936e-06i,-0.00065885+0.00014891i,-0.00072258+0.00011793i,-0.00051356+5.2134e-05i,-0.00016395-0.00045592i,-2.9343e-05-0.00068293i,0.00036515-0.00015103i
0.00010496-0.0021293i,6.2017e-05-0.0025145i,-0.001079-0.0024393i,-0.0014421-0.00067626i,-0.00055932+0.00039828i,0.0010179-0.00083974i,0.0015143-0.0015576i,0.000439-0.000313i,-0.00031281+0.0011402i,0.00016671+0.0016458i,0.00074542+0.0016655i,-0.00029555+0.0013521i,-0.00099051+0.0004275i,-0.00024812+0.00060508i,7.4998e-05+0.001105i,0.00035481+0.00099977i,0.00036238+0.00067624i,4.2199e-05+0.00063501i,-0.00052304+0.00058992i,-0.00058865+0.00018775i,0.00015291-2.0351e-05i,0.00065591-0.00034318i,0.00060315+0.00042539i
-0.001118-0.0022016i,-0.0020567-0.00073384i,-0.0022792+0.0011572i,-0.0010222+0.0017569i,-0.00039711+0.0014414i,-0.00091301+0.00038837i,-0.00017739-0.001076i,0.00068161-0.0018235i,0.00070919-0.0014778i,0.00097763-0.00044921i,0.00042623-0.00072209i,0.00039875-0.00066474i,0.00067239-6.6775e-05i,0.00011051+0.00010574i,-0.00037205+0.00048659i,-0.00023355+0.00064183i,0.0001741+0.0003362i,0.00068123+0.00017578i,0.00050033-0.00016479i,0.00025629-0.00052311i,9.135e-06-0.0001517i,-0.00058616+0.00017795i,-0.0010124+0.00046092i
0.00089006-0.0031061i,0.00012336-0.0025519i,-0.00056972-0.00089555i,-5.9821e-05+0.00048794i,0.00074721+0.00068078i,0.00058821+4.7196e-05i,0.00047056-0.00046281i,0.00012187-0.0008999i,0.00026218-0.0011363i,0.00086227-0.00074721i,4.8262e-05-0.00045689i,-0.00043368-0.00040569i,-0.00011013-0.00024031i,-0.00011755-3.3283e-05i,-0.00018693-0.00017445i,0.00016761+0.00013003i,0.00019762+0.00012726i,0.00021783+0.00028796i,0.00045748+0.00056896i,3.0728e-05+0.00025559i,-0.00026841-3.6342e-05i,0.00027354+0.00020563i,0.00018516+0.0012076i
-0.00013563+0.00024198i,0.00074479-0.00034639i,0.001552-0.00033619i,0.00037686-4.0887e-05i,-8.2609e-05-0.00082883i,0.000829-0.0012297i,0.00077473-0.00096008i,-6.6234e-05-0.00029496i,-0.00043886-0.00042375i,-0.00047967-0.00075913i,-0.00060835-0.00023809i,3.0031e-05+6.0642e-05i,0.00037885+0.00013024i,0.0003121+0.00027702i,6.3544e-05+0.00034239i,-0.00019462-0.00028163i,-0.00012367-0.00070851i,-0.0010209-0.00085015i,-0.0014745-0.00084808i,-0.00027861-0.00063951i,-0.00020632+7.4777e-05i,-0.00078838+0.00049235i,-6.6748e-05-0.00012929i
-0.00058151-0.0013437i,-0.0014301-0.0013218i,-0.0018032-0.0010536i,-0.0018415+0.00010723i,-0.0011561+0.00072274i,-0.0002991-0.00038564i,0.00060675-0.0019732i,0.00059177-0.0017817i,9.0255e-05-0.00083963i,0.00049192-0.0003383i,0.00050197+0.00033425i,-4.3001e-06+0.00058847i,0.00057993-8.1915e-05i,0.0013178+0.00016485i,0.0007535+0.00085606i,9.3424e-05+0.0013569i,0.00086725+0.0010041i,0.0014536+0.00030062i,0.0010958+0.00051466i,-0.00018686+0.00028195i,-0.00030057+0.00010949i,-0.00026691+0.00051312i,-0.00030108+0.0008663i
-0.0024762-0.00074734i,-0.0031456-0.00071113i,-0.0032873-1.8498e-05i,-0.0024173+0.0010745i,-0.00097088+0.0013944i,0.00023015+1.3261e-05i,0.00087874-0.0013493i,0.00059248-0.00079326i,0.00011002-0.00019253i,-0.00037971-0.00018367i,-0.00070301+0.00062972i,-0.00026051+0.00065191i,2.1285e-05-0.00025387i,-0.00024861-0.00045077i,0.00018679-0.00045883i,0.00086774-0.00046209i,0.0011391+3.063e-05i,0.00097523-0.00031683i,0.00037009-0.00039017i,-0.00013441-2.0453e-05i,-0.00038186-8.5897e-05i,-0.00040266-0.00026848i,-0.00016535-0.00045555i
-0.00055649-0.00075065i,-0.00068463+0.00025556i,-0.00047898+0.0018334i,-0.00052999+0.002048i,0.00034913+0.00098489i,0.0014199+0.00012891i,0.0020931-0.00037964i,0.0014066-0.00085669i,0.00022775-0.0011659i,8.8575e-05-0.00046924i,-1.0851e-05-4.0799e-05i,-0.00063924+0.00054926i,-0.00011601+0.0012795i,0.00026636+0.00064696i,8.9325e-05-3.8703e-05i,0.00064055+0.00037724i,0.00064169+0.00031493i,0.00027882-2.6827e-05i,-1.2126e-05+0.00026141i,-3.7614e-05+0.00029373i,0.00021509+0.00061977i,0.00023472+0.00057673i,-9.5866e-05+0.00025911i
0.00051701-0.00019644i,-0.0001388-0.00053637i,-0.0003395-0.00023456i,-0.0001596+0.00021549i,7.8425e-05-0.00019326i,-1.768e-05-0.0012775i,-0.00026298-0.0014956i,-0.00051963-0.00046965i,-0.00040999-0.00014966i,0.00010135-0.00052184i,-5.7308e-05-0.00023842i,-0.00049123-0.00016477i,-0.0008782-1.7312e-05i,-0.0008626-0.00022351i,-0.00094897-0.00023173i,-0.0006314+0.00028851i,-0.00018942+0.00061848i,-7.2203e-05+0.0005361i,-0.0003436+0.0002637i,-0.00044613+0.00010049i,0.00039102+0.00013376i,0.00021334+0.00018311i,-0.00035829+5.5341e-05i
-0.00059793-0.001568i,-0.0009271-0.0013756i,-0.0017095-0.00091193i,-0.0016607-0.00020675i,-0.0011049-0.00026539i,-0.00038368-0.0012338i,0.000225-0.0020127i,-0.00036401-0.0020243i,-2.478e-05-0.0013395i,0.00068467-0.00062981i,-0.00027561+0.00015272i,-0.001173+0.00036742i,-0.00063507+0.00041243i,-4.9396e-05+0.00031172i,-0.00022218+0.00010199i,-0.00078193+0.00026516i,-0.00062919+0.00060738i,-0.00089904+0.00016281i,-0.00078041-0.00040841i,7.2705e-05-0.0010376i,1.8243e-05-0.00067819i,-0.000242+5.8516e-05i,0.00039687-0.00017902i
0.00073868-0.00019275i,0.00075959+0.00048834i,0.00023105+0.00022583i,-0.00035435-3.429e-06i,-0.00012423-0.00037614i,0.00057239-0.00049037i,0.00066196-0.0014869i,0.00075281-0.0021618i,0.00017764-0.0013027i,-0.00077798-0.0006401i,-0.00095461-0.00069724i,-0.00066331-0.00032637i,0.00018268-0.00027123i,9.5813e-05-0.00033395i,-0.00048623+0.00050449i,0.00017519+0.0011236i,0.00086566+0.00055284i,0.00087636-0.00053286i,0.00089495-0.00024867i,0.0004969+0.00074308i,-0.00046183+0.00061676i,-0.00066738+0.00055634i,-0.00065096+0.00061484i
-0.0015912-0.00095602i,-0.0019432-0.00042892i,-0.002069+0.00084735i,-0.0011211+0.0020578i,0.00020965+0.0015676i,0.0010393+0.00011792i,0.0011397-0.00072107i,0.00023394-0.00064206i,0.00021923+5.2753e-05i,-5.7816e-05+0.00072075i,-0.00018305+0.00087837i,0.00016501+0.00075041i,0.00012547-7.964e-06i,0.00054664-0.00014653i,0.0006697+0.00096173i,0.00046138+0.00057467i,0.00042829-0.00038194i,0.00078909+0.00023046i,0.00058733+0.0001583i,-9.1819e-05-0.00060952i,-0.00048513+3.1155e-05i,-0.00057941+0.00051998i,-1.8472e-05-0.000205i
0.0012579-0.002768i,-0.00019303-0.003963i,-0.0010954-0.0033243i,-0.0013571-0.0016354i,-0.00074749-0.00028385i,0.00015065+0.00048512i,0.000488+0.00026054i,0.00057719-9.4848e-05i,0.00094978-0.0002304i,0.0012257+9.7683e-06i,0.00030801+0.00015334i,-0.00070917+0.0005216i,-0.00037408+0.00070159i,5.3107e-05+0.0007785i,-0.00023709+0.0010305i,-0.00092191+0.0010655i,-0.00034072+0.00080563i,0.00042781+0.00086261i,-6.2772e-05+0.00020133i,-1.2419e-05-0.00040847i,0.00044685-0.00028831i,-0.00010856-0.00042706i,-0.0005711-0.00052941i
-0.00049618-0.0014743i,-0.0011061-0.0015363i,-0.0018832+0.00043715i,-0.0017662+0.0017675i,-0.00021149+0.0015764i,0.0003641+0.00028856i,0.00030093-0.0016193i,-0.00018359-0.0014616i,-0.00047329-0.00015106i,-8.0276e-05-0.00019697i,-0.0006389-0.00074365i,-0.00076063-0.00033836i,0.0002151-0.00015779i,0.00056014-0.0001119i,0.0003922+0.00053731i,0.00033818+0.0003106i,0.00070314+0.00012401i,0.0010662+0.00018394i,0.00076239-8.1546e-05i,-0.00043147-0.00024734i,-0.0013326-0.00030211i,-0.0010706+0.00015036i,-0.00061529+0.00045003i
-0.0014462+0.00043477i,-0.0014579+0.0010715i,-0.0015521+0.0012783i,-0.00091673+0.0011671i,0.00019952+0.000453i,0.00061006-0.0011103i,0.00041573-0.001258i,6.4215e-06+5.3612e-05i,-8.4264e-05+0.00040676i,-0.00061852+2.9663e-05i,-0.00062809-0.00084305i,-7.2702e-05-0.00086598i,0.00025426-0.00072643i,0.00044206-0.00082127i,-0.00025486-0.00066779i,-0.00049145-5.5566e-05i,-8.1316e-05+0.00076644i,0.00059009+0.00084857i,0.00063301+0.00089844i,-0.00027867+0.00063965i,-0.00044515+4.6089e-05i,-0.00047076-0.00011983i,-0.0010676+0.00031816i
0.001165-0.0016377i,0.00057696-0.0016306i,6.7385e-05-0.0026225i,-0.00040833-0.0023616i,-0.00020332-0.0018361i,0.00065936-0.0018369i,0.0010681-0.0012602i,0.00066481-0.00051504i,0.00043539-0.00059766i,0.00023448-0.0010861i,-0.00048925-0.00095995i,-0.00093421-1.1049e-05i,-0.00036385+0.00023293i,-0.00037103-0.0002491i,-0.00072083-0.00063606i,7.3002e-05-0.00069566i,0.0008576-0.00034829i,0.00052076-0.00016389i,6.2657e-05-0.0005172i,9.1401e-05-0.0012166i,-1.6778e-05-0.00098009i,-0.0001775-0.00031004i,-0.00023234-0.00024906i
-0.00092101-0.0018839i,-0.0014175-0.0012005i,-0.0018369-0.00034787i,-0.0020162+0.00024263i,-0.0024267+0.00092685i,-0.0017697+0.00034072i,7.1164e-05-0.00063057i,0.00045644-0.001243i,-0.00031036-0.0010001i,-0.00034197-0.00034766i,0.00011892+0.0001997i,-0.00064373+0.00044445i,-0.00086929-0.00035697i,0.00024906-0.00070861i,-4.7502e-05-0.00030673i,-0.00010108-0.00076049i,0.00046955-0.00038704i,0.00041867+0.00029779i,0.00038952-3.1236e-05i,0.00026787-0.00022301i,0.00024839-0.00077566i,0.0004839-0.00026471i,0.00090907+0.00013278i
0.00054932-0.0016132i,0.00056085-0.00064998i,-0.00098302-1.5796e-05i,-0.0019509+0.00020216i,-0.00092045-0.00027408i,-0.00052881-0.0010899i,-0.00054336-0.0015741i,8.4312e-05-0.0013456i,-0.00010736-0.00043604i,-0.00020259-0.00025626i,-0.00036825-0.00033098i,-0.00045359+8.1679e-05i,0.00013546+0.00063648i,0.00099683+0.00059291i,0.0010641+0.0002668i,0.00011203+0.00047956i,-0.00028273+0.00050901i,-0.0001798+0.0003247i,-0.0010087+0.00014175i,-0.001128-0.00038585i,-0.00063943-0.00043187i,-0.0003589-0.00035933i,9.0535e-05-0.00016593i
0.0018228-0.0013253i,0.0013089-0.0019635i,0.00071496-0.0018481i,0.00014475-0.00017315i,-0.00040689-0.00010023i,-1.1299e-06-0.0018954i,0.0012509-0.0022528i,0.00087295-0.0015782i,0.00066451-0.0011273i,0.00055929-0.00096381i,-0.00032058-0.00071917i,-0.00034699+0.00012651i,-6.8429e-05+0.00042404i,-0.00036645-9.2539e-05i,-0.00058423-0.00029009i,-0.00061269-0.00010602i,-0.00019428+2.7176e-05i,0.00071067-0.00026344i,0.00061861-0.00053023i,-0.00024537+8.7766e-05i,-0.00053594+0.0010647i,0.0001903+0.0010571i,0.0010339+0.00012148i
-0.0011609-0.00027921i,-0.0016013-0.00024784i,-0.0023926+0.00055968i,-0.0018767+0.00090016i,-0.00055426+0.00080516i,0.00022299-0.00051893i,0.00014438-0.0010606i,-0.00030515-0.00087177i,-0.00034583-0.0006558i,-0.00031342-0.00083259i,1.2154e-05-0.00019735i,0.00012849+0.00098273i,-0.00043536+0.0010686i,-0.0003998+0.0004693i,0.00039682+0.00034377i,0.00047603-3.0689e-05i,-5.7839e-05-0.0002975i,-0.00011589+1.8964e-05i,0.0003368-0.00012054i,0.00044217+0.00050927i,0.00024182+0.00026167i,-0.00025112-0.00090466i,-4.7986e-05-0.00082025i
0.001152-0.001198i,0.00051028-0.0013463i,0.00081476-0.0017603i,3.1529e-06-0.0019441i,-0.0002405-0.0013834i,0.00057619-0.00077993i,0.00010312-0.00074698i,-0.00026324-0.0010829i,0.00029643-0.00062222i,8.512e-05-0.00017026i,-9.745e-05-0.00034202i,-0.00065284+3.3523e-05i,-0.00037411+0.00027814i,-0.00026075+0.00044586i,-0.00076192+0.00014544i,-0.00041731-0.00025048i,-0.00024153-0.00030541i,0.00030395-9.6118e-05i,0.00012507+0.00010977i,-0.00064535+0.00045225i,-0.00044713+0.00069886i,-0.00038516-0.00019224i,-0.00024125-0.00066076i
-0.00059154-0.0005826i,-0.00037138-0.00076041i,-0.00064808+7.9681e-05i,-0.00054689+0.0013084i,2.9549e-05+0.0017063i,0.00041557-5.6596e-05i,0.00083461-0.0015558i,0.0010111-0.0011904i,5.2811e-05-0.00060261i,-0.00047323-0.00038126i,-0.00078061-0.00033584i,-0.00073901-0.00035045i,-0.0002723-0.00039276i,-0.00028717-0.00059883i,0.00029607-0.0008276i,0.00032225-0.0009187i,1.3299e-06-0.00046485i,0.00052725-0.00020472i,0.00028612-0.00019146i,-3.9334e-05+6.1543e-06i,0.00020971+7.8457e-05i,0.00046905+0.00025508i,0.00032819+0.00047365i
0.0020987-0.0013128i,0.0025461-0.00053914i,0.00066556+0.00050439i,-0.00072979+0.0009005i,-0.00053837+0.00079137i,0.00010665-7.9174e-05i,0.00059976-0.0010489i,0.00029257-0.0011454i,6.4339e-05-0.00067538i,-4.8782e-05-0.00063823i,-0.00087956-0.0010721i,-0.0012365-0.00097184i,-0.0005573+0.00027897i,5.6377e-05+0.00059223i,0.00016131+0.00051384i,0.00069771+0.0012773i,0.00099897+0.001154i,0.00025826+0.00028619i,-0.00016782+4.1512e-05i,-0.00066761+0.00040602i,-0.0007157+0.00048986i,-0.00014341+0.00036333i,-8.4192e-05+7.0997e-05i
-0.00027738+0.00091964i,-0.00089215+0.0002961i,-0.0012895-0.00061995i,-4.8196e-05-0.00028775i,0.0012296-8.2747e-05i,0.00072509-0.00030943i,0.00032167-0.00073996i,0.00069203-0.0010093i,0.00051527-0.00094788i,0.00059601-0.00018204i,-0.0001796+0.0010652i,-0.0014507+0.0012037i,-0.0026687+0.00066998i,-0.0022779+0.0001936i,-0.00091024+0.0001674i,-0.00094869+0.0007595i,-0.00084777+0.00048975i,-0.00032312+0.00010441i,6.5242e-06+0.00021953i,-8.6436e-05-2.1046e-05i,-5.822e-05-0.00032949i,0.00031145-0.00042045i,0.00018002-0.00015837i
