-0.00041208+0.00047352i,-0.00022231+0.0021502i,-0.0013426+0.0029967i,-0.0016776+0.0027872i,-0.00048033+0.0027211i,-0.00015794+0.0024744i,-0.0012295+0.0016537i,-0.00060287+0.00076539i,0.00091731+0.00098531i,0.00076154+0.00027133i,0.0002259-0.00039218i,0.00023587-0.00033543i,0.00020582-8.3175e-05i,-0.00054756+0.00018198i,-0.00081529+0.00080625i,-0.0008102+0.0013675i,-0.0010132+0.00079924i,-0.00096975+0.00028438i,-0.00038783-8.9971e-05i,-0.00038492-0.00030411i,-6.8163e-05-0.00037992i,-0.00045572-0.00067624i,-0.0006687-0.00057212i
0.001001-0.0012316i,0.00052192-0.0011497i,-0.00097971-0.00036488i,-0.00063796+3.0675e-05i,0.00083084+0.00065454i,0.001539+0.00067814i,0.00098967+0.0017422i,0.00050835+0.0019215i,0.0010182+0.0004852i,0.0011937+2.1443e-06i,0.00067033+0.00010407i,5.6657e-05-0.00021404i,0.00031153-0.00052596i,0.00039027-0.00028841i,0.00025896+0.00027813i,0.00090309+7.1307e-05i,0.0001397-7.5959e-05i,-0.00043902+0.00027383i,0.00055103+0.00035586i,0.00070483-0.00037699i,9.2562e-05-0.00061781i,7.8139e-05+1.5065e-05i,-0.00035006+0.00028329i
1.4851e-05-0.00069807i,-0.00021675-2.9574e-05i,-0.0016575+0.00016901i,-0.0028063-0.00011822i,-0.001097-0.00062271i,0.00068359-0.00049522i,0.0013322-0.00086773i,0.0012283-0.0011091i,0.00070959-0.0012715i,0.00095858-0.00077858i,0.00072141-0.00069227i,0.00035433-0.00069394i,0.00087783-0.00053752i,0.0011713-0.00071122i,0.00097784-0.00021607i,0.00088431-1.7799e-05i,0.00081273+3.1941e-05i,0.00094842+0.00028129i,0.00082529+0.00030655i,0.00026153+0.00040394i,-1.9332e-06+0.00024954i,-0.00069014-0.00032371i,-0.00097522-0.00082407i
-0.0016176+0.0013118i,-0.0019682+0.00054921i,-0.0010111+0.00045616i,0.00020631+2.9052e-05i,0.00063178-0.00068287i,-6.1279e-05-0.00019051i,-0.00010156+0.00058696i,0.00071845+0.0012489i,0.00042557+0.0016885i,0.00010169+0.00087747i,-7.3662e-05+0.00033253i,2.4647e-05+0.0009506i,-0.00017067+0.00073502i,-0.00077261+0.00027818i,-0.0013595+2.0239e-06i,-0.00088159-0.00018309i,8.3506e-05-2.0373e-05i,0.00043544+0.00055521i,0.00099506+0.00085167i,0.0002693+0.00043609i,-0.00078192+8.252e-08i,-0.00086718+9.0075e-05i,-0.00061379-0.00034518i
-0.00011191-0.0024959i,-0.00042416-0.0020917i,-0.0011422-0.00097333i,-0.00090677-0.00037322i,-0.00078758-0.00029419i,-0.00071554-0.00051146i,0.00030589-0.00010939i,0.00096329+6.2151e-05i,0.0013404-0.00049612i,0.0011945-0.00065439i,0.00070393+7.051e-05i,0.00044291+0.00025685i,-0.00013342-0.0003411i,-0.00073137-0.00030318i,-0.00095438+8.8742e-05i,-0.00069705+0.0003472i,-0.00028172-0.00034657i,-0.00029507-0.00095987i,-0.00019244-0.000112i,0.00078304+0.00099365i,0.0011057+0.0010747i,0.0006528+0.00059758i,-0.00023702+7.8796e-05i
-0.00013113-0.0010444i,-0.0012376+0.00013622i,-0.0015265+0.00032488i,-0.00070453+0.00044365i,0.0002993+0.00099084i,0.00097216+0.0012762i,0.00031911+0.00050477i,0.00016969-0.00010948i,0.00060526+0.00044549i,0.00080515+0.00052883i,0.00014254-0.00064708i,-0.00065524-0.00099056i,-0.00043874-0.00025378i,-0.00069731+0.00045102i,-0.0010641+0.00082441i,-0.00052355+0.00095805i,-0.00051486+0.0011236i,-0.00080079+0.0010265i,-0.00018608+0.00066431i,-0.00015415+0.00066773i,-0.00018132+0.00076613i,-6.3835e-05+0.00024313i,-0.00017207-0.00043579i
0.0032293+0.0016578i,0.0020605+0.00025016i,0.0011153-0.00038922i,0.0012433-0.00065118i,0.00076889-0.0011962i,-0.00062885-0.00065683i,-0.00049029+0.00036921i,0.00022912+0.0012024i,0.00078847+0.00027828i,0.0012484-0.00070343i,0.00091852-0.00063164i,0.00042555-0.0012979i,0.0001419-0.0011497i,-0.00030932-0.00052488i,0.00025133-1.0128e-05i,0.0011387+0.00045805i,0.0011549+0.00067637i,0.0008559+0.0006135i,0.00016797+0.00012708i,0.00014136+5.559e-05i,0.00063964+0.00017103i,5.7097e-05+0.00044244i,-9.4063e-05+0.00078556i
-0.0003587-0.0024288i,-0.0010961-0.0025594i,-0.0017888-0.0011323i,-0.0018174-2.5723e-05i,-0.0009249+0.0006238i,0.00019657+0.0010613i,0.00089086+0.00045378i,0.0010717-0.00031521i,0.0012171-0.00071344i,0.00072115-0.00051474i,0.00088518-0.00053043i,0.00071443-0.00053678i,0.0001888+0.00015811i,0.00025387+0.00022503i,0.00028612-0.00015783i,0.00017716+0.00051719i,9.5439e-05+0.00093483i,-0.00022918+0.00023343i,0.0001171-0.00031834i,0.00027577-0.00027452i,-0.00059904-0.00048108i,-0.00071547-0.00077231i,-7.4318e-05-0.00094251i
0.00094553+9.5399e-05i,0.00053162+0.0003745i,3.3369e-05+0.00036121i,3.5409e-05+0.00042868i,0.00011297+8.9393e-05i,0.00049036+0.00030706i,0.00057789+0.00049752i,0.00062592+0.00063175i,0.00068062+0.00067717i,0.00017541+0.00053969i,-2.0584e-05-0.00018541i,-0.00036942-0.00044334i,-0.00077698-0.00050568i,-0.00063721-0.0011485i,-0.0001721-0.00034807i,0.00024956+0.000682i,-0.00011822+0.00021094i,-0.00041061-1.5658e-05i,-0.00030899-0.00023477i,0.00026296-0.00045153i,0.00088949+8.5234e-05i,0.00062073+0.00013333i,-4.1459e-05+3.0121e-05i
0.0019479+0.0010045i,0.001936-1.7108e-05i,0.0018784+0.00016762i,0.0015886+8.7282e-05i,0.00096848-0.00073365i,-0.00036774-0.001141i,-0.00066422-0.00015876i,-2.4629e-06+0.0010494i,0.0011017+0.0009819i,0.0018142+0.00067169i,0.00084735+0.00083812i,-7.1055e-05+0.00055936i,0.00013857+0.00029461i,9.1073e-05+0.00020222i,-0.00073009+0.00018898i,-0.00092892+0.00060666i,-0.00040923+0.00074815i,7.5648e-05+0.0001387i,0.00057207-0.0001376i,0.00078118+3.3762e-05i,0.0010675+0.00031312i,0.0014356+0.00029607i,0.00064959-0.00010677i
0.0011223+0.0019643i,0.0014115+0.0004329i,0.0026894+0.00012198i,0.0029893-0.00064784i,0.0020693-0.0013432i,0.00067842-0.0014278i,0.00017048-0.00058727i,-0.00028188+0.00091963i,0.00037054+0.00057145i,0.0015009-0.00010868i,0.00073219-0.00017179i,-0.00044208-0.00013673i,-0.00070372-0.00025738i,-2.2539e-06-7.1929e-05i,0.00060657+0.00062494i,0.00047966+0.0012247i,0.00035121+0.00087272i,9.331e-05+0.00028925i,2.4425e-05-0.00014604i,0.00032295-1.03e-05i,0.00011092+0.00046067i,0.0002397+0.00035108i,0.0001514+0.00012645i
