-0.00041208+0.00047352i,-0.00022231+0.0021502i,-0.0013426+0.0029967i,-0.0016776+0.0027872i,-0.00048033+0.0027211i,-0.00015794+0.0024744i,-0.0012295+0.0016537i,-0.00060287+0.00076539i,0.00091731+0.00098531i,0.00076154+0.00027133i,0.0002259-0.00039218i,0.00023587-0.00033543i,0.00020582-8.3175e-05i,-0.00054756+0.00018198i,-0.00081529+0.00080625i,-0.0008102+0.0013675i,-0.0010132+0.00079924i,-0.00096975+0.00028438i,-0.00038783-8.9971e-05i,-0.00038492-0.00030411i,-6.8163e-05-0.00037992i,-0.00045572-0.00067624i,-0.0006687-0.00057212i
0.012218+0.005765i,0.015917+0.0050684i,0.013714+0.0018828i,0.0071215-0.00037i,0.0020679-0.0007704i,0.00075412+6.9662e-05i,0.00046153+0.00050331i,0.00066607+0.00068015i,0.0013945+0.00010328i,0.0012855-0.00037042i,0.00070614-0.00072122i,0.00042168-0.00096792i,-0.0003038-0.0013902i,-0.00066074-0.0010115i,-1.1183e-05-0.00034019i,9.0082e-05-0.00036317i,-1.5331e-05+0.00022904i,0.00017556+0.00014797i,0.00046554-0.00024231i,0.0003889+0.00028768i,6.2223e-05+0.00061422i,0.00026666+0.00060992i,0.00075465+0.00031751i
0.0092751-0.016681i,0.0090418-0.019462i,0.0042606-0.016622i,0.0019098-0.0085286i,0.0013229-0.0027414i,0.00041634-0.00016422i,8.684e-06+0.00071676i,-0.00013512+0.00072125i,-0.00047203+0.00039377i,-0.00048516-2.5679e-05i,-0.00010421+0.00014255i,-0.00047705+0.00022909i,-0.00077787-0.0003419i,-0.0011151-0.0010865i,-0.0010394-0.00095286i,-0.00046639-0.00086061i,-0.00036401-0.0016712i,-8.8708e-05-0.0013572i,0.00045393-0.00032736i,0.00058814+0.00022784i,0.00042442+0.00053076i,2.8705e-06+0.00079095i,-0.00051989+0.00069514i
-0.011514-0.005229i,-0.0144-0.0041283i,-0.013899-0.00057902i,-0.0096061+0.00092043i,-0.0051833+0.0009415i,-0.0019156+0.0009924i,-4.2768e-05+0.0012941i,0.00029511+0.00145i,-0.00018454+0.00042396i,-0.00080209-0.0002949i,-0.0011218-5.5612e-05i,-0.001042+0.00050805i,-0.00030628+0.00073568i,-0.00022063+0.00053551i,-0.00017227+0.00098372i,0.00012149+0.00056577i,0.00016719-0.00034729i,0.00012159+1.5592e-06i,0.0001251+0.0006805i,-5.6785e-05+0.00031899i,0.00047007-0.00026135i,0.00052336-7.8591e-06i,-0.00011889+0.00032167i
-0.010731+0.012228i,-0.0093211+0.014527i,-0.0051486+0.013493i,-0.0023674+0.0081964i,-3.1934e-05+0.0037976i,0.0017536+0.0018499i,0.0017934+0.00099876i,0.001222+0.0010692i,0.00052829+0.0012373i,0.00020541+0.0015386i,-0.00017203+0.00095448i,-0.00036129+0.0001296i,-0.00013419-0.00016846i,0.00052711-0.00026375i,0.0010838-0.00040611i,0.0012102-9.1666e-05i,0.00055431+0.00068518i,-0.00034793+0.0010411i,-0.00086887+0.00045585i,-0.00071004+0.00025349i,-0.00082943+0.00025795i,-0.00085932+0.00039132i,-0.00011195+0.00051862i
0.013018+0.0042029i,0.015225+0.0026579i,0.012369+0.00021473i,0.0060476-0.00069699i,0.002138-0.00062631i,0.0017228-0.00063396i,0.0019108-0.00054353i,0.0017573-0.00047139i,0.0014295-0.00012427i,0.00077495+5.9054e-05i,0.0003964-0.00033613i,-0.00014503-0.00013235i,1.2147e-05+9.4705e-05i,0.0003978-0.00095679i,-0.00019314-0.0010527i,-0.00091875-0.00072517i,-5.0318e-05-0.0012517i,0.00080199-0.0012789i,2.1908e-05-0.00027869i,-0.00048184+0.00013004i,0.00034957-7.7308e-05i,0.0013144-0.00048268i,0.000606-0.00089663i
0.0097512-0.010062i,0.006793-0.013558i,0.0035575-0.012211i,0.0025925-0.0062022i,0.0016035-0.002341i,-0.00037315-0.00068524i,-0.0016871+0.00046696i,-0.0018505+0.00092597i,-0.0011726+0.00072875i,0.00082382-0.00037082i,0.0016567-0.001618i,0.000753-0.0012976i,0.00044518-0.00035969i,0.0004722-0.00011968i,0.00029609-0.00034094i,0.00029397-0.00011562i,0.00020618+0.00035818i,-0.00055799+0.00049858i,-0.00096425-0.00010529i,-0.00011102+5.5012e-05i,-0.00026092+0.00054125i,-0.00041814+0.00013541i,0.00041571-0.00038538i
-0.01343-0.0071193i,-0.016909-0.0044523i,-0.015655-0.0011401i,-0.0093188-0.00060123i,-0.0044559-0.00072811i,-0.0015139-0.00012131i,0.00010141-7.9544e-05i,-7.5722e-05+8.6381e-05i,-0.00023462+0.00026937i,0.00035308+0.00033126i,0.00017575+0.0003358i,-0.00060923+9.0741e-05i,-0.0011809-0.00062872i,7.3113e-05-0.00082197i,0.00089592-0.00019255i,0.00025718+0.00072644i,0.00029663+0.00078305i,0.00015546+0.00025868i,-0.00057671+0.00081065i,-0.00053937+0.0012916i,-0.00026308+0.0008009i,-0.00028172+9.1069e-05i,1.188e-05-0.00017761i
-0.011222+0.0083657i,-0.0069203+0.013664i,-0.003002+0.014795i,-0.0017493+0.010197i,-0.001106+0.0057404i,-0.00012303+0.0028794i,0.00064581+0.001136i,0.00065441+0.00038876i,0.00030982+0.00096879i,0.0010001+0.0012555i,0.0011815+0.0007771i,0.00065953+0.00072634i,0.00082006+0.00050507i,0.00017699+0.00068776i,-0.00054481+0.00095397i,-0.00025366+0.00092029i,0.00022882+0.00054914i,0.000377+8.2286e-05i,0.00085857+0.00092288i,0.00010253+0.0012864i,-0.00065198+0.0006859i,-0.00083664+0.00050744i,-0.00068371+0.00049536i
0.013011+0.008164i,0.017899+0.0029547i,0.017884-0.00044973i,0.011189-0.0001505i,0.0058648-4.5788e-05i,0.0029922-0.00058049i,0.00042163-0.00062294i,-3.1266e-05+0.00025555i,0.00097834+0.0013122i,0.0016962+0.0015349i,0.001561+0.00057594i,0.00094197-0.00011831i,0.00017211-0.00017987i,-2.113e-05-0.00020406i,0.00039084+0.00023458i,4.8148e-06+9.3455e-05i,-0.0004738+0.00035173i,9.1994e-05+0.00068704i,0.00040798+0.00075737i,0.00064119+0.00060835i,0.0008+0.00029568i,0.00058127+0.00050891i,-0.00035706+0.00022346i
0.011169-0.0098298i,0.0046855-0.015873i,-0.0010106-0.016544i,-0.0018607-0.010739i,-0.00020337-0.0055648i,-0.00058911-0.0023241i,-0.00083709-0.0002032i,0.00046707+0.00046995i,0.0015866-0.00024313i,0.001336-0.00030857i,0.00015416-2.131e-05i,-0.00079684+0.0002872i,-0.00031625+0.00039462i,0.00060085+0.00024759i,0.00050486-0.00057439i,0.00022934-0.0011509i,-0.00030377-0.00084112i,-0.00054545-0.0012576i,-0.00048199-0.00081098i,-0.0016248-3.9768e-05i,-0.0020229+0.00045165i,-0.00084555+0.00032632i,0.00039512-0.00036092i
-0.0071182-0.011033i,-0.014629-0.0049388i,-0.015477-0.00053397i,-0.0099995-0.00057128i,-0.0046805-0.0017358i,-0.001133-0.00017521i,0.00055335+0.001649i,0.00065751+0.0015707i,0.00035025+0.0011589i,-0.00034156+0.00026138i,-0.00065946-0.00063174i,-0.00026653-0.00052836i,0.0001474-0.00020329i,0.00038263+0.00073628i,0.00060369+0.00077107i,0.0006498+0.00013216i,9.7767e-06+0.00035447i,-0.00068033+0.00039066i,-0.0010162-9.4594e-05i,-0.0010361+0.00025427i,-0.00070289+0.00050597i,-0.0005497-1.6914e-05i,-0.00023695-0.00056277i
-0.0078565+0.0063068i,-0.0025795+0.011203i,0.00071424+0.012563i,0.00052137+0.007725i,-0.0013597+0.0027982i,-0.0011646+0.0010503i,0.00034196+0.0006991i,0.0010106+0.00079677i,0.00094884+0.0009208i,0.00088966+0.00079578i,0.001103+0.00091103i,0.00043883+0.0010694i,9.2396e-05+0.00089169i,-6.5989e-05+0.00072111i,-0.00074396-5.7809e-05i,-0.00057913-0.0003674i,-0.00027073+0.00025627i,-0.00023023+0.00082258i,-0.00039677+0.00095541i,0.00012366+0.0010453i,0.0014804+0.0015055i,0.0011458+0.0013074i,0.00049728+0.00023844i
0.0049809+0.007715i,0.011356+0.0017069i,0.011536-0.0012687i,0.0072308-0.00051639i,0.0043461+0.0011852i,0.0027444+0.0013585i,0.0011134+0.0013678i,0.00041931+0.0015429i,0.00078837+0.00083147i,0.0012179+9.183e-05i,0.00095261-0.00016107i,0.0011345-0.00083109i,0.0012183-0.0012359i,0.00058423-0.00079494i,-0.00035208-0.00061877i,-0.00068313-0.00052523i,-3.5377e-05-0.00023477i,-6.1839e-05+5.34e-05i,-0.0005259+3.3814e-05i,0.0004187+0.00015533i,0.0011901+0.00012178i,0.00089292-0.00038421i,0.00063478-0.00045719i
0.0082874-0.0042842i,0.0018914-0.012537i,-0.0014738-0.014342i,-0.00097858-0.0090718i,8.6002e-05-0.0042298i,-0.00019492-0.0016886i,0.00019761-0.00019972i,0.00092164-0.00026447i,0.0006254-0.00083585i,0.00031524-0.00089739i,0.00020251-0.00089464i,-0.0002625-0.00086945i,-0.00059515-0.00020357i,-0.00034486+0.00041664i,0.00037494+0.00045337i,0.00075102-1.4582e-05i,0.0014032+0.00010691i,0.0013426+8.1504e-05i,0.00072505-0.0009039i,0.001184-0.0013247i,0.00078377-0.00076941i,0.0002393-0.00015026i,0.00014223+0.00054846i
-0.0021593-0.010238i,-0.011641-0.0054781i,-0.01459-0.0021913i,-0.010962-0.0011087i,-0.00593-0.00072072i,-0.0018103+0.00068927i,0.00063026+0.0013485i,0.00090716+0.00044972i,0.00028432-0.00045834i,0.00016663-0.00033482i,0.00021579-0.00030993i,0.00019426-0.00044946i,-0.00011963-0.00011911i,-0.00044147+0.00041503i,9.3044e-05+0.00048494i,-0.00042683-0.00035986i,-0.00093578-0.00093421i,-0.0005819-0.00083327i,-0.00065643-0.00043473i,-0.00057601-0.00046316i,-0.00015487-0.00015163i,-0.00045892+0.00040825i,-0.00053818-2.4235e-06i
-0.0076464+0.00090112i,-0.0027726+0.011573i,-0.00052405+0.015635i,-0.0011972+0.011296i,-0.0018153+0.0061234i,-0.00038505+0.003546i,0.0011739+0.0018411i,0.0015199+0.0011352i,0.00053985+0.0013967i,-0.0006065+0.0014368i,-0.00080159+0.00094744i,-0.00047159+0.00098092i,-0.0001909+0.0012531i,-0.00013513+0.00091481i,-3.0222e-06+0.00071027i,-2.4812e-05+0.00059679i,-0.00034797+6.0826e-05i,-0.00087474-0.00025428i,-0.00070599+0.00022865i,0.00012793+0.00073419i,0.00051848+0.0013696i,0.00066993+0.0011613i,0.00079174+9.6464e-05i
0.0002839+0.0044835i,0.011942-0.0011932i,0.016013-0.003496i,0.010828-0.00040919i,0.0059353+0.0021848i,0.0036319+0.00092737i,0.0011725-0.0007014i,0.00024382-0.00031184i,0.0016251+0.00095953i,0.0020561+0.00098884i,0.001559+0.00030671i,0.0011685+0.0007469i,0.00056258+0.0011246i,-0.00046309+0.0013177i,-0.00036108+0.00045017i,-8.3954e-05-0.00022797i,0.00010232-6.6879e-05i,0.00028696+0.00078271i,0.00024367+0.00092944i,9.8974e-05+0.00030082i,0.00013305+7.3759e-05i,0.00057532-2.057e-05i,0.00047665-4.1349e-05i
0.0041342-0.0013298i,-0.0026798-0.011675i,-0.0054004-0.015798i,-0.0036635-0.010819i,-0.0016074-0.0052654i,-0.0013378-0.001836i,-0.00071198+0.00036321i,0.00049845+0.00023975i,0.00086688-0.00089799i,0.0012577-0.0011414i,0.0012847-0.0010933i,0.00039759-0.00070711i,-0.00030657-0.00048453i,0.00043677-0.00096749i,0.0014448-0.0011434i,0.0011893-0.00071461i,0.00080417-2.7825e-05i,0.00082067+5.1804e-06i,3.2979e-05-0.00031337i,-0.00020686-0.0011559i,0.00046466-0.0015828i,0.00087213-0.0013087i,0.00061783-0.0010686i
0.0034689+0.00018225i,-0.0074559+0.0039194i,-0.0099809+0.0046406i,-0.0063236+0.002291i,-0.0041254-0.00046224i,-0.0032792+0.00066829i,-0.0014173+0.0022413i,-0.00039887+0.0015863i,-0.00038499-0.00011795i,0.00011609-0.00090937i,0.0003401-0.00024269i,5.1188e-06-0.00038251i,3.2286e-05-0.0003708i,-2.7313e-05+0.00019253i,-4.2632e-05-0.00016167i,-3.8935e-05-0.00086941i,-0.00051352-0.0013162i,-0.00051764-0.0011453i,-0.00034176-8.9505e-05i,-0.00047372+0.0006407i,-0.00040464+0.00058858i,-0.00050295+0.00055617i,-8.1783e-06+0.00099986i
0.001611-0.0046814i,0.0056443+0.0068237i,0.0037665+0.010628i,-0.0003752+0.0085352i,-0.0020877+0.0060562i,-0.00031007+0.0044368i,0.00069999+0.0025926i,0.00033048+0.0010381i,0.0004144+0.00013259i,0.00030593+0.00013236i,8.2181e-05+0.00020951i,-0.00050858+0.00016528i,-0.00065967+0.00016898i,-0.00029718+0.00024106i,-0.00067982+0.00033157i,-0.0006066+1.1555e-05i,-0.00035417+0.00012086i,-0.0005559+4.4217e-05i,-0.00048261-0.0001321i,-0.00013476+0.00020251i,0.00024398+0.00026854i,-0.00027649-0.00080183i,-0.00047201-0.00078988i
-0.0052435-0.00068366i,0.0057138-0.0046213i,0.010265-0.0052618i,0.0080392-0.0017729i,0.004854+0.00087676i,0.0021314+0.00075762i,0.00048701+0.00068706i,-0.0001378+0.001437i,-9.1828e-05+0.0010085i,0.00043477+0.00048376i,0.00031193+0.00070319i,-0.00016335+0.0005592i,0.00025186+0.00060545i,-7.4295e-05+0.00056636i,-0.00072965+0.00010815i,7.8589e-07+0.00014346i,0.00028113-8.2632e-05i,0.00027381-0.00028893i,-7.4286e-05+0.00017971i,-0.00043215+0.00031864i,0.00051487+6.1659e-05i,0.0013446-0.00069282i,0.0013093-0.001349i
-0.0073814+0.0036622i,-0.0092006-0.0086656i,-0.0077037-0.011692i,-0.0032747-0.0072707i,9.1796e-05-0.0041667i,0.00059255-0.0027397i,5.1391e-05-0.001253i,0.00042806-0.00071071i,0.0013548+0.00027459i,0.0020812+0.00044848i,0.0011738+0.00018321i,9.0626e-05+0.0011645i,0.00020738+0.0016288i,0.00013386+0.0010054i,-8.9253e-05+0.00027506i,-5.6972e-06-0.00020989i,1.5056e-05-0.00045324i,3.9225e-05+0.00020659i,-0.00024775+0.0011492i,3.5226e-05+0.00044504i,0.00044939-0.00089963i,5.597e-05-0.0014532i,-0.00045176-0.0011148i
0.0049354+0.0047605i,-0.0059889+0.0059089i,-0.010771+0.0057036i,-0.0081899+0.0028648i,-0.0046814+0.0011708i,-0.0015984+0.0011064i,0.00012221+0.00072695i,0.0002-7.5821e-05i,0.00030405-0.0011637i,0.00032435-0.0018746i,-0.00030602-0.0016255i,-0.00068783-0.0006577i,-7.9214e-05-0.00075971i,0.00046378-0.00079737i,2.2355e-05-0.00037722i,-0.00064479+0.00012061i,-8.6195e-05+0.00061614i,0.00094216+0.0006045i,0.0010788-0.00050043i,0.00020564-0.001284i,-0.00082069-0.00093928i,-0.001043-0.00032174i,-0.00036653-7.0393e-05i
0.011214-0.00029841i,0.012912+0.010456i,0.010811+0.011964i,0.0051994+0.0073311i,0.0009737+0.0041505i,0.00052808+0.0025938i,0.0011874+0.0016368i,0.0011056+0.0016508i,0.0005179+0.001279i,0.00054964+0.00056303i,0.00064015+0.0001182i,0.00028501-0.00039093i,-0.00053989-7.6417e-05i,-0.00023464+0.00049936i,-5.6758e-05+0.00062398i,-0.00045761+0.00073727i,-0.00091919-6.9887e-06i,-0.00023939-0.00083455i,0.00038812-0.00032249i,-0.00011132+0.00028238i,7.3557e-05+0.0011364i,0.00019622+0.00073667i,8.3583e-05+0.00046258i
-0.0059892-0.013335i,0.0033601-0.013159i,0.0059267-0.010058i,0.0038056-0.0037312i,0.002986+0.0012589i,0.0034102+0.0014493i,0.0020189+0.00043099i,0.00078164+0.0012531i,0.00057248+0.0014763i,0.0011956+0.0004896i,0.0010467+0.0004757i,4.7989e-05+0.00091748i,-8.5154e-05+0.0011703i,0.00026437+0.00089613i,-0.00026415+0.00014873i,4.708e-05-0.00029337i,8.4594e-05-0.00053944i,-0.00077938-0.0003367i,-0.0011055+0.00031569i,-0.00061532+0.00080232i,-0.00043947+0.00088566i,-0.00023873+0.00033854i,0.00046241-0.00057825i
-0.015343-0.0039778i,-0.015291-0.013134i,-0.013201-0.013887i,-0.0065368-0.0082055i,-0.0016438-0.0040891i,-0.00055251-0.0014514i,0.00052153-1.8849e-05i,0.0016883-0.00018767i,0.0017001-9.8161e-05i,0.00121-0.00018238i,0.0003192-0.00023579i,7.1375e-05+0.00041472i,0.00094079+0.00069505i,0.0011645+4.979e-05i,0.00017808-0.00015923i,-0.00087598-0.00047551i,-0.00084796-0.00026204i,-0.00051696-1.1623e-05i,0.00042264+0.0001254i,0.0012008+0.00071535i,0.001082+0.00037006i,0.00054811-0.00016092i,-0.00012865-0.00036185i
0.00088173+0.016753i,-0.0063444+0.013821i,-0.007118+0.010635i,-0.0045079+0.0046812i,-0.0032448-0.0012253i,-0.0030044-0.0011787i,-0.00094403+0.00014305i,0.00014532-0.00013718i,-0.00051307-0.00041825i,-0.00073673-0.00043708i,-0.00026244-0.00079854i,0.00068623-0.0010973i,0.0010296-0.00029465i,0.00037327+0.00035259i,0.00022663+0.00014427i,0.00022328+6.3245e-05i,-0.00049484+0.00018427i,-0.00024114+0.0003088i,0.00062062+0.001346i,0.00065513+0.0016999i,-0.00044128+0.00010421i,-0.0011373-0.0010369i,-0.0011338-0.001005i
0.018362+0.0046994i,0.016782+0.010487i,0.013166+0.011444i,0.0067384+0.0078961i,0.0026651+0.0051407i,0.0016115+0.0035279i,0.00058499+0.0017248i,-0.00053197+0.0012151i,-0.00091514+0.0012112i,-0.00074349+0.0013545i,-0.00045495+0.0011365i,-0.00033725+0.00050932i,-7.9932e-05+2.8376e-05i,0.0001906-0.00027378i,7.9872e-05-8.3355e-05i,0.00055435-0.0002763i,0.0012967-0.00062796i,0.0007861-0.00049492i,5.5379e-05-0.00054594i,0.00032488-0.00015754i,0.00039614+0.00099532i,-0.00055799+0.0015601i,-0.0011639+0.00087899i
0.0056691-0.018627i,0.0088047-0.017218i,0.0080006-0.014278i,0.0045528-0.006407i,0.0038269-0.00052941i,0.0030433+0.0010437i,0.0018159+0.00080814i,0.001759+0.00063676i,0.0018763+0.0014783i,0.0020968+0.0018866i,0.0015013+0.0012442i,0.00050421+0.00066409i,0.0005608+0.0008639i,0.00088034+0.0010821i,0.00071619+0.00065907i,0.00015564+7.3514e-05i,0.00052075-0.00016143i,0.0010151-0.00027932i,0.00031349-0.00017213i,-0.00056194+0.0004188i,-0.00011545+0.00046717i,0.00027146-6.603e-05i,8.7379e-05+0.0002897i
-0.02194-0.010844i,-0.019053-0.014033i,-0.015512-0.011543i,-0.0082795-0.0053137i,-0.0017659-0.0014424i,0.00054103-0.0016694i,0.00056496-0.0014916i,0.00041783-0.00045155i,0.0003984+0.00039068i,0.00077698-5.4362e-05i,0.0008423-0.00067013i,0.0006466-0.00083857i,0.001343-0.0012788i,0.00099195-0.0015107i,0.00025644-0.001128i,1.475e-05-0.00046217i,-0.00036669+0.00061215i,-0.00086427+0.00089192i,-0.0010429+0.00053673i,-0.00034571+0.00077973i,0.0007165+0.00061041i,0.0013902+0.00092352i,0.0005109+0.00052723i
-0.0093896+0.019947i,-0.009871+0.017373i,-0.0075593+0.015409i,-0.0028678+0.0084476i,-0.0006319+0.0016064i,-0.0010914+0.00017994i,-0.00084243+0.00094064i,-0.00083255+0.00029373i,-0.00048847-0.0002974i,0.00026356-0.0011129i,7.3112e-05-0.0016498i,-0.00058793-0.0012049i,-0.0011425-0.00059268i,-0.0011595+0.00045734i,-0.00052105+0.00053104i,-0.0003472-0.00024206i,-0.00036345-4.2024e-05i,-0.00045568+0.00076728i,-0.00065482+0.00056409i,-0.00034792-0.00027858i,0.00019149-0.00041948i,0.00037442-0.00025064i,-0.0006048-0.00041899i
0.014492+0.019639i,0.014436+0.018645i,0.01425+0.014014i,0.0085626+0.0081874i,0.0029116+0.0050482i,0.0019605+0.0033775i,0.00023495+0.0019116i,-0.0025824+0.001585i,-0.0025251+0.0016072i,-0.0015247+0.0012252i,-0.0015647+0.00093282i,-0.0014519+0.00010569i,-0.00030915-0.00041883i,0.00030652+0.00027724i,0.00023356+0.00075572i,0.0005989+0.00053926i,0.00030983-0.00012236i,-0.00011217-2.2102e-05i,0.0007273+0.00055656i,0.00064069+0.00037434i,-0.00056266+1.7012e-05i,-0.00050665-0.00050204i,-0.00021004-0.00069376i
0.016346-0.01993i,0.013461-0.019504i,0.0085007-0.017476i,0.0026294-0.0084664i,0.00083342-0.00069596i,0.0017631+0.00054313i,0.0013839+0.00064664i,0.001258+0.0015041i,0.0015502+0.0017717i,0.0013913+0.0014832i,0.00054877+0.0013718i,-0.00011475+0.0015892i,-0.00043002+0.00088677i,-0.0004624+0.00020955i,-0.00077571+0.000465i,-9.646e-05+0.00015434i,0.00047011-0.00011127i,0.00056976-0.00031447i,0.00074129-0.00055047i,0.00030256-0.00060917i,0.00049205-0.00077711i,0.00032697-0.00033359i,-0.00064219+0.00068559i
-0.014194-0.025219i,-0.016895-0.021839i,-0.017314-0.014586i,-0.010488-0.0069667i,-0.0026312-0.00328i,-2.5346e-05-0.0015991i,0.00097915-0.00064419i,0.0020751-0.00057702i,0.0017339-0.00027962i,0.0021895-0.00083601i,0.0022022-0.0011985i,0.0019513+0.00040308i,0.0019868+0.0010506i,0.0014414+5.955e-05i,0.00099248-0.00080252i,8.5975e-05-0.00046184i,-0.0010315+0.00021737i,-0.0011027+0.00061216i,-0.00069143+0.00022365i,-0.0009769+2.3927e-05i,-0.00068889+0.0006552i,0.00035864+0.0008601i,0.0011452+0.00091811i
-0.023416+0.01342i,-0.01771+0.017118i,-0.011103+0.018159i,-0.0047675+0.011833i,-0.0022898+0.0047176i,-0.0026808+0.00161i,-0.0023663+0.00052475i,-0.0013804-0.00098502i,-0.00038492-0.0014683i,0.00071044-0.0011194i,0.00091689-0.001116i,6.9094e-05-0.00086908i,-0.0008313-0.0008501i,-0.00086524-0.00063461i,-0.00066845+0.00014588i,-0.00048111-0.00021172i,0.00018656-0.00035636i,-0.00025663+0.00021156i,-0.00078769+0.00016726i,0.00052158+0.00012482i,0.001228-0.00022237i,0.00027204-0.00063054i,-0.00017907-0.0011827i
0.01127+0.027201i,0.015244+0.018352i,0.017158+0.0090723i,0.010676+0.0034473i,0.002725+0.0024692i,-0.00021348+0.0028554i,-0.00068203+0.0021976i,-0.00039376+0.0012271i,-0.00070661+0.0010443i,-0.0014769+0.00055532i,-0.001048-0.00012755i,-0.00038878+0.00041747i,-0.00014555+0.0012565i,-8.5193e-06+0.00076063i,-0.00072191+0.00057647i,-0.001374+0.0008497i,-0.0010405+0.00086587i,-0.00023794+0.00088366i,0.00083562+0.00084263i,0.00087456+6.0231e-05i,0.00025327-0.0010788i,-0.00061234-0.00087191i,-0.0010708-0.0002908i
0.023876-0.009247i,0.015848-0.015778i,0.0085244-0.017625i,0.0035597-0.01077i,0.001582-0.0029222i,0.0022673-0.00019694i,0.0019312+0.0012052i,0.0013221+0.0029128i,0.0017489+0.0029954i,0.0012462+0.002045i,-0.00023494+0.0013515i,-0.00082641+0.00099093i,-0.00050774+0.00082156i,-0.00017254+0.00051408i,0.00019578+0.00034479i,0.00097526-0.00029687i,0.00095001-0.00076351i,0.00076584-0.00052026i,0.00049598-0.001026i,-0.00024091-0.0010477i,-0.00065484-0.00016232i,7.9289e-05+5.6775e-05i,2.1961e-05+0.00066941i
0.00037949-0.028495i,-0.0079551-0.019354i,-0.014436-0.01034i,-0.0097093-0.0033605i,-0.0018013-0.0013302i,0.00038088-0.0023584i,0.0007755-0.0014487i,0.0018716-0.0007168i,0.0019589-0.00026587i,0.0018137+0.00030594i,0.0015627+0.00016487i,0.0011155+0.00013338i,0.00038002+0.00054725i,-0.00060051+0.00089648i,-0.00021839+0.0006805i,0.00092978+0.00072274i,0.00089726+0.00073067i,0.00026948+0.0013358i,-0.0001488+0.0012631i,0.00024905+0.00075555i,0.00011404+0.00051365i,-4.264e-05+0.00056164i,0.00084182+0.00063618i
-0.027733-0.0015281i,-0.017598+0.0089513i,-0.010209+0.015003i,-0.005541+0.012062i,-0.00297+0.0056316i,-0.0013457+0.0023457i,0.0001939+0.00079636i,5.6598e-05-0.00057055i,-0.0008295-0.00099342i,-0.00060814-0.00039436i,0.00044368+8.248e-05i,0.0010883-0.00048123i,0.0011445-0.00058567i,0.0012831-0.00031211i,0.00088226+5.4485e-07i,0.00028469+0.0007956i,0.00020879+0.00091312i,0.00017533+0.00046179i,-0.0005015+0.00061003i,-0.00050362+0.0012562i,-0.00036457+0.0011976i,-0.00017128+0.00042056i,0.00032043+3.1028e-05i
-0.01018+0.028131i,0.0018151+0.018574i,0.01054+0.011256i,0.0080712+0.0061101i,0.0032512+0.0041576i,0.0016811+0.0031237i,-4.2748e-05+0.0013352i,-0.0015251+0.0012378i,-0.00096903+0.0014161i,0.00024955+0.00077385i,0.0010817-0.00028356i,0.0014022-0.00047808i,0.00061789-0.00024294i,-0.0010038-0.0012045i,-0.0020953-0.0015465i,-0.0014466-0.0009499i,0.00013223-0.00022146i,0.00056928-0.00021061i,6.1399e-05+0.00036867i,0.00019062+0.00094511i,0.0010888-6.4308e-05i,0.0011134-0.001169i,0.00011429-0.0013977i
0.023308+0.0069136i,0.013528-0.0064997i,0.0054999-0.012482i,0.0024462-0.0068054i,0.0029476-0.00054904i,0.0036812+0.00083579i,0.0027499+0.00092885i,0.0013093+0.0014121i,0.0011058+0.0013088i,0.00096964+0.0007862i,0.00036002-9.1427e-05i,-4.5091e-05-0.00065743i,-0.00049523-0.00041609i,-0.0007605+8.7768e-05i,-0.00019423+0.0005288i,0.00033467+0.00012709i,-0.0001131-0.00046961i,-0.00069984-0.00029809i,-0.00085653-0.00066934i,-0.0005954-0.0011964i,-0.00022569-0.00082939i,-0.00014098-0.00034019i,-0.00044394+0.00053961i
0.017051-0.020293i,0.0011254-0.011583i,-0.0098835-0.0051823i,-0.0092094-0.0020913i,-0.0034521-0.0018028i,-0.00030835-0.0022936i,0.00094326-0.001867i,0.0016878-0.0010068i,0.0015342-0.00083614i,0.0010113-0.00042829i,0.00036807+0.00054643i,0.00018239+0.00069792i,5.3105e-05+0.00069211i,-0.0005725+0.00029824i,-0.00023165-0.00054163i,0.00069048-0.00045463i,0.00030758+0.00051371i,-0.00046157+0.0012085i,-0.00061614+0.0012906i,-0.0005167+0.00084066i,-0.0003708+0.00038548i,9.2744e-05+0.00077995i,-9.291e-05+0.0013119i
-0.020236-0.016877i,-0.011989+0.0012763i,-0.005816+0.011239i,-0.0037099+0.009805i,-0.0032947+0.0046638i,-0.0024426+0.0022492i,-0.0016783+0.00081642i,-0.00056862-0.00041291i,-0.00029701-0.00038379i,-0.00066696+0.00015828i,4.3129e-05+0.00054583i,0.0011807+0.00035718i,0.0014114+5.7348e-05i,0.00094141-7.5891e-05i,0.00081534-0.00028952i,0.00085451+0.00038486i,0.00088748+0.00085087i,0.00031827+0.00059334i,3.1465e-05+0.00070042i,0.0006343+0.001137i,0.00024542+0.0011659i,0.00083064+0.0013794i,0.0019022+0.0013979i
-0.023465+0.010976i,-0.0056884+0.0035636i,0.0051759-0.0013804i,0.0051145-0.00054682i,0.0014681+0.0025662i,0.00031226+0.0032739i,0.00061963+0.0014179i,0.00018093+9.1733e-05i,0.00038112-0.00013837i,0.0011452+0.00022484i,0.0016561+0.00019721i,0.0016629-0.00073525i,0.0012034-0.0012897i,5.3148e-05-0.0012832i,-0.00032558-0.00078068i,-0.00010591+0.00011616i,-0.00073512+0.00072993i,-0.00028481+0.00028716i,0.00086854-0.00071655i,0.0011171-0.00099076i,0.0008252-0.00091768i,0.00036331-0.00082404i,0.00032129-0.0015831i
