0.00028138+0.00038491i,0.0010401-8.5113e-05i,0.00051931-0.0017691i,0.00065924-0.0019464i,9.573e-05-6.972e-05i,-0.00071234+0.0010371i,-0.00022683+0.0014992i,0.00010345+0.0020001i,0.00011238+0.0015853i,0.00017261+0.00073407i,-0.00039967+0.00012148i,-0.00096785-0.00045198i,-0.00094711+0.00030817i,-0.00054107+0.00093972i,-0.00046528+0.0004419i,-0.0007493-0.00036766i,-0.0001674-0.00098115i,0.0010229-0.00055477i,0.0010052-0.00011982i,0.00041416-0.00018179i,-0.00019553-0.00043402i,-2.9481e-05-0.00053097i,0.00037509-0.00038492i
1.4692e-05+0.0010584i,-0.0001665+0.00087257i,0.0011306+0.00031349i,0.0017485-0.00016261i,0.001132-0.00045044i,0.00039897-0.00026744i,2.4161e-05+3.494e-05i,0.00060508+0.00046287i,0.001008+0.00096218i,0.00078333+0.00058672i,3.6234e-05-0.00011391i,-0.00048213-0.0007085i,-0.00020871-0.00031883i,-9.4098e-05+3.9459e-05i,1.213e-05-0.00050011i,-0.00024087-0.00046563i,-0.00031342+0.00041333i,-0.00018912+0.0008178i,-0.00039719+5.1368e-05i,-0.0001739-1.4536e-05i,-0.00038072+0.00016094i,-0.00093091+0.00015618i,-0.00096944+0.0002954i
0.0013546-0.0011795i,0.00015006-0.00079679i,-7.231e-05-0.0011167i,-0.00011517-0.00063854i,-0.0011864+0.00033888i,-0.00092997+0.00034074i,-0.00050921-0.0002928i,-0.00080481-0.00055997i,-0.00069738-0.00044752i,-0.00053676+0.0003203i,-0.0010704+0.00049002i,-0.0012052-7.3327e-05i,-0.00065266+0.00010059i,0.00023284+0.0003414i,0.00057745+0.00036143i,0.00045207+0.00057417i,0.00065069+0.0007724i,0.00052407+0.00061078i,0.00019072-8.3749e-05i,0.00021168-0.00043865i,0.00011407-7.581e-05i,-0.00017211-0.00053526i,-0.00033496-0.00069445i
-0.0002766+0.0010073i,-0.00055858+0.00047584i,-0.0001263-0.00022354i,0.00048063-4.8901e-05i,0.00082804-9.4266e-05i,0.0014021-7.3224e-05i,0.0011708+0.00058007i,-0.00010954+0.00071381i,-0.00091055+0.00043679i,-0.00054852+0.00024213i,0.00012618-0.00023835i,-0.00048917-0.00015966i,-0.0011336+0.00049834i,-0.00040698+0.00044507i,7.7523e-05-2.161e-06i,6.3239e-05-0.00015056i,-0.00013127-0.00017574i,-0.00015291+1.3115e-05i,0.00017425+0.00067668i,0.00034799+0.0006201i,0.00032334+0.00020869i,0.0001803+0.00047427i,0.00011163+0.0011164i
0.0010295-0.0007253i,6.0289e-05-0.00015402i,-0.00037006-0.00096036i,-0.00010933-0.0011602i,-0.0005221-0.00066733i,-0.0010839-0.00058115i,-0.00067454-0.00037079i,-9.5785e-05-0.00010777i,9.0481e-05+6.4474e-05i,-0.00038452+0.00012954i,-0.0012374-0.00021797i,-0.00062858-0.00033169i,9.8194e-05-2.5456e-05i,-2.575e-05+3.1775e-05i,-0.00034601-0.00017372i,-7.9924e-06-0.00011642i,-0.00012894-6.6079e-05i,-8.4752e-05-2.3917e-05i,0.00030518+0.00087599i,-0.00019438+0.00069354i,-0.00019347+0.00030321i,-5.6805e-05+0.0002099i,-0.0005624-0.00028484i
-0.00058299+0.00092133i,-0.00075323+0.00069498i,-0.0010725+0.0016134i,8.3001e-05+0.0016552i,0.0016055+0.00072333i,0.0015923+0.00045579i,0.00041251+0.0006292i,-0.00079647+5.3044e-05i,-0.0019585-0.00043691i,-0.0015664-0.00014621i,-0.0010049-0.00027276i,-0.00090191-0.001067i,-0.00046769-0.0011004i,-0.00047219-0.00075986i,-0.00075275-0.00030938i,-0.00087729+6.8645e-05i,-0.00047772-1.4265e-05i,-6.3607e-05-0.00023503i,-0.00020176-0.00075407i,-0.00025583-0.0014299i,-0.00056915-0.0011871i,-0.00046908-0.00058622i,-3.4486e-05-0.00011656i
0.00089659+0.00082587i,0.00092913+0.00041498i,0.00073167+0.00027525i,0.0012435-5.9027e-05i,0.0011519-0.00042428i,0.00020778+0.00010858i,-0.0005241-5.3366e-05i,-0.00082168-5.3997e-05i,-0.00098409+0.00024643i,-0.00086528-4.6329e-05i,-0.00028329+0.00021874i,0.00018687+0.00052471i,-0.00059833+0.00062158i,-0.00065509+0.00057692i,0.00046161+0.0005484i,0.0011063+0.00055226i,0.00073305+0.00013229i,0.00057069-8.7821e-06i,0.0004545+0.00070045i,0.00021134+0.0009621i,0.00043641+0.0006364i,0.00037043+0.00012121i,0.00014135+0.00017157i
0.00011118+1.352e-05i,-0.00024396+0.00029238i,0.00052555+0.00060519i,0.0010441+0.00092008i,0.00040143+0.00058332i,0.00037663+0.00039788i,0.00048647+0.00010658i,0.00022325+0.00011761i,-0.00034673+0.00027681i,-0.00072651-0.00016723i,-0.00068852-4.7757e-05i,-0.00057381+0.00028858i,-5.8573e-05+0.00019214i,0.00068255+8.4979e-05i,0.00096304+0.00056692i,0.0007822+0.00046763i,2.2298e-05-9.0282e-05i,-0.00050479-0.00022736i,-0.00013535-9.949e-05i,0.00055416+0.00014609i,0.00092947+0.00019589i,0.0012325+0.00049572i,0.00024568+0.00071081i
0.0017407+0.0007693i,0.0016118+0.00044405i,0.0011985-0.00019881i,0.0010652-0.0004199i,0.0007376-0.00070477i,-0.00022755-0.00047651i,-0.00024486+4.5529e-05i,7.9049e-07-0.00049591i,-0.00049404-3.1889e-05i,-0.00027529+0.0001i,0.00057337-0.00040553i,0.00022689-0.00071781i,-0.00039579-0.0003297i,-0.00021762+0.00023882i,-0.00016063+0.00023886i,0.00034144+0.00014295i,0.00086512+0.00016786i,0.00066185+6.1778e-05i,5.141e-05+0.00024735i,-0.00058141+0.00047023i,-0.00020667+1.4787e-05i,-0.00020817-0.00075183i,-1.2643e-05-0.0006102i
-0.00085716+0.00021005i,-0.0011322+4.7901e-05i,-0.00079102+0.00016419i,-0.00077838+0.00024802i,-0.00096622+0.00041665i,-0.0008098+0.00079611i,-0.0002871+0.00044015i,0.00023141-0.00025782i,-0.00013592-0.00057877i,-0.00070463-0.00043829i,-0.00046848+4.1191e-05i,-0.00010874+0.00017596i,0.00023566+0.00028908i,2.8893e-05+0.00045553i,-0.00074391+0.00065251i,-0.00083883+0.00029756i,-0.00056287+0.00039928i,-0.0011287+0.00043702i,-0.0008269-0.00010061i,0.00012483-0.00011876i,-0.00050117+1.9247e-05i,-0.0014512-0.00055942i,-0.00068606-0.00077641i
0.0015252+0.00074181i,0.00061761+0.0007689i,0.00046722+0.0002755i,0.00064964-0.00021783i,-0.00013413-0.00045465i,-0.00061289+1.7709e-06i,-0.00039274-0.00030464i,-0.00051614-0.00092272i,-0.00048924-0.00062452i,-0.00086602-6.9448e-05i,-0.00039626+0.00044371i,-0.00020522+0.00067777i,-0.00094321-2.6844e-05i,-0.00056743-0.00013192i,-0.00016482+0.00067078i,-0.00039173+0.00057115i,-0.00012468-0.00017478i,0.00075837-0.00025631i,0.0012126-0.00051787i,0.00039792-0.0003964i,0.00034119+0.0005505i,0.00049695+0.00078218i,0.00038256+0.00054139i
