-0.00031426+0.00025655i,-0.0011564+0.00041515i,-0.0014736-0.00035327i,-0.0010863-2.1783e-05i,-0.00083035+0.0013169i,-0.00091882+0.0016014i,-0.0010438+0.0016076i,-0.00070051+0.0015678i,0.00012383+0.00088433i,0.00053081+0.00027643i,0.00063489+0.00029763i,0.00015722-0.00032738i,-0.00027584-0.00056886i,-0.00015578-0.00024462i,5.7405e-05-0.00069631i,4.1898e-06-0.00039459i,-3.4573e-05+0.00034535i,-1.4826e-05+0.00086671i,-0.00012909+0.00040384i,8.6207e-05+0.00019965i,5.3322e-06+0.00066797i,-0.00061817+0.00030103i,-0.0010083-0.00042037i
0.00069976-0.0013008i,4.9015e-05-0.001545i,0.00023588-0.0017415i,4.5349e-05-0.0015214i,-0.00072347-0.0017686i,-0.0010348-0.00092041i,-0.00075245+0.00041311i,-0.00060029+0.0010114i,0.00044147+0.00095532i,0.00084825+0.00046484i,0.00045867+4.3725e-06i,3.7888e-05-0.00099679i,-0.00043211-0.00060204i,-0.0003724+0.00047677i,-0.0002078+0.0010692i,-0.00022357+0.0010946i,-1.238e-05+0.00058759i,-0.00016799+0.00063969i,-0.00014222+0.00033463i,0.00057579-5.0443e-05i,-9.8631e-05+0.00030547i,-0.0010602+0.00028401i,-0.00025977+0.00022274i
0.00039471-0.0018921i,-0.00012407-0.0022078i,-0.0010239-0.0016621i,-0.00063245-7.363e-06i,-0.00070708+0.0006684i,-0.0016735+0.00026473i,-0.0010808+0.00019469i,-0.00071788+0.00072845i,-0.0016076+0.00082921i,-0.0014478+0.00035615i,-2.6366e-06+0.00011889i,0.00033497-0.00031679i,-0.00039452-0.00065291i,-0.00067362+0.00027501i,-0.00049059+0.00042019i,-0.00033726-0.00029178i,-0.00025626-0.00052462i,9.7015e-05-0.00014965i,0.00062566+0.00017007i,0.00080123-0.00035422i,0.00047414-0.00052948i,0.00024194-0.00029411i,0.00050678+0.00023012i
4.0409e-05+0.00053868i,0.0005504+0.00046451i,0.00018638+0.00094859i,0.00010811+0.00081411i,0.0005614+0.00010801i,1.2866e-05-0.0012946i,-0.0011627-0.0015523i,-0.0013193-0.00034816i,-0.00084636-6.5446e-05i,-0.00066832-0.00067406i,-0.00082314-0.00060336i,-0.00095483-0.00028668i,-0.00029697+3.1486e-05i,0.00045463-8.8873e-05i,0.0013604-0.00042926i,0.0016915-0.00026553i,0.0014027-0.00017997i,0.00040427-0.00044794i,-0.00050749-0.00066674i,0.00010665-0.00038313i,0.00050288+0.00028502i,0.00061669+0.00098345i,0.00047719+0.00094993i
0.00036988+0.00030578i,0.00025414+0.00036792i,0.00047507-0.0003429i,0.0006866-0.00051199i,-0.00014224-8.7883e-05i,-0.0010847-0.00022064i,-0.0010265+4.3706e-05i,0.00051935+0.00046837i,0.0012221+0.00055153i,0.00046527+0.00040143i,-1.1586e-05+0.00027214i,0.00018272+0.00093651i,0.00022066+0.001336i,0.00027387+0.0010617i,-0.00039301+0.00093111i,-0.00087677+0.00077095i,-0.00045966+0.00069838i,0.00027558+0.00073207i,0.00045342+0.0010927i,8.2677e-05+0.00039393i,0.00030066-0.00049376i,2.8837e-05-9.438e-05i,-0.00086178+0.00030294i
-0.001742-0.00076876i,-0.001314-0.0014321i,-0.00047766-0.0023236i,-0.00015073-0.0017033i,-0.00014742-0.00033956i,-0.00094212+0.00028503i,-0.0013108+0.00024227i,-0.0012632-0.00041716i,-0.00092649-4.5347e-05i,-0.00065158+0.00085467i,-0.00023009+0.00098154i,5.2849e-05+0.0010367i,2.979e-05+0.00090588i,0.0003409+0.00023126i,0.00068279+0.00029221i,0.00054421-7.5672e-05i,0.00061121-0.00026991i,0.00055932+0.00031904i,0.00034607+0.0011469i,0.00050402+0.0014169i,7.6163e-05+0.00083313i,-0.00054742+0.00067749i,-6.7334e-05+0.00073057i
0.0011097+0.00092098i,0.0008179+0.00058286i,0.00037338+0.0010044i,-7.6011e-05+0.00093133i,-0.00055732+0.00031251i,-0.001565-0.00033009i,-0.0016481-0.00020158i,-0.001036+0.00062703i,-0.0012403+0.00047171i,-0.00068906+0.00042006i,3.3485e-05+0.00054982i,1.0554e-05+0.00049853i,0.00022384+8.501e-05i,0.00038752-0.00025957i,0.00054015-0.00058892i,0.00068901-0.0011016i,0.00010023-0.00063037i,-0.00063+0.00024815i,-0.0006241+0.00048798i,-0.00016657+0.00054584i,0.00018221+0.0004094i,-0.00016653+0.00022124i,-0.00021478+0.00046439i
0.0018914-8.7244e-05i,0.0021667+0.00027865i,0.0025033-0.00079252i,0.0021097-0.0020832i,0.00067969-0.001954i,-0.00071576-0.001292i,-0.0012858-0.00066115i,-0.00027986+0.00010165i,0.00041343+0.00041903i,-0.00032653+0.00015203i,-0.00065089-0.00048572i,-0.00051885-0.00086236i,-0.00038826-4.7943e-05i,-0.00033445+0.0011511i,-0.00090663+0.0015551i,-0.00073894+0.0013381i,-0.00060648+0.00074773i,-0.00018484+0.00053291i,0.00019765+0.00044951i,-0.00060064+9.5737e-05i,-0.0015088-6.7289e-05i,-0.0026304-0.00015819i,-0.0019958-0.00011084i
0.00037932+0.00050312i,0.0006234+0.0011788i,0.00011564+0.0011103i,-0.00072614+0.00011553i,-0.0008105-0.00072436i,-0.00069938-0.00020618i,-0.00015966+0.00030968i,0.00053237+0.00061551i,0.00052256+0.0013233i,0.00041984+0.00046368i,0.00063492-0.00054266i,0.0011942+7.5846e-05i,0.0010354+4.9074e-05i,0.00046417-0.00025916i,-1.3887e-05+0.00030128i,-0.00041434+0.00057063i,-0.00055816+0.00060743i,-0.00035896+0.00079352i,0.0003156+0.00057383i,0.00060165+0.00048835i,0.00079695+0.00033552i,0.0020588-0.0003241i,0.0022439-0.00047197i
-0.00086802-0.0010131i,-0.00095526-0.00071874i,-0.00033264-0.00039398i,0.0005191-0.0008655i,0.00026442-0.00064003i,-0.00062974-0.00040389i,-0.0013444+0.00016217i,-0.0011461+0.00042086i,-0.0002887+0.00078036i,3.9706e-06+0.00089013i,-0.0011028+0.00014826i,-0.0014208-0.00037077i,-0.00046992-0.0010462i,0.00014286-0.00079771i,0.00044126-0.00032744i,6.7053e-05-0.00027751i,-0.0010157-4.1455e-05i,-0.00035731-2.5488e-05i,0.00028149+0.00011046i,0.0001297+0.0001471i,-0.00032322+0.00028718i,-0.00036614+0.00053598i,2.9751e-05-0.00023435i
0.0001804+2.9597e-05i,-0.00042756+0.00063515i,-0.0011091+0.00040973i,-0.001271+0.00033396i,-0.0010452+0.00069968i,-0.00097228+0.0010218i,-0.00061923+0.00053438i,-0.00047211+0.00019313i,-0.00049934+0.0005951i,-0.00022009+0.00064462i,-0.00022772+0.00026035i,5.8791e-05+0.00051923i,0.0007976+0.00096254i,0.0011903+0.00031354i,0.00068189+0.00037532i,0.00019941+0.00027775i,-8.6232e-05-0.00054914i,-0.00032927+5.5618e-06i,-0.00055599+0.00062139i,-0.00025355+0.00038381i,-0.00018631+6.2288e-05i,-0.00032442+3.7504e-05i,-0.00092078-0.00016512i
