-0.0044222-1.2398e-05i,-0.0030884+0.00081354i,-0.0031864+0.0023435i,-0.0012638+0.0025946i,-0.00024926+0.0019629i,-0.00092958+0.00071608i,-0.0015169+0.000397i,-0.0010606+0.0010348i,-0.00033487+0.0014178i,0.00046686+0.0015886i,0.0016393+0.00091505i,0.0015759+2.0039e-05i,0.00071556+2.4428e-05i,0.00034431-5.3814e-05i,7.5118e-05+0.00024591i,-0.0004686+0.00058873i,-0.00059659+0.00080263i,-0.00037938+0.00084512i,0.00039449+0.0003245i,0.0003254+3.573e-05i,-0.00023433-0.000103i,0.00035418+1.9946e-05i,0.00053993+0.00060941i
0.00072349-0.0024629i,0.00031488-0.0021766i,-0.0012207-0.0013775i,-0.0021772+0.00019594i,-0.0018807+0.00013946i,-0.0011636-0.00059958i,-0.00066444-0.00069922i,-0.00093208+0.00014582i,-0.00085913+0.00031078i,-0.00058304+2.6285e-05i,-0.0010027+0.00025983i,-0.00055501+0.00051789i,-0.00037272+0.001047i,-0.0010621+0.0015559i,-0.0012563+0.0013141i,-0.00057267+0.00025647i,0.00010436-0.00046255i,0.00056778+0.00023267i,0.0002915+0.00060138i,0.00019213+0.00033028i,-6.2104e-07+0.00028934i,6.4708e-05-0.00014982i,0.00069793-3.4697e-06i
-0.0016031-0.0010649i,-0.0017726-0.00041169i,-0.0026275-2.3535e-05i,-0.0024447+0.0012267i,-0.0012519+0.0010431i,0.00022723-0.00025227i,2.3839e-05-0.0011101i,-0.00057561-0.00059807i,-0.00081308+8.8723e-05i,-0.00070404+0.00020723i,1.48e-05+0.00040823i,0.00079333+0.000629i,0.00054447+0.00049822i,-0.0001603+0.00058759i,-0.00025467+0.00081122i,0.00075495+0.00022839i,0.0012904+0.00029523i,0.00084919+0.00034944i,0.00067181+0.00022239i,0.00014449+0.00053095i,0.00021862+0.0008982i,0.00041813+0.00033179i,0.00042216-0.0003047i
0.00075159-0.00013507i,0.0003383-0.001572i,0.00055104-0.0024314i,0.00060262-0.0013124i,0.000586-0.00070833i,-0.00022582-0.0013705i,-0.00070858-0.00117i,-0.0004629+0.00024719i,1.5032e-05+0.0012864i,6.0001e-05+0.0010028i,-0.00047651+0.00040403i,-0.00038255-0.00021098i,-0.00034524-0.00024461i,-0.00067644+8.7301e-05i,-0.00025461-5.0155e-05i,0.00025279-0.00029057i,0.00043293-0.00011251i,0.00035305+0.0007419i,0.00040749+0.00060005i,0.00040137-0.00025404i,-0.00021098-0.00029457i,-0.00040216-0.00034606i,-3.0881e-05-8.2341e-05i
-0.002051-0.0019701i,-0.0020231-0.0013362i,-0.0011667-0.00068631i,-0.00064886+0.00054503i,-0.000871+0.0012086i,-0.0010041+0.0004512i,-0.00016938-0.00073317i,0.00013106-0.00077252i,1.5673e-05-0.00010942i,0.00010249+0.00026314i,-1.8704e-05+0.00033502i,-7.5026e-05+0.00082039i,0.00019905+0.00097152i,0.00075621+0.00015055i,0.00055043+0.00014314i,0.00046203+0.00079218i,0.00084575+0.00047174i,0.0002316-2.4998e-05i,0.00024993-0.00063364i,0.000839-0.00088048i,0.00093487-0.00045516i,0.00095182-0.00089891i,0.00081564-0.00068235i
0.00080025-0.00028949i,-8.9599e-05-0.00071796i,-4.4972e-05+0.0006804i,0.0003749+0.0010738i,0.00050635+0.00046392i,0.00016742+0.00032399i,-6.6019e-05-0.00046203i,-0.00023234-0.0006445i,0.00029067-0.00029444i,0.00058017-0.00011283i,1.8088e-06+0.00027443i,-0.00037741+9.1808e-05i,-0.00032109-0.00053142i,0.00012867-0.00030504i,4.4081e-05+0.00010044i,-0.00046532-9.5527e-05i,-0.00011069-0.00064185i,0.00010089-0.0006927i,-0.00029112-0.00012313i,-0.00027126+0.00071188i,-0.00035501+0.00066867i,0.00018739+0.00020684i,0.00042823-0.00027566i
-2.3008e-05+0.00035303i,5.8347e-05+0.00011565i,8.3996e-05-0.0007354i,0.00017637-0.00041395i,1.0319e-06-0.00011717i,0.00019201-0.00041654i,-0.00038012-0.00089006i,-0.0012823-0.0010358i,-0.001036-0.00067824i,-0.00037873-0.00036166i,-0.00014925-0.00041146i,-0.00029795-0.00066233i,-0.00023524-0.00078794i,-8.7047e-06-0.00079495i,0.00030902-0.00039511i,0.00064965+3.5227e-05i,0.00084856-1.2117e-05i,0.00052895-0.00039253i,0.00029761-0.00047108i,0.00016497-4.0554e-06i,0.00035058-1.7023e-05i,0.00063518-0.00014054i,0.00068302-0.00038375i
-0.0020863+0.00056853i,-0.0021905+0.00023813i,-0.0024676-0.00025717i,-0.0014396-0.00090153i,-0.0002069-0.001887i,4.6351e-05-0.0022067i,-0.00077199-0.0016695i,-0.00092525-0.00072948i,-0.00025707+0.00021331i,0.00033415+0.00073179i,0.00050046+0.00053854i,0.00058945-0.00029532i,0.00069738-0.00044966i,0.00075626-0.0003446i,0.00098772-0.00079533i,0.0011344-0.00069715i,0.00063399-0.00034797i,-0.00052016-0.00061072i,-0.00051126-0.00049658i,-0.00017523-0.00064766i,-0.00014231-0.00048913i,1.0984e-05-0.00012289i,-0.00036702-0.00085658i
-0.0015568+0.00014862i,-0.0022409-0.00063468i,-0.00088694+0.00022611i,0.00075139+0.0010275i,0.0011187+0.00036625i,0.00014304-0.0004848i,-0.00071276-0.00053629i,-0.00089882+3.6789e-05i,-0.0003819+0.00040185i,0.00054485+0.00033529i,0.00068495+0.00023988i,-0.00022589-7.2676e-05i,-0.00061812-0.000143i,-0.00014182-0.00019136i,0.00032829-0.00020254i,0.00047233+0.00025573i,-0.00021005+0.00062161i,-1.8737e-05+0.00059907i,0.00065113+0.00066173i,0.00033575+0.00019857i,0.00040123+8.1974e-05i,0.00093337+0.00030131i,0.001209-0.00014891i
-0.0023521+0.0020074i,-0.002398+0.0021714i,-0.001242+0.0023054i,0.00068503+0.0018221i,0.0010337+0.00019786i,0.0012281-0.001255i,0.00037197-0.0010726i,-0.00069496-0.00075256i,-0.00035385-0.00040499i,-0.00019293+0.0001404i,4.6504e-05+0.0002329i,-3.8654e-05-0.00045839i,6.9682e-06-0.00078392i,0.00010155-0.00046423i,0.00046955-0.0001246i,0.00091178+0.00049564i,0.0009534+0.00030213i,0.00070882+0.00033207i,5.338e-05+0.0006272i,-4.4424e-06+0.00090315i,-0.00040153+0.00078914i,-0.00090088+0.00032813i,8.9743e-05+0.00014726i
-0.00025961-0.0002347i,0.00067428-0.00060555i,0.0010457-0.0010971i,0.0010182-0.0010488i,0.0008577-0.00093656i,-0.00066606-0.00086202i,-0.0015164-0.00076703i,-0.0011672-0.00026932i,-0.0010528+0.0001658i,-0.0010712+9.7916e-05i,-0.00074817+0.00029772i,-0.00036428+3.6073e-05i,-0.00019423-0.00090745i,0.00026215-0.0012448i,0.00064395-0.00067599i,0.00015286-0.00016327i,0.00011598-0.00031688i,0.00080887-0.00073048i,0.001055-0.00012451i,-4.4407e-06+0.00037582i,-0.00047782-0.00020254i,-0.00049517-0.00028453i,-0.00043421+1.6646e-05i
