0.0022065-0.0015976i,0.0019074-0.0023211i,0.00086773-0.0027535i,-0.00078421-0.0023575i,-0.003127-0.0012078i,-0.0033881+0.00047598i,-0.00071577+0.0023834i,0.0014848+0.0029731i,0.0019584+0.0017829i,0.0013372-0.00028176i,-0.00028742-0.0013984i,-0.0016673-0.00094559i,-0.0021277-0.00027438i,-0.0014855-0.00027952i,-0.00042449-0.00040416i,-0.00065344+0.00023067i,-0.00063038+0.00025441i,6.1407e-05+0.0004938i,-0.00024466+0.0011385i,5.077e-05+0.00099861i,0.00032131+0.00015601i,-4.5078e-05-0.00066391i,6.2923e-05-0.00051982i
-0.0012104+0.0022308i,-0.00092346+0.0029503i,0.00051352+0.002056i,0.0025176+0.0012138i,0.0023963+0.00025996i,0.0017458-0.00023608i,0.0010015+0.00067384i,0.00025019+0.00056927i,0.00038225+0.00021421i,0.00030394-0.00010081i,0.00018186-0.00034798i,0.00016324-0.00058528i,0.0007121-0.0009437i,0.00039266-9.3092e-05i,-0.00060125+0.00026257i,-0.00081722-0.00028905i,-0.0004403-0.0011364i,-3.0473e-05-0.00074079i,-0.00022683+0.00010792i,-0.00044823-0.00010234i,-0.00037711+1.1245e-06i,-0.00033507-0.00034681i,0.00024194-0.001175i
0.0013299-0.00048968i,0.00088258-0.00080605i,0.0006453-0.00046674i,0.00055427+0.00014951i,0.00018891+0.0007633i,-0.0003015+0.00029165i,-0.00041861-0.00084211i,-0.00013162-0.00093283i,-0.000909-0.00080927i,-0.00093028-0.00075735i,-0.00071773-8.0603e-05i,-0.00099337+0.00048489i,-0.00074488+0.00032714i,-4.2929e-05-0.00018669i,-0.00044691-0.00034827i,-0.0009591-0.00027065i,-0.00061579-0.00047499i,-3.2601e-05-0.001061i,0.00062741-0.00074083i,0.00034398-0.00068649i,0.00065553-0.0010678i,0.00078898-0.00040991i,-0.00012678+0.00012807i
-0.00023356+0.001113i,-0.0010345+0.001167i,-0.00040054+0.0015673i,-9.1294e-06+0.00082088i,-0.00037808-0.00025525i,-0.00036508-0.00039735i,-0.00029314-8.9386e-05i,-0.00041735+0.00058317i,0.00035261-0.00010425i,0.00021989-0.00068739i,-6.656e-07-0.00069295i,0.00041433-0.00074915i,-0.00028558-0.00032894i,-0.00080586-0.00070686i,-2.0632e-05-0.00070236i,0.00025247-0.00037271i,-0.00029681-0.00048749i,-0.00041788-0.00027995i,0.00026379+7.3191e-05i,0.00088982+0.00040544i,0.00057255-8.0331e-05i,6.4823e-05-0.00072284i,-0.00036378-0.0001597i
-0.00047916+0.001042i,-0.0011096+0.00084172i,7.9329e-05+0.00023332i,0.00022939-0.00042078i,-0.00076991-0.00047443i,-0.0016175-0.00055999i,-0.0011027-0.00048427i,-0.00042452+3.9119e-06i,6.6617e-05+0.00010025i,-0.00017936-0.00031057i,-0.0010716-7.5507e-05i,-0.0017821+0.00068526i,-0.0018805+0.00053209i,-0.00098253-0.00021459i,-0.0011216-0.0003442i,-0.0013514-8.2617e-05i,-0.00068155+9.9984e-05i,-0.00040289+0.00093423i,-0.00049242+0.00092538i,-0.00045408-3.7351e-05i,-0.00010582-9.4076e-05i,-0.00045392+0.00014662i,-0.00073117-0.00013795i
0.00046254+0.0016955i,0.00061834+0.001307i,0.00083019+0.0023416i,0.00074262+0.0020351i,-0.00013719+0.0007398i,-0.00046949+0.00021843i,0.00053987+0.00029547i,0.0009832+0.0012509i,0.00019237+0.00073647i,7.5872e-05-0.00031512i,0.0006046-0.00071345i,0.00022179-0.00077363i,-0.00010584-0.00046217i,0.00035859-2.288e-05i,-7.53e-05+0.00034077i,-0.00019152+0.00031412i,0.00069892-3.8894e-05i,0.0010928-0.00015615i,0.00065585+0.0001298i,0.00015067+0.00041171i,9.3249e-05+0.00097569i,-0.00063767+0.0012431i,-0.0010584+0.00032243i
-0.00081912+0.00081975i,0.00011917+0.0010246i,-8.1706e-05+0.00027034i,-0.0001758+0.00041234i,-0.00023842+0.0011942i,-0.00031271+0.0011476i,-0.00014091-1.4275e-05i,0.0005469-0.00080075i,0.0012717-0.00090552i,0.00014674-0.0010222i,-0.0011381-0.0004426i,-0.001219+0.00028012i,-0.00074242+0.00066633i,-0.00023387+0.00023502i,-0.00024046-0.00054912i,0.00016855-0.00083085i,0.00072716-0.00059063i,0.00029798+0.00042699i,-2.4223e-05+0.00051245i,0.00013129+0.00036871i,0.00028131+0.000742i,-0.0002283+0.00063611i,-0.00055845+0.00049267i
-0.0017666-0.0022831i,-0.0023199-0.0016287i,-0.0028278-0.00053061i,-0.0015417-2.2756e-05i,-6.6503e-05+0.00068654i,-0.00012635+0.00048428i,-1.6337e-05-0.00079739i,-4.2757e-05-0.0013906i,-0.0012055-0.0008231i,-0.0017517+9.212e-05i,-0.00089837+0.00072634i,2.8602e-05+0.0006784i,0.00026874-0.00025981i,1.5444e-05-0.00080357i,5.4236e-05+3.2054e-05i,0.00026109+0.00058119i,0.00073398+0.00023162i,0.00098151-0.00023855i,0.00015176-0.00054928i,0.00019333-0.00044863i,0.00044364-0.00033651i,-0.00026231-9.1251e-05i,-0.00026766+0.00018364i
-0.0015897-0.00053859i,-0.0010062-0.00049689i,-0.00068346+2.6231e-05i,-0.00081894+0.0014919i,-6.9663e-05+0.0020304i,0.00076436+0.0012809i,0.00070337+0.00012116i,0.00022883+2.702e-05i,-0.00071655+0.00017009i,-0.00099796+0.00031419i,-8.935e-05+0.00042398i,0.00032199+0.00088318i,-0.00058946+0.0011754i,-0.000838+0.00027974i,7.0539e-05-0.00026432i,0.00076058-0.00043346i,0.00048583-0.00050911i,0.00041633-0.00061075i,0.00024314-0.00075164i,0.00013835-0.00064509i,0.00023205+0.00028167i,0.00041321+0.0010585i,0.0011619+0.00063195i
0.00039883+0.0012481i,-0.00062662+0.00022423i,-0.00086774+0.00082044i,0.00019876+0.00070041i,0.00044795-0.00045628i,-0.00034574-0.00028301i,2.408e-05-0.0002886i,0.00082341-0.00028076i,0.00053023-0.00071865i,-0.00019783-0.00079203i,-4.1979e-05+0.00017681i,0.00065027+0.00016979i,0.00049932-0.00023504i,0.00010262-0.00020273i,0.00013997-0.0001011i,0.00052886+0.00026985i,0.00062935+0.0010346i,-2.7018e-05+0.0013022i,-0.0005274+0.0013781i,-0.00062541+0.00062669i,-0.00061674-0.0009254i,-3.2692e-05-0.00079771i,7.7229e-05-0.00044414i
0.0014566+0.00054631i,0.00043149+0.00075772i,-0.00044844+0.00057834i,-0.00061801+0.00029779i,-0.0011771-0.00050434i,-0.00095388-0.00022863i,-0.00053734+0.00025218i,-0.00018021+0.00065602i,-1.3606e-05+0.00088947i,7.2985e-05+0.0003732i,-3.6899e-05+5.6674e-05i,-6.4876e-05+0.00034187i,-0.00033153+0.00059194i,-0.00088962+0.00025619i,-0.0011218-0.00010475i,-0.00041861-0.00073103i,0.00039374-0.00089785i,0.00067185-0.0003134i,0.00065565+8.0378e-05i,0.00029873+9.413e-05i,0.0002515-0.00016436i,7.571e-05-0.00016132i,-5.3739e-05-0.00049847i
