-0.00074712+7.0741e-05i,-0.00076682-0.0013385i,-0.0021618-0.001206i,-0.0019559-0.00072806i,-0.001346-0.00049264i,-0.00094252+4.8069e-05i,-0.00014864+0.0011241i,0.00080029+0.0020125i,0.0015994+0.001087i,0.0016229-8.4864e-05i,0.00083239-0.00050304i,-0.00038443-0.00072952i,-0.0016337-0.00056349i,-0.0013564-6.2471e-05i,-0.00029463+0.00034181i,0.00026442+0.00028948i,0.00045377+6.8921e-05i,-0.00039277+0.00037262i,-0.0009245+0.00097615i,-0.00021708+0.00043471i,0.00082247-0.00052319i,0.0010874-0.0004425i,0.00076976+0.00021607i
0.00031596+0.0021922i,0.00046387+0.002259i,0.001526+0.0022025i,0.00055923+0.0013292i,-0.00097262+0.00061846i,-0.0011563+0.0011304i,-0.0003912+0.0016697i,0.00048024+0.0015629i,0.00064627+0.00098314i,0.00088447+0.00036591i,0.00011287-0.00012398i,-0.001208-0.00053082i,-0.00063746-0.00023989i,0.00041328-0.00036226i,0.0007106-0.00054245i,0.0008964-0.00045609i,0.00085869+0.00021902i,0.00020394+0.00066495i,-0.00027092+0.00062879i,-0.00034892+0.0001663i,-0.0001842-0.00022076i,0.00017215-5.3989e-05i,-0.00016618-0.00040952i
-0.0021159+0.00082381i,-0.0018575+0.0015396i,-0.0013821+0.0030322i,-0.00087912+0.0031288i,-0.00016712+0.0024687i,1.9607e-05+0.0015457i,0.00013749+0.00069392i,0.00026159+0.001045i,0.00078053+0.0011844i,0.0011222+0.00059758i,0.00020926-0.00022396i,-0.00087377-0.00064492i,-0.00083608-0.00024953i,-0.00081668+0.00035208i,-0.00095809+0.00080493i,-0.00032271+0.00036899i,0.0003796+0.00017534i,0.00029777+0.00010069i,-4.5106e-05+0.00028251i,3.241e-05+0.00032206i,4.1657e-05-2.4223e-05i,0.0001283-0.00023333i,-4.5305e-05-0.00041859i
-0.0024482-0.00069139i,-0.0024976-0.00055722i,-0.0012537+0.00012148i,-0.00042462+0.00014281i,-0.0002991-4.1974e-05i,0.00041454+0.00099527i,0.00040662+0.001962i,0.00041228+0.0014483i,0.00036264+0.00085027i,-0.0001062+0.00029688i,-0.00014441-0.00025165i,-0.00014276+0.00015721i,-0.00071623+0.00062368i,-0.00076386+0.00074449i,-0.00025151+0.00076523i,1.4459e-05+0.00062015i,-0.00017056+0.00022234i,-0.00078975-1.2966e-05i,-0.00082162-0.00057631i,-0.0006001-0.00097619i,-0.00033713-0.0017245i,-0.00021941-0.0015695i,-0.00050933-0.0010494i
-0.0010217-0.00056699i,-0.00022327-0.00070267i,0.00056211-0.00078353i,-0.00013086-0.0012925i,-0.00099663-0.0011108i,-0.0010703-0.00036826i,-0.00068763-0.00053292i,-0.000147-1.953e-05i,0.0004327+0.0006068i,-5.9801e-05-0.0002128i,-0.00026452-0.00068623i,-0.00050532+0.00048984i,-0.0014854+0.0012961i,-0.0019285+0.00025041i,-0.0013705-0.00091727i,-0.00063516-0.00076488i,-0.00048147+0.00021886i,-0.00015553+0.00058382i,-0.00014707+0.00025297i,-0.00011599-0.00023623i,0.0003398+0.00034085i,-0.00029471+0.00081376i,-0.00083546+0.00026228i
0.00048253+0.00032995i,-0.00060194+0.0008872i,-0.000592+0.001016i,-0.000253+0.001164i,-0.0013361+0.0010578i,-0.0008385+0.00061398i,0.00062431-7.3849e-05i,0.0010081-0.00073107i,0.0010155-0.0011176i,0.00086409-0.00080983i,0.00020051-0.00015268i,-0.00099231-8.2309e-05i,-0.0012364-0.00037658i,-0.00046286-3.9577e-05i,-0.00034629-4.5654e-05i,-0.0003451+0.00014871i,-0.00010027+0.00078357i,0.0002585+0.0012509i,0.00071376+0.00065256i,0.0006988+0.0002716i,7.4885e-05+8.8667e-05i,-0.00031039-0.00051189i,-0.00039727+1.8966e-05i
0.0014565+0.0023442i,0.0010566+0.0010688i,0.0020321+0.0011367i,0.0030448+0.00087857i,0.0022505+0.00050602i,0.00029185+0.0003946i,-7.0406e-05+0.00090209i,0.0004752+0.001366i,0.00043387+0.00085874i,0.00036527-4.7289e-05i,-0.00030026-0.00065122i,-0.0010763-0.00069947i,-0.0019272-0.0003865i,-0.0019057-0.00030258i,-0.00063751+0.00019858i,-0.00019393+0.00025536i,-0.00037864-0.00011288i,-0.00081942+2.2779e-06i,-0.00083295+0.00010481i,-0.00036154-8.6913e-05i,-2.3751e-05-0.00053856i,-4.2873e-05+0.00029248i,-0.00057708+0.0012085i
0.0004806+0.00016249i,0.00075405+7.6286e-05i,0.0017817+0.00022535i,0.0011854+0.00036632i,0.00022763-0.00035245i,-0.00013302-0.00028206i,-0.00023644+0.00048896i,0.00047993+0.00067907i,0.00062621+0.00051778i,-0.00021776+0.00077126i,-0.00098587+0.00098163i,-0.001092+0.00086832i,-0.0010569-0.00010965i,-0.0006117-0.00059952i,-0.00087035+0.00020073i,-0.0010655+0.00048848i,-0.00062305+0.00035596i,-0.00025746-0.00038292i,-0.00039971-0.00078528i,-7.8788e-05-0.00047922i,0.00028608-0.00029199i,0.00026001-0.00015877i,0.00047428-0.00027934i
-0.0019771+0.0014281i,-0.0016839+0.0023718i,-0.0010444+0.0023632i,-0.00076883+0.001865i,0.00055339+0.001976i,0.0013625+0.001492i,0.00092322+0.0012157i,0.0014079+0.0010863i,0.0012901+0.00028409i,0.00039242-0.00067923i,-0.00014893-0.00081387i,-0.00083952-0.0011241i,-0.0011052-0.0012785i,-0.00062242-0.00096476i,-0.00080569-0.00090857i,-0.0011081-0.00096726i,-0.0014486-0.00035316i,-0.0015058+7.4771e-05i,-0.000838-0.0001246i,-0.00010837-9.291e-05i,0.00061793+6.1023e-05i,0.00053792+5.6985e-05i,0.00043407+0.00015468i
-9.9044e-05-0.0011239i,-0.0013987-0.00034869i,-0.0016843-0.00056616i,-0.00080746+0.00033068i,-7.3193e-05+0.00069152i,0.0001176+0.00079913i,0.00017413+0.00095293i,0.00048503+0.00032625i,0.00081027+0.00026713i,-8.8425e-05+0.00054789i,-0.0010732-0.00048821i,-0.00088876-0.00096324i,-0.00086474-9.7279e-05i,-0.00028859+0.00052783i,0.00028125+0.00081733i,0.00011787+0.0006839i,0.00058296+0.00063584i,0.00069073+0.00065582i,0.0004566-0.00044991i,5.1016e-05-0.0010314i,-0.00076753+0.00012418i,-0.00087069+0.00089809i,-0.00040673+0.00047777i
-0.00054584+0.001783i,0.00011736+0.0010134i,0.0006087+0.0016716i,2.8769e-05+0.00085645i,-0.00028121-0.00032071i,-0.00033251+2.1322e-05i,-0.00015722+3.3857e-05i,0.00089431+0.00030207i,0.001571+0.00041494i,0.0003983+0.00029722i,-0.00091026+0.00017054i,-0.0010538-0.00014922i,-0.0012527-0.00047369i,-0.0013687-0.00041855i,-0.001093+0.00026807i,-0.00021338+0.00024987i,-0.00024436+4.2854e-06i,-0.00071441-1.4301e-05i,-0.00014614+4.2945e-05i,0.00017008+0.0010558i,0.00039041+0.0012182i,-3.2564e-05+0.00080535i,-0.00063674+0.00064888i
0.0012946+0.001727i,0.0010224+0.0006236i,0.0019529+0.00048705i,0.001817+0.00033334i,0.00039963-0.00017231i,0.0002091-0.00041455i,6.4765e-05-8.3959e-05i,-0.00026236+0.00026714i,0.00029346+0.00066979i,0.0010401+9.0022e-06i,0.00062746-0.00072986i,-0.00072454-0.00078417i,-0.0011256-0.00047868i,-0.00070482-0.00013409i,-0.0012097-0.00028862i,-0.001083-0.00031462i,-0.0003849+0.00042979i,0.00041259+0.00085859i,0.0011968+0.00012128i,0.00053325-0.00018877i,-0.00036186-0.0002822i,0.00013187-6.0515e-05i,-0.00015363+0.00069762i
0.0013219+0.0010842i,0.0023808+0.0015114i,0.0023077+0.0017992i,0.0022373+0.0010537i,0.0012618+8.4786e-05i,0.00013539+0.00028921i,0.00023047+0.0011646i,-0.00012547+0.00126i,0.000533+0.00046617i,0.00087634+0.00012108i,-0.00011511-9.589e-05i,-0.00082551-0.00032352i,-0.00087796-0.00022786i,-0.00064638-0.00048446i,-0.0011602-0.00056623i,-0.0011165+0.00016256i,-0.00070022+0.00052097i,-0.00048901+0.00075329i,-0.00016678+0.0010185i,6.984e-05+0.00048824i,0.00035452-0.00022887i,-5.6098e-05-0.0011835i,-0.00030213-0.0013105i
-0.0023833+2.9296e-05i,-0.0021372+0.0017115i,-0.001971+0.0023938i,-0.00072571+0.0022756i,0.00022955+0.0019361i,0.0012982+0.00067466i,0.0014622+0.00032824i,0.0014095+0.00087816i,0.0020029+0.00053892i,0.0013073+0.00033281i,8.0451e-06+0.0007382i,-0.00046027+0.0012992i,-0.00058953+0.0010146i,-0.0010888-0.00014314i,-0.00048221-0.0002188i,-0.00018115+0.00041161i,-0.00049986+0.0004576i,0.00019714-1.9508e-05i,0.0011858-0.00020581i,0.00099235-0.00010648i,0.00052566+1.8693e-05i,0.0001934+0.00022854i,-0.0002104+0.00066147i
-0.00078288+0.00055997i,-0.00038649+0.0014687i,2.9325e-05+0.0017102i,0.00060443+0.00073234i,0.0010327+0.00025248i,0.0011629-0.00022932i,0.00077522-0.00033822i,0.0010784+0.00057496i,0.0013666+0.00054946i,0.0010361-7.5829e-05i,-0.00027286-0.0001618i,-0.0016967-0.00015267i,-0.0017612+0.00026316i,-0.00088866+0.00048752i,-0.00031473+0.00087231i,6.6859e-07+0.0014017i,-0.00023824+0.001284i,-0.00026624+0.0010476i,1.9429e-05+0.00076994i,0.00075453+0.00036417i,0.0013518-0.00025135i,0.0010937-4.8955e-05i,0.00075305-0.00033211i
