-0.0016643+0.0011991i,-0.00093642+6.8894e-06i,-0.0010131-0.0012899i,-0.00079244-0.0010838i,-0.0011696-0.00019112i,-0.0013065+0.0013279i,-0.00071882+0.0018187i,0.00023744+0.0013958i,0.0014959+0.0003729i,0.0014078-0.00051668i,0.0011019-0.00061405i,0.00074162-0.00081633i,-9.88e-05-0.0011927i,0.00014733-0.00065098i,0.00064372+0.0001747i,0.00034057-0.00031185i,0.00022322-0.001287i,-8.424e-05-0.0010017i,-0.00045154-0.00050078i,-0.00082447-0.0001338i,-0.00042996+0.00060329i,4.561e-06+0.00088405i,-0.00014432+0.00059785i
0.00080741-0.001037i,0.00016461+0.00034724i,0.00067725+0.0010303i,0.00060299+0.0011304i,-7.2753e-05+0.00030291i,0.00036602-0.0005484i,0.00066757-0.00067537i,0.00010368-0.00074271i,-0.00013403-0.00088345i,-0.00016662-0.0011197i,-0.00043039-0.00072228i,-0.00015214-0.00037275i,-5.996e-05-3.9155e-05i,-0.00017182+0.00055325i,1.2169e-05+0.00067472i,0.00090691+0.0011558i,0.0015136+0.0020556i,0.0014392+0.0021962i,0.00075497+0.0015609i,7.1359e-05+0.00039103i,-0.00012454-0.00033359i,-0.0002626+5.0176e-06i,-0.00045213+0.00075846i
-0.00010753-0.001113i,-0.0005918-0.0012357i,-0.00028346-0.0019648i,0.00018219-0.00047968i,0.00035438+0.00063469i,0.0012068+7.8342e-05i,0.0016103-0.00038528i,0.0012067-0.00067727i,0.00069693-0.00068785i,0.00013444+0.00033467i,0.00058158+0.00091143i,0.0012701+5.2013e-05i,0.0014774-0.00049534i,0.0010534-0.0004305i,0.00020635-0.00057022i,4.0092e-05-0.00054591i,-0.0001292-0.00066632i,0.00014867-0.00051355i,0.00036945+0.00047169i,0.00013067+0.00058357i,0.00013669+0.00014577i,-0.00034091+0.00031391i,-0.00045214+0.00047328i
2.5594e-05+0.00036134i,0.00034271+0.00011148i,0.00097428-0.00010728i,0.0010333-8.8855e-05i,7.4037e-05-0.00023936i,-0.00044593-0.00080443i,0.00017935-0.0010518i,0.00012837-0.00098784i,-0.00083623-0.0010886i,-0.00094357-0.0011841i,-0.00032148-0.00062833i,0.00059872-0.00033354i,0.00033131-0.00015275i,-0.00025194+0.00018944i,0.00025368+0.00018141i,0.00063963+0.00050941i,0.00048435+0.001307i,0.00044977+0.0015673i,0.00089663+0.00068382i,0.00051193-0.00039958i,-0.00041735-0.0005288i,-0.00068661+0.00026361i,-0.00060367+0.00077369i
0.00048283+0.0012856i,9.573e-05+0.0012624i,0.0010885+0.0013766i,0.0015582+0.0012383i,0.0014227+3.4666e-05i,0.00051878-0.00015085i,0.00046358+0.00040727i,0.0013374-0.00026833i,0.0014176-8.0806e-05i,0.0010063+0.0010169i,0.0011619+0.00037933i,0.00067556+4.9167e-05i,0.00024812+0.00079014i,0.00051455+0.00086447i,0.00062808+0.00057439i,3.8439e-05+0.00055392i,-0.00040348+0.00072618i,-0.00026648+0.00029525i,3.0811e-05-0.00016031i,0.00029653+0.00047539i,0.00025637+0.00077072i,-0.00044407+0.00092537i,-0.00062831+0.00097979i
-6.1595e-05+0.0014126i,-2.004e-05+0.00076697i,0.00019946+0.0010592i,0.0004032+0.0013282i,0.00029884+0.00079095i,0.00035615-0.00053316i,0.00039653-0.00059334i,0.00026098+4.2622e-05i,0.00054321+0.00029611i,0.0014815+0.0002538i,0.001464-0.00021417i,0.00084766-0.0010452i,0.00028351-0.0014238i,-0.00034466-0.00078094i,-0.00091113-0.00024788i,-0.0013264-0.00041396i,-0.00011356-0.00072961i,0.00082776-0.00064659i,0.00021061-0.0011352i,-0.00038237-0.0011423i,-0.00065087+0.0005345i,-0.00011257+0.0013967i,0.00031654+0.00073752i
-2.0269e-05+0.00023197i,-0.00032284-0.00038987i,0.00043113-0.001074i,0.0011705-0.0014181i,0.0010675-0.0008187i,0.00046763-0.00080818i,0.00023412-0.0013729i,8.0276e-05-0.00091995i,0.0002948-0.00053716i,0.00046604-0.00028249i,0.00026342+8.0961e-05i,0.00040313-5.7191e-05i,0.00020977-0.00062938i,-6.4388e-05-0.0013054i,-0.00020096-0.00072775i,0.0001181+0.00035156i,0.0002575+0.00079935i,-0.00016536+0.00095186i,-0.00012936+0.00045821i,4.7164e-05+0.00055868i,0.00060883+0.0010569i,0.00084042+0.0010781i,0.00042627+0.00076202i
-0.00060357-0.0023556i,-5.0937e-05-0.0012855i,-0.00014848-0.00053548i,-0.0002085+0.0012229i,0.00018464+0.0018816i,0.00041211+0.00053623i,0.0004519-0.00075416i,0.00079989-0.00092306i,0.00048943+0.00017242i,-0.00030992+0.00097455i,-0.00054605+0.00059549i,-0.00061759-0.00013106i,-2.1697e-05-0.00057942i,0.00074839-0.00084911i,0.00091797-0.00045704i,0.00061991-0.0001382i,-2.1112e-05+0.00023673i,-0.00022062+0.00010388i,0.00032489-6.1766e-05i,0.00066046+0.00099817i,0.0002531+0.001628i,-0.00046456+0.0012354i,-0.00033721+0.00017158i
0.001009+0.00081161i,0.0010853+0.00017564i,0.0022814-0.00013478i,0.0022305+1.6259e-05i,0.0013043+7.3339e-05i,0.00013178-0.00096237i,-0.0003894-0.0016872i,9.3396e-05-0.00097657i,0.00024455-1.0435e-05i,0.00033174+0.00039921i,0.00056651+0.00016949i,0.00083116+4.2638e-05i,0.00088839+0.00015443i,0.0014196+0.00016458i,0.0012907+0.00025196i,0.00012048+0.0001253i,3.319e-06-0.00042401i,-0.00025735+0.00040488i,-0.00064327+0.0011708i,-0.00027956+0.00075064i,7.5481e-06+0.00067812i,0.00031286+0.00072043i,0.00059059+0.00074929i
0.00019522+2.9133e-05i,-0.00012123+1.376e-05i,0.00068858-0.00041326i,0.0010434-0.00049665i,0.00053378-0.0010115i,0.00029775-0.0015255i,0.00092856-0.000761i,0.00093073+3.7155e-05i,-4.2438e-05-8.322e-05i,-0.00093935-0.0004461i,-0.0004435-0.00019486i,-0.00026637-5.7483e-05i,-6.5652e-05-0.00053665i,0.00059711+4.4064e-05i,0.00069451+0.0016344i,0.00059774+0.0013785i,0.00088369+0.00012915i,0.00037775-0.00042054i,-6.7026e-06-0.00050787i,0.00012095-0.00046027i,0.00030771-0.00055453i,0.00058654+3.2813e-05i,0.00050676+0.00071255i
0.0015052+0.00062187i,0.0022546+0.00053198i,0.0022454+0.00070453i,0.001642+0.00052958i,0.0013901-0.00055221i,0.00085547-0.00076668i,0.00090504-0.00047835i,0.0010866-0.00047272i,0.00030428-0.00035161i,-0.00039222-0.00012993i,-0.00025517-5.8062e-05i,-0.00023444-0.00060368i,-0.00017825-0.0008133i,0.0001564-0.00068479i,-0.00017403-8.9548e-05i,-4.0385e-05+0.00058077i,0.0007471+0.00075607i,0.00042-0.00023027i,-0.00043747-0.00030215i,-0.00087981-0.00014601i,-0.00059371-0.00025588i,0.00013015+0.00073977i,9.5815e-05+0.0011247i
