-0.76124+0.3062i,-0.9514+0.44072i,-0.74697+0.37623i,-0.42291+0.19671i,-0.22838+0.11269i,-0.11693+0.11799i,-0.058378+0.094757i,-0.056895+0.060371i,-0.065496+0.046443i,-0.067108+0.035069i,-0.062683+0.024386i,-0.053624+0.017449i,-0.038395+0.018897i,-0.012748+0.021894i,0.003663+0.015959i,0.0013124+0.0073319i,-0.0063294-0.00048516i,-0.0094189-0.0068071i,-0.0033682-0.0081549i,0.0065312-0.0094516i,0.0089158-0.011473i,0.0052882-0.011005i,0.0039136-0.011148i
0.48528-0.22335i,0.64349-0.25802i,0.47723-0.17073i,0.20749-0.063862i,0.067722-0.036055i,0.0051337-0.034703i,-0.014787+0.019069i,0.023945+0.059483i,0.051156+0.044615i,0.036873+0.02054i,0.012613+0.0075726i,2.6396e-05+0.0069742i,0.0031845+0.0058738i,0.0017553-0.0064758i,-0.0058608-0.013975i,-0.0065723-0.011997i,-0.0095847-0.0068078i,-0.016804+0.0041364i,-0.019839+0.012998i,-0.019808+0.011848i,-0.018936+0.0087788i,-0.018746+0.0091653i,-0.019111+0.012955i
0.051863+0.21451i,0.019176+0.27388i,0.016042+0.26137i,0.05897+0.21438i,0.093081+0.15644i,0.094684+0.10191i,0.075859+0.045098i,0.039513-0.0049626i,0.017762-0.024225i,0.019267-0.023983i,0.025379-0.014689i,0.0297-0.0053928i,0.026782-0.0056448i,0.018744-0.0081232i,0.0093669-0.0066971i,0.0030064+0.00033967i,0.011602+0.0074766i,0.027135+0.0050138i,0.029222-0.0027693i,0.021021-0.0039959i,0.016569+0.00036215i,0.018303-0.0013487i,0.019138-0.0072264i
-0.2865-0.159i,-0.2803-0.21295i,-0.094199-0.19545i,0.036996-0.17949i,0.010003-0.13437i,-0.0066174-0.044399i,0.034716-0.00122i,0.04255-0.0065193i,0.0064162-0.0087917i,-0.031818+0.0021725i,-0.04688+0.012849i,-0.038806+0.010293i,-0.027825+0.00094384i,-0.021849-0.002025i,-0.014777+0.0020784i,-0.0092688+0.0034647i,-0.0098842-0.0024937i,-0.011469-0.0098707i,-0.0087077-0.012302i,-0.0054641-0.012051i,-0.0055791-0.010255i,-0.0060832-0.0048426i,-0.0024348-0.0014887i
0.34201+0.017842i,0.44578-0.076026i,0.2875-0.22136i,0.066119-0.21294i,0.019614-0.10995i,0.039169-0.094513i,-0.00040848-0.10206i,-0.021159-0.064315i,6.9519e-05-0.032208i,0.024452-0.018884i,0.038928-0.01715i,0.028408-0.020344i,0.0029126-0.01409i,-0.012658-0.0012728i,-0.010054+0.0070922i,0.0014905+0.0065567i,0.0041925+0.0012949i,-0.0042175+0.00065502i,-0.012512+0.0079546i,-0.01329+0.015904i,-0.0092945+0.015781i,-0.0096573+0.0077705i,-0.014881-0.00049081i
-0.37214-0.014193i,-0.68228+0.10386i,-0.69902+0.26943i,-0.43351+0.29103i,-0.19803+0.16367i,-0.11313+0.056535i,-0.0861+0.015512i,-0.072089-0.0020151i,-0.059669-0.007222i,-0.047063-0.010478i,-0.040401-0.0099049i,-0.030909+0.0016356i,-0.013239+0.016993i,0.0086912+0.020614i,0.017211+0.0074608i,0.0075213-0.0010183i,0.001887+0.0028015i,0.0068614+0.004748i,0.013707-0.00080385i,0.016544-0.0064894i,0.014606-0.0066019i,0.011616-0.0015706i,0.0083248+0.0045757i
0.24493+0.093264i,0.46244+0.095333i,0.50543+0.072254i,0.33694+0.012493i,0.11916-0.029246i,-0.012904+0.0051594i,-0.031564+0.066082i,-0.00010491+0.082567i,0.010268+0.064157i,-0.0013154+0.04532i,-0.011927+0.028826i,-0.011111+0.017017i,0.0013637+0.0045719i,0.0059583-0.01615i,9.7119e-05-0.02825i,-0.0029856-0.02644i,-0.0040875-0.020055i,-0.0057848-0.011272i,-0.0062428-0.0027946i,-0.0072361+0.0010591i,-0.0097775+0.0014617i,-0.0093785+0.0049927i,-0.0021796+0.010501i
0.024137+0.16985i,0.15493+0.21913i,0.24796+0.084273i,0.21166-0.020771i,0.15016+0.012361i,0.12644+0.030205i,0.078914-0.0042558i,0.029474-0.013085i,0.022561-0.0038023i,0.032692+0.0062535i,0.045173+0.0171i,0.04583+0.01383i,0.023502+0.002794i,-0.0019733+0.0011944i,-0.013966+0.0076578i,-0.011578+0.012624i,0.0004911+0.012838i,0.0099871+0.0090833i,0.009993+0.0045587i,0.0076857+0.0042475i,0.010096+0.0032849i,0.013652-0.0066456i,0.012552-0.021555i
-0.097179-0.52963i,-0.35928-0.69199i,-0.46726-0.48163i,-0.33103-0.20469i,-0.2053-0.10365i,-0.17552-0.047389i,-0.10926+0.0088784i,-0.022937-0.0013082i,0.0071638-0.03769i,-0.0017313-0.056603i,-0.017501-0.060314i,-0.022586-0.049291i,-0.016357-0.026091i,-0.0087003-0.0025933i,-0.0048525+0.00902i,-0.0072063+0.0088585i,-0.010061+0.00058221i,-0.0094894-0.0085699i,-0.005913-0.011918i,-0.0023161-0.012222i,-0.0020161-0.010182i,-0.0070471-0.004411i,-0.013418+0.0042053i
0.03846+0.41088i,0.19475+0.41789i,0.18611+0.1981i,0.052868+0.038391i,0.017899+0.053088i,0.062631+0.082762i,0.05843+0.070589i,0.019253+0.051407i,-0.0096982+0.034755i,-0.014984+0.022458i,-0.0057478+0.0052302i,-0.0044233-0.013885i,-0.0057048-0.02036i,-0.00017881-0.020446i,0.0059369-0.018771i,0.009973-0.016385i,0.0083937-0.013262i,0.0014504-0.0060537i,-0.0073796+0.0048408i,-0.013516+0.014665i,-0.01418+0.015206i,-0.012687+0.0097492i,-0.01071+0.0070498i
-0.28774+0.12721i,-0.38202+0.37746i,-0.24063+0.47676i,-0.042459+0.34118i,0.04912+0.17028i,0.08907+0.064009i,0.079789-0.0093835i,0.020155-0.025822i,-0.018419+0.0039087i,-0.029857+0.026538i,-0.037057+0.038358i,-0.038035+0.046383i,-0.032756+0.045601i,-0.019714+0.03241i,-0.0089377+0.015424i,-0.0092386+0.0096834i,-0.0079395+0.013047i,0.0023647+0.010632i,0.012473+0.00074279i,0.01494-0.0065949i,0.012508-0.0068341i,0.01311-0.0028152i,0.018472-0.0027266i
