-0.0014933+0.00019571i,-0.0019726-0.00074921i,-0.0016924-0.0013366i,-0.00084511-0.00051388i,-0.00082098+0.00054259i,-0.0012925+0.00061991i,-0.00069697+0.00090291i,0.00023481+0.0011096i,0.00097974+0.00047754i,0.00059337+0.00044015i,8.6738e-05-0.00049724i,4.0118e-05-0.0012672i,1.7566e-05-0.00083811i,0.00071927-0.00059482i,0.0005484+3.1142e-05i,-0.00071275+0.00077213i,-0.0012713+0.00029117i,-0.0008486-0.0009899i,7.7231e-05-0.0012533i,0.0006852-0.00020394i,0.00075488+0.00066035i,0.00026123+0.0005992i,-0.00021555-3.7498e-06i
0.002296-0.00019055i,0.0024092+0.00033129i,0.002308+0.00042333i,0.0023601+0.00025565i,0.0014875-0.00016799i,0.00088706-7.9532e-05i,-0.00036486+6.7539e-05i,-0.00072727+0.00027932i,-0.00022789+0.00044372i,-0.00031279+0.00030392i,-0.00048091+0.00071059i,0.00033992+0.0011381i,0.00077311+0.0004306i,0.00013919-0.00039018i,0.00018257-0.00040571i,0.00040559-0.00017291i,0.00014676-6.0573e-05i,-3.0255e-05-0.00044195i,0.00012932-0.00059311i,0.00048185-0.00017219i,0.00026524+0.00010844i,0.00017342-7.4958e-05i,-6.4805e-05-0.00034341i
-0.00091017-0.00039192i,2.9326e-05-0.00045875i,-0.00033845-0.00098746i,-0.00058644-0.00076157i,0.00036292+3.4232e-05i,0.00055135-3.9513e-05i,-0.00041684+5.7918e-05i,-0.0012281+0.00032146i,-0.00078192+0.00017932i,0.00013242+0.00010554i,0.00043968+0.00024821i,0.0010412+0.00028058i,0.00083543-0.00010808i,0.00012639-0.0006827i,1.8043e-05-0.00067445i,-0.00050435-0.00042428i,-0.0013749+0.00065478i,-0.0012034+0.0011079i,-0.00042773+0.00026915i,0.00031623-0.00026865i,0.0008954+7.3296e-05i,0.00031223+0.00036881i,-0.00015238+0.00021574i
0.00024356+0.00081552i,0.00035634+0.00040684i,0.00010045+8.5261e-05i,0.00040877-0.00021282i,0.00077746-0.00027358i,0.0010649-6.2566e-05i,0.00090441+7.1633e-05i,0.00058587+0.00059419i,-8.192e-05+0.0013111i,-0.00096274+0.00026602i,-0.00099794-0.0010821i,-0.00052498-0.00033995i,-0.00017346+0.00066975i,-0.00018669+0.00051623i,-4.8431e-05-0.0002045i,-0.00027202-0.00054331i,-0.00082432+7.2703e-05i,-0.001093+0.00049646i,-0.00064742+0.00015639i,-0.00013427+0.00021859i,-0.00043332-9.1917e-05i,0.00013088+1.3155e-06i,0.00077128+0.00035406i
0.00098014-0.00025493i,0.0016978-0.00017339i,0.0017884-0.00018377i,0.0013984-0.00014788i,0.00091865+0.00028042i,0.00062298+0.00080426i,-0.00040635+0.00068471i,-0.00078108+0.00014533i,-0.00046995-0.00023605i,-0.00052157+0.00026476i,0.00055624+0.00088368i,0.00098271+0.0010251i,0.00019702+0.00092777i,-0.00030404+0.00021186i,-0.00098277+0.00033121i,-0.00073604+0.0005374i,8.4345e-05-0.0003096i,0.0003443-0.00020419i,0.0010016+0.00072625i,0.00054485+0.0017495i,-0.00026354+0.00092685i,-0.00014173-0.00063663i,-0.00045733-0.00075572i
0.0011422-0.0010677i,0.0014987-0.001302i,0.00072214-0.0016365i,-0.00070823-0.0011888i,-0.001387+9.5567e-05i,-0.001433+0.0010034i,-0.0011431+0.00075995i,-0.00052644+0.00015147i,-6.536e-05+7.7108e-06i,0.00016061-0.00014279i,0.00035706-0.00076967i,0.00010511-0.00084542i,-7.4367e-05+7.384e-05i,7.9861e-05+0.0010507i,0.00018331-5.5202e-05i,0.00050222-0.00079606i,0.00017301-0.00055173i,-2.0078e-05-0.0006358i,-0.00011213-0.00055428i,-2.226e-05-0.00017536i,0.00021537-8.637e-05i,-3.6925e-05-2.0211e-05i,-0.00033205+0.00033735i
-0.0010586+0.001857i,-8.7386e-06+0.0016272i,0.00038639+0.0014206i,2.1381e-05+0.00059029i,-0.00011335-0.00082029i,-3.5313e-05-0.0011045i,-0.00084809-0.00087727i,-0.00094669-0.00023934i,0.0003194+0.00012097i,0.00046811+5.2023e-05i,-0.00028824-0.00017607i,-0.00042044-0.00030086i,-0.00051855-0.0010491i,-0.00061771-0.0016014i,-0.0003707-0.0010885i,4.0203e-06-0.00031528i,0.00051632+0.00016369i,4.6283e-05-0.00094211i,-0.00045597-0.0014208i,-0.00068271-0.00047551i,-0.0010293+4.561e-05i,-0.00021023-0.00023766i,0.00063299+0.0002696i
0.00056845+0.0012882i,0.00048421-0.00014279i,0.00033499-0.00049745i,0.0014824-0.00028176i,0.0019294-0.00036093i,0.0016804-0.00062726i,0.00097561-0.00021824i,0.00028853+2.5432e-05i,0.00094873+0.00019336i,0.0011772+0.00045483i,0.0005086+5.6031e-05i,0.00035302+4.1996e-05i,0.00073953-2.454e-05i,0.0009572-0.0007923i,1.0172e-05-0.0016008i,-0.00090102-0.001396i,-0.00034321-0.00094699i,-0.00037636-0.00082139i,-0.00060198-0.00040561i,0.00015356+6.7579e-05i,0.00030622-0.00029054i,-0.00019546+0.0001271i,-0.00055237+0.00043242i
-0.00074734-0.00054553i,-0.00049229-0.0019488i,-0.00071363-0.0016435i,-0.00014207-0.00088253i,0.00038966-0.00074431i,7.8043e-05-0.00039514i,-7.5708e-05+8.8797e-05i,0.00020211+0.0005056i,0.00030601+0.00065312i,0.00012502+0.00039143i,-1.7057e-05+0.00040619i,0.00010434-4.7238e-05i,-3.8845e-05-0.00013587i,-0.00033297-0.00011524i,-0.00027421-0.00031i,0.00015368-4.1421e-05i,0.00026065+0.00055218i,0.00011642+0.00077703i,-0.00024362+0.00024014i,-0.00062565+0.00020973i,-0.00091511+0.000239i,-0.0010612-0.00016344i,-0.00031089+0.00028746i
0.00042291+0.00061065i,0.00023089+0.00032264i,-0.00052774+0.00018176i,-0.0009656+0.00038437i,-0.00093943+5.3572e-05i,-0.0010377-0.00033633i,-0.0008154-0.0011054i,-0.0002149-0.0013636i,-0.00057928-5.2247e-06i,-0.001366+0.0009806i,-0.00080332+0.00039141i,-0.00012881+4.3068e-05i,0.00030559+0.00030875i,0.00078789-0.00027797i,-0.00025341-0.00028284i,-0.0010775+0.00065386i,0.00019188+0.00014243i,0.00058945-0.00017326i,7.0563e-05-8.637e-05i,-0.0004582-0.00031012i,-0.00090043-0.00065381i,-0.0011017-0.00070457i,-0.00045282-0.00027268i
-0.00027828-0.0024221i,0.00041271-0.0020703i,0.00078165-0.0017092i,-0.00043403-0.0018196i,-0.00092313-0.0012324i,-5.7456e-06+5.2219e-05i,0.00023349+0.0009637i,0.00017954+0.00073491i,-0.00014878-0.00048408i,-0.00076174-0.00069589i,-0.0002529+0.00029204i,0.00071589+0.00093806i,0.00048738+0.0011654i,9.6017e-05+0.00093402i,0.0003288+0.00060529i,0.00044772-0.00045758i,-9.3541e-06-0.0011433i,-0.00044155-0.00034575i,-0.00013213+0.00032867i,0.00023165+0.00018948i,-0.00040339+2.1071e-05i,-0.0010298-0.00022235i,-0.00055876-0.00062453i
-1.148e-05-0.00042854i,0.00034655-0.00044497i,-0.00081685-0.00074122i,-0.00042805-0.00066055i,0.00013316+0.00028077i,-0.00012718-8.968e-05i,0.00013263-0.00018184i,-0.00028112+0.00034427i,-0.00077417+8.553e-05i,-0.00028286-0.00013532i,-0.00028087-0.0007117i,-0.00065574-0.0011658i,-0.00062561-0.0013496i,-0.00049883-0.0012349i,-0.00011113+0.00010177i,-0.00036071+0.0012678i,-0.00025553+0.0012818i,2.293e-05+0.00062559i,-0.00052732-0.00058459i,-0.00079028-0.00095762i,-0.00054269-0.0004753i,-0.000104-0.00034335i,0.00032963-6.0337e-05i
0.0018782-3.0402e-05i,0.0011486+0.00078205i,0.0012745+0.00043409i,0.00039291-0.0004162i,-0.00088753-0.00099137i,-0.0021228-0.00096681i,-0.0020604-0.00086822i,-0.0010225-0.00024728i,-0.00026286-4.8399e-05i,-0.00033886-0.00053725i,-0.0010114-0.00091816i,-0.00070495-0.0010658i,-0.00042059-0.00056069i,-0.00090416+0.00019461i,-0.0010971+0.00023933i,-0.00083604-0.00069128i,-8.2361e-05-0.0012643i,-0.00015871-0.00083398i,-0.00047357-5.9445e-05i,0.00023681+0.00039651i,0.001072-0.00012575i,0.00089414-0.00071887i,0.00081562+2.1e-05i
0.0020452+0.001313i,0.0019986-0.001121i,0.0016518-0.0030947i,0.00077746-0.0032232i,0.00039315-0.0027818i,0.00031482-0.0015804i,-2.0461e-05-9.8884e-05i,-3.7862e-05+0.00045729i,-0.00032403+0.00029778i,-0.00065574-0.00061836i,-3.5773e-05-0.0010829i,0.00032014-0.0010747i,-8.2979e-05-0.00086131i,-0.00065846-0.00072921i,-0.0011302-0.00064167i,-0.0010053-2.9227e-05i,-0.0004651-0.00034735i,0.00026376-0.00056468i,0.0007939-1.3931e-05i,0.00099895+0.00031317i,0.00010272-0.00016008i,-8.6359e-05-0.00046769i,1.7545e-05-8.9071e-06i
-3.3409e-05-0.0018869i,0.00036525-0.0023252i,-0.00041926-0.0015579i,-0.0012365-8.574e-05i,-0.00057141+0.00072442i,-0.0002594+0.00087684i,0.00018943+0.00064989i,0.00053793-7.5685e-05i,-0.00013411-0.00049126i,-0.00035268-9.3422e-05i,-0.00072231+0.00086631i,-0.00028206+0.0011854i,-8.377e-05+0.00066272i,-0.00016549-0.00055569i,0.00042966+0.00013298i,0.00049448+0.0012875i,0.00028686+0.0009072i,0.00043438+0.00056996i,0.00054631+0.0004407i,0.00030099-0.00028422i,-0.00023165-0.0004627i,-0.0008538-0.00066845i,-0.00076131-0.00084593i
0.0019337+0.00026111i,0.0015201+0.00066894i,0.0016684+0.0007813i,0.0014332+0.00079092i,0.00026274+0.0008297i,-0.0010911+0.00039075i,-0.00094004+0.00056507i,-0.00056401+0.00069171i,0.00027677+0.001178i,0.00078031+0.0016443i,0.00028045+0.00081994i,0.00039125+0.00028051i,0.00092849+0.00056993i,0.0007981+0.00070878i,0.00032679+0.00033731i,-7.0684e-05-0.00020018i,-1.4336e-06-0.00063637i,0.00010576-0.0011518i,2.936e-05-0.0014364i,0.00026619-0.00091307i,0.00058649-0.00052999i,0.00052808-0.0006949i,0.00022546-0.00027759i
-0.00028065-0.0016871i,-0.00046761-0.0016537i,-0.00047678-0.0015436i,-0.00096047-0.00031036i,-0.0010276+2.2396e-05i,0.00022496-0.0009899i,0.0010313-0.0018036i,0.0001581-0.0019104i,-6.4059e-05-0.00077299i,-1.8266e-05+7.0098e-05i,-0.0002404+2.3511e-05i,0.00035049-0.00039279i,0.00031829-0.0010571i,-0.00022273-0.0011474i,0.00063909-0.0012262i,0.0011945-0.00040469i,0.00063201+0.00028988i,-6.6049e-05-6.3815e-05i,-0.00018493-0.00051323i,-0.00014799+0.00018446i,0.00089799+0.0006988i,0.0010468+0.0005166i,8.7672e-05-8.7176e-05i
-0.00033257-0.00026157i,-3.058e-06-0.00067013i,-0.00041466-0.00040998i,-0.00074706+0.0002893i,-0.0008201+0.00020205i,-6.0391e-05-0.00041969i,9.4312e-05-0.00070858i,-0.00027696-0.00070356i,-0.00071573-0.00069587i,-0.00023486+3.4989e-05i,0.00036566+0.00026175i,0.00064282-0.00077179i,0.00076595-0.0011088i,0.00027362-0.00082745i,-0.00018877-0.00033952i,-0.0001621+0.00058903i,-0.00018968+0.00053332i,0.00019353+0.00015199i,-2.5167e-05+0.00051963i,-0.00016005+0.00012769i,-0.00050854-0.00030849i,-0.00077634-6.1516e-05i,-0.00013544-0.00026683i
