-0.0005278+0.0011326i,6.9301e-05-6.9411e-06i,-0.0022562-0.00076194i,-0.0033681-0.00037935i,-0.0017031-0.00033026i,-0.00023576-0.00012989i,0.00079168+0.00074969i,0.001209+0.0010573i,0.00076205+0.00050948i,0.00059543+0.000622i,0.00077768+0.00067692i,0.001219-0.00017479i,0.00092317-0.00023865i,0.00012603-0.00023133i,0.00062612-0.00023243i,0.00091372+0.00032829i,0.00018936+0.00082097i,-6.5277e-05+0.00031293i,0.00051343-0.00012079i,0.00040894+0.000359i,0.00015214+0.00017301i,0.00049227+4.0145e-05i,0.00063132-4.2683e-06i
-0.00073974-0.0013834i,-0.001141-0.0014696i,-0.0011622-0.0020168i,-0.00017524-0.0016417i,0.00043763+0.00028465i,0.00063044+0.00050483i,0.00066336-0.00045111i,-0.00050865-0.00088796i,-0.001485+4.9332e-05i,-0.0011487+0.00077579i,-0.00065441+0.00019873i,3.8953e-05+0.00089846i,-0.00033301+0.0014048i,-0.00056436+0.00041698i,0.0001128+0.00043577i,0.00016156+0.00049888i,0.00034579-0.00042526i,0.00043449-0.00069558i,-0.00017404+0.00040999i,-0.00019226-3.8892e-05i,-0.00016447-0.00078286i,-0.00027516-0.00048033i,0.0001284-0.00072736i
-0.0005996+0.00084798i,0.00099932+0.00039554i,0.00037555+0.0012428i,-0.00025742+0.0014378i,0.00017622+0.00043832i,0.00058306-2.225e-05i,0.00079222-0.00085798i,-0.00052055-0.0013641i,-0.0017008-0.00083269i,-0.0013155+0.00013097i,-0.00013447+0.00025577i,0.00094387+0.0002063i,0.0018446+0.00071288i,0.0016116+0.00039381i,0.00020678-0.00042963i,-0.00027308-0.000536i,-0.00030588-0.00028278i,-0.00016358-0.00021862i,-0.00028083-0.00069662i,-0.00035381-0.00096355i,0.00033059-0.00025913i,-4.5615e-05+0.00051164i,-0.00075888+0.00098253i
-0.0019383+0.00088522i,-0.0018545-6.7662e-05i,-0.00097023+0.00015892i,9.3961e-05+0.00084925i,0.0015501-1.1268e-05i,0.0024074-0.00064336i,0.0016755-0.0012915i,0.00015631-0.0011864i,-0.00060761-0.00028447i,-0.00023161+0.00027928i,-0.0001532+0.001021i,-0.00019463+0.0010406i,0.0002919+0.00041629i,0.0006262+0.00022038i,0.0010563+0.00025163i,0.00045611-0.00015189i,8.601e-05-0.00055142i,0.00011843-2.855e-05i,-0.00027835+0.00090593i,-0.00011545+0.00091894i,-0.00012629+0.0012383i,-0.000254+0.0012291i,0.00016928+0.00032444i
0.0015333+0.0019207i,0.0014678+0.0018762i,0.0008521+0.0019802i,0.00032754+0.001356i,0.00017023+0.00065325i,0.00045782+8.471e-05i,0.00035823-0.00035182i,-0.00017613-0.00033014i,-0.00067611+0.00017778i,-0.0003383+0.00074061i,0.00026422+0.0010084i,0.0004062+0.00060622i,0.00057663-0.00024647i,0.001072-0.00070754i,0.00046304-0.00022022i,-1.1391e-05-0.00012296i,0.00082061-0.00072486i,5.3286e-05-0.00032082i,-0.00089589+2.7236e-05i,-0.00055394-8.6941e-05i,9.9235e-05+0.00037495i,0.00054847+0.00053485i,0.00020499+0.00024684i
0.00016175-0.0014163i,-0.00061865-0.00058352i,-0.0014559-0.00038659i,-0.0015606+0.00036185i,-0.0011648+0.00089443i,0.000159+0.0010049i,0.0015142-0.00015299i,0.001272-0.0013109i,0.00059521-0.00078232i,-0.00010058+0.00038846i,-0.00012598+0.0011139i,0.00024104+0.0019029i,0.00065699+0.0022242i,0.0010662+0.0018066i,0.00064559+0.00062983i,-4.9072e-05-0.00036043i,-0.00026461-0.0010904i,-0.00015219-0.00066827i,0.00013975-3.4625e-05i,0.00022533-2.1944e-05i,1.1968e-05-0.00039242i,-0.0003045-5.7406e-06i,-0.00015549+2.73e-05i
0.00066695+0.00058702i,0.00055324+0.00050958i,0.00091699-2.9146e-05i,0.000982-0.0010512i,0.00051896-0.0012634i,0.00043964+1.9039e-05i,0.00071414+0.00031408i,0.0010012-0.00085626i,0.00080539-0.00083452i,0.00081447-9.3644e-05i,0.00091435+0.00063784i,0.00065973+0.00096387i,0.00092228+0.00070556i,0.0011762+0.00067132i,0.00062002+0.00035885i,8.8742e-06-0.00028485i,0.0002005-0.00038504i,0.00058706-0.00011229i,0.00063421+6.9632e-05i,0.00026363+6.0387e-05i,-0.00015577+0.00063876i,-0.00057312+0.00083769i,-0.00024375+0.0006285i
-0.00037936-0.001916i,9.4444e-05-0.0016451i,-0.00021908-0.0018922i,-0.0014388-0.0014885i,-0.0011287-0.00047455i,0.00024585-0.00015793i,0.001048-0.0012786i,0.00021668-0.0013418i,-0.0012486-0.00012318i,-0.001454+0.00052023i,-0.00033997+0.00042411i,0.00055494+0.00041078i,0.00099839+0.0009298i,0.0011278+0.00087794i,0.00091388-0.0002035i,0.00093978-0.00090337i,0.00047743-0.0012386i,0.000131-0.0012327i,1.1682e-05-0.0012766i,-0.0001356-0.0012386i,-1.7686e-05-0.00078534i,-0.00037218-0.0004135i,-0.00079799-0.00015894i
-0.0012447+0.00074575i,-0.00087816+0.0011616i,-0.0013337+7.3893e-06i,-0.0019644-0.00018815i,-0.0010349-0.00030035i,0.00061924-2.7288e-05i,0.00083236-5.4876e-05i,-0.00018075-0.00090938i,-0.0011933-8.1812e-05i,-0.0014978+0.00081378i,-0.00034931+0.0011485i,0.00082304+0.00098526i,0.0011463+0.00088366i,0.00069132+0.00065122i,1.8538e-05+8.3859e-05i,-0.00019544+0.00094164i,-0.00038335+0.0010071i,1.5225e-05+0.00016655i,-0.00036592+0.00036106i,-0.00039001+0.00067398i,1.385e-06+6.26e-05i,-7.1653e-05-2.2949e-05i,-0.00058864-1.4543e-05i
-0.00074146-0.0023071i,-0.0015282-0.0013866i,-0.0009765-0.0017306i,0.00019717-0.00082513i,0.00060665+0.00058197i,0.00095799+9.6622e-05i,0.0012387-0.00079965i,0.00094816-0.0012554i,-4.7786e-05+5.5026e-05i,-0.00021843+0.0016183i,0.00068588+0.00081699i,0.001089+1.8001e-05i,0.00025859-4.2189e-05i,-9.8323e-05-5.5806e-05i,0.00027853-9.6554e-05i,0.00061275-0.00034374i,0.00082457-0.0011415i,-0.00010306-0.0008865i,-0.00037448-0.00021623i,0.00038207+0.00027753i,0.00012221+0.00075222i,-0.00050654+0.00046957i,-0.00034088-2.7603e-05i
0.001195-0.0013678i,0.0021894-0.001785i,0.0019799-0.0014186i,0.00097185-0.00061138i,0.00024913-0.00043195i,0.00032031-0.00061065i,0.00066424-0.0010675i,9.8154e-05-0.0024428i,-0.00082608-0.0022291i,-0.00095894-0.00055199i,-8.6374e-05+0.00054025i,0.0003481+0.00095888i,1.6826e-05+0.00074944i,-0.00045436+0.00025344i,-0.00045217+2.7178e-05i,-0.0001118-0.00028779i,8.651e-06-0.00015439i,-0.00039859-9.2669e-05i,-0.00079983-0.00056943i,-0.00031123-0.00070997i,-6.0805e-05-0.00024634i,-0.00035733+6.0447e-05i,-0.00062585-0.00023137i
