0.00051642+9.1668e-05i,0.00041183-0.00074838i,-0.00036105-0.0018024i,-0.00090814-0.0028372i,-0.0014696-0.0019187i,-0.0023873+4.855e-05i,-0.0020799+0.00093909i,-0.0010371+0.0011351i,0.00010427+0.00049977i,0.0005226-0.00025153i,0.00024383-0.0004665i,0.00016783-0.00029657i,-6.0823e-05+2.6541e-05i,0.00037025+2.9293e-05i,0.00079161-0.00023607i,0.00046514-0.00023863i,-0.0001643-0.00022063i,-0.00070339-0.00022826i,-0.00014003+0.00022986i,6.6287e-05+0.00058805i,-0.00095558+0.00059998i,-0.00094269+6.3161e-06i,-0.00035048-0.00029254i
-0.00046039+0.0014002i,0.0008871+0.0014055i,0.0022184+0.00057761i,0.0024678-0.0010754i,0.0013773-0.0020901i,0.00018826-0.0016675i,-0.00021163-0.00072236i,-0.00090538-0.00012065i,-0.00044277+0.00014215i,0.00084331-0.00010577i,0.00033075-0.00034005i,-0.001066-0.00020534i,-0.0010077+4.1922e-06i,-0.0002056+0.00068178i,0.00019651+0.0014093i,4.985e-05+0.00074323i,0.00026768-0.00022248i,0.00061705-0.00028627i,0.00018348-0.00019472i,0.00044721+0.00023309i,0.00032696+0.0012661i,6.3421e-05+0.0010605i,-0.00016481+0.00027249i
0.00092828-0.00048352i,0.0010796-0.0007581i,0.0022782-0.0016337i,0.0018136-0.0012271i,-0.00026809-0.00054833i,-0.0017348+2.3044e-05i,-0.0012676+5.9752e-06i,-0.00031656-0.00057994i,-0.00018509-0.00035196i,0.00041134-8.0552e-05i,0.00036547+8.2239e-05i,3.3988e-05+0.00040915i,0.00021523+0.00058892i,0.00036135+6.2105e-05i,0.00053891+0.00035646i,0.00079117+0.00073884i,0.000504+0.00071038i,0.00025397+0.00050638i,0.00010498-0.00011413i,0.00023431-0.00061296i,0.00074461-0.00024357i,0.0001949+0.00075198i,-9.959e-05+0.00039214i
0.00012345+0.0027881i,0.0015494+0.001603i,0.003249+0.00069534i,0.0028208-0.00068738i,0.0012657-0.0018126i,0.00043556-0.0015368i,-0.00042597-0.00043645i,-0.00075565+0.00059491i,-1.1038e-05+0.00059966i,0.0012988-7.775e-06i,0.0010261-0.00016622i,-0.00053428-0.00012091i,-0.00093441-5.0272e-05i,-0.00023266+0.00069179i,-0.00051767+0.0016458i,-0.00088806+0.0014816i,-0.0007966+0.00062653i,-0.00061777-0.00020613i,-0.00065716-0.0007317i,-0.00012301-0.00079493i,0.00058433-0.00038781i,0.00054586+0.00018916i,0.00057531-0.00041642i
0.0013216+0.00092646i,0.0020001+0.00070363i,0.0019143+0.00075607i,0.00087504-7.0858e-06i,-0.00016467-0.00082488i,-0.00082508-0.00090158i,-0.0010657-0.00010166i,-0.00043264+0.00014902i,0.00027764-9.8707e-05i,0.00083764-0.00053874i,0.00096945-0.0005244i,0.00017461-0.00069792i,-0.00028767-0.00035921i,0.00026671+5.5158e-05i,-0.00011114-0.0002819i,-0.00084042-0.00037174i,-0.0005142+0.00037505i,0.00038123+0.00065101i,0.00060966+0.00013277i,0.00012345+0.00010064i,7.4571e-05+0.00038335i,-0.0002449+0.00036373i,0.0001644+0.00015448i
-0.00073654+0.00046671i,0.00048233+0.0012825i,0.001222+0.00055903i,0.0017872-0.00072201i,0.0023634-0.00022579i,0.0018503+5.4555e-05i,0.00091644-0.00020583i,0.000535+6.7621e-05i,5.8855e-05+0.00031837i,6.8001e-05+0.00015325i,6.2408e-05-0.00029493i,-0.00043744-0.0007611i,-0.0011722-0.00014289i,-0.0012845-0.00017635i,-0.00064105-0.00013763i,0.00036848+3.9916e-05i,0.000858-9.9364e-05i,0.00084727+0.00047376i,0.0007062+0.0010638i,-0.00017863+0.00063671i,-0.00055278+0.00047765i,-0.00035727+0.00044144i,-0.00063845+8.1608e-05i
-0.0027698-0.0010199i,-0.0034274-0.0012497i,-0.0033439-0.0013367i,-0.0020609-7.2298e-05i,-0.00023611+0.00062835i,0.00045831+0.00011416i,0.0002267+0.00013447i,-4.2276e-05+0.00023196i,0.00010889-0.00029232i,0.00040413-0.00096175i,0.00018397-0.00050142i,7.2066e-05+0.00047231i,-0.00018244+0.00053799i,0.00026241+0.00014869i,0.0002745-0.00015472i,-0.00020596-0.00045555i,8.1617e-05-0.00086575i,0.00058457-0.00020533i,0.00018955+0.00049569i,-0.00014333+0.00011987i,-1.7624e-05-0.00023401i,-1.6871e-05+0.00019743i,-9.6626e-05+9.1493e-05i
-0.0013751+0.0006936i,-0.0017147+0.0018227i,-0.0012254+0.0020234i,-0.0018065+0.0013316i,-0.0013013+0.00092891i,-5.915e-05+0.0004712i,0.00012711-6.4751e-06i,0.00051051+0.00060972i,-5.8972e-05+0.00080973i,-0.0010968+0.00037436i,-0.0012117+0.00024217i,-0.00010385+0.00017157i,0.0011444+0.00057905i,0.00044955+0.00073964i,-0.00053838+0.00068998i,-0.00077532+0.00044065i,-0.00051965+9.9673e-05i,-0.00065878+0.00036318i,-0.00084802+1.6232e-05i,-0.00021627-0.00080414i,0.00012142-0.00063822i,0.00058301-0.00031282i,0.00091512-0.00032018i
0.001692-0.00078319i,0.0013825-0.0015966i,0.00030034-0.0026382i,-0.00082743-0.0017938i,-0.0016412-0.00016591i,-0.0016188+0.0013457i,-0.00078897+0.0012671i,0.00051307+9.6873e-05i,0.0012316-0.00074931i,0.00043644-0.0016177i,0.00031451-0.00083486i,-5.5605e-05+0.00049103i,-0.0012465+0.00028048i,-0.0010039-0.0004888i,0.00052951-0.00070673i,0.00048414+4.5733e-05i,-0.00044365+0.00017958i,-0.0004221-0.00050804i,0.00057833-0.00086289i,0.0010754-0.00031398i,0.00092685-0.00039784i,4.2541e-05-0.00066094i,-0.00049006-0.00051158i
-0.00073707-0.0027669i,-0.00059593-0.0024535i,-0.00070359-0.0018669i,-0.00074239-0.0014356i,-0.00052627-0.00040105i,3.7994e-05+0.00025947i,0.00012539+0.00017968i,3.8418e-05+0.00046612i,-0.00053475+0.00033297i,-0.00073158+0.0010248i,-0.00031223+0.00079091i,-3.163e-05-0.00040363i,-0.00015535-0.00088934i,-0.00054852-0.00066904i,-0.00039092-6.5287e-05i,-0.00048456+0.00011157i,-0.0012443+0.0001362i,-0.0010068-0.00035465i,-0.00018757-0.00020464i,0.00023467+0.00067338i,0.00072339+0.00079045i,0.00040531+0.0005732i,-0.00028186+6.1056e-06i
0.0013971+0.0018977i,0.00081025+0.0011276i,-0.00026591+0.00042605i,-0.00047119+5.3302e-06i,-0.00038384+0.00018805i,-0.00081239+0.00049742i,-0.00037734-0.00029148i,0.00044211-0.00010196i,-2.7598e-05+0.00056474i,-6.6605e-05+0.00021375i,0.00027264-0.00029656i,-0.00064527-0.00013398i,-0.0013792+2.7051e-05i,-0.0010629-0.00054617i,-0.00053999-0.00073309i,-0.00042831-0.00035386i,-0.00038843+0.0008936i,-0.0011599+0.001234i,-0.0015553+0.0008466i,-0.0006994+0.0014829i,0.00053199+0.0013232i,0.00041486+0.00058448i,-0.00052301+0.00050784i
0.0020421-0.0015178i,0.00065565-0.0025562i,0.00035662-0.002594i,0.00051411-0.0021402i,-0.00052657-0.00095167i,-0.0012503-0.00030335i,-0.00052372-0.00016535i,1.9055e-05-0.00013486i,0.00033813-0.00081805i,4.1183e-05-0.0019216i,-0.00073772-0.0012499i,-0.00092574+0.00041443i,-0.00068296+0.00093145i,-0.00019382+0.00071164i,0.0003057+0.00053429i,0.00028455+0.00038531i,-8.3315e-05+0.0003256i,-7.0254e-05+0.00092216i,2.2192e-05+0.00070995i,-3.4369e-05+7.9039e-06i,-0.00035159-0.00053147i,-0.00030945-3.9153e-05i,0.00034639+0.00069759i
-0.00025581+0.0017559i,0.00038276+0.0022956i,0.0012451+0.001181i,0.0011411+0.00074738i,0.00070317+0.00055687i,0.00021327+0.00032341i,-0.00059115-0.00019003i,-0.0013701-0.00015198i,-0.00072117+0.00060514i,3.291e-05+0.0011041i,0.00026136+0.0011858i,0.00011982+0.0010637i,-0.00026413+0.00054644i,0.00012413+0.0001731i,0.00076938+0.00049665i,0.00083382+0.00021467i,7.2599e-05+0.00020891i,-0.00019074+0.0003965i,0.00035362+0.00075341i,0.00051443+0.00092148i,0.00014848+0.00065001i,-2.6526e-05-0.00013769i,0.00073745-0.00048504i
1.1597e-05-0.0019864i,-0.00015227-0.0017132i,-0.00013875-0.0017822i,-0.0010576-0.00097331i,-0.0013993+0.00062271i,-0.00098137+0.00098486i,-0.00069929+0.00104i,5.8208e-05+0.001116i,0.000578+0.00077411i,-0.00010923+0.00023889i,-0.0004608-9.0767e-05i,0.00026493-0.00054033i,0.0011289-0.00061249i,0.00077452-0.00028607i,0.00013735+0.00013342i,0.00021047+2.5445e-05i,0.00010853+0.00016306i,-0.00050222+0.00058141i,-0.0003688+0.00098592i,-0.00040794+0.00031673i,0.00014854-0.0011899i,0.00099081-0.00090717i,0.00028815-0.0003917i
-0.0012551-0.00013378i,-0.00046869-0.00069033i,-7.0723e-05-9.8036e-05i,9.3909e-05+0.00051992i,0.00017771+0.00031442i,-2.2272e-05-0.00025619i,-0.00013537-0.00052523i,-0.00049498-0.00052435i,-0.00037161-0.00022196i,-0.00024928-0.00021727i,-0.00067323-0.00088873i,-0.00024278-0.00033716i,0.00020195+0.00047287i,0.00043796+5.9321e-05i,0.00042432+0.00043832i,1.4503e-05+0.00032101i,0.00064511-0.00014994i,0.00098833+9.4821e-05i,0.00043329-4.9372e-05i,0.00041042-0.00037304i,0.00025314-0.00058004i,-0.0005804-0.00037731i,-0.00065141-0.00048208i
0.0012825+0.00071566i,0.0011129+0.00079785i,0.0012354-0.00040855i,0.0010607+9.4492e-05i,0.00072359+0.00053894i,0.00075727-0.00034826i,0.00082358-0.0002039i,0.0006589+0.00015049i,0.00096163-5.6275e-05i,0.0012475-0.00020451i,0.0002689-0.0003983i,-0.00020308-0.00080172i,0.00042103+0.00039322i,0.0001336+0.0014018i,-0.00024238+0.00086779i,-0.0001419+0.00036977i,-9.723e-05+0.00026872i,-0.00019334+0.00033814i,4.1312e-05+0.00021756i,0.00017485+0.00017421i,0.00018414+0.00023838i,0.00043176+0.00051036i,0.00062162+0.00073863i
3.3603e-05+0.00031234i,0.0010447-0.00033178i,0.0015499-0.0010064i,0.0013525-0.00083682i,0.00054475-0.00065001i,-0.00028575-0.0012498i,-0.00036129-0.00057442i,8.9285e-05-8.5459e-05i,0.00064655-0.00010667i,0.00037123+4.2817e-05i,3.8362e-05-0.00056882i,-0.00039035-0.00064144i,-0.001075-0.00029778i,-0.001394-0.00020316i,-0.00060513-3.5746e-05i,-2.7924e-05+3.1426e-05i,-0.00059054+0.00043318i,-0.00056315+0.00048734i,-0.000341+0.0002683i,-0.00031794-1.3739e-05i,0.00048451-0.00040695i,0.00099259-0.00035222i,-0.00014363-0.0013078i
-0.0017328+0.0017196i,-0.00010792+0.0021297i,0.0016758+0.0021611i,0.0024993+0.00041399i,0.0015994-0.00058792i,0.00048401-0.00038879i,-0.0003452-0.00029339i,-0.00071284+4.999e-05i,-0.00072999+0.00093868i,-0.00068034+0.00032586i,-0.00035883-0.00098464i,-0.00019712-0.0012984i,-0.0003254-0.00067829i,-0.00037698+0.00011653i,-0.00062452+0.00019977i,-0.00064292+0.0001364i,0.00024789+0.00010698i,0.0011074+0.00016486i,0.00079703+0.00031747i,0.00056403+0.00069465i,0.00085648+0.00064347i,0.0006068-6.676e-05i,-4.6419e-06-0.00035702i
0.001005+0.00015229i,0.0015564-0.0009367i,0.0023633-0.0011602i,0.0027338-0.0012426i,0.0021059-0.0012803i,0.00065685-0.0014732i,-0.0002156-0.0011783i,-7.0729e-05-0.00037159i,0.00030012+0.00021831i,0.00025354+0.00041094i,-7.0881e-05-6.0104e-05i,0.00020033-0.00061615i,0.00066953-0.00031588i,0.0004724-4.8205e-05i,0.00010208+0.00011901i,-4.0411e-05-0.00042049i,1.3635e-05-0.00048149i,9.5842e-05+0.00033656i,0.00027594+0.00063948i,0.00045728-5.7455e-05i,0.00014536-0.00093089i,-0.00047984-0.0010986i,0.00018459-0.00098628i
0.00052556-0.00052895i,0.0012811-0.0011311i,0.0011939-0.0016796i,0.00017466-0.0016949i,5.1988e-05-0.00066777i,4.7075e-05+0.00038887i,-0.00012546+0.00044599i,0.00032138+0.00023618i,0.00092706+0.00028305i,0.00068704-6.8932e-05i,-6.5596e-05-0.0004909i,-0.00056556+1.7755e-06i,-9.8501e-05+0.0015343i,0.00027781+0.0018306i,-0.00017185+0.00075744i,7.4881e-05+0.00068059i,0.00032973+0.0014557i,0.00011484+0.00099135i,-0.00057233+7.1784e-05i,-0.00011577-0.00071767i,0.0010373-0.00044635i,0.00098867+0.00015511i,0.00040533+0.00058038i
-0.00016305-0.0017481i,5.3532e-05-0.0016319i,-0.00025537-0.0012553i,-0.0001116-0.0011173i,-0.00028388-0.00066437i,-6.039e-05+1.737e-06i,0.00034817+0.00073923i,0.00035013+0.00017601i,0.00028982-0.00022171i,0.00036993-0.00032889i,0.00025507-0.00081381i,0.00013486-0.0010432i,-0.00011128-0.00047414i,-0.00065794+0.00020423i,-0.00014446+8.9762e-05i,0.00068697+0.00033459i,0.00089929+0.00083592i,0.00070725+3.9363e-05i,0.00074146-0.00049238i,0.00037217+0.00024248i,0.00021592+7.396e-06i,0.00063831-0.00045331i,0.00078212+1.1246e-05i
