-0.0017667-0.0016252i,-0.0023791-0.0023627i,-0.0030184-0.0011926i,-0.0026558-0.00022766i,-0.00098712+0.00069526i,-0.00014998+0.0016017i,-0.00059269+0.0015648i,-3.4786e-05+0.0014938i,0.0014104+0.00063091i,0.00097313-0.00048752i,0.00055748-0.00083354i,0.00052679-0.0010024i,0.00042495-0.00038577i,0.00058979+0.0010307i,0.00014631+0.00095154i,-0.00014764-0.00016724i,-0.00040753-0.00039315i,6.5277e-05-4.5131e-05i,0.00097268-4.6687e-05i,0.001067-0.00022193i,0.00082358+0.00033467i,4.468e-06+0.00075926i,-0.00046054+0.00012258i
-0.00037795-9.5424e-05i,0.00014376-0.00034671i,0.00075397+0.00035937i,0.00090299+0.00063702i,0.0010806+2.9061e-05i,0.00064765-6.3011e-05i,0.00047856+0.00039689i,5.8618e-06+0.00046547i,7.6665e-05+0.00039642i,0.00073032+2.337e-05i,0.00038806-0.00040632i,-0.00013968-0.00039407i,-0.00037265-0.00091583i,-0.00028694-0.0012778i,-0.00029795-0.0011091i,0.00017886-0.00039078i,0.00054287+0.00025884i,0.00056132-0.00048611i,0.00012381-0.0012628i,-0.00056479-0.00030585i,-0.0011278+0.00028345i,-0.00054684-3.5913e-05i,0.00033461+0.00028743i
0.0019404+0.0006799i,0.002121+2.8859e-05i,0.0027145-0.001218i,0.0025543-0.0016321i,0.0012931-0.0011275i,-2.9844e-05-0.00095773i,-0.00016885-0.00045196i,0.00014483+0.00080105i,2.2413e-05+0.00065128i,0.00013828-0.00025873i,-0.00029181-0.00047196i,-0.001028-0.00023692i,-0.00099634-0.0002666i,-0.00063941-0.00037387i,-0.00069243-0.0002727i,-0.0005078+1.7283e-05i,-0.00031716+0.000275i,-6.9316e-05+0.00060511i,-0.00017247+0.0006387i,-0.00072549+0.00025691i,-0.00061018-0.00030559i,0.00038543-0.0010559i,-4.1344e-06-0.00074096i
0.00042138-0.0011384i,6.0576e-05-0.0015671i,-0.0013782-0.0006343i,-0.0017967+0.00010776i,0.00015496-0.00011123i,0.0010857-0.00041983i,0.00091224-3.905e-05i,0.00056482+0.00012432i,0.00022305-0.00010853i,0.0004884+0.00010466i,0.0003982+0.00022801i,0.00014548+0.00010243i,0.00024503-0.00065917i,0.00011184-0.00036478i,4.8019e-05-0.00010729i,0.00050638-0.00047364i,0.00011757-0.00013104i,-0.00045881-7.6092e-05i,-0.00079849+7.2044e-05i,-0.00054578+0.00046419i,0.00058399+0.00058431i,0.00059199+5.283e-05i,0.00030496+6.8042e-05i
0.0017413+0.00078966i,0.0017354-0.00010321i,0.0018659-0.00031769i,0.0016365-0.00052355i,0.00091747-0.00065024i,0.00035495+0.00043807i,4.0521e-05+0.00077503i,8.4479e-05+0.00029774i,0.00034162+8.8576e-05i,0.0006905+0.00061934i,0.0010105+0.0006108i,0.00049187-0.00092013i,-0.00013743-0.0013498i,-0.00012295-0.00027973i,-0.00030009-2.7947e-05i,-0.00050653-0.00057837i,-0.00070924-0.001123i,-0.00061647-0.0010455i,-2.4248e-05-0.00045105i,6.8884e-05+0.0003149i,3.1212e-05+0.00024979i,0.00046783+5.2305e-06i,0.0007495+0.00040523i
0.00061122+0.00018885i,0.00028458-0.00037211i,-0.00040285-0.00066227i,-0.00018671-0.00033568i,0.00085511+0.00045398i,0.00083138+0.00073074i,-0.00048164+0.00039624i,-0.00061005-0.00011693i,0.00066806-0.00028865i,0.00077359-0.0012406i,0.0004941-0.001499i,0.00073723-0.00086532i,0.00028953-0.00017894i,-0.00078075+0.00013262i,-0.00097387-0.00040227i,0.00016652-0.00093505i,0.00043131-0.00086079i,-0.00061224-0.001109i,-0.0002463-0.0010502i,0.00015927-0.0002i,-0.00060724-0.00044838i,-0.0005246-0.00084177i,0.00031573+8.5985e-05i
-0.0020396-0.0014463i,-0.0016699-0.0018701i,-0.0020159-0.0013322i,-0.00097526-0.00027525i,0.00075874+0.00018998i,0.0019707-0.00025847i,0.001582-0.00084273i,8.2851e-06-0.00055397i,-0.00083082+0.00026936i,-0.00093273+0.00043712i,-8.2336e-06+0.00030932i,0.00085773+9.3974e-05i,0.00045775+5.7218e-05i,0.000319-0.00036224i,0.001744-0.00013576i,0.0014974+4.0675e-05i,-0.00021943+0.00024581i,-0.00060136+0.00016321i,0.00012719-0.00045996i,0.00064443-0.00065815i,0.00038076-0.00010351i,0.0001572+0.00025902i,-0.00024376-0.00025771i
0.00018751-0.0011361i,-0.00061067-0.0010883i,-0.0012263-0.0001539i,7.2677e-05+0.00058728i,0.0018244+0.00080126i,0.001748+0.00010485i,0.0015855-0.00056379i,0.0011208-4.3202e-05i,0.00095058+0.00051213i,0.00052022-0.00020504i,-0.00029023-0.00016383i,3.9855e-05+0.00020672i,-8.2637e-05+0.00032889i,-0.0011435+0.00053659i,-0.00068433+0.00044517i,0.00029337-0.00048793i,0.00071583-0.00056995i,0.0011354+6.737e-05i,0.00089059+0.00022746i,0.00023705+3.3201e-05i,0.00021391-0.00044899i,0.00035837-0.00053856i,0.00017002-0.0006036i
6.1991e-06-0.001114i,0.00084929-0.0011689i,0.0009356-0.00051328i,0.00043841+0.00015387i,0.00057418+0.00025818i,0.00099754-9.4537e-05i,0.00072491-0.00032409i,-0.00027733+0.00030532i,-0.00028006+0.00012949i,-0.00015463-0.00031943i,-0.00045348-6.2766e-05i,-0.00025419-0.00018215i,-0.00012788-0.00049809i,0.00013211+4.1464e-05i,0.00013468+0.0010308i,-0.00027233+0.00066809i,-0.00035906-0.00052959i,-1.1673e-05-0.00064376i,-0.00021015-0.00020756i,-0.00050918+0.00024201i,-0.00013502+0.00012631i,-0.00038187+0.00060755i,-0.00065936+0.00036816i
-0.0024247+0.00011293i,-0.0021703+0.00069061i,-0.0026878+0.00074156i,-0.0018648+0.00061502i,0.00082966+0.00082345i,0.002701+0.00033133i,0.001822-7.5594e-05i,0.00068693-0.00042272i,0.00014064-0.00030293i,0.00028215-0.00053219i,0.00074691-0.00067489i,0.0010795+0.00018612i,0.0011483+0.00031192i,0.0012985-0.00035519i,0.0017415-0.00093285i,0.0011284-0.0010458i,0.0008474+1.0758e-05i,0.00063934+0.00056664i,-0.00077245-0.00032835i,-0.0012938-0.0013838i,-0.00033805-0.00099322i,0.00050885-0.00063997i,5.1137e-05-0.00026884i
0.0012318+8.4743e-05i,0.0020303-0.00044545i,0.0023921-0.0010648i,0.0021539-0.0019922i,0.0018294-0.0018182i,0.0017127-0.0011249i,0.0015795-0.00048436i,0.0010638-0.00022259i,0.00010393-0.00010044i,-0.00066611+0.00012713i,-0.00063859-0.00012671i,-0.00027732-0.00058327i,-0.00086437+0.00010437i,-0.0012637+0.00045713i,-0.00084399+0.00027637i,-0.00018511+0.00026422i,0.00045918+0.00057851i,0.00025128+0.00037175i,0.00013971-0.00011096i,0.00030954-4.4864e-06i,0.00025288-0.00048906i,0.00011364-0.00077918i,3.7694e-05-0.00059865i
0.00035151-0.00060832i,0.00028778-0.00039324i,0.0003132+0.00079266i,0.00038719+0.0015362i,0.00024503+0.0015587i,5.0122e-06+0.00030255i,0.00059325-0.00034034i,-0.0004909+0.00026585i,-0.0013818+0.00035696i,-0.0008284+0.00021768i,-0.00040517+0.00021653i,-0.00040039-0.00053083i,-0.00053835-0.00070478i,-0.00019694-0.00032465i,0.0010805-0.00067307i,0.0014652-0.00071974i,0.00042888-0.00063507i,0.00035544-0.00036327i,0.00029839+0.00010142i,-0.00015324+0.00049977i,-0.00067757+0.00028207i,-0.0009722-0.00066205i,-0.00043155-0.0010243i
-0.00029047+0.00055919i,0.00048849-0.0012125i,0.00076952-0.001493i,0.00057543-0.0015386i,0.0011786-0.0011045i,0.0017314+6.7846e-05i,0.0019269+0.0011472i,0.0012928+0.00048309i,0.00059113-0.00032091i,0.00021226-0.00055053i,0.00027862-0.00018413i,-8.9141e-05+0.00041866i,-0.00033869+9.0525e-06i,-0.00028753-0.00039003i,0.00013638-0.00065744i,7.771e-05-0.00011079i,-0.00028401+0.00070553i,0.00038555+0.00037279i,0.00072261+0.00019002i,6.2982e-05+0.00041454i,-7.6722e-05+0.00045514i,2.378e-05-0.00023561i,-9.119e-05-0.00083151i
-0.00068849-0.00074578i,0.00060775-0.00065917i,-6.1596e-05-0.00059676i,0.00012755-0.00065153i,0.00075003-0.00042019i,0.00096751+0.00012927i,0.00048057-3.4254e-05i,-7.5058e-05-0.00026954i,-0.00016987-0.00059152i,-7.6034e-05-0.0011185i,0.0003565-0.00066559i,0.00037231-0.00025584i,0.00053593-0.00012878i,0.00062871-0.00026316i,0.00034831+3.9708e-05i,0.0004548+1.7041e-06i,-8.5716e-05-0.0004835i,-0.00057861-0.00065451i,-6.6456e-05-0.00066576i,0.00013881-0.00021464i,-0.00054682-0.00035553i,-0.00085681-2.2039e-06i,-0.0004513+0.00029701i
0.0022616+0.00050246i,0.0014551+0.00013367i,0.0012718-0.00084881i,0.00039167-0.0013058i,-0.0007881-0.00078191i,-0.00088037+0.00014154i,-0.00041714+0.00088759i,-0.00022637+0.00063809i,-0.00018973+0.00010038i,0.00036079-0.00093487i,0.00012724-0.00064197i,-3.2256e-06+0.00062551i,0.00035605+0.00092934i,-0.00015369+0.00086005i,-0.0011383+0.00041354i,-0.001061+0.00010707i,0.00033931+0.00054838i,0.0013458+0.00037295i,0.00085837+9.3715e-05i,-0.00062605-4.5108e-05i,-0.00043189-0.00099578i,0.00096384-0.001121i,0.00082546-0.00027748i
