-0.0021246+0.00077193i,-0.0010284+0.0010749i,-0.0012483+0.00084812i,-0.0014413+0.00068932i,-0.001171+0.0012284i,-0.00077206+0.00087703i,-0.00059299+0.00073895i,-0.0010361+0.0010732i,-0.00042315+0.00062895i,0.00059224-0.00013383i,0.0005663+0.00033861i,-0.00012538+0.0005288i,0.0001784-0.00072726i,0.00035543-0.0004826i,0.00015684+6.1727e-05i,0.00049397+0.00027473i,0.00039303+0.00037469i,0.0002454-0.00031019i,0.00040654-0.00078322i,0.0001178-0.00029874i,-0.00024433+0.00043719i,-0.00033894+0.00040787i,-0.00051898+1.9911e-07i
-0.0016319-0.00035932i,-0.0011397-5.2112e-06i,-0.001079+0.0012141i,-0.0011204+0.0018536i,-2.9958e-05+0.0011357i,0.00048553+0.00034255i,-0.00040836-0.00039109i,-0.00049494-0.00051809i,-0.00085037+0.00045854i,-0.0012326+0.0010556i,-0.00010598+0.00065153i,0.00058574+9.5083e-05i,0.0011118-0.00014433i,0.0019057-0.00037956i,0.0017726-0.00055345i,0.0012603+0.00034292i,0.00069437+0.00046867i,0.00039965-0.00046992i,9.0194e-09-0.00072004i,0.00015404-8.1295e-05i,0.00066232+0.00063579i,0.00051512+0.00085217i,0.00073917+0.0004194i
0.00015663-7.5515e-05i,0.0011555+0.00027039i,0.0007424+8.4752e-05i,0.00059134-0.00026877i,0.00049548+0.00020329i,0.00072014+0.00069503i,0.00075341+0.00045328i,0.00059898+9.8526e-05i,0.000664+0.00037307i,0.00036351+0.00045668i,0.00073167+0.00012841i,0.0010012+1.3573e-05i,0.00031196+0.00036454i,0.00053632+0.00027682i,0.0011523-2.2475e-05i,0.00085127-0.00059142i,0.00013675-0.00016728i,-5.0191e-05+0.00084394i,0.00041523+0.0011207i,0.0006463+0.00093257i,0.00030331+0.00046052i,-0.00048011+3.5094e-05i,-0.00095391-0.00015249i
0.0011833-0.00090931i,0.0013769-0.001112i,0.00090842-0.0013226i,0.00033919-0.00081446i,0.00013414-9.9304e-05i,-0.00024112+0.00022531i,-0.0001285-9.2369e-05i,0.00049551+1.1477e-05i,0.00057498-5.596e-05i,0.0001143+4.0041e-05i,0.00051739+0.0004677i,0.00081681+0.00031612i,0.00057265-4.408e-05i,0.0014891-0.00053726i,0.0020347-0.00069031i,0.0013635-0.00076116i,0.00068748-0.00054586i,-0.00024397+0.00040629i,-0.000707+0.00081058i,-0.00071047+0.00010655i,-0.00079373-5.7862e-05i,-0.00087598+0.00023955i,0.00027315+9.452e-05i
-4.0018e-05-0.0010649i,0.00057182-0.00046912i,0.0016647-0.00030244i,0.00086372+0.00073315i,-0.00098368+0.0010088i,-0.0012884+0.00015363i,-0.00073365-3.6504e-05i,-0.00022131+3.8744e-05i,-0.00049412-0.00044293i,-0.00045697-0.00053997i,-0.0002673-0.00033837i,0.00019944-0.00035468i,0.0003515-0.00049538i,0.00048104-0.00053985i,8.6478e-05-0.0002513i,-6.1645e-05-0.00042284i,0.00019947-3.536e-05i,2.1931e-05+0.00069985i,-0.00028745+0.00048576i,2.0275e-05+2.2679e-05i,0.00024916-0.00014615i,0.00035282+7.6836e-06i,0.00047678+0.00017589i
0.00027159-0.000368i,-0.00039017-0.0011046i,-0.00037924-0.0015295i,-5.1197e-05-0.0012737i,4.9117e-06-0.00084797i,-0.00013411+9.0114e-05i,1.1527e-06+0.00062347i,3.9704e-05+0.00031146i,-2.063e-05-0.00023556i,5.0997e-05-0.00022487i,-0.00015064-0.00026244i,-0.00056922+8.0076e-05i,2.2936e-05+0.00068451i,0.00016588+0.00098003i,-0.00059743+7.1365e-05i,-0.00027118-0.0010925i,0.00013949+0.00035469i,0.00036704+0.0019522i,0.00030434+0.0014429i,6.0394e-05+0.00075772i,-0.00015778-7.7107e-05i,-0.00012489-0.00059334i,0.0005335-0.00025407i
0.0018889-2.0835e-05i,0.0028221-0.00048597i,0.0021576-0.00061849i,0.00090867-0.0008108i,0.00017552-0.00080353i,-0.00053252+7.9047e-06i,-0.00065231+0.00042233i,-0.00056181+0.00039429i,-6.0896e-05-0.00012508i,0.00043939-3.9399e-05i,0.00050343+0.00088104i,0.00030503+0.0011259i,0.00045047+0.00042783i,0.00029115-0.00018959i,0.00072897+0.0005289i,0.0003+0.00097496i,-0.00019561+0.00027227i,0.0001229+2.2727e-05i,0.00042058+0.00028435i,0.00030801+0.00012981i,0.00045562+8.767e-05i,0.00038554+0.00025175i,-0.0004769-7.1728e-05i
0.0007565+0.00067723i,0.0014055-0.00060181i,0.0018563-0.00089552i,0.0016095-0.0013864i,0.0014627-0.0015626i,0.00036228-0.00045649i,-0.00036595+0.00039041i,-0.0001959+0.0010497i,-0.00049529+0.00081421i,-7.829e-05-0.00013356i,0.00031004-0.00027655i,-0.00022285-0.00058772i,5.0806e-05-0.00078952i,-0.00014994-0.00026151i,-0.00095815-3.9387e-05i,-0.00091385+5.6742e-05i,-2.7229e-05+0.00025455i,0.00015088+0.0004419i,-0.00039936+0.00060522i,-0.00062753+0.00091183i,-0.0010057+0.00074567i,-0.00047457+0.00015096i,-0.00017714-0.00087949i
-0.0011124-0.00013224i,-0.00018389+0.00066943i,0.00080132+0.00047378i,0.0011505+9.0517e-05i,-0.00015685+0.00016367i,-0.00064131+0.0004541i,-0.00015415+0.00044852i,0.00028548+0.00036894i,0.00065472+0.00051696i,0.00054662+0.00039148i,0.00064759+1.4132e-05i,0.00081344+0.0001887i,0.00040352+0.00034803i,0.00010385-7.5868e-05i,-0.00012641-0.0011714i,0.00033206-0.0011316i,0.00074458+5.9737e-06i,0.00025085+0.00026909i,-0.00024287-0.00050122i,-6.8214e-05-0.00019792i,-0.00061472+0.0004069i,-0.0014679-0.0002652i,-0.00061813-0.00048545i
-0.00018022-0.00045154i,0.00087524+0.00029986i,0.00052633+7.5496e-05i,0.00023363+1.704e-05i,0.00020561+8.0155e-05i,-0.00037183+0.00047564i,-0.00038587+0.00062333i,-0.00010901+0.00033077i,-0.00019816+0.00030219i,0.00053253+0.00052924i,0.00059366+0.00066588i,0.00019943+0.00050807i,-0.0002216+0.00035628i,-0.00028765-6.1857e-05i,0.00084198-0.00010406i,0.0011564-3.6754e-05i,0.00067068+9.5273e-05i,-0.00050703+0.000232i,-0.00079025-0.0003676i,-0.0001191-0.0004681i,-7.1445e-05+2.9413e-05i,-0.00022403-0.0003659i,4.4318e-05-0.00089373i
-0.00019339+0.0012966i,0.0016866+0.0014529i,0.0021983+0.0010793i,0.0015927+0.00056579i,0.0010546+0.00062888i,-0.00016244+0.00012095i,-0.00046083-0.00049666i,-0.00015256-0.00044131i,-7.1659e-05-3.26e-07i,0.00054364+0.00053939i,0.0006419+0.00057933i,0.00044317+0.00050835i,-0.00026891+0.00023767i,-5.9577e-05+0.00024597i,0.0003856-0.00054423i,0.00018087-0.0012956i,0.00035073-0.0007518i,-0.00012946-3.3073e-05i,-0.00082718+0.00041456i,-0.00050114+0.00052835i,1.8257e-05+0.00013621i,0.00050728-0.00019195i,0.00051271+0.00034722i
0.0010646-0.00024262i,0.00041044-3.9191e-05i,0.0001781-0.00072904i,-9.0874e-05-0.0011085i,-0.00053221-0.00089979i,5.3189e-05-0.00019413i,0.00070111+0.00026612i,0.0009964+0.00043494i,0.0006822+0.00026972i,-0.00033214+0.00017849i,-0.00014636+0.00032301i,0.00057303+6.4398e-05i,-4.9898e-05-0.00039103i,-0.00061234-0.00070326i,2.1665e-05-0.0001213i,0.00033403-0.00013943i,0.00041183-0.00031823i,0.00063022+0.0004373i,-9.1945e-05+0.00030835i,-0.00012488-0.00013598i,0.0002175-9.6003e-05i,0.00023556+6.9044e-05i,0.00061418-0.00030731i
0.0013366-0.0019716i,0.0010931-0.0016761i,0.00086569-0.00089526i,-1.5613e-05-0.0011673i,-0.00055969-0.00040056i,-0.0010877+0.00045522i,-0.00095028+9.6771e-05i,0.00011732+0.00011111i,6.7977e-05-0.00048604i,-6.5353e-05-0.00033444i,-0.00034241+0.00055008i,-0.0012921+0.00037208i,-0.00099792+1.9305e-05i,8.1501e-05+0.00061441i,0.00018189+0.00094971i,-0.00056458+0.00080535i,-0.0008346+0.00099565i,-0.0010349+0.00089039i,-0.00028804+0.0013249i,0.0005029+0.0010573i,0.00049167-9.092e-05i,0.00018857-0.00039639i,0.00012826+0.00029698i
0.001252+0.0016546i,0.0013327+0.0011446i,0.0010365+0.00047997i,0.00089384+0.00034005i,0.00021351+0.00061601i,-0.001162+0.00099746i,-0.00085234+0.00057944i,-7.3273e-05+6.7237e-05i,0.00022959-0.00028488i,2.9225e-06-0.00035595i,-0.00033769+0.00034235i,-0.00016962+0.0010376i,0.00013741+0.00062317i,-5.8297e-05+0.00063036i,-0.00037598+0.00011012i,-0.00020592-0.00056632i,0.00023622-0.00028702i,0.00073652+0.00045931i,0.0010009+0.00060575i,0.00042747+0.00034178i,-0.00013421+0.00071956i,6.525e-05+0.0011683i,0.00022313+0.00053537i
0.00024966+0.00018225i,0.00019437-0.00049082i,0.00059404-0.0010456i,0.00010864-0.00060172i,-0.00083105+0.00018687i,-0.00094005+0.00024121i,-0.00036819+3.8052e-05i,-0.00010405+0.00014285i,-0.00018607-0.00010395i,0.00015247-0.00046219i,0.00092762+2.1585e-06i,0.00092757-3.5247e-05i,9.606e-05-0.00040176i,-0.00078908+0.00028896i,-0.00042636+0.0004079i,-0.00018947+0.00043004i,3.393e-05+0.0002522i,0.0004718+1.7507e-05i,8.7308e-05+0.00048346i,-0.00021533+0.0005458i,-0.00054283-0.00023602i,-0.00064272-0.00075822i,0.00022613-0.0007023i
0.00073405-0.0025669i,0.00022363-0.0023686i,0.0001462-0.0023835i,0.00030785-0.0014799i,0.0008033+0.00063982i,0.00067641+0.0020341i,-5.1396e-05+0.0011241i,-0.00035397-0.00012361i,-0.00026352-1.7694e-05i,-0.00016111+0.0007885i,-0.00058506+0.00060133i,-0.00045718-0.00038174i,0.00067446-0.00093128i,0.0016372-0.00103i,0.0013576-0.00097466i,0.0010201-0.00081831i,0.0011358-0.00044274i,0.00083991-0.00023636i,0.0009348-0.00017022i,0.00056544+0.00030052i,-0.0003503+0.00051319i,-0.00075704-0.00013054i,-0.00069648+1.091e-06i
0.00098782-0.00032825i,0.00040744-0.00096081i,-0.00048987-0.00011478i,-0.0013777+0.00047976i,-0.0010111+0.00026697i,-0.00048674+5.6785e-05i,-0.00043365-0.00046314i,-0.0001622-0.00058623i,0.00011016-0.00033577i,0.00078127-0.00053495i,0.0010033-0.0005538i,-0.00017966+0.00019065i,-0.0006554+0.00085556i,0.00070786+0.00086869i,0.0013964+0.00056692i,0.00073874+0.0004545i,0.00024932+0.00067732i,0.00016479+0.00022438i,7.2146e-05-0.00045206i,-0.00018757-0.00093974i,-0.00057903-0.00061708i,-0.00089836-2.8466e-05i,-0.00059681-0.00058431i
0.0013412+0.0015343i,0.0018153-0.00013534i,0.0020603-0.001052i,0.0013549-0.0011162i,0.00045996-0.00077846i,0.00027729-5.5363e-05i,-0.00040773-0.00026572i,-0.00064244+0.00016601i,0.00030502+0.0014666i,0.00076739+0.0019738i,0.00039906+0.0010517i,0.0002401-0.00046194i,-0.00029734-0.00036689i,-0.00094948+0.00041546i,-0.00063431-0.00011205i,-0.00013132-0.00044423i,0.00015806+2.6724e-05i,0.00016409+0.00074868i,-0.00046008+0.00057373i,-0.00091622+0.00054381i,-0.0002476+0.00041035i,8.0927e-05+0.0004756i,-0.00041258+0.00049127i
0.0015396-0.0010101i,0.0011667-0.0018515i,0.00068265-0.0019154i,0.00031816-0.0013897i,0.00045064-0.00087012i,0.00012127-0.000161i,-0.00093671+0.00063168i,-0.00029437+0.00037061i,0.0010383-0.00075175i,0.00016153-0.0004407i,-0.0010312-8.8355e-05i,-0.0010592-0.00059008i,-0.00098779-0.00056285i,-0.00034564+0.0002559i,0.00059331+0.0006378i,0.0012069+0.00045351i,0.00081681+0.00035843i,-0.00015216+0.00048568i,-0.00056701+0.00087945i,-0.0001066+0.00066635i,-7.8052e-06+0.00037254i,-0.00029354-4.2047e-05i,-0.00026088+0.0003087i
-0.00038116+3.3619e-05i,0.00081692+9.4274e-05i,0.0011835-0.0010402i,-0.00015834-0.00094539i,-0.00079993+0.00017044i,-0.00070568+0.00085508i,-0.00045411+0.00080956i,-0.00028176+0.00040133i,-0.00064221+0.00022176i,-0.0012042+0.00049666i,-0.0011641+0.00066391i,-0.00017641+0.00046031i,0.00024397+0.00015883i,0.00012936-0.00014597i,-9.9265e-05+5.547e-05i,-0.00035801-2.7669e-05i,-0.00019567-0.0003565i,0.00048581-0.00078893i,0.00096829-0.00058905i,0.00015787+6.0596e-05i,-0.00022314+0.00022391i,-0.00010751+0.00019972i,-0.00039913-0.0011404i
0.0013194+0.00010442i,0.0012397+0.00028261i,0.00098952-0.00030482i,0.000815-0.00018494i,0.00080666+0.0004641i,0.00083057+0.00098563i,0.0011643+0.0014821i,0.0010857+0.0010158i,-7.078e-05+0.00058577i,-0.00065548+6.3565e-05i,-0.00021552-0.00030203i,0.00069819-0.00049317i,0.00095831-0.0010296i,0.00080629-0.001314i,0.0010697-0.00093153i,0.0015135-0.0007719i,0.0012103+1.2787e-05i,0.00016793+0.0011467i,-0.00020919+0.00075043i,-1.7898e-05-0.00029769i,0.00052701-0.00055581i,-0.00017837-0.00037019i,-0.00019436-0.00031078i
-0.00050867-0.00011124i,-0.00046024-0.00058942i,0.00014395-0.0010107i,0.0010212-0.000552i,0.0013232+0.00023136i,0.00099464+0.00060036i,0.00094603+0.00076828i,0.00066977+0.00058898i,-0.0001472+7.0515e-05i,-0.00051513+0.00010865i,-0.00013239+0.0002123i,-0.00047496-0.00057759i,-0.00079312-0.0013786i,-0.00030716-0.00034772i,0.00021965+0.00024827i,0.00097776-0.00052683i,0.00048343-0.0001343i,-1.8031e-05-9.6713e-05i,-0.0002528+0.00015805i,-0.00068515+0.00048328i,-0.00039816+0.00022907i,0.00026375+6.2765e-05i,0.00025585+0.00017388i
-0.00027495+0.000279i,0.00048269-1.1554e-05i,0.00030039-2.1787e-05i,-2.3203e-05+0.0012806i,-0.00075632+0.0018962i,-0.00072111+0.0007815i,-0.00025344-0.00024092i,-0.00032494-0.00047092i,-0.00049393-0.00029893i,-0.0004305+0.00017683i,0.00045034+0.00069588i,0.00065491+0.00016155i,0.00071961+2.1712e-05i,0.0010819+0.00075876i,0.00062249+0.00041769i,2.4836e-05+0.00045905i,-0.00014322+0.0011835i,-0.00034271+0.0011152i,-0.00067806+0.00099981i,-0.00028518+0.00040598i,0.00038427-0.00025083i,0.00044362+0.00017052i,0.00028664+0.00032739i
0.0015476-0.0013838i,0.0030241-0.0013477i,0.0025734-0.0011496i,0.00058505-0.0006673i,-0.00065426-4.0882e-05i,-0.00057582+0.00060294i,5.7769e-05+0.00090696i,-0.0001383+0.00015757i,-0.0010898-0.0010144i,-0.00087931-0.0007158i,-0.00059251-0.00011036i,-5.9141e-05+0.00043129i,0.00067345+0.0010068i,0.00072794+0.00072341i,0.00028191+0.00061446i,-5.6542e-05+0.00046684i,0.00022701-0.00012746i,0.00027201-0.00024108i,0.00048947-0.00028364i,0.0012115-0.00084837i,0.0006086-0.00081736i,6.5946e-06-0.00038612i,0.00022066+6.3024e-05i
-0.0017553+0.0006974i,-0.00046653+0.00090402i,9.468e-05+0.00030808i,-0.00033021-0.0005078i,-0.00025781-0.00023571i,0.00044342-0.00054725i,0.00076306-0.001093i,0.0010235-0.00063053i,0.00030256+0.00041767i,-0.00049176+0.00042957i,4.8433e-06+0.00017124i,3.9948e-05+0.00057606i,-0.00015402+0.00025649i,0.00017316-0.00025968i,-0.00011552-0.00034469i,-0.00017365-0.00054876i,0.00036175-0.00095849i,0.00028181-0.001445i,-0.00045514-0.0010047i,-0.00073726-0.00032967i,-0.00079119+0.00023023i,-0.00066262+0.00039294i,-0.00024609+0.00015174i
-0.00092907+0.0010438i,-0.00080223+0.00064893i,0.00026873-3.5609e-05i,7.3726e-05-0.00015958i,-0.00058209-0.00056323i,-0.00064319+2.7726e-05i,-0.00075092+0.0010777i,-0.00094211+0.00075618i,-0.00058389-0.00030361i,-2.2056e-05-0.00074557i,3.8598e-05-0.00071919i,0.00041836-0.00091279i,0.00028901-0.0012946i,-0.00029745-0.0018707i,-0.00050936-0.0013726i,-0.00048535-0.00091352i,-0.00045529-0.0011775i,-0.00042234-0.00053293i,-0.0010445+0.00011748i,-0.0013709-2.5023e-05i,-0.00041946-0.00017963i,0.00047025+3.596e-05i,0.00035963-0.00012365i
0.00065596+0.00078696i,0.0016447+0.00049948i,0.0014866+0.00028183i,0.0014831-0.00013272i,0.00099987-0.0014235i,0.00094054-0.0015721i,0.0011884-0.0011807i,0.0010564-0.0012036i,0.00026875-0.0010154i,-0.00036779-0.000353i,-0.00048169+0.00078768i,-0.00022654+0.00046642i,0.00066913-0.00017341i,0.0012654-0.00024905i,0.00044701-0.00017416i,0.00031707-0.00041023i,0.00064031-0.0010122i,0.00015237-0.00077874i,0.00030452+0.00021164i,-0.00035282+0.00049894i,-0.00076285+0.0003704i,0.00045366+0.0002122i,0.00078055-2.8145e-06i
0.00050069-0.0004953i,0.00053113-0.00059243i,0.00050622-0.00049841i,0.00087074+0.00012125i,0.0011224+0.0013758i,0.00044224+0.0014987i,-3.3771e-05+0.00028748i,-0.00038129+0.00072832i,-0.00086282+0.00061641i,-6.1663e-05-0.00021356i,0.00020698-0.00050194i,-0.00056408-0.00076304i,-0.00024147-0.0008013i,0.00022459-0.00044598i,-5.0297e-05-0.00020095i,-0.00018131-0.0005947i,-5.334e-05-0.00016i,-0.00031276+0.00032277i,-0.00063946-0.00042315i,-0.00035679-0.00054994i,-1.4419e-05-0.00045712i,-7.5501e-05+0.00016018i,-7.8015e-05+0.00066381i
-0.00065373+0.0034781i,9.114e-05+0.0024743i,0.00068799+0.0023339i,0.00051284+0.0019073i,0.00052774+0.00093638i,-0.0001311-0.00028963i,-0.00055048-0.00083417i,-0.00030862-0.00087973i,0.0002789-0.00041337i,0.0010376+0.00031612i,0.00083888-0.00019494i,-0.00017493-0.0011786i,-0.00067441-0.00097753i,-0.00051975-0.00066236i,-3.3811e-05-0.0015038i,0.00053278-0.0013358i,0.00087245+5.5421e-06i,0.00053687+0.00067985i,-0.00016369+0.00064382i,-0.00056324+0.000575i,1.6616e-05+0.0003856i,0.0010178+0.00015497i,0.0012846+0.0002024i
0.00058312+0.0014069i,0.0010257+6.4092e-06i,0.0026011-0.00030339i,0.0026992-0.00046082i,0.0014738-0.00071865i,0.0009718-0.00048032i,0.00086388+7.0127e-05i,0.00034396+0.00060742i,-9.3455e-05+0.00052804i,-0.00055177-0.00017575i,-0.00060518-0.0003424i,-0.00067588-0.00054368i,-0.00039223-0.0012078i,-0.0004183-0.0018783i,-0.00067689-0.0010877i,-0.0007974+0.00046447i,-0.00084457+0.0001652i,9.0792e-06-0.00043343i,0.00022204-4.5066e-05i,7.406e-05-0.00025128i,0.00085265-0.00097085i,0.00063704-0.00027542i,0.00018044+0.00012535i
0.00010645+0.00033839i,0.00037385+0.00078015i,0.00049692+0.00055323i,0.00012512+0.00061319i,0.00011353-9.44e-05i,-8.4068e-05-0.00030968i,-0.00057222-0.00016459i,-0.00061386-0.00012339i,-0.00027124+0.00072339i,0.00035876+0.00076714i,1.1613e-05+0.0007641i,-0.00031291+0.00061156i,-0.00028224-0.00059329i,-0.00077572-0.00086976i,-0.00053054+0.00016055i,-0.00015356+0.00084195i,-5.6559e-06+0.00064015i,-0.000117-0.0001611i,-0.00081847-0.00064406i,-0.00044054-0.00033969i,0.00024882+0.00019708i,-0.00016059+2.162e-05i,-0.00051735-0.00013065i
-0.0001952-1.2367e-05i,0.0014672-0.00037506i,0.0019165+0.00025011i,0.0010573+0.00030973i,0.00071499+0.00023092i,0.00082319+2.573e-05i,0.00012386-0.00035832i,-0.00090631-0.00088787i,-0.0011761-0.00080261i,-0.00061851-0.0009043i,0.00071667-0.00056779i,0.0010841+0.0001343i,0.00096483+0.00048522i,0.00082981+0.00065219i,0.00023984-0.00034323i,-0.00020899-0.001083i,-8.6583e-05-0.00086492i,8.2781e-05-0.00029033i,0.00022204+0.00042081i,0.0005439+0.00059121i,0.00033731+0.00012611i,0.00020514+0.00029648i,9.3373e-05+0.00054765i
