-0.0021246+0.00077193i,-0.0010284+0.0010749i,-0.0012483+0.00084812i,-0.0014413+0.00068932i,-0.001171+0.0012284i,-0.00077206+0.00087703i,-0.00059299+0.00073895i,-0.0010361+0.0010732i,-0.00042315+0.00062895i,0.00059224-0.00013383i,0.0005663+0.00033861i,-0.00012538+0.0005288i,0.0001784-0.00072726i,0.00035543-0.0004826i,0.00015684+6.1727e-05i,0.00049397+0.00027473i,0.00039303+0.00037469i,0.0002454-0.00031019i,0.00040654-0.00078322i,0.0001178-0.00029874i,-0.00024433+0.00043719i,-0.00033894+0.00040787i,-0.00051898+1.9911e-07i
-0.00047483-0.0010101i,6.7595e-05-0.0013235i,-0.00092836-0.00099597i,-0.0015656+1.8584e-05i,-0.00082126+0.0006285i,0.00041517+0.0012246i,0.00050209+0.00058382i,0.00072058+0.00049184i,0.0008394+0.00066553i,0.0002302+0.0001172i,0.000215+0.00054706i,0.00063026+0.00043401i,0.00060425+0.00031919i,0.0010011+0.00073737i,0.0012162+0.00053713i,0.00051633-0.00053118i,-2.9751e-05-0.001005i,0.00013674-0.00029217i,0.00077242+0.00042802i,0.0003201+0.00041623i,-0.00049944+0.00032887i,-0.00031463+4.7623e-05i,-0.00022804+0.00035655i
-0.00046612-0.0012954i,-0.00063689-0.0010888i,-0.002054-0.0015549i,-0.0019152-0.00050241i,-0.0014941+0.00078845i,-0.00086152+0.0013786i,-0.00022441+0.00082073i,-0.0002353-6.9859e-05i,-0.00017089+2.5535e-05i,-0.00030628+1.6274e-05i,-0.0004795-0.00049135i,0.00012679-0.00026271i,0.00096588+0.00013676i,0.00096072+0.00044284i,0.00061775+0.00054802i,0.00061736-0.00027414i,-0.00035396-0.00044861i,-0.00045983-0.00030144i,0.00069647-0.00021829i,0.0006124-7.4726e-05i,-0.00032865-0.00049282i,-0.00060715-0.00044563i,-0.00022224+0.00027032i
0.00084262-0.0007764i,0.0011085-0.0021389i,0.0012558-0.0022717i,0.00076203-0.0016972i,8.4188e-05-0.00058625i,0.00038538+0.00056479i,0.00069231+0.00012964i,3.7878e-05-0.00089029i,-4.321e-05-0.00071674i,-0.00031035+0.00045127i,-0.00032048+0.00060745i,-3.8323e-05+0.00029012i,-7.3293e-05+0.00063774i,0.00026467+0.0010958i,0.00070187+0.0012129i,0.00082095+1.3668e-05i,0.00073101-0.00095794i,0.00052935+0.00017368i,0.00075935+0.0013251i,0.0010397+0.0010473i,0.00088033+0.00055324i,-0.00035257+0.0004696i,-0.00056808+0.0002246i
-0.0011365-2.6235e-05i,-0.00044095-0.00025098i,-0.00091838-0.00031077i,-0.00080913-0.00052796i,-2.975e-05-0.00029375i,0.00055686+0.00018573i,0.00078828-0.00014097i,0.00079351-0.00041992i,0.00036432-0.00089282i,-0.00014418-0.00074805i,-9.3062e-05+3.9763e-05i,0.00047443+0.00075516i,0.00032187+0.00025459i,-0.00032826-0.00018797i,-1.2227e-06-9.4306e-05i,0.00062488-0.00084049i,0.0007706-0.00077223i,0.00025085-0.00025068i,-3.9962e-05+0.00021079i,-0.0003712+0.0003667i,-0.00027983-0.00052835i,4.7057e-05-0.00056415i,-0.00034361+0.00079083i
0.0005344+0.001324i,0.0010678+0.0018837i,0.0020441+0.0012942i,0.0011296+0.00094308i,0.00034542+0.0005987i,0.0007201+0.00066809i,0.0006847+0.00057505i,0.00018017-8.1498e-05i,-8.9818e-05-0.00055672i,0.0002938-0.00096328i,0.00010116-0.00057685i,0.00032373-0.0001525i,0.0010235-0.00033411i,0.00046744-0.00029049i,-0.00028824+0.00026051i,-8.1807e-05+5.7424e-05i,-0.00027226-0.00030152i,-0.00061792+0.00030784i,-7.8919e-07+0.00045085i,0.00070431+0.00047124i,0.00023856+0.00035052i,8.8221e-05+0.00026355i,0.00031093+0.00027716i
-9.4329e-05+0.00088184i,0.0008253+0.00043843i,0.0011363+5.3268e-06i,0.0016718-0.00012024i,0.0015426-1.8495e-05i,0.00073962+0.00042562i,-0.00034197+0.00056534i,-0.0012695+9.2037e-05i,-0.0011457+0.00022352i,3.3724e-05+0.00016422i,0.00095337-8.6016e-05i,0.00092257-1.2284e-05i,0.00062652-0.00020396i,0.000477-0.00021399i,8.8608e-05-0.00040437i,0.00012146-0.00099403i,-5.0943e-05-0.00088406i,-0.00043235-0.00016188i,-0.00020146+0.00035476i,-5.7855e-05+0.00070807i,-0.00023742+0.0011792i,-0.00023077+0.0011628i,0.00028652-0.0001488i
0.0018744-0.0013156i,0.0008229-0.0026834i,-0.00057472-0.0021005i,-5.6087e-05-0.00079092i,-1.0165e-05+0.00054109i,-0.00056092+0.00069914i,-0.00031077+0.00050736i,-0.00056028+0.0002755i,-0.00062744-0.00030392i,-0.00036001-0.00030998i,-0.00077481-4.7386e-05i,-0.0010253+0.00017813i,-0.00094964+3.0137e-05i,-0.00086175-0.00056517i,0.00013849-0.0014412i,0.00096483-0.00081779i,0.00035119-9.009e-05i,-0.0008155-0.00051518i,-0.00119-0.00098498i,-0.00090555-0.00084067i,-0.00062815+0.00020856i,-0.00073189+0.00063005i,-0.0011399+7.3168e-05i
0.0026004-0.0001941i,0.0026109-0.00022202i,0.001009-0.0003576i,0.00038609-0.0011417i,-0.00036326-0.00061598i,-0.00076305+0.0013907i,-0.0001896+0.0021546i,6.4302e-05+0.00079435i,7.5165e-06-0.00033236i,-0.00056936-0.0010366i,-0.00084709-0.00038097i,-0.00047373+0.0011875i,-0.00071511+0.0014307i,-0.00028925+0.00096974i,0.00099486+0.00075601i,0.0011843+0.00058164i,-4.1094e-06+9.2528e-05i,-0.00021173+0.00011785i,-0.00032999+0.00025516i,-0.00071636+0.00034863i,-0.00068179+0.00084844i,-0.00041241+0.00067844i,-0.00048116-4.4828e-05i
0.0025345+0.00085894i,0.0022829-0.00087217i,0.0022461-0.0019255i,0.0003829-0.0011701i,-0.0011108-0.00053046i,-0.0013273+0.00038701i,-0.00034819+0.0010588i,0.00019295+0.00073986i,0.0003987+2.6459e-05i,0.00045409-0.00055586i,0.00020331-0.00074543i,0.00016709-3.9915e-05i,0.00070638+0.00061484i,0.00022134+0.0016815i,-0.00094816+0.0013727i,-0.0011945+0.00078719i,-0.00054341+0.00096897i,-0.00039949+0.0011669i,-0.00037107+0.0007566i,8.5084e-05-0.00023975i,-0.0003633-0.00084419i,-0.00053934-0.0011814i,-0.0008375-0.0012704i
-0.0012023-0.0014019i,-0.00018872-0.0022896i,-1.3323e-05-0.0024642i,-0.00067743-0.0010149i,-0.0012095+0.00049754i,-0.0014883+0.0010699i,-0.00075344+0.00046042i,-0.0004069-5.0857e-05i,-0.00017859-0.00019252i,0.00081809+0.00018136i,0.00091042+0.00051725i,0.00027531+0.00049396i,1.2935e-05+0.00018043i,-0.000263+0.00023656i,-0.00041243+0.00053912i,-0.00067475+0.00042566i,-0.00079272-0.00020143i,-8.1483e-05-0.00054952i,0.00036511-0.00017915i,0.00019772+0.00040463i,0.00027387+7.3974e-06i,-0.00010751-0.00026906i,-0.0005513+0.00046508i
