-0.0011944-1.6038e-05i,-0.00083352-0.00078031i,-0.00173-0.00088439i,-0.002188-0.0004804i,-0.0021493-0.00054033i,-0.0016206-0.00079918i,-0.0011528-8.2827e-05i,-0.00075482+0.0010287i,0.00043964+0.00041415i,0.00087218-0.00074115i,-6.6031e-08-0.00070968i,-0.0010384-0.00092823i,-0.00098331-0.00066624i,-0.00049284+0.00029883i,-4.6101e-05+0.00033097i,0.00033084-0.00034678i,0.00036561+5.9799e-05i,0.00036447-0.00063849i,0.00050724-0.0013355i,7.2245e-05-0.0012824i,-0.00032474-0.0018533i,-0.00047828-0.0018825i,-0.0009094-0.00099546i
0.0021456+0.0023286i,0.0022833+0.0021476i,0.0025758+0.0014698i,0.0027386+0.00032949i,0.0018829-0.00065603i,0.00036855-0.0012752i,-0.00071402-0.00064866i,-0.00091108+0.00010289i,-0.00058824-0.00011355i,-0.0002253+0.00023407i,-0.00016303+0.00079838i,-0.00013922+0.00029314i,0.00011878-0.00079894i,0.00037571-0.00084177i,0.00050046-0.00043069i,0.00054506-0.00042068i,0.0004682-0.00041566i,0.00056156-0.00016298i,0.00039763-0.00014499i,-0.00025574-0.00018035i,-0.00034545+0.00021794i,0.00016945-0.00021174i,0.00098646-0.00027448i
0.00014203+0.00059325i,0.00015815+6.7298e-05i,0.00078407-0.00062771i,0.0013701-0.00054363i,0.000393-0.00071498i,-0.00011927-0.0011065i,-0.00023078-0.00088006i,-0.00095672-0.00015823i,-0.0010199-0.00023667i,-0.0011216-3.18e-05i,-0.0014433+0.00093579i,-0.0011593+0.00074585i,-0.00093948-0.00028892i,-0.00064711-0.00042029i,-0.00054294-9.9167e-06i,0.00025916-0.0007347i,0.00095623-0.0010497i,0.00020487-0.0010809i,-5.3096e-05-0.00090919i,0.00021916+2.6289e-05i,-5.618e-05+0.00020131i,-0.00018106-0.00062343i,-7.1811e-05-0.0011076i
-0.0014783-0.00080659i,-0.0021065-0.0012843i,-0.0032262-0.00067633i,-0.002534+7.5473e-05i,-0.0019317-1.5638e-05i,-0.0016596-6.106e-05i,-0.00099818+0.00016404i,-0.0010043+0.00033979i,-0.001354+0.00031232i,-0.00089553-9.6684e-05i,-0.00099884-0.00015782i,-0.00079012-9.6086e-05i,-0.00060925+0.00019802i,-0.00040373+0.00061261i,0.0004047+5.7918e-05i,0.00073058-0.00030492i,0.00052008-0.00045924i,0.00098592+1.5568e-05i,0.00081838+0.00050416i,-9.0829e-05+0.00044039i,-0.00055694+0.00045109i,5.3334e-05+0.00040195i,0.00010236+0.00045018i
0.00037262-0.0016085i,8.0808e-05-0.0012389i,-0.00085994-0.0011448i,-0.00073576-0.0011329i,-2.1616e-05-0.0012053i,0.00017226-0.00093927i,-4.877e-05-0.0010868i,-0.00029864-0.0011043i,-0.00059583-0.0008618i,-0.00073135-0.00023144i,3.768e-05+0.00016532i,0.0005732+0.00028102i,3.3649e-05+0.00015456i,-0.00019646+0.00036243i,0.00029429+0.0003673i,0.0003488-0.00035868i,0.00054062-0.00042531i,0.00083534+2.7946e-05i,0.00095364-0.00011106i,0.0013853-0.00033866i,0.00089978+0.0005824i,-0.00013255+0.00062589i,-0.00016176-0.00020816i
0.00063088+0.0017991i,0.00022323+0.0011914i,0.00065593+0.00062135i,0.0012161+0.00079122i,0.00097477+0.00022114i,0.00089571-0.001293i,3.7929e-06-0.00187i,-0.00044805-0.0010523i,-0.00040342-0.00017004i,-0.0010197+0.00066549i,-0.00049168+0.00088539i,0.00072372+0.00028829i,0.00090789-0.00069641i,0.00042345-0.0013406i,0.00037827-0.0010465i,0.00042679-0.0004543i,4.7057e-05-0.00059472i,-0.00076204-0.00029249i,-0.00058733+3.1918e-06i,0.00071326-0.00031948i,0.0010651+0.00011386i,0.00025366+0.00078409i,-0.00038394+0.00045544i
0.0019909-0.00022419i,0.0019662+0.00036589i,0.001969-0.0009002i,0.0013849-0.0019794i,0.00049874-0.0018864i,7.9846e-05-0.0016525i,-6.173e-05-0.00055294i,-0.00020467+0.0001201i,-0.00039296-0.00048193i,-0.00068605-0.0010814i,-0.00105-0.00035901i,-0.00068166+0.00040797i,2.423e-05-0.00014408i,0.00013223-0.00076932i,-0.00015416-0.00040295i,-0.00032768-0.00011822i,-0.00021009-0.000156i,0.00011565-3.1073e-05i,0.00020606+3.5063e-07i,0.00045461-0.00015373i,0.00094567+2.5453e-05i,0.00020056-6.1238e-06i,-0.00015751-0.00016109i
0.0027958+0.0010685i,0.0023807-9.25e-06i,0.0020951-0.00017813i,0.0015884-0.00014857i,0.00031668-0.0011487i,-0.00034942-0.00084332i,-0.00021229-0.000535i,0.00032351+7.7182e-05i,0.00034465+0.00075539i,-0.00045444+0.00065448i,-0.00088642-8.7871e-05i,-0.00035626-0.0009662i,-0.00017526-0.00086277i,-0.00083906-0.00075693i,-0.00082416-0.00055846i,-0.00036572+0.00045626i,-6.3118e-06+0.00093607i,0.00074382+0.0003774i,0.00024176+0.00040202i,-0.00026812+0.00059531i,0.00045879+0.00064431i,0.00046226+0.00065734i,2.3209e-05+3.7295e-05i
7.3619e-06+0.00026727i,-9.3602e-05+0.00098521i,0.00030191+0.00069531i,0.00071676+0.00031963i,0.00083303-0.00029554i,0.0015117-0.00074565i,0.0016736+0.00010489i,0.00058069+0.00087108i,-0.00063463+0.00066758i,-0.00090619+0.0001113i,-0.00074109-0.00024894i,-0.00085799-0.00097941i,-0.0010732-0.0013357i,-0.00072433-0.0009741i,-0.00018115-0.00065976i,0.00044707-0.000503i,0.00076081-0.00018248i,0.00063287+0.00013132i,0.0005398+0.00011928i,0.00089773-0.00020898i,0.00050015-0.00076616i,0.00037828-0.00079015i,0.00013319-0.00027033i
0.0020954-0.00010729i,0.0024603-0.0001966i,0.0025051-0.00047067i,0.0019614-0.0010376i,0.00069272-0.0019062i,-7.4334e-05-0.0019418i,0.00024064-0.00087571i,0.00064905-2.0534e-05i,1.5594e-05-0.00068289i,-0.00073677-0.0005635i,-0.00076928+0.00035753i,-0.00043961+0.00070477i,-0.00027+0.00078367i,-0.0001067+0.00017129i,1.0754e-05-0.00039829i,0.00054381+0.00018178i,0.000989+0.00098919i,0.00046827+0.00061281i,-8.9799e-05-0.00014034i,0.00034677-0.00070818i,0.00034284-0.00052662i,-0.00044867-0.00024688i,0.00057476-0.00055104i
0.0022889+0.00023429i,0.0019778+0.00049679i,0.0021881-0.0010516i,0.0016851-0.0018279i,0.00060431-0.0017983i,-3.1288e-05-0.0019133i,7.1402e-05-0.00079621i,-4.6615e-05+1.7072e-05i,0.00029547-0.00013861i,0.00021047-0.00032379i,-0.0001406+0.00028598i,0.00024726-0.00017722i,0.00067253-0.0012193i,0.00024537-0.00065632i,-0.00012142-0.00034102i,0.00017477-0.00083683i,-5.611e-05-0.00039045i,-0.00050922+0.00055893i,0.00028025+0.00070232i,0.00096592+0.00043992i,0.00054204+0.00015283i,-9.2599e-05+5.0707e-05i,-0.00023714-0.00036355i
