0.00030352-0.0011964i,0.0014151-0.002462i,0.0012972-0.0040889i,-6.7673e-05-0.003789i,-0.00012172-0.0016883i,0.0011012-0.00027549i,0.0010638-2.8196e-05i,0.00077388-3.5384e-05i,0.0011316-0.00026955i,0.00078633-0.00068076i,9.7353e-05-0.00082665i,-0.0002273+0.00016471i,0.0001466+0.00059049i,0.00044561+0.00030169i,0.00013894-0.00043507i,-0.00060565-0.0012718i,-0.0010525-0.0011317i,-0.00074815-0.00086938i,-0.00016729-0.00085065i,0.00024975-0.00028461i,-0.00037498+0.00021713i,-0.00052601+4.4748e-05i,-2.2344e-05-2.0216e-05i
0.0014728-0.0011171i,0.0014429-0.0010478i,0.0010331-0.0021219i,0.00012951-0.0020481i,-0.00052615-0.0014336i,0.00012128+3.9335e-05i,0.00021082+0.0010188i,0.00037749+0.00084658i,0.00034836-2.839e-05i,0.0002546-0.00098169i,2.934e-06-0.00093313i,-5.7702e-05-0.00080349i,-0.00037893-0.00063787i,-0.00054411-0.00049044i,0.00060309-0.00031353i,0.00094953-0.00033705i,0.00010396-0.00077692i,-0.00061043-0.00075193i,-0.00066647-0.00017926i,-0.00018398-0.00011937i,0.00030347-0.00024076i,0.00062798-0.00029846i,0.00039208-0.00042497i
-0.00043379+0.0004086i,-0.00038083-0.0012628i,0.0010908-0.0029521i,0.0010512-0.0035574i,0.00031948-0.0031547i,-0.00049513-0.0017352i,-0.00050993+0.00016518i,0.0002623+0.00024167i,0.0010169-0.00067146i,0.0010994-0.00077302i,0.00052006-0.00034581i,-0.00014545-0.00027i,0.00037459-0.00068978i,0.0016385-7.6195e-05i,0.0018511+0.00045526i,0.0013783-0.00013262i,0.00078458+5.5983e-05i,0.00013842+0.00069632i,-0.00014601+0.00064181i,-0.00031971+0.00056334i,-0.00052531+0.0010625i,-0.00071013+0.00039616i,-0.00036104-0.00021295i
-0.00015684-0.001043i,0.00085505-0.0027498i,0.00072759-0.0041719i,0.00012877-0.0036161i,-0.00010938-0.0015623i,-0.00091444-0.00010569i,-0.00080451+0.00045014i,-0.00014959+0.00078838i,0.00014055+0.00046341i,0.00077685+0.00060857i,0.00084349+0.00057783i,0.00024272-0.00012878i,5.5822e-05-0.00067248i,0.00027519-0.00077895i,-9.4699e-05-0.00089177i,-0.000185-0.0010596i,4.5616e-05-0.00021367i,-0.00040346+0.0011925i,-0.0010596+0.0012421i,-0.00033811+0.0007835i,6.2322e-05+0.00058827i,-0.00054919-8.7234e-06i,-0.0008982-3.5143e-05i
0.0015292-0.0019522i,0.0023624-0.0029894i,0.0014965-0.0033768i,-0.00053757-0.0029701i,-0.0015263-0.0013974i,-0.0010571-7.2026e-06i,-0.0003895+0.0003788i,-0.00012698+0.00060636i,0.00040845+0.00018584i,0.00036872+0.00025974i,-9.9466e-05+0.00018421i,0.00015636+3.3045e-05i,-0.00011439+0.00033232i,0.00011673+0.00062744i,0.00020653+0.00066493i,-0.00029523+4.838e-05i,-0.00022599-0.00035731i,-1.2893e-05+0.00031211i,-0.00012824+0.00045194i,-0.00028463-6.3969e-05i,0.00022373-0.00087687i,5.779e-06-0.00084237i,0.00014705-0.00022965i
-0.0002611-0.00071356i,-0.00010782-0.0019192i,-0.00031668-0.00304i,-0.00034944-0.0020872i,-0.0006397-0.0005716i,0.00023378-0.00030534i,0.0010114-0.00020866i,0.00083935+5.0116e-05i,0.00095675-0.00044398i,0.00047258-0.0004427i,3.2914e-05+0.00042174i,4.6948e-05+0.00067597i,0.00034442-0.00022424i,0.00088569-0.001264i,0.00066816-0.0012292i,-0.00015866-0.00063503i,-0.00066311-0.00072372i,-0.00070402-0.00057272i,-8.0247e-05+0.00014729i,0.00018805+0.00013525i,-3.4377e-05+0.00060598i,2.7085e-06+0.00066311i,-5.703e-05-0.00014073i
0.00040898-0.0010858i,0.00074078-0.0023093i,0.0016322-0.0036595i,0.00072236-0.0033642i,-0.00020508-0.0016078i,0.00013281+0.0002146i,-0.0001764+0.00083225i,-0.00042805+0.00021654i,-0.00011854-0.00056286i,-0.00013678-0.0017732i,-0.00017237-0.0013041i,3.3557e-05+3.7597e-05i,0.00035604+0.00054933i,0.00081692+0.00053789i,0.00043902+0.00052348i,-1.11e-05+0.00031433i,1.2589e-05-0.00032056i,-0.00039634-0.00050488i,-0.0004896-0.00042598i,-5.4227e-05-0.00022246i,-0.00060895-9.3941e-05i,-0.00090757-0.00022666i,-0.00066275+0.00033593i
-0.00015019-0.0010101i,0.00080346-0.0023635i,0.0015483-0.0051127i,0.00082726-0.0054806i,6.9937e-05-0.0030298i,0.00023482-0.00088772i,0.00066875+0.00017933i,0.00090977+0.00064263i,0.00084392+8.9071e-05i,0.00052228-0.00072923i,-2.3629e-05-0.00081721i,0.00047342-0.0005423i,0.00057881-0.00021721i,-0.00061864-0.0006543i,-0.00042834-0.0012748i,0.00054935-0.0013599i,-8.3404e-05-0.00084096i,-0.0014105+0.00060518i,-0.0012302+0.0015242i,-0.00054787+0.0015154i,-0.00012213+0.00058737i,5.9047e-05+0.00012966i,-0.0002273+0.0004038i
4.6229e-05+4.4433e-05i,0.00086225-0.0020019i,0.0008209-0.0034547i,3.42e-05-0.0037962i,6.9194e-05-0.0021659i,0.00033861-0.00074297i,-2.7107e-05-3.698e-05i,0.00033552-0.0005856i,0.00087116-0.00084231i,0.00072939-0.0006849i,0.00078999-0.00022923i,0.0006176+0.00019409i,0.00068356+5.2558e-05i,0.00086285+0.00010159i,0.00038231+0.00020253i,0.00033647-0.00011263i,0.00059016-0.00045191i,0.00027184-0.0001977i,-0.00017522-0.00012878i,0.00012903-0.00039834i,0.00015818-0.00059388i,-0.000108+3.787e-05i,-0.00035783+0.00032342i
0.00029836+0.0006109i,0.0017586-0.0023605i,0.0037138-0.0038455i,0.003456-0.0039652i,0.0024723-0.0034946i,0.0011663-0.0021921i,0.00061895-0.0008878i,-2.39e-05-0.00075255i,-0.00028233-0.0017684i,0.0003054-0.0013907i,0.00082017-0.00037517i,0.00036742-0.00019422i,0.00015481-0.00018756i,-0.0001682-4.5667e-05i,-0.00022148-0.00029814i,0.000296-0.00037955i,2.3737e-05+0.00014544i,-0.00016445+0.00067348i,-0.00083564+0.0014067i,-0.0004576+0.0012977i,0.00045577+0.00050626i,3.3893e-05+0.00019594i,-0.0004474-2.1171e-05i
0.0007286-0.0006336i,0.00023667-0.0014368i,2.5086e-05-0.0027835i,-0.00038766-0.0034184i,0.00032851-0.0019591i,0.00092675+0.0010876i,0.00046559+0.002018i,0.00035307+0.0010145i,0.00083042-0.00055784i,0.00069115-0.0017469i,0.00020797-0.0013373i,0.00046947-0.00028681i,0.00056091-0.00041228i,0.000923-0.0011337i,0.0014691-0.00088221i,0.00031325-0.00042406i,-0.00090296-0.00032821i,-0.0015917-0.00017816i,-0.0018409-0.00033739i,-0.0011968-0.00030971i,-0.0005657+7.745e-05i,0.00014019+0.00079984i,0.00042157+0.00064595i
0.00054883-0.0010468i,0.00056807-0.0022001i,0.00035369-0.0035644i,0.00010657-0.0035767i,-0.00053173-0.0024037i,-0.00017135-0.0007431i,0.00014509-0.00017369i,0.00017479-0.00043382i,0.00087898-0.0010378i,0.00079544-0.00048511i,0.00011321+0.00016685i,-0.00019818+0.00045127i,-0.00028153+0.00077544i,-0.00045177+0.00077049i,-0.00025931-0.00011767i,-0.00013304-0.00033433i,-0.00019471+0.00041768i,-0.00105+0.00040464i,-0.0012469-0.00021556i,-0.00052822-2.2561e-05i,0.00019714+0.00036323i,0.00065019+0.0002312i,0.00037556-0.00015299i
0.0011054-0.0014588i,0.00037679-0.0029456i,0.00057486-0.0044691i,0.00018586-0.0036573i,-0.00039914-0.0020199i,-0.0002989-0.0007894i,6.6632e-05+0.00016354i,0.00020719+0.00077125i,0.00046762-0.00042419i,0.00084969-0.0013849i,0.0015236-0.00099857i,0.0016774-0.00024105i,0.0009367+1.9769e-05i,0.00059064-0.00027099i,0.00011308-0.00029044i,-0.00073221-0.00012175i,-0.00065666-0.00012646i,-0.00019784-0.00060519i,7.0386e-05-0.00077233i,6.9974e-05-0.00092819i,0.00031881-0.0010864i,0.00019225-0.0011601i,-0.0001184-0.0011301i
0.0019616+0.0004062i,0.0013967-0.00095935i,0.0010459-0.0042319i,1.9042e-05-0.004697i,-0.00043128-0.0025247i,0.00026762-0.0011908i,0.00019358-0.0005558i,-0.00016431-0.00044108i,0.00019393-0.00027351i,-0.00010627-0.00027552i,-0.00034617-0.00025261i,-0.00017253+0.00012428i,-0.00029346-0.0005409i,0.00010315-0.0014998i,0.00078136-0.001067i,0.00087251-0.00055893i,0.00016188-0.0013819i,3.8269e-05-0.001179i,-0.00029061+0.00049976i,-0.00089303+0.00039049i,-0.00074562-0.00042799i,-0.00043017-0.001115i,-0.00037082-0.0010244i
-0.00075128-3.5775e-05i,-4.1791e-05-0.0012773i,0.00066407-0.0026413i,0.0013525-0.0028924i,0.0017301-0.0019527i,0.00093961-0.0011295i,2.2898e-05-0.00049117i,-0.0003321-0.00067084i,0.00063767-0.0010896i,0.0012442-0.00065184i,0.00038645-0.00012056i,0.0006238-0.00030638i,0.00092411-0.00051464i,0.00029185-0.00035129i,0.0007072-0.00062641i,0.0011172-0.00074454i,0.00055169-0.00061697i,-0.00025578-0.00012622i,-0.00026522+8.4612e-05i,-0.00015208-0.0003933i,-0.00043304+8.5445e-05i,-0.00030223+0.00071765i,-9.9518e-05+0.00010041i
-0.00045361-0.00051181i,-0.00011096-0.0023639i,0.00099618-0.0031263i,0.00089736-0.002827i,0.00018671-0.001933i,-5.0617e-05-0.00059923i,-0.00018536+9.323e-05i,0.00021279-0.00015072i,0.0010095-0.00022585i,0.00060008-0.00034397i,-0.00026894-0.00052061i,-0.00029111-2.8493e-05i,0.0003441+0.00045403i,0.0005106+0.00062193i,0.00046393+0.00036749i,0.00091487+0.00014285i,0.00029784-0.00026986i,-0.00017822-0.00082037i,0.00028046-0.00050128i,-0.00026212-2.5366e-06i,-0.00053313+0.00035255i,0.00015369-8.3318e-06i,0.00048374-0.00058228i
0.0011236-0.00090345i,0.001838-0.0017528i,0.0018328-0.0036145i,0.0010258-0.0043267i,0.00011793-0.0035898i,7.4605e-05-0.0022006i,-0.00040916-0.00063i,-0.00033557-3.3964e-05i,0.00043667-0.00042114i,3.1205e-05-0.00059575i,-0.0002925-0.00082414i,0.00022725-0.0013527i,0.00042192-0.0008228i,0.00019357-0.00012163i,0.00022356-0.00012022i,0.00025798+0.00016669i,-0.00032857+5.5068e-05i,-0.0007182-0.00023061i,-0.00096789-0.00053019i,-0.0010893-0.00088987i,-0.00046848-0.0010176i,2.0752e-05-0.00074813i,0.00017379+1.1856e-06i
0.0013038+0.0004374i,0.00036195-0.0013402i,0.00065582-0.0038627i,0.00082715-0.0040036i,-0.00032709-0.0019752i,-0.00075928-0.00040723i,0.00027894+0.00032143i,0.0005259+0.00010039i,0.00022679-0.0002026i,0.00018287-0.00068428i,-0.00029653-0.00057437i,-0.00025154+0.0001724i,0.00022486+0.00064465i,0.0011505+0.00011395i,0.00066926-0.00024011i,-0.0002163-4.945e-05i,0.0002381-0.00056659i,9.7513e-05-0.00041606i,-5.3323e-05+0.00037897i,-0.00050803+0.00018974i,-0.00069058-0.0013819i,0.00018537-0.0016115i,0.00037788-0.0001214i
