-0.0027094-0.00057608i,-0.003571+0.0012878i,-0.0044126+0.0029995i,-0.0030103+0.0033599i,-0.00072254+0.0033449i,0.00022526+0.0023638i,-9.0091e-05+0.0013985i,-0.00016842+0.0013131i,0.00062377+0.0005359i,0.0011039-0.00018034i,0.0014928-0.00043646i,0.0013672-0.00068281i,0.00078984+1.2553e-05i,0.00090165+0.00046409i,0.00033875+0.00044211i,-0.00027473+0.00055797i,-0.00053856+0.00010211i,-0.00011541-0.00061426i,0.00036168-0.00057928i,0.00017452-3.9097e-06i,6.0956e-05+0.0004511i,3.9626e-05-6.561e-05i,-1.2366e-05-0.00052752i
-0.0013439+0.00087263i,-0.00072412+0.00047495i,-0.00016109+0.00084096i,-0.00041725+0.0014264i,-0.00036457+0.0015097i,-0.00051384+0.00050771i,-0.00080439-0.0002185i,-0.00034943-9.0927e-05i,-0.00019155+0.00010632i,1.0661e-05+0.00063556i,0.00023129+0.0010695i,0.00041531+0.0010966i,0.00045223+0.00079745i,0.00029811-3.6203e-05i,0.00098767-0.00078553i,0.0011071-0.0008198i,0.00036246-0.00024654i,0.00042917-0.00010705i,0.00054272-0.00072424i,-0.00036483-0.00086607i,-0.001175-0.00051812i,-0.0006672+0.00043107i,-0.00013193+0.00088501i
4.7266e-05+0.00067909i,-0.00091973+0.0014014i,-0.00075476+0.00096715i,-0.0010032+0.00040198i,-0.0012662-0.0007891i,-0.0020032-0.0010873i,-0.0016403-0.00018007i,-0.00079961+0.00018297i,-0.0006987-4.9337e-06i,-0.00053342+6.0004e-05i,5.5961e-05+0.00037301i,0.00070505+7.9756e-05i,0.00069156-2.8391e-05i,-0.00040544-7.88e-05i,-0.0011694-0.00023549i,-0.00062343+0.0004421i,-0.00018093+0.0008522i,-0.00041635+0.00021604i,-0.00039289-0.00058109i,-0.00049087-0.00097989i,-1.077e-05-0.00070402i,-0.00023674-0.00097814i,-0.0005171-0.001384i
0.0009658-0.0011639i,0.00091763+0.00030396i,0.00062703+0.00080284i,-0.00029247-0.00022481i,-0.00070359-0.00048968i,-0.00049222-0.00021129i,-0.00093156-0.00070712i,-0.00086404-0.0010309i,8.2581e-05-0.00050464i,0.00019736+0.00014701i,-5.6677e-05+0.00038114i,-0.00026892+0.00043354i,-0.00072459-0.00044452i,-0.00091954-0.00045838i,-0.00086971+0.0003173i,-0.00070748+0.00021469i,-0.0004373+0.00015096i,-3.7167e-05+0.00053843i,0.00048535+0.00031306i,-4.6131e-05+0.00053578i,-0.00077083+0.00040124i,-0.00042314-7.7672e-05i,0.0001048-0.00073884i
0.001205+0.00076819i,0.0004691+0.00082037i,-0.0011017+0.00084701i,-0.00054476+0.00010191i,0.0004377-0.00052684i,0.00030818-0.00050407i,-0.00079632+0.00057073i,-0.001261+0.0011961i,-0.0008286+0.0012167i,-4.9337e-05+0.00056437i,0.00064598+0.00027971i,0.001235+0.0008137i,0.0016726-0.00020116i,0.0010113+0.00014121i,5.0295e-05+0.00046571i,6.5302e-05-0.00034476i,0.00031478+4.3408e-05i,0.0002548+0.00072704i,-0.00010936+0.00066532i,-0.00031731+0.00041489i,0.00014398+2.2429e-05i,0.00073115+0.00031639i,0.00075901+0.00081487i
0.00027771+0.0015373i,0.00026334+0.0020629i,0.0008128+0.00097164i,0.00093131-0.0001188i,-6.7783e-05-0.00019426i,-0.00073804+0.00012718i,-0.00049356+0.00050917i,-0.00051952+0.00050236i,-0.00010778-0.00013579i,0.00054111-0.0003333i,0.00080018-3.7187e-05i,0.00079521-0.00018474i,-0.00017941+0.0003869i,-0.0011715+0.0014246i,-0.00097615+0.0010189i,-0.00042634+9.7337e-05i,-0.00024573-0.00068653i,-0.00026194-0.00050924i,-6.4789e-05+0.00030879i,-2.0722e-06+0.00017064i,-0.00010576-0.00031867i,-4.1386e-05-0.00071089i,0.00028635-0.000772i
-0.001783+0.0017713i,-0.00076522+0.0023653i,0.00058571+0.0026152i,0.00096129+0.0013766i,-0.00016662-0.00021728i,-0.0015149-0.00072408i,-0.0013481-0.00027508i,-0.0011036+0.0007179i,-0.0010721+0.00039452i,-5.5599e-05+0.00028664i,0.00028585+0.00081744i,0.00027048+0.00058408i,0.00075475+8.3404e-06i,0.00023891-0.0010981i,-0.00079229-0.0016081i,-0.00081124-0.0013828i,-7.5262e-05-0.0004451i,0.00028742+0.00018134i,0.00077458+0.00022224i,0.00078788+0.00027363i,0.00067073-0.00013398i,-6.6991e-05-7.804e-05i,-0.00054624-0.00070997i
0.0002875-0.00029882i,-0.0015276+0.00096531i,-0.0017994+0.0017479i,-0.00038669+0.00047886i,-0.00021704+1.7259e-06i,-0.00083086+4.6044e-05i,-0.00087523-4.8766e-05i,-0.00025135-0.00050648i,0.00065951-0.00024948i,0.00046552+0.00031132i,1.9074e-05+0.00027984i,-5.0772e-05+0.00054643i,-0.00073152+0.00058135i,-0.0002866+0.00031664i,0.00072432+0.0008776i,2.1291e-05+0.00091625i,-0.00069298+0.00024972i,0.00066932-9.5389e-05i,0.0012494-0.00031331i,0.00016787-0.0003868i,6.9572e-06-0.00060258i,0.00018442-0.00048826i,8.2476e-05-0.00031754i
0.00089553+0.0017581i,0.0015002+0.0017674i,0.0014929+0.001946i,0.0013022+0.0019689i,0.0010113+0.00098651i,0.00032057-0.00025033i,-0.00020997+0.00030813i,-0.00064109+0.00086287i,-0.00024068+0.00035337i,-2.2162e-05+0.00015825i,-0.0004459+0.0013279i,-0.00018412+0.0016264i,7.9024e-05+9.0854e-05i,-0.0001933-0.00034067i,-0.00012941-4.3372e-05i,-8.9009e-05-0.00044488i,-0.00038343-0.0001204i,-0.0004143+0.00047312i,-0.00015272-0.00014886i,1.3196e-05-0.00073334i,0.00020813-0.00086538i,0.0002825-0.00020866i,-1.9197e-05+0.00019182i
0.00050683+0.0017i,0.0008029+0.0014043i,0.00098818+0.0010795i,0.00056383+0.00043118i,-0.00033863-0.0001174i,-0.0010508-8.4282e-05i,-0.00047699+5.7763e-06i,0.00022693-0.00035924i,0.0003015-0.00016398i,0.00010071-0.00012134i,-6.0114e-05-0.0002372i,0.00012379+0.00041564i,-1.9086e-05+0.00070103i,-0.00018789+0.00054486i,0.00051171+0.00037291i,0.00051288+5.3259e-05i,0.00045167+2.9637e-05i,0.0004353+0.00038688i,-0.00016216+0.00045596i,0.00016587+0.00028554i,0.00036553+0.00030251i,1.7527e-05+0.00041301i,-0.00029261+0.00010421i
-0.0024032+0.00064044i,-0.0018828+0.0020412i,-0.0011368+0.0027554i,-0.00018164+0.001494i,0.00063178+0.0013993i,0.00067744+0.00091374i,-0.00026927-0.00014189i,-0.00034057-0.00052022i,-0.00018154-0.00070204i,-0.00042432-0.00049446i,7.0555e-05+7.1476e-05i,0.00016929+0.00060086i,-0.00049172+0.00022681i,-1.0233e-05-0.00018259i,0.00016386+0.00043348i,-0.00020862+0.00026818i,5.4325e-05-3.7565e-05i,8.6587e-05-2.5889e-05i,2.7285e-05-0.00064793i,-0.00020165-0.0011921i,-0.00064981-0.0003894i,-0.00053671-0.00026281i,7.9013e-05-0.0004965i
0.00012393+0.00016523i,-0.00048144+0.00099394i,-0.0018231+0.0015586i,-0.0013812+0.00025448i,-0.00038206-0.00045533i,-0.0010983-0.00012272i,-0.001367-2.5872e-05i,-0.00036495+0.0002404i,0.00033077+0.00031003i,-1.1749e-05+0.00043962i,-2.3599e-05+0.0011612i,0.00017268+0.0010884i,0.00056454+0.00015359i,0.00057865-0.00036943i,0.00027513-3.8931e-05i,0.00023442-0.00061269i,0.00050172-0.0010343i,0.00065169-0.00067443i,-0.00032562-0.00080362i,-0.001036-0.00088435i,-0.0010261-0.00064133i,-0.00066525-0.00087209i,-0.00057467-0.00090825i
0.00056691+0.0013483i,-6.9967e-05+0.0015045i,0.00017054+0.00083109i,0.00032126+0.00099661i,-0.00038648+0.00086298i,-0.000923-0.00019962i,-0.00087803-0.00082317i,-0.00059959-0.00020948i,0.00012143+7.3297e-07i,0.00062325-0.0002732i,0.00016844+0.00029338i,0.00014038+0.0011296i,0.00081269+0.0012476i,0.0010057+0.00060943i,0.00027447+0.00019869i,-1.4325e-05+0.00063586i,0.00012772+0.00050796i,-0.00098743+0.0005736i,-0.0012154+0.0005862i,-0.00044622+0.00032753i,-0.0001861-0.00020356i,7.0508e-05-0.00037398i,-2.6957e-05+0.00076489i
0.0011072+0.0010126i,0.0016267+0.00238i,0.00078061+0.0017133i,-0.0002024+0.00071995i,-0.00015048-0.00027818i,0.00030515-1.7697e-05i,-0.00065985+0.00020196i,-0.0011874-0.00027319i,-0.0011715+0.00036247i,-0.001536+0.00051318i,-0.0012758-0.00015775i,-8.7622e-06+8.3049e-05i,0.00072696+0.00098253i,0.00036763+0.0012151i,-0.00011224+0.00070604i,-2.1994e-05-0.00036623i,0.00035492-0.00044217i,0.00068448+3.2684e-05i,0.00072878+0.0001968i,0.00048099+0.00035923i,0.00050192+0.00015577i,0.0003252+0.00012027i,0.00025038-0.00041819i
0.00011775+7.0435e-05i,-0.00067375+0.00058507i,0.00011315+0.000639i,0.0010245-2.497e-05i,0.00044698-0.00029698i,-0.0011781-0.00015346i,-0.0015026+0.00057774i,-0.00034082+0.0011358i,0.00034477+0.00078174i,-0.00011426-8.539e-05i,-7.6689e-05-0.00052628i,-0.00017594+0.00022626i,-0.00038413+0.00013363i,0.00017256+0.00037867i,0.00037193+0.00063323i,2.49e-05+0.00044692i,2.5984e-07+0.00014674i,9.603e-05-0.0003062i,-0.00020076-0.00026624i,2.6176e-05-0.00052098i,0.00053509-0.00095578i,0.00037178-0.00066616i,5.872e-05-0.00029113i
-0.0016546+0.0016373i,-0.0016301+0.002193i,0.00053171+0.0019896i,0.0016274+0.0017615i,0.00035064+0.0010433i,-0.001043+5.5758e-05i,-0.00085608-0.00030602i,-9.1325e-05-2.5788e-06i,1.2644e-05+0.00080293i,-0.00019594+0.00082656i,-0.00030127+0.00048654i,-0.00056228+0.00048392i,-0.0005546+0.00032173i,-0.00070513+0.00023689i,-0.00079685+0.000336i,-0.00029006+0.00016842i,0.00072697+0.00020615i,0.00080489+0.00054287i,-0.00021399-8.0617e-05i,-0.0011478+3.5003e-05i,-0.00084484+0.00028174i,-0.00062025-3.8836e-05i,-0.00040204-0.00035051i
0.0021461+0.001742i,0.001534+0.0019111i,0.0016065+0.00068145i,0.0009813-0.00060564i,-0.00054013-0.00012047i,-0.0010615+0.00097352i,-0.0012398+0.0015597i,-0.00076704+0.00091934i,-0.00047376-0.00022207i,-0.0004597-0.00067534i,-0.00065094-0.00035885i,-0.00087382+0.00034182i,-0.00088338+0.0004552i,-0.00040836+0.00058166i,-7.0886e-05+0.00072418i,-0.00038028-0.0005293i,-0.00023575-0.0010189i,0.00022396-0.00029297i,0.00015228+0.00018101i,-0.00016389+0.00019568i,5.8637e-05-0.00034036i,0.00026661-0.0007323i,4.2338e-05-7.8604e-05i
-0.00029363+0.0018623i,0.00056269+0.0029468i,0.001234+0.0032752i,0.00029651+0.0024058i,0.00024034+0.0014914i,0.00031194+0.0014292i,9.8738e-05+0.0010772i,0.00030744+0.00042774i,0.00037461+0.00097477i,-0.00017585+0.0012929i,-0.00058794+0.00052456i,-0.00039567-0.00027574i,-0.00011992-0.00036727i,0.00070408-0.00035294i,0.0011083-0.00058974i,0.00085532-0.00037875i,0.00047165-0.00015515i,-0.00042407-0.00079588i,-0.00062839-0.00039021i,-0.00028301+0.00024625i,-1.5668e-05-0.00018274i,0.00047399-8.405e-05i,0.00068091-2.0292e-05i
-0.00041695+0.0023379i,-8.8509e-05+0.0032869i,0.00028474+0.0029959i,0.000694+0.00041928i,0.0007148-0.0013547i,0.00023441-0.0014721i,-0.00086425-0.0014186i,-0.0011351-0.00099931i,0.00019984-0.0003022i,0.00020498+0.00038579i,-0.00011061+0.00019785i,0.00029592-0.00044195i,0.00013962-7.3126e-05i,-0.00035007+6.2898e-06i,-0.00047399-0.00055918i,-0.00020197-0.0011753i,0.00012845-0.00088654i,-8.9034e-05-0.00036806i,-0.00038991-0.00058815i,-0.00041906-0.00062003i,-0.00022394-0.00015789i,0.0002833-0.00014231i,0.0009499-0.00056155i
-0.0010407+0.0015145i,-0.0017091+0.0009999i,-0.0013895+0.00031951i,-0.00047836+0.00072193i,-0.00028245+0.0011822i,-0.00075488+0.0014654i,-0.00067089+0.00048384i,-1.1853e-05-0.00039325i,0.00053559-0.00038042i,0.00043722-0.00089175i,0.00043256+0.00013361i,0.00035973+0.00087232i,0.00020345+0.0004722i,8.055e-05+0.00056303i,-0.00067759+0.0008799i,-0.00045863+0.00057953i,-0.00023605+0.00080289i,-0.00020114+0.00059832i,0.00045462-0.00019407i,0.00048701+0.00034206i,1.1527e-05+0.00066082i,-0.00013871-0.00010163i,0.00050945-6.539e-05i
-0.00079446+0.0005546i,-0.00027944+0.0017422i,0.00089865+0.0018207i,0.00036064+0.00047632i,-0.00056862-0.00074773i,-1.2227e-05-0.00091087i,6.0424e-05-3.311e-05i,-5.8801e-05+0.00063834i,0.00014926+0.00047491i,0.00017317+0.00073474i,-0.00016253+0.0011119i,-0.00032158+0.0011065i,0.00028514+0.00038533i,0.0004165+0.00014043i,-0.00025158-3.8355e-05i,-0.0015275-0.00029231i,-0.0013334+0.00039687i,-0.00035382+0.00050197i,-0.00075571-6.1158e-05i,-0.00095813-0.00094251i,7.3441e-05-0.0014346i,0.00013852-0.0011976i,0.00017783-0.00048422i
0.0013587+0.0014353i,0.00056549+0.0022648i,0.00097462+0.002349i,0.00099612+0.00053025i,9.8488e-05-0.00081277i,-0.00042982-0.0010208i,-0.00062677-0.0009627i,-0.00066117-6.8107e-05i,-0.00058969+0.00028167i,-0.00079327+0.00013714i,-0.00066811+5.1752e-05i,-0.00022533+0.00022555i,0.00061766-0.00019834i,0.0010312-0.00022092i,0.00090787+2.7245e-05i,0.00066126-0.00020172i,0.00011657-0.00028007i,9.5324e-05+0.00021133i,0.00039652+0.00073613i,-0.00031459+0.00093785i,-0.0008125+1.1913e-06i,-0.00070837-0.0011821i,-0.00086384-0.0012496i
0.0021505+0.00089804i,0.0020223+0.0004011i,0.0019677-0.00058839i,0.0010307-0.0010756i,-0.00094597-0.00074554i,-0.0025595+4.2691e-05i,-0.0021283+0.00095671i,-0.0011982+0.0013363i,0.00014013+0.00077836i,0.0013972-0.00048559i,0.0011384-0.00083748i,0.00020734-0.0005362i,-0.00062459+0.00016392i,-0.00057467+0.0011331i,-0.00040508+0.0012156i,-0.00048883+0.00081779i,-0.00046342+0.00018244i,-0.00028063-8.6281e-05i,-0.00010585-0.00016319i,0.00037711-0.00016137i,0.00091247+2.8504e-05i,0.00067326-0.00012303i,0.00030955-8.681e-05i
-0.0013265+0.0012061i,-0.0010043+0.0015471i,-0.0011608+0.0017482i,-0.00039133+0.0019422i,0.00044257+0.0017399i,-0.00010152+0.00091716i,-0.00036831+0.00016722i,1.8015e-05-0.00014288i,-0.00075501-0.00024092i,-0.0014298-0.00024102i,-0.00080047+0.00024405i,8.8041e-05+0.00037142i,6.8331e-07-3.1544e-05i,3.6474e-05-0.00057026i,0.00064211-0.0003931i,0.0003408+0.00021555i,0.0001108+0.00021072i,0.00080375+5.9078e-05i,0.00041056+0.00041941i,-0.00036342+0.0002107i,-9.6016e-05-0.00021436i,1.5493e-06-0.00024558i,8.3084e-05+8.6551e-05i
0.00089367+0.0017779i,0.0015793+0.0028934i,0.0015556+0.0023959i,0.00092603+0.00090212i,0.00029494+0.00053329i,-0.00033426+0.0011088i,-0.00075671+0.0011954i,-0.00053508+0.00038411i,-0.00019789+0.00011739i,-5.4041e-05+0.0004483i,-7.183e-05+0.00011798i,0.00015375+1.2013e-05i,0.00047902+0.00044351i,0.00036206+0.00055098i,-0.00059275+0.00023585i,-0.00076223-0.0015474i,0.00017098-0.0018301i,-2.9366e-05-0.00075171i,-0.00027173-0.00025111i,0.00062857+0.00011803i,0.0011438+0.00099171i,0.0002774+0.00063954i,-1.8849e-05-0.00041517i
-0.0016461+0.0013804i,-0.001149+0.0035489i,-0.00054569+0.0026567i,-0.00048101+0.00074763i,0.00027305+0.00028573i,0.00041199+9.552e-05i,-0.0012468-0.00035565i,-0.0010828-0.00036147i,-0.0004251+0.00017922i,-0.00077193+0.0011314i,-0.00061754+0.0012845i,-0.00016111+0.00082153i,-0.0004801+0.001038i,-0.00056255+0.00097206i,5.1442e-05+0.00020148i,-0.00016504-3.3507e-05i,-0.001085+0.00014583i,-0.0014594+0.0003183i,-0.0010933-0.00030808i,-0.00048986-0.00054186i,-3.687e-05+3.9734e-05i,3.9296e-06+3.8144e-05i,0.0005966-0.00019084i
-0.0004013+0.0012664i,-0.0013696+0.0022361i,-0.0018037+0.0020685i,-0.0015875+0.00064441i,-0.0016013-0.00041776i,-0.0017877-0.0011501i,-0.0015062-0.0010368i,-0.00053284-3.6767e-06i,0.00081562+2.9565e-05i,0.0010663-0.0005129i,0.00062608+0.00016113i,0.00049896+0.00026738i,0.0001802-1.7078e-05i,-0.00047672+0.00019306i,-0.00027159-0.0002895i,-0.00037274-8.2002e-05i,-0.00033696+0.00062076i,0.00046226+0.00069011i,0.00058487+0.00013092i,0.00023047-0.0003618i,-9.5603e-05-0.00059495i,7.0716e-05-0.00066314i,-0.0004972-0.00012153i
-0.0002474+0.0013041i,-0.00086885+0.0015572i,-0.00035064+0.0013091i,-0.00047133+0.00092255i,-0.0011133+0.00061818i,-0.00083445-0.00022112i,-0.00053637+4.8056e-05i,-0.00018607+0.00090204i,-9.0474e-05+0.0003944i,-0.00073647-0.00032101i,-0.00075244-0.00061194i,0.00012824-0.00026997i,0.00041923-7.3399e-05i,-2.1958e-06-0.00017896i,0.00030485-0.00058769i,8.5736e-05-0.00030649i,-0.00045806-0.00013975i,-0.00060633-0.00045138i,-0.00044265+1.8204e-05i,0.00020322+0.00060101i,-0.00015699+0.00017531i,-0.00039717-0.00033138i,-4.1454e-05+2.4481e-05i
0.0020092+0.00041356i,0.0024271+0.00044177i,0.0019631+0.00097936i,0.00049747+0.0013012i,-0.00087716+0.0010599i,-0.0011707+0.00061554i,-0.00056383+0.00046264i,-0.00022553+0.00018512i,-0.00036561-0.00028907i,-0.00079512+0.00055574i,-0.0011385+0.00099248i,7.2801e-05+0.00049785i,0.00048568+0.00021391i,-0.00040619-3.8198e-06i,-8.0458e-05-0.00019999i,0.00043132-0.00016512i,0.00047937+0.00032668i,0.00047413+0.0003647i,0.00040874-0.0001964i,0.00073725-0.00039695i,0.00094529-0.00055521i,0.00086991-0.00048081i,0.00021742-0.00055217i
