-0.0027094-0.00057608i,-0.003571+0.0012878i,-0.0044126+0.0029995i,-0.0030103+0.0033599i,-0.00072254+0.0033449i,0.00022526+0.0023638i,-9.0091e-05+0.0013985i,-0.00016842+0.0013131i,0.00062377+0.0005359i,0.0011039-0.00018034i,0.0014928-0.00043646i,0.0013672-0.00068281i,0.00078984+1.2553e-05i,0.00090165+0.00046409i,0.00033875+0.00044211i,-0.00027473+0.00055797i,-0.00053856+0.00010211i,-0.00011541-0.00061426i,0.00036168-0.00057928i,0.00017452-3.9097e-06i,6.0956e-05+0.0004511i,3.9626e-05-6.561e-05i,-1.2366e-05-0.00052752i
0.0026524-0.0018752i,0.0024856-0.0018512i,0.0018852-0.0013716i,0.00070587-9.9661e-05i,-0.000671+0.00062607i,-0.0010601+0.00080124i,-0.0012871+0.00055677i,-0.00054662+0.00072236i,0.00029448+0.00062414i,-0.00096382-0.0002149i,-0.0015115-0.00037666i,-0.00052662-0.00036619i,0.00013711-6.5032e-05i,0.00041667+0.00076714i,0.00022446+0.0012259i,-0.00012132+0.00056886i,-0.00034861-0.00018819i,0.00017024-0.00033302i,0.00071085+0.00025272i,0.001075+0.00052098i,0.0013175+6.9656e-05i,0.00086026+0.00016836i,0.00019632+0.00072014i
0.0010544+0.0027575i,0.00046509+0.0036097i,-0.00085641+0.0033895i,-0.0016238+0.0018787i,-0.0011636+0.00023991i,-0.00055665-0.00077121i,-0.00042324-0.0011373i,-8.7455e-05-0.00013403i,0.00014918+0.00032773i,-7.9243e-05+0.00017382i,0.0003354+0.000668i,0.0004841+0.00095597i,0.00015344+0.00057668i,-0.00051408+0.00028714i,-0.00046873-0.00013765i,6.3303e-05-0.00059795i,-0.00028583-0.00012362i,-0.00084751+0.00027894i,-0.00030911-1.9491e-05i,0.00014952-0.0003138i,0.00046994-0.00015106i,0.00066509+3.4468e-05i,0.00045138+0.00048596i
0.0002617+0.0022562i,0.00012269+0.0019033i,0.00092611-0.00057766i,0.00068365-0.0015475i,0.00016364-0.0005853i,-0.00095513-6.4607e-05i,-0.0011856+0.00055661i,-0.00048157+0.0011358i,0.00014032+0.00048929i,-0.00021402+0.0001406i,-0.00082016-0.00029669i,-0.00050896+0.00019718i,-4.3753e-05+0.00037543i,-0.00033119-0.00031961i,-6.1528e-06-0.00026907i,0.00077395+0.00069872i,0.00013389+0.0010582i,-3.2184e-05+0.00026591i,0.00099428+0.00037002i,0.00062602+0.00041113i,-0.00040049-0.00015898i,-0.00027289-2.0678e-05i,-0.00020729-0.00033667i
-0.00073019+0.0015836i,0.00029858+0.0028937i,0.0011873+0.003292i,0.00077299+0.00078814i,0.00028331-0.0018628i,0.00010405-0.0019443i,-0.00069703-0.0014662i,-0.00088551-0.00048613i,-0.00034674-0.00043004i,0.0002178-0.00067507i,7.5741e-05-0.00014897i,-0.00046578+0.0004853i,-0.00054818+0.00063604i,-0.00028552+6.8117e-05i,9.4287e-05-0.00050665i,0.00062319-0.0007165i,0.0002282-0.00024585i,-0.00075345+0.00048375i,-0.00083879+0.00046017i,0.00014415+0.00017746i,0.00020874+0.00016027i,-0.00010255+1.5806e-06i,-0.00035931+3.3875e-05i
0.0024528+0.00014752i,0.002696-0.00037152i,0.0019737-0.00019357i,0.0015024+0.00029392i,0.00048084+0.00086013i,-0.00053704+0.0010357i,-0.0006581+0.00088131i,-3.1206e-05+0.00086194i,0.00067657+0.0012186i,-0.00023698+0.00051815i,-0.00089135+0.00016649i,-0.00034006+1.5326e-05i,-0.00024453-9.3659e-05i,3.4738e-05+0.00060249i,-0.00014752+0.00070125i,-0.00062053+0.00061476i,-0.00053927+0.00053138i,-0.00033277+9.371e-05i,0.00065633-7.9948e-05i,0.0016413+0.00040312i,0.0011754+0.00024483i,0.00011813-0.00045247i,-0.00057774-0.00035875i
0.00054783+0.0015021i,0.00063587+0.00093359i,-0.00031843+0.00065233i,-8.7987e-05+0.00042295i,0.00032575-0.00015545i,5.1486e-05-0.00045598i,-0.00016892-0.00061561i,-0.00010558-0.00054563i,-6.3905e-05-0.00021789i,-0.00010094-0.00030551i,0.00037585-0.00072492i,0.00045335-0.000449i,-0.00019379+2.0469e-06i,-0.00045065-0.00047799i,0.00011324-0.00085938i,0.00085969-0.00062133i,0.00029826-4.6419e-05i,-0.00041194+0.00032656i,-0.00035405+0.00059431i,7.8139e-05+0.00061726i,0.00057305-0.00015864i,1.2058e-05-0.00061388i,-0.00031375+0.00022324i
-0.0012141+0.0010551i,-0.00069696+0.002827i,0.0003001+0.0036066i,0.00016467+0.0023721i,-0.0010154+0.00081711i,-0.001838-0.00013621i,-0.0014124+0.00026257i,-0.0004809+0.00075413i,-0.00034315+0.00058062i,-0.0004028+0.00036346i,-7.2896e-05+2.7924e-05i,0.00031484+0.00018878i,0.00062864+0.00023804i,0.00059321-0.00039706i,0.00011536-0.00068966i,-0.00064116-0.00066651i,-0.00074402-1.9437e-05i,-0.00039203+0.00041583i,-0.00019403+0.00010699i,0.00019883+3.7768e-06i,6.6677e-05+0.00011663i,8.6724e-05-0.00012285i,0.00059997-9.9253e-06i
-0.0016176-0.00074303i,-0.00032705+0.00019512i,-0.00022927+0.0010196i,-0.00093545+0.00052671i,0.00039958-0.00030079i,0.0014778-0.00065142i,0.00085642-0.00074829i,-4.1197e-05-0.0011828i,-0.00033228-0.0013265i,-0.00070973-0.0005915i,-0.00044073+0.00021149i,0.00011109+0.0007578i,0.00069484+8.1007e-05i,0.0009813-0.0004902i,0.0010459+0.00015802i,0.00058271+0.00062883i,-0.00024718-0.00017434i,-0.00047787-0.00070911i,-0.00028633+4.0176e-05i,0.00021062-3.7171e-06i,-1.3759e-05-0.0004783i,-0.00052617-0.00031987i,-0.00034136-0.00034161i
0.00061675+0.00053506i,0.00020698+0.0011566i,-0.00023672+0.00071529i,-0.00064018+0.00057848i,-0.00058111+0.0015294i,-0.00085142+0.0020118i,-0.00070403+0.0013738i,-0.00069788+0.00048635i,-0.0012454+0.0006932i,-0.0015973+0.00062415i,-0.0013367+0.00042431i,-0.00039965+0.00058646i,0.00081189+0.00034867i,0.0014626+0.00067647i,0.0011736+0.00084259i,0.00066994+0.00031642i,0.00028313+1.357e-05i,3.716e-05-0.00010866i,0.00021377-0.00061246i,0.00057398-0.00085652i,2.0678e-05-0.001098i,1.8746e-05-0.00084896i,0.00059669-0.00036557i
-0.0020059+0.00020405i,-0.0011428+0.00072238i,-0.00015582+0.00013919i,-0.00070579+9.0187e-05i,-0.0016128+0.00034909i,-0.0014402+0.00011433i,-0.00092982-0.00020865i,-0.0005221-0.00012887i,-0.00047387-0.00018112i,-0.0008088-9.8245e-05i,-0.00071339+0.00020787i,-0.00049199+0.00024833i,-0.00023889+0.00050696i,0.00018892-3.532e-06i,0.00012273-0.00049514i,7.3175e-06-0.0010754i,-0.00018138-0.0010888i,-0.00030644-0.00042377i,-0.00052867-0.00019403i,-0.00091042-0.00086179i,-0.00038273-0.0013317i,1.5626e-05-0.00048483i,7.9348e-05+0.00018425i
-0.00026043+0.00096608i,-0.00048899+0.0012185i,7.563e-05+0.0017203i,-0.00048998+0.00089726i,-0.0011743+0.00030802i,-0.00033385-3.2497e-06i,-0.00065124-0.00014731i,-0.001044-0.0001112i,-0.0004958-0.00039131i,0.00018366-0.00056724i,0.00029105+3.001e-05i,-7.9249e-05+0.00037264i,-0.00053366+3.9494e-05i,-0.00020949-4.0162e-05i,0.00025286+0.00044039i,0.000445+0.00060825i,0.00044237+0.00077287i,0.00061089+0.0011431i,0.0012649+0.0006617i,0.00098856+0.00059645i,0.00016554+0.00089029i,0.00055979+0.00016713i,0.00042734-0.00037908i
-1.7502e-05-0.0001775i,-0.00050133+0.0011499i,-0.00093845+0.0012548i,0.00032955+0.0014293i,0.0010979+0.0010587i,0.0004299+6.1878e-05i,0.00032019-0.00012892i,-5.8735e-05+5.1934e-05i,-0.00032682-0.00047711i,-0.00050843-0.0010302i,-0.00099797-0.00073865i,-0.00049148+0.00025385i,0.00041449+0.00048098i,0.00090116-0.00044897i,0.00073763-0.0003007i,0.00025228+0.00020687i,-0.00026905+0.00016586i,-0.00037604+0.00032992i,-0.00053+0.00041017i,-0.00050231+0.00054688i,-0.00027268+0.0001941i,-0.00021461-0.00033686i,-0.00059317-0.00033061i
0.00076492+0.0024657i,0.00085762+0.0025i,0.00069294+0.0016603i,-0.00038497+0.0013639i,-0.00161+0.0013542i,-0.001937+0.0012592i,-0.0013203+0.00056525i,-0.00085647-0.00016437i,-0.00054574-0.00090331i,-0.0010931-0.0017718i,-0.00079507-0.0013863i,0.00062064+0.00024573i,0.00020344+0.0011094i,-0.0005248+0.00073956i,-0.00039266+0.00067464i,-0.00042922+0.00038057i,-0.00076541-0.00042702i,-0.0011183-0.00070129i,-0.00077551+0.00016146i,-0.0003157-7.1192e-05i,-0.00040424-0.00027846i,-0.00071491-5.9602e-05i,-0.00048251-9.7838e-05i
