-0.0024501+0.0012906i,-0.0015106+0.00017765i,-0.0026034-0.00057596i,-0.0024612-0.000748i,-0.0016095+0.00030184i,-0.00097825+0.0015617i,-0.00073749+0.0023145i,0.00041891+0.0021082i,0.0016405+0.0012392i,0.00097937+0.00042168i,0.00010791-0.00049031i,0.00053916-0.00057203i,0.0012637+0.00084873i,0.0017669+0.0016716i,0.0012127+0.00066035i,0.00029808+2.1276e-05i,-0.00015236+0.00031309i,-0.00047581-0.00058027i,0.00075282-0.0012143i,0.00099139-0.0007982i,-0.00039923-0.00018168i,-0.00036727+2.5185e-05i,-0.00023058+0.00019537i
-0.0013625+0.0035855i,-0.0010378+0.0036825i,0.00066797+0.0036949i,0.0016073+0.002488i,0.00099439+0.00114i,-6.9083e-05+0.0005741i,-0.00076173+0.0009341i,-0.00026577+0.00040726i,0.0011471-0.00036461i,0.0020791-0.00045745i,0.0022742-0.00068587i,0.001611-0.00030163i,0.00099794+0.00044724i,0.0010701+0.00042934i,0.00061126-0.00053028i,0.00035761-0.00094048i,0.00028086-0.00042748i,5.102e-05-0.0003487i,-0.00021615-0.0011022i,-0.0003984-0.00090548i,-0.00012771-0.00028928i,-2.7015e-05-0.00015184i,-2.7391e-05-0.00010581i
-0.00059481+0.00070152i,-0.0019568+0.00094872i,-0.0017209+0.000963i,-0.00064695+0.00086964i,-0.00076809+0.0001221i,-0.00044481+1.3034e-05i,0.00018316+0.00088501i,0.00023134+0.0010519i,0.00036838+0.0007208i,0.001207+0.00010721i,0.0012758-0.00032203i,0.0011913-0.00014875i,0.0014985-0.0001523i,0.0013769-0.00074026i,0.00010046-0.00092229i,-0.00084697-0.00060118i,-0.00096551+0.00025885i,-0.0010185+0.00043529i,5.0206e-05-0.0003037i,0.00090738-4.9513e-05i,0.00064824+0.00025333i,7.0028e-05-0.00015581i,-0.00047461+0.00013443i
-0.0010551+7.1193e-05i,-0.00036989+0.00023554i,-0.00066358+0.00074244i,-0.00060523+0.0014446i,-0.00026035+0.0015062i,0.00041351+0.001373i,9.8972e-05+0.00076926i,-0.00053144+0.00040187i,-5.9669e-05+0.0010805i,0.0010182+0.0013102i,0.0009736+0.00039509i,0.00079414-0.00018294i,0.0010185+0.00029197i,0.00076586-0.00025862i,0.00079188-0.0015659i,0.0012613-0.0010758i,0.00073176-2.3531e-05i,0.00010409-3.1135e-06i,0.00015442-2.8591e-06i,0.00031375+0.00013492i,0.00061233-0.00017116i,0.00046447-0.00023155i,-0.0006668+8.2608e-05i
0.0012076+0.0018083i,0.0028755+0.0015225i,0.001366+0.00063946i,-4.6366e-05+0.00053482i,0.00055113+0.00074972i,0.00078289+0.0010575i,0.00042613+0.001249i,0.00052956+0.0014606i,0.0010674+0.00068964i,0.0012131-0.00088932i,0.0014662-0.0018132i,0.0020798-0.00074352i,0.0020669+0.00047297i,0.0012011-0.00016886i,0.00035393-0.00088942i,4.933e-05+4.3156e-05i,0.00011816+0.00095576i,7.6111e-05+0.00028852i,0.00016614-0.00041782i,0.00026005-0.00021006i,-0.00017895+0.00051996i,-0.0006605+0.00046049i,-0.00031664-9.1708e-05i
0.00047231+0.00028689i,-0.00010878-0.00020057i,-0.00016457+0.00077985i,-0.00071077+0.00085078i,-0.0010911+9.0517e-05i,-0.0011435+0.00017081i,-0.00066322+0.00052737i,0.000112+0.0016277i,0.0005397+0.0020232i,0.0005198+0.0011162i,0.00030662+0.00042849i,0.00083111+0.00011423i,0.0014564-0.00017038i,0.0016003-0.00038848i,0.00079314+8.9263e-05i,-0.00022857+0.00013021i,-0.00038544-0.00020583i,6.5867e-05+0.00031824i,0.00068602+0.00036998i,0.00070142+0.00041644i,6.1504e-05-0.00012707i,-0.00068628-0.00067565i,-0.0008741-0.00057724i
0.00077247+0.00082402i,0.00053159+0.00032486i,0.00049354+0.00093743i,0.00059463+0.0015441i,0.0014689+0.0015904i,0.0016501+0.00079844i,0.00037827+0.0004129i,0.00026612+0.00085798i,0.0010697+0.00010806i,0.0013856-0.00043461i,0.00067839-0.00045475i,0.00056463-0.0006762i,0.0011679-0.00069383i,0.0013426-0.00071869i,0.0012741-0.00075801i,0.00050643-0.00073251i,0.00055123-0.00054109i,0.00056626-0.00053821i,0.00026302-0.00041914i,0.00059436-0.00022065i,0.00057458-0.00060991i,0.00045794-8.2815e-05i,0.00068216-0.00015115i
-0.0014104-0.00060689i,-0.0019246+0.00028762i,-0.0015734+1.1149e-07i,-0.00041627-1.6332e-05i,0.00040976-0.0002248i,0.00027173+0.00020196i,-0.00010453+0.00071645i,-3.7488e-05-5.4031e-05i,0.00050533-0.00055708i,0.00019194-0.00021485i,-0.00013045-5.2445e-05i,0.00013016+0.0001946i,0.00029294-0.00025812i,0.00045409-0.00032366i,0.00027964-0.00012629i,1.1967e-05-0.00023848i,-0.00089994-0.00027334i,-0.0011544+0.00010103i,0.0001896+0.00020833i,0.0012561+0.00016999i,0.0011754-9.1934e-05i,0.00040591-6.3566e-05i,-0.0001537+0.0002402i
-0.0014982+0.0021082i,-0.0023675+0.0014837i,-0.0019166+0.0016216i,-0.00020562+0.00094306i,-2.8338e-05+0.00040927i,-0.00072068+0.00086793i,-0.00095935+0.00082079i,-0.00036063-0.00010093i,0.00070554-0.00035079i,0.00025348+0.00015739i,-0.00024114-0.00030135i,0.00036521-0.0010151i,0.00078752-0.0011192i,0.00092685-0.0010215i,0.0012493-0.00094619i,0.0011785-0.00083352i,0.00022656-0.00044161i,-0.00016116-0.00027074i,9.0301e-05-0.00035466i,0.00011223-0.00053504i,0.00053522-0.00043371i,0.00090507+0.00061072i,0.00043979+0.0010319i
-0.00051395-0.0016059i,-0.00095861-0.00088245i,-0.0002404+0.00024609i,-0.00027973+0.0008598i,0.00034561+0.0006927i,0.00080873+0.00075128i,0.00066395+0.0010606i,0.00068029+0.0011222i,0.00027671+0.0012167i,0.0001301+0.00056058i,8.016e-05-0.00030956i,0.00010656-0.00064625i,0.000739-0.00072119i,0.0010407-0.00033005i,0.00092787+0.00053785i,0.00024917+0.00085916i,-1.4104e-05-0.00061091i,8.4578e-05-0.0013133i,-0.00013311-0.00021831i,-0.00063454+0.00014359i,5.2758e-06+0.00017754i,0.00073081+0.00030497i,0.00066117+0.00046809i
-0.00074977-0.00050489i,-0.0013162+0.00061603i,-0.0023404+0.0015506i,-0.0016574+0.0011539i,-0.00067308+0.0012897i,9.7156e-05+0.0011202i,0.00095426+0.00082351i,0.00074429+0.0006539i,0.00048166+0.00061723i,0.00089871+0.00099027i,0.0015169+0.00029816i,0.0017366-0.00039244i,0.00093541-4.4657e-06i,0.00017504+0.00016433i,0.0005182-0.00029462i,0.00080842-0.00094171i,7.9873e-05-0.00071835i,-0.00028266-0.00022397i,-0.00011028-0.00084042i,-0.00010315-0.00064337i,0.00019349+0.00020242i,0.00021013+0.00097862i,-0.00030922+0.0011739i
