-0.0022109+8.8647e-05i,-0.0020511-0.0010635i,-0.0015124-0.0010121i,-0.0014937-5.2184e-05i,-0.0010501-6.3907e-05i,-0.00016508-0.00011159i,7.7922e-06+0.00053177i,0.00045289+0.0010363i,0.0012475+0.00026874i,0.00046792-0.00064221i,0.00024224-0.001041i,0.00039984-0.0012897i,3.3576e-05-0.0011481i,5.4398e-05-0.00084652i,-9.3484e-06-0.00072025i,-0.00046742-0.0006303i,-0.0005337-0.00039118i,7.9679e-05-0.00021914i,0.00079394-5.9147e-05i,0.00034698-0.00026825i,-0.00054256-0.00010716i,-0.0013755+0.00052433i,-0.00085778+0.00036237i
0.00039404-0.00058646i,-0.00052791-0.00065835i,-0.0022136-0.001056i,-0.0020154-0.00070216i,-0.00076623-0.00037189i,0.0008711-7.1976e-05i,0.0013445+3.5217e-05i,0.00075552-0.00016468i,9.3481e-05-0.00050904i,0.00027895+3.9875e-05i,0.00024107+0.00098501i,0.00094351+0.0004174i,0.001372-0.000111i,0.00051289+0.00025864i,0.00042452+2.2207e-06i,0.00073279-0.00054254i,0.00027036-0.00030232i,0.00018344-7.2604e-05i,0.000977-0.0001238i,0.0011573+0.00029844i,0.00062901+0.00014629i,0.00015175-0.00026871i,0.00049096+0.00028356i
-0.00081549-0.0018786i,-0.00092213-0.00060536i,-0.0021983+0.00028991i,-0.0022656+0.0003763i,-0.0010878-0.00015079i,0.00015473-0.00031198i,0.0004769-0.00061964i,0.00087596-0.00051472i,0.0012755-0.00018886i,0.00082603-0.00043574i,-0.0004402+0.00024373i,-0.00089093+0.00057367i,4.1121e-05-0.00015727i,0.00042203-0.00012003i,0.00042378-0.00014628i,0.00021364-0.00079592i,-0.0003136-0.00027844i,-0.00040678+0.00018614i,0.0004721+8.0665e-05i,0.00072515-0.0003737i,-0.00040923-0.00058651i,-0.0004047-3.8701e-05i,0.00038417+0.00061657i
-0.00027654+0.00013124i,-0.00064209-0.00023641i,-0.00020012-0.0011487i,0.00086797-0.00088588i,0.0016409-0.00020978i,0.0015957-0.00038035i,0.001267-0.0011226i,0.00070569-0.0008151i,0.00028695-4.612e-05i,0.00067973+0.00075396i,0.00037516+0.0010863i,0.00073319+0.00067705i,0.0014827+0.00022213i,0.0015429+0.00038848i,0.0011217+0.00073979i,0.00056531+0.00017785i,0.00028687-0.00018054i,-0.0003069+0.00033827i,-0.00085916+0.0004074i,-0.00062493+0.00020563i,-0.00035042-0.00057133i,-0.00056373-0.0006314i,-0.00090974-5.2289e-05i
0.00036496+0.00041811i,0.00044022+0.00090318i,0.00030373+0.0023663i,-0.00067092+0.0023442i,-7.1568e-05+0.0013183i,0.00086979-4.6258e-05i,0.00089927-0.00086969i,0.0007516-0.00054794i,0.00046898-0.00025336i,-4.1473e-05+0.00034648i,0.0004509+0.00088767i,0.0011424+0.0014067i,0.00054545+0.00086852i,0.00049351+0.00014544i,0.00053582+0.00057464i,-0.00049847+0.00086185i,-0.00066895+0.00031236i,-0.00038819+5.6742e-05i,-0.00089574-0.00023988i,-0.00080811-0.00022064i,-0.00028209+0.00013564i,-0.00023181+0.00034118i,0.00018515+0.00064199i
-0.00070215+0.0018315i,0.00027153+0.0011545i,0.0013338+0.00035217i,0.001007-0.00025866i,0.00039897+0.00016095i,0.0004824+0.00026156i,6.1602e-05-0.00029359i,-0.00052614-7.4097e-06i,8.1048e-05+0.00075952i,-0.00023471+0.00062423i,-0.00030413+0.00040902i,0.00014324+0.00060686i,-0.00021379+0.0010768i,-0.00024804+0.0013072i,-0.0002385+0.00080671i,0.00023727+0.00069498i,0.0011977+0.00029615i,0.0010828-0.00037459i,0.00025597-0.0002855i,0.00010126+0.00016801i,0.00046571+0.00053632i,0.00080156+0.00062767i,0.00022725+0.00039549i
-0.00044764-0.0014987i,-0.0013445-0.0010579i,-0.0017692-0.0010876i,-0.00089239-0.00011392i,-9.3374e-05+0.0008594i,9.8054e-05-0.0001678i,0.00060877-0.00079592i,0.00066547+2.7138e-05i,4.1083e-05+0.00055716i,7.3867e-05+8.7375e-05i,0.00056502-0.00097177i,0.00020447-0.0013329i,-3.2677e-06-0.00071077i,-0.00022044-0.0008176i,-3.1814e-06-0.0014023i,0.00042049-0.0013739i,-0.00036647-0.0010151i,-0.00051954-0.00077383i,0.00026844-0.00024752i,5.0144e-05+0.00023347i,-0.0011352+0.00033824i,-0.0012218+0.00038118i,-8.8089e-05+0.0004036i
-0.0028741-0.0029863i,-0.0034369-0.0024284i,-0.002544-0.00069427i,-0.0015229+0.00095664i,-0.001055+0.001681i,0.00036931+0.0011712i,0.0012675-0.00076224i,0.00072616-0.00086646i,0.00022876+1.9883e-05i,0.00019241-0.00064217i,0.00023204-0.00037656i,0.00032747+0.00046472i,0.00029958+0.0004304i,0.00074415-2.3628e-06i,0.0010178+1.393e-05i,0.00042655+6.7483e-05i,0.0004786+0.00025726i,0.00077754+0.0010691i,0.0002766+0.00052175i,0.00011842-0.00050386i,0.00034848-0.00046091i,3.59e-05+0.00058139i,-0.00036001+0.0013696i
0.0014942+0.00015599i,0.0012133-0.00097533i,0.00026773-0.0010009i,0.00055466-0.00045977i,0.0013352-3.4576e-05i,0.0014966-0.00092612i,0.00087216-0.0014729i,-0.00033368+9.7516e-05i,0.00011333+0.00071833i,0.0010258-0.00013861i,0.0010252+3.3376e-05i,0.0012317+0.0010816i,0.00080321+0.00090325i,0.0001659+0.00027474i,-0.00033578+0.00014256i,-0.00072407-0.00010579i,-0.00063429+5.1075e-05i,-0.00053427+9.005e-05i,-0.00063941-0.00028879i,-0.00066748-0.00056261i,-0.00013161-0.00089422i,-0.00013396-9.2153e-05i,-0.001131+0.00061207i
-0.00088534+0.00048359i,-0.00030888+0.0011382i,-0.00027921+0.0019841i,-0.0002152+0.0021853i,0.00012381+0.0011269i,0.00067232-0.0004369i,0.00032647-0.00025075i,-0.00028884+0.0006366i,-0.00029706+0.0006937i,-1.8766e-05+0.00052418i,2.5814e-05+0.00044223i,-4.3773e-06+0.00025972i,-0.0001615+8.7112e-05i,-0.0003247-0.00035571i,-2.5949e-05-0.00089382i,0.00064142-0.00052721i,0.00036699-0.00019422i,4.4318e-05-0.00051414i,0.00018983-0.00048776i,0.00047162-0.000179i,0.0008637-8.5519e-06i,0.00099149+0.00016819i,0.00045054+0.00012518i
-0.00034433+0.0017767i,0.00052761+0.00031908i,0.0015966+0.00026538i,0.0017119+0.0005119i,0.0013387-0.00048288i,0.001171-0.0020007i,0.0013169-0.0014003i,0.00044801-0.00015925i,0.00021772-0.00039699i,-9.0181e-07-0.00030046i,-0.00096221-9.9816e-05i,-0.00090554-0.0006302i,-0.00022676-0.0010585i,-0.00035412-0.0010372i,-3.2392e-05-0.00075259i,0.00028743-0.00043145i,0.00029831-0.00064781i,0.00015574-0.00063483i,-0.00031114-0.00032962i,-0.00046854-0.00036812i,-0.00036197-0.00048422i,-0.00044211-0.00030923i,-0.0001328-0.00057653i
