-0.003207+0.00018381i,-0.0024292-0.00056363i,-0.0037987-6.3141e-05i,-0.0029138+0.00083675i,-0.001157+0.00096386i,-0.00040387+0.00030813i,-0.00013424+0.00023446i,-0.00010493+0.00038759i,4.9826e-05+0.00047816i,0.00024416+0.00010898i,0.00013208+0.00029065i,-0.00033911+0.00057025i,0.00020929+0.00067241i,0.00053123+0.0010316i,-0.00026609+0.00093908i,-0.0009086+0.0015602i,-0.00022466+0.0016382i,0.0008142+0.0004782i,0.0011478-0.00028988i,0.0012038+0.000346i,0.00055291+0.00027081i,-7.0662e-05-0.00061616i,-0.00027711+8.6447e-05i
-0.00091839-0.0010428i,-0.0010153-0.0014972i,-0.0014792-0.0011025i,-0.001073-0.00054784i,-0.00034945+0.00084855i,0.00037976+0.00082203i,0.00051178+0.00010073i,0.00026412+0.00027571i,0.0002056-0.00012978i,-0.000379+0.00018027i,-0.0010989+0.001024i,-0.00084865+0.00069121i,-0.00022108-7.6938e-05i,6.8846e-05-0.00039281i,-2.4158e-05-0.00045976i,-3.525e-05-0.00038447i,-5.7644e-05-0.00021545i,-7.8964e-05+4.2745e-05i,-0.00019247+0.00020398i,-0.00041063-0.00026474i,-0.00025339-0.00052092i,-0.00058955-0.00018594i,-0.00028841+4.077e-05i
-0.00011551+0.0004151i,-0.00018586+0.00045846i,-0.00052479+0.0011195i,8.3781e-05+0.00068267i,0.00020067-9.0348e-05i,-0.00050147-0.00076833i,-0.00073517-0.00070503i,-6.923e-05-0.00080898i,-0.00037559-0.0011036i,-0.00038077-0.0013338i,0.0005161-0.00076234i,0.00033831+0.00034355i,0.00017973-0.00012842i,0.00061088-0.0003407i,0.00027667-6.2862e-05i,-0.00034686+2.1762e-05i,-0.00023775+0.00027244i,-2.5388e-05+0.00026195i,0.00020713+2.8725e-05i,0.00012122+9.0092e-06i,-0.00016861+0.00021535i,-0.00038474+8.2018e-05i,-0.00016142+0.00048621i
-0.0003658+0.0008416i,-0.00011517+0.0018758i,0.00013732+0.001686i,0.00079249+0.00022342i,0.0026064+7.1113e-05i,0.0020593-0.0001046i,0.00038854-0.00011738i,5.7348e-05+0.00014951i,-7.4464e-05+0.0003098i,-0.00011798+0.00019636i,-0.00068244+0.00051763i,-0.0010627+0.0003652i,-0.00019617+0.00019681i,0.00014658+0.00018979i,0.00043716-0.00047227i,0.0001598-0.00014357i,-0.00054758+0.00013441i,-0.00092585+0.00048584i,-0.00010003+0.00075259i,0.001113+0.00065545i,0.00084564+0.0003416i,6.8383e-05+0.00032785i,2.5799e-05+0.00088348i
-0.0017895-0.00031338i,-0.0025488-0.0005056i,-0.0021165-0.00062938i,-0.0011529+0.00010646i,-0.00023069+0.00012583i,0.00070482-0.00028899i,0.00076323-0.00060813i,0.00032578-0.00095327i,-0.00017386-0.00069232i,-0.00082834-0.00043168i,-0.00090466-0.00018172i,-0.0010864+0.00038647i,-0.0012322+0.00096928i,-0.00041124+0.0014812i,0.00019597+0.00089397i,-0.00036966+0.00050122i,-0.00082246+0.00051151i,-0.00081455-5.887e-05i,-0.00064851-0.00025489i,-0.00034382-0.0001599i,0.00040139+0.00020835i,0.00092571+0.00085236i,0.00036745+0.0015596i
0.00051211+0.00038686i,0.00023615-7.7016e-05i,0.00084124+0.00060644i,0.00082768+0.00064538i,0.00012425-0.00037645i,-0.00065542-0.00020404i,-0.0014758-0.00019135i,-0.0010838-0.00031767i,-0.00040572-0.00046733i,-0.00036906-0.00046895i,-0.00073282+6.3591e-05i,-0.00059109+0.00048295i,-0.00027295+0.0004228i,4.2003e-05+0.00029386i,-9.8276e-05+0.00022743i,-0.00079626+0.00039494i,-0.00064567+0.00053821i,-5.6719e-05+3.6924e-05i,7.029e-05-0.00042368i,8.1903e-05+6.1869e-05i,0.00045392+0.00042976i,7.7958e-05+0.00057884i,-0.00028825+0.00063608i
-8.5959e-05+0.00036922i,-0.00036697-2.9534e-05i,-0.00051428-0.00057007i,0.00013749-0.00073336i,0.0007101-0.00087542i,0.00083698-0.00059531i,0.0006418-0.0010427i,0.00028273-0.0017025i,3.5898e-05-0.0012567i,0.00020657-0.00039463i,0.00041423+0.00054386i,0.00050836+0.00062744i,0.00043477+0.00032257i,0.00046825-8.3284e-05i,9.1073e-05+0.00018962i,0.00031681+0.0010243i,0.00039112+0.00087726i,0.00013893+0.00049756i,-0.00017085+0.00019547i,-0.00060982+0.00020472i,-2.2999e-05+5.8571e-05i,4.6962e-05-5.3391e-05i,-0.00036697+0.00020487i
0.0023293-0.0012686i,0.0018826-0.0017532i,0.0025724-0.0023079i,0.0018635-0.0019142i,0.00038468-0.00052257i,-0.00034157+0.00036569i,-0.00065574+0.00032066i,-0.00029927+0.00012301i,-0.00031706-0.00019356i,-0.00096718-0.00050808i,-6.3282e-06-5.9446e-05i,0.0004556+0.00032761i,-0.00084657+0.00020789i,-0.0014446+0.000211i,-0.00088507+0.00013396i,-0.00078511+0.00048794i,-0.00070968+0.0008356i,-6.9464e-05-0.00042439i,0.00011436-0.00072105i,-0.0002502+0.00049246i,-0.00020667+0.0001949i,0.00020914-0.00063612i,0.0010279-0.00039628i
0.00072812-0.00022865i,0.00198-0.00028259i,0.0015713-0.0013174i,0.00062488-0.0017433i,0.00056116-0.0017422i,0.00024154-0.0015675i,0.00024428-0.001391i,8.2662e-05-0.0010406i,-0.00043305-0.0005156i,-0.0010062-0.000465i,-0.0013984-0.00022764i,-0.0010435+0.00044387i,-0.00048298+0.00068931i,-0.00086618+0.00050666i,-0.00093026+0.00065421i,-0.00010421+0.00078171i,0.00019728+0.001214i,9.7832e-05+0.00098424i,0.00012521-0.0001365i,-0.00053069-0.00035858i,-0.00020764+7.527e-05i,0.00031897+0.0002909i,0.0002294+0.00016106i
0.00054616+0.00031396i,0.0002064+0.00038609i,-0.00053933+0.0012711i,-0.00077362+0.00037384i,-0.00097958-0.00024223i,-0.00026183-0.00034506i,-0.00012414-0.001524i,-0.0010527-0.0015556i,-0.0011905-0.00080217i,-0.0011984-0.00025236i,-0.0011885+0.00043178i,-0.0010919+0.00036933i,-0.0010144-0.000592i,-0.0011549-0.00085922i,-0.00020968-0.00060097i,0.00051312-7.8316e-05i,0.0002168+0.00056978i,2.8135e-06+0.00090617i,-6.2344e-05+0.00060932i,-0.00021343+0.00073387i,-0.00095648+0.00098318i,-0.00071842+0.00013562i,-5.7922e-05-0.00020509i
-3.4959e-05-0.0008522i,0.00047629-0.00075741i,-3.4234e-05-0.0009085i,1.1003e-05-0.00051128i,0.00022775-0.00038488i,-0.00011762-0.00015817i,-0.00014974-0.00054316i,-0.00018386-0.0010836i,-0.0012117-0.00096367i,-0.001894-0.00067355i,-0.001353-1.8196e-05i,-0.0012945+0.0007017i,-0.0017556+0.00047728i,-0.0013441-3.5687e-05i,-0.00041334+0.00014005i,-0.00030437+0.00086749i,-0.00046656+0.0004326i,-0.00016552-0.00030484i,0.00013649-0.0003792i,0.000168-0.00026688i,-0.00013555-1.4693e-05i,-0.00045426+0.00019452i,-0.00018089-0.00010271i
-0.00066826+0.0020537i,-0.00080871+0.0015319i,-0.00064703+0.00047106i,0.00035372+0.0004972i,0.0012234+0.00057349i,0.001193-0.00088087i,0.00071891-0.0015782i,0.00060196-0.00080422i,0.00021066-0.00081415i,3.142e-05-0.00082163i,0.0004786-0.0007282i,0.00039549-0.00047339i,0.00033618-0.00044698i,0.00050368-0.0011952i,0.00031469-0.00094344i,-0.00020134-5.1718e-06i,-0.00060715+0.0003308i,-1.8673e-05+0.00042516i,0.00044814+0.00054781i,-0.00057481+0.00028645i,-0.0011098+2.0004e-05i,-0.00072489+0.00037326i,-0.00013721+0.0007203i
