-0.0012464+0.00040499i,-0.00062977+0.00057263i,-0.001392-0.0003753i,-0.0010272-0.00083431i,-0.0014584+0.0003062i,-0.0019071+0.0013026i,-0.0015098+0.0016213i,-0.00060199+0.0018545i,0.00092761+0.0014497i,0.0023783+0.00028254i,0.002056-0.00040951i,0.0013763-0.0010113i,0.0011266-0.00071525i,0.00054728-6.8987e-05i,-0.00031821-0.00086526i,-0.0006991-0.0016734i,-0.00021146-0.00083219i,0.00028261-0.00071982i,0.00053589-0.00097959i,0.0004304-0.00026987i,4.4028e-05+0.00046989i,2.5491e-05+0.00077779i,0.0001899+0.0007563i
-0.00080288+5.0548e-05i,7.6718e-05-0.00029571i,-0.00064872-0.00026062i,-0.0010883+0.00018672i,-0.00042995+0.00046431i,-0.00026473+0.00030042i,-0.00056225+0.00039988i,-0.00027963+0.00027851i,0.00040713-0.00015651i,0.00069328-0.00022741i,0.00064587-0.00059269i,0.00059088-0.00026778i,-4.3535e-05+9.3093e-05i,-0.00063559-0.00026334i,-0.00040317-0.00023007i,0.00013049-0.00011194i,0.00062596+0.00026022i,0.00064887+0.00039176i,0.00091047-0.00015252i,0.0018527-0.00093352i,0.0014516-0.00027267i,-0.00013776+0.00070467i,-0.00028278+0.00035111i
0.00012143-0.0006022i,-0.0001934-0.0013925i,-0.001051-0.0014723i,-0.0008926-0.00030001i,-0.00094254+0.00092584i,-0.00075866+0.00089293i,-0.00023233+0.0001061i,0.00040496-0.00035526i,0.0007621-0.00062218i,0.00060924-0.00023193i,0.00040554-0.00038285i,0.00083211-0.00032688i,0.0011255-0.00018176i,0.00090211-0.00013275i,0.00063711+0.0004132i,0.0011646+0.00034456i,0.00095677-0.00014749i,0.00042816-0.00075705i,0.00052006-0.00079271i,0.00060623-0.00033452i,0.00030967-0.00017597i,-8.8455e-05+0.00024715i,-4.5394e-05+0.00054614i
-8.2721e-05-0.00057559i,-0.0006512-0.00073318i,-0.0012636-0.00016495i,-0.0013925+0.00011618i,-0.0016282+0.00058636i,-0.0011845+0.0010299i,7.2462e-05+0.0009698i,0.00094576+0.00026385i,0.0006963+8.4758e-05i,0.00085173+0.00062113i,0.0010023+0.00078673i,0.00094942+0.00095405i,0.0010266+0.0010152i,0.00086346+0.00074566i,0.00017796+0.0004238i,-6.2543e-05+0.00022684i,-0.0007054+0.00017859i,-0.00045897+0.00059189i,0.00076367+0.00050932i,0.0010668+0.00026385i,0.0009185-0.00035221i,-0.00016182-0.0013546i,-0.00050421-0.001494i
1.3603e-06+0.00062067i,0.00074244+0.00016057i,0.00059284+0.00040528i,-0.00038462+0.00036187i,-0.00094334+0.00036776i,-0.00078191+0.00085606i,-0.00063954+0.00097429i,-0.00052862+0.00084892i,0.00044408+0.00028766i,0.00072892-8.4902e-05i,0.00042892-0.00051632i,0.00052318-0.00068757i,0.0009176-3.6691e-05i,0.00097816+0.00062747i,0.00038052+0.00067507i,0.00061214+0.00051409i,0.0004309+0.00053021i,-0.00019805-0.00019679i,-0.00038804-0.000399i,-0.00020433+0.00033927i,-0.0010571+0.00050123i,-0.0011755+1.6635e-05i,-0.00029208-2.3715e-06i
-0.00067274+0.0031181i,-0.00014386+0.0027522i,0.0012828+0.0022237i,0.001378+0.002343i,0.0013942+0.0011843i,0.0011094-0.00023872i,0.00063771+0.00045767i,0.00042941+0.00088827i,0.0011747+0.0003108i,0.0017322-0.00013784i,0.00086595-0.00065996i,-0.00036214-0.00074232i,-0.00098782-0.00041141i,-0.001031-9.8936e-05i,-0.0012192+0.00069186i,-0.00055882+0.0008203i,-0.00045355+0.00016378i,-0.00035038-0.00060055i,0.00048576-0.00082961i,0.00070595+0.00010585i,0.00025887+0.00039811i,-3.2306e-05-0.00015533i,-6.4259e-05-0.00063953i
5.7442e-05+0.00019328i,-7.0248e-05-0.00047726i,1.9296e-05-0.00093213i,-0.00040131-0.0010975i,-0.00081753-0.00043475i,-0.00081223-4.9432e-05i,0.00016904+0.00024359i,-0.00017485+0.00055286i,-0.00022612+2.8674e-05i,0.00024498-0.0002544i,-0.00029713-0.00025582i,-0.00091141+1.5245e-05i,-0.00054068-0.00016195i,0.00042096-0.00023283i,0.00042245+0.00093822i,0.00014988+0.0011043i,0.00033512+0.00033813i,0.00039789-6.6231e-05i,2.939e-05-0.00072873i,-0.0006978-0.00078493i,0.00022165+2.4267e-05i,0.001076-6.875e-06i,0.0002364-0.00035893i
0.0019139-0.0011845i,0.0016794-0.0013178i,0.0014833-0.0017235i,0.00058482-0.0012879i,-0.00092553-0.00093428i,-0.001419-0.00062111i,-0.00089981-0.00088298i,-0.00064233-0.00093675i,0.00022223-0.00039437i,0.00079351-0.0002443i,0.00075989+0.00026599i,0.00082927+0.0011695i,0.00022865+0.00064553i,-0.00058779-0.00018148i,-0.0009909-1.238e-05i,-0.0010816+0.0001692i,-0.00050649-0.00032403i,-0.00028073-0.0006332i,-3.591e-05-0.00068209i,0.0001574-0.00097447i,-0.00034303-0.0007444i,-0.00091915-0.0003047i,-0.00040983+0.00022036i
0.000595-0.0018866i,0.00069933-0.0020277i,0.00069819-0.0019321i,0.0002327-0.0019952i,-0.00063012-0.0016542i,-0.00099012-0.00096828i,-0.0010656+3.3342e-05i,-0.00013324+0.00065835i,0.0008333+0.00035906i,0.00098772-0.0001887i,0.00022847-0.00033013i,-0.001019+0.00034745i,-0.0015512+0.00063673i,-0.0013565+7.6913e-05i,-0.00041392-0.00032454i,-0.00040555-0.00068386i,-0.0004458-0.00075897i,-6.4226e-05-0.00059887i,-6.4349e-05-0.0008979i,0.00021758-0.00027913i,5.4977e-06+0.00033027i,0.00074873-4.2671e-05i,0.0011615-0.00020157i
6.9421e-06+0.00096619i,0.00058782+0.001602i,0.0015317+0.00081353i,0.00040379-0.00038904i,-0.00062028-0.0011084i,-0.00075999-0.00016181i,-0.00078194+0.0006946i,-0.00066514+0.00053861i,-0.00030952-0.00038462i,0.00014941-0.00052437i,0.00035066+0.00024022i,0.00049686+0.00037853i,7.9038e-05+7.2495e-05i,-0.00016086+0.00029702i,0.00011106-0.00024467i,0.00037999-0.0007718i,0.00032324-0.00084652i,-0.00097677-0.00013619i,-0.0011485+0.0004365i,8.5249e-06+7.8512e-05i,0.0003438-0.00037642i,-0.00012647-0.00040032i,0.00019804+6.0877e-05i
0.0012573-0.00068977i,0.00051551-1.4576e-05i,0.0010191-0.00024514i,0.0010379-0.0011917i,0.00018982-0.0012566i,-0.00055403-0.00095361i,-0.00089061-0.00076479i,0.00030851-0.00062617i,0.00067484-0.00017715i,-0.00042067-0.00013389i,-0.00091461-0.00037743i,-0.00038732-0.000372i,0.00011349-0.00016726i,0.00058876+0.00047928i,0.00070365+0.0012603i,0.00010374+0.0019214i,-0.00030325+0.0013357i,-0.00079126-1.1694e-05i,-0.00086876-5.3603e-05i,-0.0008903+0.00032983i,-0.00060565+4.5596e-05i,0.00035846-0.00035298i,0.00030981-0.00026454i
