0.0013049-0.00018932i,0.00091667-0.00036507i,0.0001514-0.00068462i,-0.00056757-0.00063328i,-0.0018966-0.00061841i,-0.0024508-0.00048022i,-0.001783+0.0002249i,-0.0007759+0.00058788i,-0.00037773+0.00030237i,-0.00041532-0.00036201i,-0.0003114-0.00084077i,-0.000566-0.00026048i,-0.0004115+0.00073351i,0.00049875+0.00075892i,0.0006776+0.00065425i,0.000197+0.00086798i,-6.9958e-05+0.00068785i,2.2858e-05+9.0343e-05i,-2.6622e-05-0.0009912i,0.00021735-0.0013475i,0.00050422-0.0011064i,0.00085658-0.0010081i,0.0006201-0.00052702i
0.00056374+0.0016708i,3.1011e-05+0.0017808i,0.00034929+0.0027427i,0.0016658+0.0023669i,0.0023351+0.00060077i,0.001304-0.00081906i,0.00011625-0.0010867i,-0.00040504-0.00091425i,-0.00020264-0.00047283i,-0.00023744-0.00051713i,0.00021531-0.00059299i,0.00050218+6.3717e-05i,-0.00019787+0.00031351i,-0.00034587+3.6144e-05i,0.00010273-0.00055201i,0.00085266+7.5944e-05i,0.0013263+0.00094099i,0.00043085+0.00049952i,0.00026563-0.00083485i,0.00069869-0.0016825i,0.00039304-0.0012139i,0.00055955-0.00037009i,0.00058426+0.00018179i
-8.2643e-05+0.0021818i,-0.00051191+0.0018615i,-0.00011132+0.0019099i,0.0010728+0.00043761i,0.0025101-0.0011662i,0.0017777-0.0016178i,-0.0002262-0.0013447i,-0.0010447-0.00091796i,-0.00094442-0.00070126i,-0.00016417-0.00082824i,0.00034523-0.00019744i,0.00014043+0.00087984i,0.00014927+0.00087555i,0.00030014+0.00032011i,-0.00046522-0.00018628i,-0.0007496-0.00021427i,0.00017591+5.1421e-05i,0.00065888-0.0002217i,8.2018e-05-0.00051303i,0.0002867+0.00017034i,0.00088722+0.00073287i,0.0003847+0.00023867i,6.5154e-05+0.00047085i
-0.00087582-0.00047203i,-0.0021787-0.00052645i,-0.0013921+0.00031348i,0.00021667+0.00077853i,0.0010482+0.00034793i,0.00096249-0.00018887i,0.00010108-0.00047907i,-0.00059466-0.00038018i,-0.001316-0.00023936i,-0.0015114-0.00084711i,-0.00098588-0.00046638i,-0.00092503+0.00026737i,-0.00071379-1.8359e-05i,-0.0010226-0.00026833i,-0.000882-0.00062303i,0.00026772-0.00068335i,0.00032185-0.00014899i,-0.00033806+6.6911e-05i,-0.00086945-0.00039397i,-4.4843e-05-0.00054918i,0.0010658-6.0988e-05i,0.00090152+0.00054497i,0.00033606+0.00029832i
0.0011947-0.0016716i,0.0020547-0.00080894i,0.0014385+0.00046284i,0.00045035+0.0012314i,0.00030805+0.00076227i,0.00031648-3.5756e-05i,0.00010459-0.001049i,-0.00044103-0.0011008i,-0.00061053-0.00036386i,-0.00043606-0.00027755i,-0.00055387-8.2572e-05i,-6.2635e-05+0.00011232i,0.00033773+0.00049113i,-4.2743e-05+0.00093461i,0.00016045+0.00013315i,0.00085292-0.00053514i,0.00096106-0.0003502i,0.00038182-0.00016772i,-0.00014095+0.00053536i,-0.00013733+0.0011324i,0.00043279+0.00068302i,0.00051513+0.00038501i,0.00023269+0.00032941i
-0.00035793+0.0013563i,-2.0512e-05+0.0012438i,0.0011673+0.0016379i,0.0015539+0.00084741i,0.00096485-0.00016962i,-0.00034705-0.00080967i,-0.0011266-0.0010209i,-0.0011822-0.0010352i,-0.0013094-0.00073137i,-0.00099481+0.00016278i,-0.00038273+0.00015035i,-0.00033277-0.00012176i,-0.00017003+0.00042303i,0.00028418+0.00080297i,0.00063895+0.00058303i,0.00044253+0.00029866i,0.00022749+0.00047004i,-0.00015049+0.00081003i,-0.00068286+0.00089273i,0.00010063+0.00040692i,0.00060646-0.00029681i,0.00025421-0.0002081i,0.00045744+0.00029827i
-0.0006468+0.00010172i,-0.00068827-0.0005678i,-0.00047581+0.00034029i,0.00017672+0.001728i,0.00022192+0.0019832i,-0.00020569+0.0016278i,-0.0005569+0.00061797i,-0.00058422-0.00051839i,-0.00058513-0.0004119i,-0.00063654+0.00031079i,0.0001113+0.00050879i,0.00054313+0.00031529i,0.00026317+0.00015901i,-0.00016516+0.00014159i,-0.00030383+0.00033743i,2.446e-05+0.00072816i,-1.2537e-05+0.00072633i,-0.00050693+0.00072785i,-1.1799e-05+0.00053637i,0.00082621+0.00066769i,0.00098274+0.00023147i,0.00051284-0.00061513i,0.00014077-0.00067847i
0.0007335+0.00058198i,0.00015701+0.0014236i,-0.00078544+0.0011621i,-0.00016726+0.00064952i,0.00094394-8.6674e-05i,0.0012216-0.00062184i,3.7394e-05-0.0010179i,-0.00078975-0.0007764i,-0.0010849-0.00027643i,-0.0018036-0.00095931i,-0.0017642-0.0011607i,-0.0001976+0.0004333i,0.0014578+0.0015565i,0.00076525+0.0010381i,0.00015268+0.00044401i,0.00032954-0.00049507i,0.00032453-0.00091056i,0.00098454+0.0001126i,0.0011672+0.00037015i,0.00071408-0.00015514i,0.00040565-1.2186e-05i,0.00030016-0.00013225i,0.0006656-0.00018195i
0.0013688+0.00032297i,0.00052612+0.0014535i,-0.0012284+0.0014618i,-0.0016244+0.0010517i,-0.00086346+0.00089126i,-0.0010964-0.00014546i,-0.0014472-0.0011146i,-0.0014891-0.0017589i,-0.0011832-0.001552i,-0.00093245-0.00029155i,-0.00091692+0.00082249i,-0.00033882+0.00086353i,5.8373e-06+0.00046292i,-9.7237e-05+0.00036101i,7.2412e-05-0.00046782i,0.00016977-0.00098304i,-8.9594e-05-3.7914e-05i,-4.5488e-05-5.3344e-05i,0.00021797-0.00073429i,-8.3926e-05-0.00039278i,7.9544e-05-7.0805e-05i,4.4626e-05+6.7058e-05i,-8.2736e-05+0.00068989i
0.00023665+0.00078794i,-0.00052628+0.0018465i,0.00020444+0.0020663i,0.0012782+0.0011215i,0.0016347+0.00011663i,0.00061157-0.00097849i,-0.00053157-0.0012444i,-0.0007056-0.0011597i,-0.00059547-0.00089907i,-0.00061977-0.00045115i,-0.0011689+0.00039855i,-0.0014947+0.00050613i,-0.00036008+0.00052498i,0.00045232+0.0010858i,0.00012906+0.001075i,0.00010494+0.00070769i,-0.00014541-0.00015132i,-0.00025832-0.00048241i,0.0003231-0.00025572i,0.00048734-0.00027312i,0.00040904-0.00039149i,0.00024881-0.00041441i,-0.00013623+6.9199e-05i
-0.00010756-0.00044598i,5.6648e-06-0.0010918i,0.00076938-0.00049974i,0.0016086+0.00039441i,0.0014474-6.293e-05i,-6.3422e-05-0.0020791i,-0.00070625-0.002434i,-0.0010534-0.00094398i,-0.0011906-0.00022413i,-0.00026668+0.00029844i,-0.00025468-1.4499e-05i,-0.00038168+0.00021678i,0.00044237+0.00030146i,0.0014789+0.00011787i,0.001445+0.00052865i,0.0011126+0.00073848i,0.00077948+0.00042077i,0.00013011-0.00022414i,0.00013208-0.0007302i,0.00036386-0.0011908i,0.00068502-0.0011406i,0.00050246-0.00024165i,8.9415e-05+0.0010284i
