-0.0022426+0.00069413i,-0.0024212+0.0014149i,-0.0014833+0.0013721i,-0.00076503+0.00031328i,-0.0016477+0.00059039i,-0.0023805+0.0010702i,-0.0016522+0.00054188i,0.00020412+0.00070511i,0.00051327+0.0011885i,-6.1445e-05+0.0002629i,7.3654e-05-0.00078344i,-0.00028865-0.00055352i,6.3588e-05-0.00031i,0.00091276-0.00023977i,0.0010698-2.3456e-05i,0.00076802+3.7073e-05i,3.4932e-05-0.00082962i,-0.00010086-0.0008991i,3.6276e-05-0.00016107i,-0.00052679-0.00015825i,-0.0006314-0.00071202i,-7.8774e-05-0.00042411i,0.00067886-0.00032624i
-0.0010295-0.0012862i,-0.0018176-0.00010864i,-0.0021711+0.00079138i,-0.0018359+0.00056164i,-0.0015592+0.0011917i,-0.00066788+0.00066636i,-0.00010205-0.00025229i,-0.00031107-0.00050465i,-0.00080887-0.00021753i,-0.0013774+0.00025007i,-0.0014956-1.4519e-05i,-0.00043726+0.00048624i,0.00034855+0.00067113i,0.00094383+0.00026052i,0.0010588+0.00042493i,0.00022748+0.00063672i,-0.00036529+0.00030515i,-0.00058587-7.4551e-05i,-0.00066251+0.00014137i,-0.00096577+0.00040064i,-0.000753+7.1602e-05i,-6.3742e-05-0.00014729i,0.00011728+0.0001366i
0.00011577-0.00017627i,0.00072381+0.00075699i,-0.0004922+0.00088742i,-0.00063354+0.0003962i,0.00092316-0.00023511i,0.0015711-0.00088535i,9.3538e-05-0.00083087i,-0.0010076-0.00044676i,-0.00092517-0.00028777i,-0.0010472-0.0002007i,-0.00051627-0.00041282i,0.00066129-0.00037919i,0.0011333+0.00016236i,0.000843+0.00036881i,0.00046521+0.00023984i,0.00067295+0.00033653i,0.0012078-5.4148e-06i,0.00145-0.00031299i,0.00086737-0.00014851i,-0.00029686-9.8932e-05i,-0.00067235+0.00013082i,-0.0002969+0.00050905i,-0.00053176+0.0004797i
0.00020774+0.00073932i,0.00047128-5.71e-05i,0.0014701+2.9963e-05i,0.0022899-0.00022663i,0.0016814-0.0011538i,0.0003875-0.00095987i,-6.0516e-05-0.00085841i,-0.00015391-0.0011304i,-0.00046152-0.00064224i,-0.00043265-0.0006754i,0.00027048-0.00080161i,0.00030283-0.00059714i,-0.00064972-0.00080026i,-0.00082877-0.0011698i,6.8809e-05-0.00088568i,0.00094452-0.00054175i,0.00098204-0.00069213i,0.00042509-0.00064385i,-0.00038371-7.9475e-05i,-0.00047741-0.00080292i,0.00014197-0.0017989i,0.000129-0.001293i,-0.00012816-0.00018993i
0.0018857-0.0019836i,0.0014232-0.001926i,0.0010819-0.0027485i,0.00080501-0.0033469i,-0.00069147-0.0025649i,-0.0019064-0.00074269i,-0.0011672+5.2627e-06i,2.0703e-05-0.00015714i,-0.00025773-0.0011185i,-0.00026492-0.0016903i,-0.00059248-0.00072682i,-0.0012626+0.00023725i,-0.00069379+0.00060035i,-0.00020078+0.00026712i,-0.0001221-0.00062952i,-5.9634e-05-0.00082224i,0.0001197-0.00052059i,0.00011996-0.00052709i,-0.00025127-0.0010366i,-0.00046342-0.00091281i,-0.00014125+9.5225e-05i,0.00036727+0.0009762i,0.00084168+0.0010474i
-3.1802e-05-0.00085943i,5.5169e-05-0.00041478i,0.00039069+0.00030798i,-0.00089817+0.00050255i,-0.0011497+0.00060029i,-0.00062426+1.9412e-05i,-0.000416-0.00079037i,-9.8798e-05-0.00075967i,-0.0006123-0.00035566i,-0.00034439-0.00028371i,0.00044126-0.00034928i,0.0004179-0.00048752i,-4.5851e-05-0.00028278i,0.00039733-0.00057628i,0.00044764-0.0010866i,-0.00041059-0.00097358i,-0.00051182-0.00052835i,0.00035093-0.00020144i,0.00019452-0.00038771i,0.00020369-2.1361e-05i,0.00067952+6.2349e-05i,0.0011133-3.4985e-05i,0.00045454-0.00045176i
-0.0017432-0.0008243i,-0.0018567+0.0013437i,-0.0021857+0.0036092i,-0.0012167+0.0023761i,0.00014116+0.001483i,0.00090684+0.0014464i,0.0011998+0.00066682i,5.1812e-05-0.00014032i,-0.0010738-0.0010431i,-0.0012699-0.00098455i,-0.0014799-0.000611i,-0.0010953-0.0012178i,-0.00020433-0.0010068i,2.6221e-05-0.00023198i,0.00031011-0.0003107i,0.00095368-0.00075375i,0.00082795-0.0002612i,0.0004471+0.00067485i,-0.0003535+0.00063421i,-0.0012481-0.00012007i,-0.0010483-0.00080158i,-0.0004017-0.00088918i,-0.00043445-0.0001029i
-0.0015623+0.00054248i,-0.00031216+0.00037134i,0.00098274+0.0012303i,0.0013185+0.00099882i,0.0012322-0.00063004i,0.00049386-0.0013624i,0.00011941-0.00067526i,0.0003705+4.2181e-05i,0.00047847-5.0629e-05i,0.00050936-7.7207e-05i,0.00029725-0.0004073i,-0.00016226-0.00053552i,0.00028748-0.00086298i,0.00054109-0.0010101i,0.00030449-0.00077236i,0.00017379-0.00019225i,-6.1218e-05+0.00017771i,-0.00037149-6.9433e-05i,-0.00029188-2.8771e-05i,-0.00050835+0.00040446i,-0.00086776+0.00033372i,-0.00042943+2.0251e-05i,-1.1831e-05-0.00012708i
0.001632-0.00050466i,0.0016645-0.00014884i,0.0018096+0.00017594i,0.00091143-0.00048139i,0.00040044-0.00074684i,0.00050662-0.00062271i,0.0002248-0.00039769i,0.00026387-0.0002406i,9.4461e-05-0.00021159i,0.00026544-0.00032737i,0.00036633-0.00010907i,3.6202e-05+0.00038057i,0.00023256+0.0010702i,0.00048444+0.0010519i,0.00053003+0.000198i,0.00046072-0.00059331i,0.00017732-0.00057384i,0.00047579-0.00050462i,0.00055808-0.00074191i,0.00026167-0.0010055i,0.00048442-0.00098237i,0.00060369-0.00074953i,0.0004249-0.0004566i
0.00090796+0.00085105i,0.0010413+0.00085786i,0.00043632+0.0010438i,4.9889e-05-0.00012206i,7.8566e-05-0.00117i,-0.00050332-0.0006186i,-0.00065152-0.00044629i,-0.00035907-0.00038082i,-0.00011846-0.00026955i,-0.00032486+5.2515e-05i,-0.00053537+7.0017e-05i,-0.00080146-0.00060192i,-0.00093891-0.00051196i,-0.00069013+0.00017821i,-0.00063144+2.5919e-06i,-0.00016593+4.0236e-05i,0.00027441+0.00035402i,0.00033498-0.00011759i,-0.00030681-6.6796e-05i,-0.00054052-0.0003214i,-0.00042132-0.00070358i,-0.00014004-9.8763e-05i,0.00077281+6.8483e-05i
-0.0025474+0.00018324i,-0.001722+0.0013081i,-0.00015164+0.0016669i,0.00055362+0.00072691i,0.00017704-0.00037664i,-0.00024075-0.00043053i,0.00022476+6.325e-05i,0.00046685-0.00016226i,0.0001912+0.00012824i,-0.00012793+0.00065389i,-5.3843e-05+7.9662e-07i,-0.00027023-0.0004597i,-0.00075111+8.3553e-05i,3.7133e-05-0.00038559i,0.00088194-0.00085727i,0.00032611-0.00050976i,0.00010316-0.00017306i,0.00019925-8.666e-05i,-7.8892e-05-0.00072292i,7.1224e-05-0.0011894i,0.00075617-0.00104i,0.0013835-0.00087805i,0.00066047-0.0010352i
-0.00018797-0.00057447i,1.9619e-05-0.00088317i,0.0011249-0.00085479i,0.00037216-0.000173i,0.0002935+0.00011906i,0.0010408-6.8005e-05i,0.00086102-0.00095766i,0.00051551-0.0011513i,-0.00055554-3.2395e-05i,-0.00050947+0.00051923i,0.00019423+0.00073251i,0.00016571+0.00013017i,-0.00042896+0.00011859i,-0.00040865+0.00021303i,0.00073976-0.0010064i,0.0013762-0.0015915i,0.00061638-0.0012927i,-0.00016484-0.00089365i,0.00017706-0.00017554i,0.0012949+0.00056036i,0.0010239+0.0010016i,0.00059377+0.0012701i,0.00051295+0.00067416i
-0.00056377-0.00064037i,-0.000883+0.00012472i,-0.0011557+0.0004251i,-0.00024158-0.00064049i,0.00025209-0.0013481i,0.00019064-0.0013104i,0.00062153-0.0012478i,0.00034593-0.0014395i,-0.00045469-0.0015213i,-0.0003943-0.0011315i,-0.00076677-0.00029879i,-0.00091708+0.00010299i,-0.00022142-7.1469e-05i,0.00020507-0.0001201i,0.00020806-0.00023794i,0.00059379-0.00076738i,0.0011511-0.0010945i,6.4821e-06-0.0013108i,-0.0011793-0.001695i,-0.00053323-0.0010361i,-0.00014986-8.0646e-05i,-0.00058654+0.00020998i,-6.869e-06+7.1166e-05i
-0.00064928-0.00028372i,0.00051885+0.00083134i,-6.4567e-05+0.0021055i,-4.3407e-05+0.0016279i,1.8595e-05+9.2722e-05i,-0.0005265-0.0011478i,2.7851e-05-0.0010211i,0.00028331-0.001262i,0.00023834-0.0012733i,-0.00044028-0.00016147i,-0.0007076+0.00047697i,0.00046542+0.00059133i,0.00053847+0.00060897i,4.2988e-05+0.00054898i,0.00054603+0.00020351i,0.0011217-0.00030355i,0.0008774-0.00091289i,2.7702e-05-0.00091553i,-0.00016622-0.00026266i,-0.00016511+0.00025554i,-0.0001637+0.00052689i,-0.00046001+0.00051096i,-0.00041356+8.3401e-05i
0.00049666-0.0013889i,0.00063019-0.0011703i,0.00033548-0.00069295i,0.00076353-0.0010061i,0.00074134-0.0007873i,0.00026805-0.0001035i,0.00044529+0.00013021i,0.00099167-0.0004831i,0.001415-0.0013642i,0.0011433-0.00086401i,0.00091753-0.00038001i,0.00019204-0.00031745i,-0.00051497-0.00033235i,0.00024986+0.00037392i,0.00063569+0.00042523i,0.00029389-0.00029017i,0.00043641+4.2394e-05i,0.0001854-0.00034595i,3.0172e-05-0.00098224i,0.00071946-0.00035759i,0.00058284+0.00031696i,-0.00018353+5.5302e-06i,-0.00021397-5.3065e-05i
-0.00039712-0.0010793i,-0.0004763-0.00053832i,-0.00064-5.2497e-05i,-0.00054291+0.00073493i,-0.00027281+0.00077161i,-0.00026774+8.4963e-05i,-5.9325e-06-0.0007767i,0.00076574-0.0010799i,0.00065524-0.00063857i,0.0010477-0.00035091i,0.0013112-0.00030595i,0.00059791-0.00124i,0.00017077-0.00057109i,5.5564e-05-3.5625e-06i,0.00010638-0.00090234i,0.00054224-0.00077403i,0.00018613-0.00037196i,-0.00013832-0.00086765i,-0.00053557-0.001048i,-0.0010286-0.00049141i,-0.00041465+0.00029054i,0.00061745+4.2856e-05i,0.00053805+0.00037855i
0.00077932+0.00012499i,0.00056687-0.0010155i,0.0018484-0.0018195i,0.0021175-0.0032833i,0.00033185-0.0032591i,-0.0012153-0.0022496i,-0.0012591-0.0018711i,-0.00028931-0.0013403i,0.00022548-0.00097009i,0.00052515-0.001082i,-0.00010746-0.00022078i,-0.00066373+0.00039852i,-0.00043372+0.0002885i,-0.00034369+0.00031074i,-0.00037324+0.00038348i,0.00036601+0.00051834i,0.0013931+0.00073032i,0.0011214+0.00018105i,0.00095306-0.00022199i,0.00039416-9.9825e-05i,0.00027973+0.00013307i,0.00037956+0.00021062i,4.2765e-05-0.00018707i
-0.00022881+0.0011996i,0.0003194+0.0012417i,0.00027884+0.00069214i,0.00059795+0.00025747i,0.00047842+4.1095e-06i,-0.00042936-0.00019562i,-0.00032206-0.00041989i,1.6996e-05-0.00054494i,0.00060884-0.00047632i,0.00094024+0.00021374i,0.00093141+0.00032125i,0.00032885+0.00030012i,-0.00021861+0.00054279i,0.00025776+0.0006899i,0.00056536+0.00047728i,0.00081479+0.00034323i,0.00090657+9.5995e-05i,0.00015098-0.00012674i,-0.00055658-7.3655e-05i,-0.0005694-5.6084e-05i,-0.0001868-0.00038213i,0.00010293-0.00067856i,-0.00018418-0.00046809i
0.0022829+0.0013629i,0.0019678+0.00098192i,0.0025618+0.00093147i,0.0020904+0.0004728i,0.0011553-0.00026055i,0.00085028-0.00054598i,0.00037256-0.00064946i,0.00036404-0.00054992i,0.00049681-0.00074978i,0.00012186-0.00092934i,-2.4228e-05-0.00065935i,-0.00017738-9.7796e-05i,4.922e-05+0.00048568i,0.00045922+0.00049055i,0.00078929+0.00048942i,0.0013577-0.00047919i,0.0012669-0.0015399i,0.00030733-0.0012457i,-0.00077611-0.0013451i,-0.0010517-0.0013599i,-0.0008146-0.00074661i,-0.00046896-3.2716e-05i,-0.00054671+0.00046726i
-0.00054078-0.0010918i,0.00032891+2.7524e-05i,0.0012707+0.00017388i,0.00096068-0.00059715i,0.0003345-0.00056237i,0.00023734-0.00028887i,0.00013452+8.5963e-05i,0.00037555+0.00037242i,-5.9867e-05-3.1665e-05i,-9.3416e-05-0.00055071i,0.00033796+0.00053463i,-0.00013967+0.0012398i,0.00011357+0.0011118i,0.00099646+0.0010557i,0.00073464+0.00016871i,0.00083778-0.00033899i,0.0012418+0.00014716i,0.00091559+0.00091957i,0.00044922+0.00016783i,0.0001844-0.00089602i,8.0601e-05-0.00042509i,-0.00037986+0.00033596i,-0.00056438+2.9534e-05i
0.00066124+0.0010575i,0.00075519+0.0006577i,0.0011869+0.00066735i,0.00074031+9.5377e-05i,0.00063009-0.00087959i,0.00054223-0.0013931i,0.00024789-0.0015405i,0.00025153-0.0010216i,0.00022124-0.00056856i,-0.00019723-0.00020356i,-0.00025398-0.00041949i,4.5672e-05-0.00074553i,5.2436e-05-0.00050254i,-0.00012728+0.00040242i,0.00012247+0.00055497i,0.00024877-0.00013464i,0.00040993-0.0008207i,0.0010146-0.00037887i,0.00034853+0.00069872i,-0.00097605+0.0014771i,-0.0011287+0.0013848i,-0.0010284+0.0010481i,-0.0006806+0.00036309i
