0.0011119-7.9147e-05i,0.0017549-0.0028925i,0.00085163-0.0041025i,-0.00073933-0.0032041i,-0.0014417-0.0014952i,-0.0012821-0.00017364i,-0.0008861+0.00049888i,-0.00036626+0.00068316i,0.00075342+0.00046287i,0.0017657-1.7314e-05i,0.0014455-0.00039802i,0.00023898-0.00062926i,-0.00032901-0.000341i,-0.00066961+0.00038707i,-0.00059162+0.00030508i,0.00010171+0.00024074i,0.0009446+0.00018939i,0.00099564+0.00025046i,-0.00019128+0.00050864i,-0.00088932-0.00052851i,-0.0003502-0.0010595i,8.3746e-07-0.0004825i,-0.00059623-0.00064664i
-0.0015259-0.0013343i,-0.001538-7.6163e-05i,-0.0021958+0.0026304i,-0.00039604+0.0036843i,0.00070519+0.0033481i,0.00047452+0.0021157i,0.00020439+0.00037245i,0.00023148-0.0011524i,2.6311e-05-0.0010721i,-0.00053258-0.00019603i,-0.00082438+3.5023e-05i,-0.00039935+0.00023029i,0.00021602+0.00011958i,0.00019535-0.00028765i,0.0007948-0.00034411i,0.0010169+0.00014665i,-7.3626e-05+0.00052054i,-0.0005976+0.0006333i,4.441e-05+0.00039333i,-9.5015e-05-5.0104e-05i,-0.0010491-0.00029035i,-0.0015299+0.00018502i,-0.0015273+0.00054856i
0.00067949+0.0016949i,0.00094875+0.001331i,0.00095036-5.924e-05i,0.0011124-0.00039668i,0.0016489-9.924e-05i,0.0012801+2.7553e-05i,0.00054159+0.00063825i,-0.00017144+0.00069939i,-0.00036322+0.00074824i,-0.00062194+0.00052695i,-0.0010396+0.00023732i,-0.00067541+0.00044201i,-0.00057954+0.00072967i,-0.00071187+0.00042552i,0.00010553-5.3087e-05i,0.00084252+0.0004499i,0.00058105+0.00057018i,4.4961e-05+2.2656e-06i,0.00013609-0.00033177i,0.00044486+0.00010001i,0.00018745-4.3886e-05i,0.00066296-0.00063391i,0.00087892-0.00029588i
-0.0004191+0.00032028i,0.00020796-0.00028687i,0.0013307-0.0011058i,0.0017399-0.00092948i,0.00097877-0.00049602i,0.0012017-0.00083958i,0.0010653-0.0015309i,0.00035565-0.0011824i,-0.00030368-0.00060716i,-0.00074917-0.00025292i,-0.00083814+0.00019129i,-0.0001072+0.00014789i,0.00020775-9.1973e-05i,-0.0003347+0.00017416i,-0.00035664+0.00018218i,0.00060405+0.00036895i,0.0012496+0.00052242i,0.00085891-2.8072e-05i,0.00059646-0.00063109i,0.00026553-0.000504i,0.00032473-0.00042943i,0.00067992-0.00039119i,4.5111e-05-2.661e-05i
-0.00043528-0.0012761i,-0.00069555-0.001218i,-0.0010143-0.00034308i,-0.00071422+0.00039751i,-0.00019368+4.1988e-05i,-0.0002116-0.00032131i,0.0001594-6.954e-06i,0.0006378+0.0011074i,-7.7705e-05+0.0012928i,-0.00037164-6.8627e-05i,0.00020423-0.00079315i,0.00011425+0.00017726i,-0.00071464+0.00094489i,-0.0003911+0.00018148i,0.0007114+0.00018664i,0.00049586+0.00092192i,-0.00059354+0.00032561i,-0.00088862-0.00025268i,-0.00084814-0.00038631i,-0.0013588-0.00038643i,-0.001509-1.1577e-05i,-0.00068639+0.00098595i,-0.00063196+0.00099351i
-0.0014214-6.4112e-05i,-0.00046596+2.3648e-05i,0.00093948+0.0011897i,0.0017829+0.0015761i,0.0022457+0.00041573i,0.0011969-0.00027983i,0.00022432-0.00062488i,-5.8953e-05-0.00049484i,-0.0008088+0.00014146i,-0.0011177+9.8767e-05i,-0.00040576-0.00092314i,0.00011457-0.001373i,0.00025339-0.00044659i,-0.00010014+0.00015887i,-0.00026513-3.3985e-05i,0.00012549-2.7789e-05i,-0.00022018+9.9134e-05i,-0.00086804-0.00012913i,-0.00095027-0.00068851i,-0.00078419-0.00095651i,4.4398e-05-0.00067502i,0.00043833-0.0007429i,-0.00076426-0.00087428i
1.4802e-05+0.00211i,0.00057997+0.0027721i,0.0013642+0.0024945i,0.0020468+0.0017429i,0.0017612+0.00091742i,-6.4457e-05-8.65e-05i,-0.00068162-0.00019526i,0.00022665-0.00041378i,0.00096326+0.00011404i,0.00090131+0.00085536i,0.00037746+0.00078397i,-0.00067949+0.00057351i,-0.0011988-0.00079768i,-0.00096269-0.0014958i,-0.0008403-0.0011038i,-0.00038035-0.00030626i,-0.00010667+0.00013751i,3.4559e-05-0.00026092i,-0.00029715-0.00019608i,0.00021794+4.419e-06i,-4.1756e-05-0.00038831i,-0.0010882+4.9123e-05i,-0.00076928-0.00016528i
0.0010356-0.00030288i,0.00012867-0.001755i,-0.001456-0.0013369i,-0.0013041-5.9503e-05i,-0.00030069-0.00048667i,0.00062116-0.00070458i,0.0004423-0.00028407i,0.00014297-0.00055984i,-0.00035631-0.00010076i,-0.00089137+0.0004007i,-0.00089051-1.6467e-05i,-0.00062464-5.6035e-05i,6.111e-05+0.00022632i,0.00092399+0.00011746i,0.00080742-0.00019624i,0.00072694-0.0006055i,0.0004738-0.0013072i,2.7148e-05-0.0012265i,-0.00011657-0.00035024i,8.9736e-05-0.00018208i,0.00030096-0.00074228i,1.0342e-05-0.00060382i,-0.00076682+9.3626e-05i
0.00042923-0.0011559i,-0.00075019-0.00039788i,-0.0015709+0.00036274i,-0.0016115+0.001846i,-0.00053416+0.0018807i,0.0012737+0.00081701i,0.0011515-8.3361e-05i,0.0001519-0.0011311i,-0.00011376-0.0015086i,0.00010561-0.00075539i,-7.0605e-05+0.00080835i,7.6728e-05+0.0011871i,0.00057727+0.00076836i,0.00079173+0.0009987i,0.0003746+0.0011982i,0.00056958+0.00078258i,0.00055563+0.0002775i,1.9555e-05+0.00029735i,-0.00057804-0.00043234i,-0.00093985-0.00055813i,-0.0008934-0.00022648i,-0.00071813-3.6977e-05i,-0.00069854+0.0005728i
-0.001272+0.0022044i,-0.0016792+0.0031548i,-0.00078993+0.0032174i,0.0010965+0.0027079i,0.0025654+0.00186i,0.0015808+0.001251i,0.00036049+5.9119e-05i,9.2536e-05-0.0004517i,0.00022356-0.00028799i,0.0004486-0.00026291i,0.00023952-0.00023942i,6.31e-06-0.00086277i,-0.00068361-0.00032539i,-0.0012151+0.00024685i,-0.0006277+0.00040382i,-0.00015103+0.0013828i,-6.4862e-05+0.00058134i,-5.2992e-05-0.00021413i,-2.4175e-05+0.00057954i,1.2435e-05+0.00072763i,-8.1468e-05+0.00048365i,-0.00069768+5.9468e-05i,-0.0008691-0.00037506i
0.00011127+0.00069226i,0.00071035+0.00049041i,0.0010503+0.00086399i,0.00089064-7.9593e-05i,0.0010786-0.0011182i,0.0016072-0.00099923i,0.0015604+0.00017583i,0.0011204+0.00037286i,0.00067997+0.00023978i,-8.9074e-05+0.0001344i,-0.00096739+6.6981e-05i,-0.00087832+0.0001205i,-0.0005116+0.00035029i,-0.00048448-0.00046372i,-3.9606e-05-0.0008611i,-0.00021707-0.00035401i,-0.00079312-1.368e-05i,-0.0006555+0.00033704i,-0.00055355-2.0547e-05i,-0.00014343-0.0001713i,0.00090342+0.0004072i,0.0008866+2.1892e-05i,-0.00026747+0.00013202i
