0.0015562+0.00046382i,0.0026363-0.00080411i,0.0013621-0.0018086i,-0.00061833-0.0015953i,-0.0014535-0.00073826i,-0.0020858+0.00069012i,-0.0016145+0.0018693i,-0.00040434+0.0024012i,0.0012347+0.00087957i,0.0018995-0.0014671i,0.001176-0.001669i,0.00014664-0.00057053i,-0.00040774-0.00025445i,-0.00064961-0.00014957i,-0.00047163-2.6662e-05i,-0.00040705+0.0003456i,-0.00058433+0.0001949i,-0.0002702-0.00011851i,0.00089553+0.0006243i,0.0015464+0.0010536i,-6.2059e-05+0.0010831i,-0.001285+0.0002522i,-0.00055953+9.6433e-05i
0.0011932-0.0016102i,7.9863e-05-0.0012843i,-0.00067716-0.00017117i,-0.00072186+0.00015656i,-0.00093071-0.00015878i,-0.00064915+0.00058938i,4.6991e-05+0.00072916i,0.00058358+0.00023767i,0.0010391+0.00044003i,-3.0342e-05+0.00036462i,-0.00032742-0.00038125i,0.00040477-3.2912e-05i,0.00015457+0.00096464i,-0.00043699+0.00034917i,-0.00020015+9.7591e-05i,-0.00016743+0.00039043i,4.6155e-05+0.00015315i,0.00066534-7.2245e-06i,0.00016815-0.00021093i,-0.00070301+0.00018724i,-0.00065984-2.0329e-05i,0.00032457-0.00054004i,0.00074049-0.00040163i
0.00095303-0.00088397i,0.00018356-0.00034721i,-0.0014143-9.4373e-05i,-0.0013774-0.00055834i,-0.00065734-0.00053074i,-0.00047115-0.00094111i,-0.00023389-0.00039413i,0.00049723+0.00061542i,0.00055184+0.00016745i,0.0001967-0.00029365i,4.4232e-05+0.00036129i,-6.6076e-05+0.00081888i,0.00029405+0.00061203i,0.00053168+4.394e-06i,-1.7984e-05-0.0005421i,9.6973e-05+6.1202e-05i,0.00061954+0.00029712i,-0.00027306-0.00066354i,-0.0005097-0.00092396i,-0.00010417-0.00031529i,-0.00044705+0.00082663i,-0.00064764+0.0012553i,-0.00052955+0.00048208i
0.0013735+0.00028161i,0.0015202-0.00020622i,0.0010297-0.00023961i,0.00052726+0.0011646i,0.00019085+0.0015677i,-0.00041871+0.00037596i,-0.00074057-9.6335e-05i,-0.00097096+0.00045934i,-0.0010338+0.00014169i,-0.00039997+0.00025564i,0.0006856+0.00086403i,0.0013118+0.00047233i,0.0011378+0.00039361i,-5.7461e-05+0.00066093i,-0.00091321+0.00028892i,-0.00064285-0.00024215i,-0.00054492-0.00027848i,-0.00022694+0.00010713i,0.00021972+0.00043444i,0.00075053+0.00016458i,0.0006089-0.00062126i,0.00066727-0.00099069i,0.00081688-0.00044882i
-0.0023418+0.0030218i,-0.0013388+0.0017232i,-0.00053217+0.0014379i,0.00070218+0.0018654i,0.0013459+0.0011019i,-7.6536e-05-0.00076765i,-0.001063-0.00087518i,-0.0006337+0.00042158i,-0.00016523+0.00044345i,0.00022452+0.00020457i,0.00091984-0.00029936i,0.00099388-0.00076427i,0.00077957-0.0011063i,0.00033884-0.00082273i,-0.00048974-0.00056039i,-0.00048058-0.00063606i,0.0005051-0.00027229i,0.00065002+0.00029264i,0.00038622+0.00042618i,-0.0001774+0.0010196i,-0.00051203+0.0011328i,0.00028489+0.00044593i,0.00078871+0.00031377i
-0.0014201-6.6976e-05i,-0.00062291+0.00016318i,-4.3157e-05+0.00021248i,-0.00036031+0.00029257i,-0.00031795+0.00021504i,4.5478e-05+0.00096779i,0.00033513+0.0010579i,0.00054046-1.8288e-05i,0.00062516-0.0003485i,0.00050333-0.00067846i,0.00019802-0.00031792i,0.00058386+7.3912e-05i,0.0010483-0.00043043i,0.00032505-0.00073925i,0.00024974-0.00016868i,0.0002-0.00013182i,-1.6973e-05-0.00063174i,-0.00040573-0.00030508i,5.8781e-05-0.00071776i,2.8535e-05-0.00116i,4.0902e-05-0.00023889i,0.00049109+0.00034385i,0.00045204+0.00058275i
0.0013596+0.00023913i,0.00082822+0.00043759i,0.0012054-0.00012132i,0.0015142-0.00037174i,0.00027501-0.00031207i,-0.00063065-0.00059613i,9.943e-05-0.00043887i,0.00093698-8.1042e-05i,0.00096423-0.00057005i,0.00026982-0.00070752i,-7.0089e-05-0.0001464i,-0.00031395-0.00071296i,-0.00059185-0.0014107i,-0.00051989-0.00060296i,-0.0001389+0.00051388i,0.00034368+0.00058122i,0.00049282+6.416e-05i,-3.641e-05+0.00017824i,-0.00017598+0.00014123i,0.00021224+8.6649e-05i,0.00028382+0.00055314i,0.00030663+0.00035357i,0.00088309+0.00019923i
0.00076591-0.00028304i,0.0004657-0.001348i,-1.2244e-05-0.0016903i,-0.00033633-0.00048073i,-0.0010065+0.00032228i,-0.00084936+0.00024565i,0.00039399+0.00025065i,0.0009016+0.00055249i,0.00091861+0.00020301i,0.00035265-0.00011491i,-0.00025468-0.00069091i,0.00050151-0.0010907i,0.00085982-0.00073744i,0.00063037-0.00045065i,0.00052386-0.00086818i,0.00017524-0.00077496i,7.4915e-05-3.5239e-06i,-0.00041433+0.00092544i,-0.00073165+0.0013187i,-0.00043345+0.00068225i,-0.00033811+7.9843e-05i,-0.00013799-7.5914e-05i,-0.00018526+0.0002155i
0.00033356+0.0016372i,0.0009782+0.0020856i,0.00058135+0.001986i,-0.00083965+0.0016187i,-0.0011959+0.0009874i,-0.00049578+0.00044559i,-0.0004337+0.00045111i,-0.00064214+0.00062262i,0.0005663+0.00046489i,0.0011057+0.00051127i,0.0004943+0.00043247i,0.00032809+1.9385e-05i,0.00042175+0.00026358i,0.00044568+0.00079386i,0.00032211+0.00076954i,0.00024461+0.00025917i,0.00035433-0.00024346i,5.772e-05-0.00032471i,-0.00018497-0.0010811i,-0.0001639-0.0013568i,-0.0005288-0.00078848i,-0.00040451-0.00054607i,-0.0002707-0.00012075i
-0.0008318-0.0010867i,0.00033257-0.0013327i,0.00061623-0.00030407i,-0.00036442+0.0013158i,-0.00088131+0.0014834i,-0.00010137+0.00087481i,0.00050267-0.00038421i,0.00044485-0.00050755i,-0.00066541-0.00036897i,-0.00071588-0.00018319i,-0.00065254-7.1335e-05i,-0.00082171-0.00061701i,-8.368e-05-0.00048305i,3.4437e-05-0.00045283i,-0.00021772+0.00041136i,-0.00067749+0.00022653i,-0.00068924-0.00094735i,-0.00031873-0.0010106i,0.00039759+0.00016674i,5.9056e-05+0.00091758i,2.4196e-05+0.00045302i,0.00035224+3.1617e-05i,0.00020875+0.00010326i
0.00069541-0.00085976i,0.00051632-0.00070432i,-5.5638e-05+7.2913e-05i,-6.4375e-05-0.00029589i,0.00015756-0.0015976i,-0.00058495-0.0014679i,-0.0013293-0.0001112i,-0.00054071+0.0010154i,0.00048924+0.00079676i,0.0008592+0.00060011i,0.00050003+0.00027093i,-0.00079265-0.00077231i,-0.00035014-0.001586i,0.00055084-0.001011i,0.00058236-7.4696e-05i,6.2023e-05+3.2143e-05i,-8.3174e-05+8.0246e-05i,-0.00021127-0.00023504i,-0.00015449-0.00028065i,0.00022667+0.00070574i,-0.00036276+0.00093275i,0.00024052+0.00066512i,0.0014576+0.00039771i
0.00013772+0.001133i,0.0012749+0.0018199i,0.00025133+0.0024153i,8.003e-05+0.0019576i,-0.00038041+0.0011756i,-0.0011856+0.00014064i,-0.00108+0.00023827i,-0.00027474+0.00087165i,0.00012809+0.00069235i,0.00093489+0.00057164i,0.0010807+5.3746e-05i,0.00091543-0.00068193i,0.00043155-0.00086417i,0.00038272-0.00068823i,0.00042272-0.00088375i,0.00069563-0.00049401i,0.0010185-3.5864e-05i,0.00066697-0.00080378i,0.00054675-0.00092502i,0.00071044-0.00099813i,0.00089791-0.00057958i,0.00037846+0.00036897i,0.00047774+0.00054221i
-0.0013062+0.00085392i,-0.00054647+0.0009549i,0.00030557+0.00074664i,0.0013523+0.00080584i,0.0017647+0.00090174i,0.001093+0.00039688i,-0.00024575+0.00027707i,-0.00091631+0.00059519i,-0.00083315+0.00047468i,-0.0002793+0.00095075i,0.00023153+0.00027539i,-0.00013433-0.00066555i,-0.0012973-0.00069166i,-0.0013451-0.00094093i,-0.00018741-0.0002134i,0.00054525+0.00031467i,0.00070372+0.00023431i,0.00022463+0.00020077i,-0.00026148-0.00046165i,-0.00044106-0.00067026i,7.6595e-05+2.6614e-05i,0.00031623+0.00025957i,0.00018728+0.00011618i
