0.0013184-0.00055339i,0.00015241-0.0012702i,-0.0011279-0.0029358i,-0.0021023-0.0020767i,-0.0018297-0.00019323i,-0.001219+0.0010132i,-0.00029664+0.0015362i,0.0010265+0.0006664i,0.0016256-0.00026926i,0.0015928-0.00059317i,0.001075-0.00087026i,0.00042776-0.0010111i,-0.000301-0.00087097i,-0.00037258-0.00024716i,0.00010059-0.00022011i,0.00017979-0.00036773i,-1.8045e-05-0.00019732i,0.00060683-5.5044e-06i,0.00030071-9.8893e-05i,-0.00010404-0.00066687i,-8.5276e-05-0.00046381i,-0.00046955+0.00045673i,-0.00078661+0.0012662i
5.6889e-05+0.00016084i,0.0010706-0.0018129i,0.000578-0.0021949i,0.0002676-0.0010984i,0.0015029-0.00011007i,0.0025049-0.00031679i,0.002061-0.00055409i,0.00039473+0.0001056i,0.0006204+0.00051941i,0.0014549+0.00050529i,0.0012714+0.00012191i,0.00049481-0.00085412i,3.9652e-05-0.0011893i,0.00014032-0.00052278i,-0.00042148+0.00020618i,-0.00050912+0.00015467i,-0.00036881+8.2985e-05i,-0.00012182+0.00049132i,-0.00027714+0.00022499i,-0.00027408-1.6855e-05i,0.00022077+0.0001331i,0.00016619+0.00021801i,-0.00011653+0.00039208i
-4.9434e-05+0.0011371i,-0.0020407-0.00072698i,-0.0027059-0.0016081i,-0.0013082-0.00018286i,0.00077907+0.0017018i,0.001401+0.0015491i,0.00092455+0.00046152i,0.00023087+0.00057761i,-6.7332e-05+0.00097694i,0.00061054+0.00048917i,0.00019847-0.00023521i,-0.00039233-0.00023839i,4.1159e-05-0.00029228i,0.00066768-0.00033364i,0.00052118+6.033e-05i,0.00022949+0.00041507i,7.764e-05+0.00022208i,-0.00065526+4.696e-05i,-0.0005457+0.00037209i,-0.00014108-2.8801e-05i,-0.00037756-0.00017298i,-7.9318e-05+0.00024236i,0.00089638+0.00047907i
-0.0012721-0.0013901i,-0.0015412-0.0015729i,-0.0022157-0.0020907i,-0.0016134-0.00073214i,1.2393e-06+0.0012014i,0.001122+0.0010297i,0.0010976-0.00072947i,0.00036777-0.00081879i,-0.00023288-0.00026942i,-5.6874e-05-6.5437e-05i,0.00039251+0.00033288i,0.00041259-0.00019407i,0.00073761-0.00066543i,0.00051318+0.00020011i,-9.9319e-05-0.00035138i,-0.00027346-0.00077451i,-0.00028044-0.00031006i,0.00052615-0.00042548i,0.00062017-0.00041411i,-0.00019393-0.00039218i,0.0002366-0.00035316i,0.00025586-0.00035523i,-0.00070483+0.00033439i
-0.00066713-0.0013177i,-0.0017207-0.0022964i,-0.0020121-0.002016i,-0.0017122-0.00041217i,-0.00016712+0.00062092i,0.00097134-4.573e-06i,0.0011234-0.0005705i,0.00088512-0.00027947i,0.00088704-0.00046075i,0.00093056-0.00095525i,0.0011151-0.0012968i,0.00084989-0.00031285i,-0.00074045+0.00032149i,-0.00085774-0.00020619i,-0.00021245-0.00049736i,-0.00021252-0.00027848i,0.00022065-0.00039784i,0.00077545-7.4631e-05i,0.00035441+0.00092168i,-0.00043613+0.0012656i,-1.651e-05+0.00070221i,0.00043239+0.00016851i,0.00023977-0.00061728i
0.0021928+0.00011161i,0.00076786-0.00046454i,-0.0016228-0.0010767i,-0.0017473-0.00045132i,0.00058946+0.0011475i,0.0014843+0.0014361i,0.0011733+0.00082904i,0.00031322+0.00027857i,-7.5701e-05+0.00036205i,0.00025867+0.00072208i,0.00056432-3.6949e-05i,0.00039574-0.00022275i,0.00059675-9.3394e-05i,0.00071806-0.00049526i,0.00087946-2.0271e-05i,0.00076549+0.00062972i,0.00039668+0.00048618i,0.001071-0.00034795i,0.00083129-0.00086402i,-0.00025885-0.00075798i,-0.00046528+0.00016859i,0.00012112+0.0011143i,0.00033135+0.00086834i
0.00089309-0.0021488i,-9.1656e-05-0.0034569i,-0.00091123-0.0042957i,-0.0015887-0.0018267i,-0.00063501+0.00072695i,0.001647+0.00087988i,0.0020628+0.00047572i,0.00070371+0.00022686i,0.00014565-0.00047085i,-7.6567e-05-0.00057295i,-0.00012403-0.00061728i,0.00050771-0.00092745i,0.0012152-0.00062768i,0.00053983-1.4604e-05i,-0.00070087-0.00050108i,-0.00032417-0.00047408i,-0.00016972+0.00071762i,-0.00034769+0.00047924i,-0.00025833+5.7192e-05i,3.8604e-05+0.00038326i,0.00029931+0.00012188i,1.0986e-05-0.00049705i,0.00056798-0.00026394i
-0.0019314+0.00012825i,-0.0028388-0.00066172i,-0.0029138-0.0006848i,-0.0014326+0.00033146i,0.00033946+0.001869i,0.0013875+0.0016536i,0.0015728+0.00038171i,0.00094206-3.5021e-05i,3.7055e-05-0.00010578i,0.00026965-0.00063464i,0.00051243-0.00054608i,0.00041756+0.00039917i,0.00082509+0.0002876i,0.00037469+0.00014257i,3.1016e-05+0.00017997i,0.00019315+0.00029455i,-4.1796e-05+0.00046593i,9.5951e-05+0.00057705i,-0.00018043+0.0007066i,-0.00014616+0.00020318i,-2.2086e-05+0.00027483i,-0.00034608+0.0002836i,-0.00021847-0.00017248i
-0.00034206-0.00030532i,-0.00049612-0.0015965i,-0.00045305-0.0023952i,0.000253-0.0019096i,0.0015132-0.00086746i,0.0017516-0.00071385i,0.0008212-0.0010284i,0.00034871-0.00036662i,0.00041306+0.00042698i,0.00049905+0.00016474i,0.00014067-9.5173e-05i,-0.00047483-0.00037425i,-9.2353e-05-0.00053026i,0.00035406-0.00044396i,0.00043069-0.00049762i,0.00047888-0.0001868i,0.00030648-0.00026464i,0.00021363-0.00034617i,0.00018832-0.00019053i,0.00028872-0.00038174i,0.0003707+0.00048109i,0.00020538+0.0015097i,-9.2098e-05+0.0011441i
0.0010661-0.0012317i,-0.00050817-0.0022481i,-0.0019309-0.0032558i,-0.0023143-0.0024955i,-0.00073836-0.0007935i,0.0013333+0.00014365i,0.001536+0.00029457i,0.00052983+0.00026506i,0.00012341+0.00048805i,0.00014299+0.00027505i,-0.00033204-0.00065338i,-0.00074081-0.00076898i,0.00017073-0.00041651i,0.0013572-0.00067914i,0.0011431-0.00088073i,3.8626e-05-0.00035988i,-0.0007293+0.00018311i,-0.00024169-0.00030072i,0.00020978-0.00024585i,0.00016037+0.00065917i,4.0369e-05+0.00095838i,-0.00091183+0.00038212i,-0.00094151-0.00035497i
0.0002899+0.00088954i,-0.00079913-0.00086004i,-0.0018726-0.0013253i,-0.0020612-0.00097215i,-0.00016536+0.0003197i,0.0014851+0.00034439i,0.0017347-0.0005194i,0.0013267-0.00087827i,0.0013387-0.00046991i,0.00063976+0.00076801i,-0.00028945+0.00045076i,9.2315e-05-0.00067595i,0.0002325-0.00040982i,-0.00044751-0.00010027i,-0.00046674+0.00016784i,-0.00020418+0.00054081i,-1.2974e-05-9.2176e-05i,0.00056349+2.6924e-05i,0.00044456+0.00082763i,-0.00050848+0.0006284i,-0.0008585+6.3269e-05i,-0.00028914-4.6522e-05i,0.00038933-0.00051032i
-0.0008867-0.0016021i,-0.0033445-0.0019422i,-0.0044-0.0017675i,-0.0028486-0.00036784i,-0.00013793+0.00072634i,0.001249+0.00072418i,0.0012062-1.5617e-05i,0.00056052-0.00072466i,0.00052761-0.00091833i,1.9972e-06-0.00043i,-0.00055236-6.1334e-05i,-0.00054091-2.7432e-05i,-0.00021505-0.00036828i,0.00012948-0.00053806i,7.9548e-05-0.00034589i,-0.00014274-0.00011912i,5.4052e-05+0.00013903i,-0.00034992+0.00012648i,-0.00076597-8.8405e-05i,-0.00055287-0.00017019i,-0.00048299-3.7881e-05i,-0.00016838-9.6808e-05i,-0.00017247+0.00030422i
-0.00060594-0.002676i,-0.00063476-0.0035843i,-0.00082283-0.0037369i,-0.00037641-0.0024192i,0.00012535-0.00073971i,0.00084468-0.00085239i,0.001857-0.0010875i,0.0021383-0.0002396i,0.0010959+1.2453e-05i,-0.00024425-0.00023383i,-0.00070086-0.00042659i,-0.00022535-0.00020741i,0.00051357+0.00055913i,0.00054985+0.0005151i,-0.00046879-0.00047315i,-0.00052193-0.0010371i,0.0010171-0.00048995i,0.0015572-0.00010985i,0.00058009-0.00012791i,-9.7932e-05-0.00010424i,-0.00057997+0.00069401i,-0.00072546+0.0014486i,-0.00079455+0.00070898i
-0.00020397+1.9168e-05i,-0.0018033-0.00089939i,-0.0021086-0.0018901i,-0.00092267-0.00052867i,0.0010259+0.00084156i,0.0017732-0.00017004i,0.0011733-0.0013257i,0.00081031-0.00082198i,0.00052569-0.00021166i,0.00052725-0.00035766i,0.00046154-0.000488i,6.1622e-05-0.00055459i,9.3801e-06-0.00012266i,0.00024796+0.00025196i,0.00041268-0.00023057i,0.00083795+9.321e-05i,0.00079532+0.00050768i,0.00095843-4.8082e-05i,0.0016072+0.00023572i,0.00087208+0.00043677i,0.00037555-0.00027926i,-8.3855e-06-0.0006158i,8.4386e-06+0.00014394i
0.00030426-0.0010048i,-0.00018383-0.001704i,-0.001438-0.001845i,-0.0018459-0.00062318i,-0.00062525+0.00052555i,0.0011601+0.00069947i,0.0015074+0.00053447i,0.0013487+0.00017247i,0.0011476-0.00024092i,0.00077578-0.00030523i,0.00042487-0.00015145i,-0.00043792-3.534e-05i,-0.0007789+0.0004044i,-0.00084829+1.3917e-05i,-0.00061552-0.00081971i,7.5108e-05-0.00067492i,-0.00018482-0.00047469i,-0.00030069-0.00048227i,-0.00011024-0.00021945i,0.00060963+0.00012136i,0.00037143+0.0006404i,-0.00037806+0.0007244i,-0.00036983+0.00054158i
-0.0016791-0.0020161i,-0.0021788-0.0034627i,-0.0022654-0.0032491i,-0.0011947-0.0014549i,0.0012024+0.00055476i,0.0024671+0.0009207i,0.0015459+0.00011566i,0.00034997-0.00045033i,-0.00014333-0.00010745i,-9.6784e-05+6.4433e-05i,0.00041821-0.0004091i,0.0003024-0.00043053i,-0.00057506+0.00014808i,-0.00082877+0.00054596i,-0.0002924+0.00042803i,0.00030715+0.00020956i,0.00038318-0.00023222i,-5.0862e-05-0.00066019i,-0.00078839-0.00074468i,-0.00092245-0.00080314i,-0.00032672-0.00052501i,-0.00042775+0.00044777i,-0.00021696+0.00041168i
0.0017275-0.00080618i,0.0010621-0.0013887i,-0.00035343-0.0017535i,-0.0016976-0.00046911i,-1.9334e-05+0.00020467i,0.0020084-6.5704e-05i,0.0020502+0.00057394i,0.0015007+0.00071649i,0.0012532-0.00016682i,0.00068726-0.00078263i,-9.3704e-06-0.0005413i,2.0449e-05-0.00023005i,-0.00012255-0.00016826i,-0.00036121-0.00073886i,-0.00010625-0.0009191i,-0.00056876-0.00067982i,-0.00089273-0.00055442i,-0.0007883-1.4627e-05i,-0.0003758+0.00026816i,-0.00060209+0.0004294i,-0.0011056+0.00069132i,-0.00073959+0.00074925i,-0.00026895+0.00044128i
0.0015522-0.00064334i,0.00055328-0.00025659i,-0.00093823-0.00028295i,-0.0022004-0.00051707i,-0.0013776-9.4966e-05i,0.00037874+0.00075797i,0.0012321+0.00070192i,0.0014188+7.465e-05i,0.0014917+0.00042615i,0.00072622+0.0001464i,0.00013797-0.00084431i,0.00022136-0.0012344i,0.00024152-0.00065481i,0.00054678+7.3006e-05i,0.0014001+6.3149e-05i,0.0011741+0.00018486i,0.0004434+9.4614e-05i,0.00035768-0.00026752i,0.00061501-0.00056212i,0.00028085-0.00033143i,-0.00071029+0.00056094i,-0.00099263+0.0012118i,0.00029601+0.0007412i
-0.0024546+0.0016012i,-0.003339+0.00015163i,-0.0033479-0.0010808i,-0.00093794-0.00043195i,0.0019539+0.0012488i,0.002377+0.0014832i,0.001089+0.00034785i,5.2229e-05-0.00034658i,0.00057105+0.0002944i,0.0013326+0.00031853i,0.0012099-0.0011092i,0.00077974-0.0016965i,0.00047965-0.0013428i,-0.00020516-0.00083083i,-0.00070469-0.00041278i,-0.00053268+4.0948e-05i,0.00026289-9.861e-05i,0.00046736-0.00042662i,4.8772e-05-0.00025658i,5.3149e-05-0.00033992i,0.00015583-0.00038211i,0.00025388+0.00088061i,-0.00010821+0.0016465i
-0.00076839-0.0027449i,-0.00067403-0.0030827i,-0.0016158-0.0029674i,-0.0013737-0.0017413i,0.00018495+1.4069e-05i,0.001903-0.00019853i,0.0020074-0.00065246i,0.0010194-0.0001471i,0.00038916+0.00018625i,0.00021292-9.0081e-05i,-0.00015111-0.00021709i,-0.0003902+0.00012358i,-0.00015744+0.0001628i,-9.4598e-05-7.1706e-05i,-0.00027447-8.2807e-05i,-0.00028026+0.00035963i,0.00011066+0.0002485i,0.00017362-0.00093905i,2.9673e-05-0.00073812i,0.00067194+0.00026619i,0.00033109+0.00044663i,-0.00050275+0.0003837i,-0.00039844+0.00032082i
-0.00052979-0.0018821i,-0.00068163-0.0016746i,-0.0010622-0.0010073i,-0.0019404+0.00037414i,-0.00055801+0.0018699i,0.0011755+0.0020877i,0.0013372+0.0014132i,0.00041782+0.00053584i,-5.6313e-05-0.00034504i,-0.00025332-0.00054193i,-0.00025995-0.00085694i,0.00024194-0.00082443i,0.00073472-0.00023212i,0.0013294-0.00054825i,0.0015597-0.0010908i,0.00082445-0.00082407i,-0.000164-0.0002877i,-2.1072e-05+0.00027776i,-0.00027725+0.00017427i,-0.00086352-8.1628e-05i,-0.00060273-0.00013719i,-0.00039204-0.000407i,-0.00074831-0.00014124i
0.0015947-0.0016197i,0.0011168-0.0025944i,-0.00011069-0.0027194i,-0.00036373-0.0018477i,0.00015912-0.0005947i,0.0014518+0.00013066i,0.0020036-0.00029067i,0.0015405-0.00049334i,0.00086927-0.00025131i,0.00028583-0.00073886i,0.00022072-0.0010645i,-7.1863e-06-1.5745e-05i,-0.00048527+6.6288e-05i,-0.00023143-0.00030816i,0.000158-2.0015e-05i,0.00048232+8.4089e-05i,0.00022102-8.7533e-05i,-0.00043555-0.00024413i,-0.00018914-0.00031371i,-0.00029941+6.4773e-05i,-0.00043628-7.8954e-05i,-5.9469e-05-7.3018e-05i,7.1312e-05+0.00073415i
-3.8951e-05-0.00035331i,-0.0018382-0.0020581i,-0.0034834-0.0022867i,-0.0026989-7.5566e-05i,-0.00020512+0.0016501i,0.0016053+0.0012302i,0.0013383-0.00045146i,0.00073602-0.0012385i,0.001101-0.0012705i,0.0012018-0.0010405i,0.0004059-0.00099165i,-5.3788e-05-0.00082842i,0.00022086-0.00070482i,0.00041347-0.00089553i,5.2881e-05-0.00048596i,0.00049172-0.00012389i,0.0006526+0.000295i,0.00020205+0.00027817i,-3.1727e-05+0.00025504i,-0.0006259+0.00025765i,-0.0014971+0.00029016i,-0.0021064+0.00064218i,-0.0016158+1.188e-05i
0.0017477-0.0001532i,0.0019419-0.0010303i,0.00073254-0.0016372i,0.00062889-0.0007875i,0.00054975-8.3691e-05i,0.00049429+0.00033624i,0.00061379-2.9908e-06i,0.00076965-0.00058369i,0.000609-0.00083108i,5.9904e-05-0.0012574i,-0.00013875-0.00085916i,-0.00027925-0.0001933i,-0.00038049+0.00044812i,-0.0014681+0.0003367i,-0.0015668+0.00037843i,-0.00016929+0.00071319i,0.0005371+0.00039743i,0.00031508+0.00023691i,1.3937e-05+0.00013177i,-0.00038428-9.0161e-05i,-0.00047102-0.00066653i,-0.0001754-0.0007582i,0.00049665+0.00034171i
