4.1105e-05+0.0027645i,0.00050231+0.0017848i,-0.00058547-8.5775e-05i,-0.0017061-0.0017347i,-0.0023158-0.0010515i,-0.0031462+0.00081772i,-0.0019401+0.002159i,0.00012557+0.0030573i,0.0011959+0.0022405i,0.0013099+0.00028149i,0.0007556+0.00015444i,2.7392e-06+0.00061086i,-0.00045667+0.00039243i,0.0001093+0.00030066i,9.9877e-05+0.0003328i,-0.00013735-4.3616e-05i,7.2737e-05-0.00032627i,9.3947e-05+0.00050372i,4.6209e-05+0.00056297i,0.00034878+5.831e-05i,9.4239e-05+0.00038952i,-0.00058344+0.00046767i,-0.00034584-0.00012287i
-0.00010734+0.0012163i,-7.988e-05+0.0017898i,0.00013201+0.0021065i,0.00061109+0.0012521i,-0.00043381+0.00010622i,-0.0011141+0.00032048i,-0.00028194+0.0012528i,0.00078792+0.0018148i,0.00075542+0.0013389i,0.0002866+0.00074896i,0.00063784+0.0003775i,0.00047978+0.00035986i,-0.00027156+0.00012297i,-0.00047937-0.00028539i,-5.1923e-05-9.4108e-05i,0.00032025-5.6271e-05i,-0.00021267-0.00026746i,-0.00062996-0.00032547i,-0.00078995-0.00043214i,-0.00062334-0.00040024i,-0.00026801-0.00027895i,-4.3849e-05-5.7557e-05i,0.00059976-0.00016363i
-0.00034224-0.00057548i,-0.00055053+0.0005799i,-0.00060966+0.00098611i,-0.00076567-0.00024779i,-0.0010757-0.0015367i,-0.0012357-0.0017813i,-0.00046729-0.001053i,0.00026715+0.00036694i,0.00029334+0.0011749i,0.00048797+0.0012763i,0.00050291+0.001094i,-0.00017804+0.00060262i,-0.00012972+0.00032388i,0.00027449+0.00024623i,0.00023968+0.0001645i,0.00012949-5.6479e-05i,0.00028623-0.00043385i,0.00020874-0.00064496i,0.00038629-0.00039928i,0.00032758-0.00025523i,5.9289e-05-0.00040859i,0.0006196-4.2532e-05i,0.00050643+0.00049716i
0.00038337+0.0012692i,-9.9063e-05+0.0012462i,0.00063722+0.0010968i,0.0016228+0.00041141i,9.4108e-05-0.00061539i,-0.0016805-0.00013409i,-0.0015622+0.00024091i,-0.00062254+0.00069995i,0.00030794+0.0012231i,0.000251+0.00089936i,0.0001456+0.00022946i,0.00096129-0.00022156i,0.0016223+0.00054253i,0.0013403+0.0013656i,0.00048573+0.00069908i,-0.00031167+0.00014233i,-0.00094156-0.00018486i,-0.0011699+5.0776e-05i,-0.00061814+0.00074513i,0.00015145+0.00083641i,0.00034849+0.00053204i,0.0004746+0.00057213i,0.00042382+0.0010809i
-0.00021771+0.00065328i,-0.00026575+0.0014764i,0.00087942+0.0016165i,0.0008198+0.00071802i,-0.00094971-0.0005613i,-0.001449-0.0010321i,1.3794e-05+0.00036398i,0.00050331+0.0010393i,0.00066381+0.00091026i,0.0017467+0.00045266i,0.0021552+3.1948e-05i,0.0011966-0.00010699i,-0.0001703+0.00024991i,-6.8055e-05+0.0005204i,0.00011461+0.00036083i,0.00014277+0.0003135i,-0.00039022+0.00012613i,-0.00061279-4.2119e-05i,-0.00073991-0.00029484i,-0.0010093-4.0532e-05i,-5.7326e-05+4.7751e-05i,0.00047954-0.00032775i,0.00024876-0.00041338i
-0.0020498-0.00045929i,-0.00070766+8.3159e-05i,-0.00010763+0.0011422i,-0.00061837+0.00075361i,-0.00044824-0.00042516i,0.00024429-0.0003997i,9.2617e-05+8.3094e-05i,0.00039497+0.00042035i,0.0006545+0.00035082i,0.00073973+0.00083818i,0.000963+0.0011824i,0.00042902+0.00034723i,-0.0002588-3.1239e-06i,-0.00052501+2.4071e-05i,-0.0003879-0.00044944i,-0.00040503-0.00055504i,-0.00034655-0.00040151i,0.0002093-0.00023909i,-0.00027973+0.00013355i,-0.00071184+7.5322e-06i,-0.00028889-0.00035657i,0.00038208-0.00019235i,0.00071084+0.00044617i
-0.00023613+0.00050645i,0.00018736+0.00086711i,1.0809e-06+0.0011355i,-0.00020416+0.0014706i,-0.00037569+0.00028876i,0.00094957-0.00011057i,0.0020484+0.00081902i,0.0014519+0.0011342i,0.0010783+0.0010717i,0.0011719+0.0013394i,0.00073131+0.00060638i,-2.9792e-05+0.00043151i,-0.00058713+0.00087185i,-0.00025432+0.00014904i,0.00051916-2.1687e-06i,0.00066283+0.00040204i,0.000546+0.00048756i,0.00015662+0.00011107i,-0.00011429+3.0676e-06i,-0.00037445+3.8866e-05i,-0.00020961-0.00068394i,0.00015071-0.00075471i,-1.2177e-05-2.8252e-05i
0.00067793-0.00061064i,0.00021657+0.00043071i,0.00062603+0.001046i,0.00033471+0.00076502i,-0.00069566-6.6904e-05i,-0.0017124-0.00017294i,-0.0015047+0.00044726i,-0.00036598+0.00068225i,0.00019501+0.00066851i,0.00010425+0.00044774i,-0.00018944+0.00035947i,-4.8181e-05+0.00032395i,0.00020349+0.00040118i,0.00031607+0.0004765i,0.00085822+0.0009515i,0.00078628+0.00093871i,-5.4743e-05-2.7696e-06i,0.00025419-0.00021516i,0.00066819+2.5115e-05i,-6.9711e-05-4.1098e-05i,-0.00085941-0.00025793i,-0.0008133+0.00040734i,-0.0003252+0.00092319i
0.00020407+0.00072396i,8.2744e-05+0.0017908i,0.00017051+0.0019302i,0.00024599+0.0016449i,-3.995e-05+0.0002447i,-4.3969e-05-0.00063848i,2.6436e-05+0.00029065i,0.00048145+0.0010626i,0.00025812+0.00056849i,3.2883e-05+7.3732e-05i,2.1403e-05+0.00061221i,-0.00025486+0.00085182i,-0.00027591+0.00027435i,-0.00020783-4.143e-06i,-0.00028962+0.00047358i,0.00042609+0.0013329i,0.00096071+0.0010204i,0.00032465+0.00026585i,-0.00039368+9.3476e-06i,-0.00040245+0.00015226i,-0.00018388+0.00027868i,-0.00011974+0.00063642i,-0.00032729+0.00052599i
-0.0005902+0.0017864i,-0.00022285+0.0026649i,0.00036694+0.0021328i,0.00131+0.00067227i,0.0016623-0.00021112i,0.00072317+6.0695e-05i,-0.00019875+0.0003647i,-0.00012606+0.0002549i,3.5602e-05+0.00093669i,-1.5063e-05+0.0018973i,-9.6809e-06+0.0015514i,0.00041172+0.00041656i,0.000452-1.946e-05i,-0.00012411+1.3957e-05i,-0.00084433+0.00012021i,-0.0010287-0.0002291i,-5.628e-05+0.00011524i,0.00099624+0.00079637i,0.00028446+0.00043136i,-0.0003213-0.00025955i,-0.00020588-0.00076846i,3.9445e-05-0.0010082i,3.9258e-05-0.00078881i
-0.0010965-0.00053235i,-0.00059498+0.00058255i,-0.00036438+0.0012476i,-0.00042647+0.00056211i,-0.00041499-3.8728e-06i,-0.0002798-0.00041806i,0.00018577-0.00049329i,0.00056793+0.0003429i,0.00055296+0.001221i,0.0006395+0.0011635i,0.0011511+0.00061629i,0.00070803-1.0234e-05i,0.00015222-0.00039085i,0.000289-0.00010888i,0.00075951-0.00054818i,0.00040977-0.00023151i,4.3771e-05+0.00041469i,-5.7389e-05+0.0002485i,-0.00043878+0.00028897i,-0.0010438+0.00023516i,-0.0011596-0.00010725i,-0.00025211+5.8482e-05i,-7.7974e-05+5.0201e-05i
