-0.00050852-0.0002218i,-0.00083917+0.0006i,-0.0022942+0.00054868i,-0.0032111-0.00013441i,-0.0036376+0.00037964i,-0.0031065+0.0018153i,-0.00093438+0.0019424i,0.0010699+0.0010924i,0.0014738+0.00046232i,0.0011568-0.00066004i,0.00062947-0.0015096i,-0.00014684-0.001089i,-0.00091841+6.8282e-05i,-0.001607+0.00022122i,-0.00083738-0.00041269i,-0.00030903-0.00027168i,-0.00037585+0.00058977i,0.00047666+0.00021793i,0.00079028-0.00057769i,0.00030869-0.00049204i,-0.00020708-0.0010387i,-0.00050521-0.0010066i,-0.00095257-5.4945e-05i
-0.0005585+0.001082i,0.00021308+0.00096097i,-9.6617e-05+0.0010363i,-0.00087479+0.0007705i,-0.0012869+0.00086493i,-0.0009133+0.0010495i,0.00034589+0.00042708i,0.00038146-0.00060399i,-0.00024196-0.00067322i,0.00018269-0.0002862i,0.00051435-0.0001321i,0.00036208-0.00060409i,-0.00032125-0.00062067i,-0.00057392-8.4199e-05i,0.00016332-0.00028042i,0.00031414-0.00049182i,0.00062582-0.00011777i,0.00055796+0.00076594i,-5.2104e-05+0.00080643i,-0.00013537+0.00016833i,-0.00014838+2.688e-05i,-0.00011258+0.0004003i,0.00038658+0.00064328i
-0.00024817+0.00030821i,0.00079184-1.4172e-05i,0.00065723-0.00033821i,-0.00036423-0.00091851i,-0.00035509-0.00075378i,-0.00026926-0.0007497i,0.00039268-0.00074648i,0.00083851-0.00066423i,0.000227-0.00029078i,6.8874e-05+0.00038155i,-4.241e-05-8.5574e-05i,-0.00064555-0.0008216i,-0.00035572-0.00062238i,0.00045587+0.00023778i,0.00016941+0.00036366i,-0.00089182+0.00026453i,-0.00074038-0.00031451i,-0.0005358-0.00077986i,-0.00055063-0.00043053i,0.00058784-0.00039674i,0.00081152+0.00021085i,5.3548e-05+1.7708e-05i,-0.00043278+5.9665e-05i
0.0015038-0.00093754i,0.0026738-0.0013965i,0.0019541-0.0021864i,-0.0012462-0.0018179i,-0.0034691-0.0013629i,-0.0020074-0.00048782i,0.00012961-7.7324e-05i,-0.0001431-0.00046901i,-0.0010076-0.001174i,-0.00036666-0.0014183i,7.5059e-05-3.3159e-05i,-0.00012888+0.0010861i,9.7122e-05+0.000541i,0.0003447-2.7266e-05i,0.00052623-0.00049581i,0.00056415-0.00060283i,-8.2455e-05-0.00041013i,-0.00072572-0.00040772i,-0.00065924-0.00011541i,-0.0002279+0.00057139i,6.422e-05+0.00059552i,-3.825e-05+0.00021374i,-0.00055416+0.00041595i
0.0012651-0.00020638i,0.00111-0.0013483i,-0.00036848-0.0019327i,-0.0020909-0.0011972i,-0.0025197-0.00072988i,-0.0019715+0.00019308i,-0.001201+0.00022411i,-0.00054541-0.00093139i,-0.00041338-0.00079171i,-7.4003e-05-0.00024285i,3.8385e-06+0.00023803i,0.00012207-9.0798e-05i,0.00082944-0.00052832i,0.00086754-0.00015857i,0.0010317+4.4276e-05i,0.00073832-0.0001074i,-0.00024314-0.00049703i,-0.00041853-0.00073639i,0.00023578-0.00045364i,0.00026033-0.00095546i,0.00018796-0.001332i,0.00065263-0.00043383i,8.0938e-05+0.00012732i
-0.00044896-0.00048459i,-0.00079391-0.0015297i,-0.00083254-0.0020752i,-0.0016345-0.0015555i,-0.003297-0.00019969i,-0.0023104+0.0014546i,-2.3968e-05+0.001204i,0.00088473-0.00084297i,8.0759e-05-0.0015041i,-0.00075111-0.00060433i,-0.001052+2.8805e-05i,-0.00032252+0.00049569i,0.00016843+0.00064557i,-0.00012281+0.00041573i,-0.0003435-4.8778e-05i,-0.00041164-0.00050248i,0.00018034-0.00018248i,0.00087669+0.00066268i,0.00010848+0.0009269i,-0.00061532+0.00035018i,-0.00076395+0.00041835i,-0.00074408+0.00076187i,-0.00024072+0.00021247i
0.00052778+0.00098399i,0.00071475+0.0012236i,-0.00018704-5.7507e-05i,-0.001377-0.00053078i,-0.0024378-0.00023599i,-0.0015182+0.00060483i,0.00035265+0.00022189i,0.00015148-0.0010529i,-0.000667-0.00049781i,-0.00036021+0.00033897i,0.00026123+0.00032588i,0.00062167+0.00077974i,0.00051877+0.00056425i,0.0003587+0.00064265i,0.00029644+0.00067797i,0.00036575+0.00027795i,-0.00020501+0.00077043i,5.7127e-05+0.00032105i,0.00056438+0.00012861i,0.00017217+0.00050889i,-0.00059534+0.00052557i,-0.0010249+0.00029766i,-0.00083894-0.00012899i
-0.0017211-0.00014615i,-0.0012918+0.00017441i,-0.0018807-0.00028446i,-0.0023442-0.00033652i,-0.0028302-9.0635e-05i,-0.0015783+0.00057757i,0.00049215-0.00026213i,0.0002485-0.0013769i,-0.0013107-0.00055176i,-0.0016556+0.00020099i,-0.0006868+0.0010921i,6.5165e-05+0.0013422i,0.00012603+0.00055345i,-0.0005791+0.00019457i,-0.00094756+0.00036743i,-0.00045303+0.00064866i,2.244e-05+0.00029156i,0.00019445-0.00052186i,0.00022624-0.00077692i,2.9039e-05-3.2647e-05i,-0.0004665+0.00038799i,-0.00024281-0.00038036i,0.00033086-0.0004127i
-0.0010871+0.0011637i,-0.00051919+0.00067884i,6.5516e-05+0.00073197i,-0.00063803+0.00094132i,-0.0014284+0.0005106i,-0.0010525+0.00031575i,2.4429e-06-0.00022753i,0.00047688-0.00062369i,-0.00054812-0.00030418i,-0.0011936+0.00018947i,-0.00046749+0.00078799i,0.00041995+0.00075532i,0.00063628-0.00025446i,0.00043092-0.00071328i,0.00032883-0.00029801i,0.00016645+0.00024577i,0.00011054+0.00019524i,-0.00013172+5.7324e-05i,-0.00065569+0.00026991i,-0.00098665-3.1565e-05i,-0.00070039+0.00026785i,-0.00022913+0.00051966i,-0.00028668+0.00050714i
0.0013025-0.0016267i,0.00072192-0.00074788i,-0.00056079-0.0014488i,-0.001788-0.0014641i,-0.0031179-0.001467i,-0.0022972-0.00080976i,-0.00022645-0.00082733i,0.00056134-0.0017035i,0.00012972-0.0019016i,0.00079209-0.00077944i,0.0013006+0.00056101i,0.001034+0.00082627i,0.00045221+0.00022503i,0.00032964+0.00039336i,0.00020706+0.00070338i,-3.4304e-05+0.00038725i,0.00038509+1.7568e-05i,0.0002216-0.00011189i,-0.00072129-0.00046692i,-0.00096873-9.4684e-05i,-0.00071512+0.00047271i,-0.00017974+0.00058714i,-0.00013115+8.5029e-05i
0.0018877-0.00036648i,0.0012219-0.000875i,0.00070713-0.002414i,-0.00010879-0.00242i,-0.00087165-0.00079941i,-0.00055199+0.00080787i,0.00027127+0.00075721i,0.00022881-0.00048246i,2.6326e-05-0.00066589i,-0.00022145+0.00027367i,-0.00049534+0.00062729i,-8.8824e-05+0.00069988i,0.00060631+0.00033209i,0.00080931-0.00038842i,2.5185e-05-1.8718e-05i,-0.00070798+1.7714e-06i,0.00021463-0.00033502i,0.0013855-0.00011637i,0.0012077+0.00020209i,0.00046834-7.9115e-05i,-0.00010665-0.00028112i,0.0003024-0.0006132i,0.00055544-0.0012369i
