-0.0011811+0.0012529i,0.00014599+0.0011257i,-0.0020676-1.2788e-06i,-0.0027914-0.00082733i,-0.0021364-0.00078676i,-0.0015207+0.00030927i,-0.0010024+0.0013009i,-5.8735e-05+0.0013968i,0.00060945+0.0015143i,-4.8881e-05+0.0012129i,-0.00082556+0.00095977i,-0.00078217+0.00083629i,-0.0007033+0.00019187i,-0.00080923-0.00033561i,-0.00094083+0.00041335i,-0.0012905+0.00091619i,-0.00073552+7.1673e-05i,-0.00026784-0.000504i,1.5398e-05-0.00024127i,-6.311e-05-0.00013156i,-3.6675e-05-0.00059583i,0.00021965-0.00045463i,0.00045864-0.000143i
0.00057739+0.0014979i,0.0011672+0.0018136i,0.0023023+0.0021677i,0.0015671+0.001068i,0.000384+0.00029833i,0.00012085+0.00066819i,-5.2548e-05+0.00022932i,-0.00033707+5.5694e-06i,-0.00097147+5.6624e-05i,-0.00081651+0.00033328i,-0.00057192+0.00078818i,-0.00089547+0.000183i,-0.0012431-0.00048515i,-0.0013629-0.0010466i,-0.00023127-0.00058298i,0.0005365-0.00014657i,0.00054912-0.00024776i,0.00029195+8.2336e-05i,0.0004586-0.00016608i,0.00049376-0.00069249i,-0.00069294-0.0010764i,-0.0008152-0.00029696i,0.00019057+4.0943e-05i
0.00014006-0.0012046i,0.00075943-0.0019033i,-0.00062642-0.0026506i,-0.0019637-0.0023871i,-0.0015333-0.0011042i,-0.00063307-0.00042155i,-0.00039384-0.00093293i,-0.0010591-0.00097586i,-0.0011342-0.00053829i,-0.0010382+0.00023599i,-0.00094098+0.00074186i,-0.00052114+0.00081479i,-0.00057172+0.0005614i,-0.00054727+0.00036561i,-0.00021426+6.314e-05i,0.00010024+5.6296e-06i,0.00026588+0.00036813i,0.00044201+0.0005393i,0.00023596+0.00074471i,-0.00044656+1.8292e-05i,-8.5622e-05-0.000312i,0.00011169+0.00033171i,1.1211e-05+0.00026923i
-0.0011788+0.0015933i,-0.00042332+0.00022654i,0.00030032-0.00088252i,0.00093789-0.0011909i,0.001443-0.00050398i,0.0013911-3.2575e-05i,0.0010007-0.00020549i,1.5014e-05-6.2669e-07i,-0.00067245-0.00031887i,-0.00084448+0.00016352i,-0.001156+0.0010975i,-0.00038807+0.00073633i,-8.5715e-05+0.0001108i,-0.00044341+0.00014415i,-0.00037022+0.00037215i,-0.00020043+0.0006356i,1.695e-05+0.0012188i,0.0004398+0.00094882i,0.00094006+0.00024947i,0.00067131-0.00063641i,-4.3641e-08-0.0010403i,-0.00046475-0.0003568i,0.0001134+0.00048957i
-0.0015077-0.0014762i,-0.00054931-0.0015849i,-0.00013966-0.0013246i,-0.00047394-0.00018286i,-0.00074197+0.00023121i,-0.0002403+2.558e-05i,9.058e-05-0.00014945i,-6.2636e-05-0.00036921i,-0.00072612-0.00039693i,-0.0014519-0.00015891i,-0.0017816-0.00013962i,-0.0019603-9.7292e-05i,-0.0017836+0.00027026i,-0.00060114+0.0002456i,0.00049156+6.492e-05i,0.00055416-0.00026167i,0.00029769-0.0003152i,0.00021458-7.1065e-05i,0.00024319+5.0712e-05i,-0.00020476-9.4911e-05i,-0.00048503-6.8436e-05i,-0.00032701-0.00017414i,-0.0003368-0.00035436i
0.0012995+0.0010095i,0.00069145+0.0010571i,0.00024782+0.001289i,0.00020256+0.00035035i,0.00039699-0.00062202i,-0.00028983-0.00022056i,-0.00094366-0.00072089i,-0.00067699-0.00072914i,-0.0005179+0.0010779i,-0.00076937+0.001744i,-0.0013009+0.0010686i,-0.0015066+0.00091882i,-0.0010197+0.0014845i,-2.1891e-05+0.0010494i,0.00071757+7.7034e-05i,0.00033356-9.3738e-05i,7.0097e-05+0.00023255i,0.00060299+4.2209e-05i,0.00089797-3.5528e-05i,0.00027636+0.00039148i,-2.2304e-06+0.0011047i,0.00035221+0.0012098i,0.00035192+0.00063346i
-0.0011229+0.00027614i,-0.0017522+0.00040992i,-0.0018364+8.7165e-05i,-0.00057543-0.00027412i,0.00035168+9.4409e-05i,0.00093345+0.00054211i,0.0012561+0.00013705i,0.00046287+0.00011215i,-0.00040144+0.00023311i,-0.00016319-0.00023992i,-0.00016059+0.00013574i,-0.00095894+0.0008273i,-0.0014247+0.00098651i,-0.0014225+0.00084595i,-0.0011033+0.00012887i,-0.00024971-0.00043297i,-0.00054162-0.00091469i,-0.00068054-0.0013012i,-5.3149e-05-0.0010805i,0.00034843+0.00012078i,0.00024423+0.00045293i,-0.00016924+1.398e-05i,-0.00036806+3.1428e-05i
0.0011999-0.00010123i,0.0013032+0.00039563i,0.00043073+2.3093e-05i,6.3394e-05-0.0013212i,0.00075986-0.0014416i,0.00072131-0.00046373i,0.00054786-0.00043717i,0.0003897-0.00061286i,-0.00030116-0.00015752i,-0.0010697+0.00053682i,-0.0017477-2.6246e-05i,-0.0016528-6.4651e-05i,-0.00069303+0.0011632i,-0.00074643+0.0011404i,-0.00074105+4.5527e-05i,-0.00020186+0.00015279i,-0.00027621+0.0006892i,-4.414e-05+0.00052585i,0.00015663-0.00048925i,-2.9603e-05-0.00089188i,-0.0002298-0.00029184i,-1.6531e-05-0.00022472i,3.6763e-05-0.0006746i
-0.00018491+0.00093451i,0.00039438+0.001183i,0.0012122+0.0017783i,0.0014448+0.0011074i,0.00088055+0.0006618i,0.00029444+0.00037316i,-0.00046622-0.00064633i,-0.00023802-0.0012712i,0.00021301-0.0007844i,-0.00027801+0.0002125i,-0.00081242+0.0008771i,-0.00099115+0.00094605i,-0.00078932+0.00079752i,-9.5161e-05+0.00053223i,-0.00035305-0.00030412i,-0.00044937-0.00088192i,0.00032117-0.00068843i,0.00041781-0.00042749i,0.00019177-0.00064734i,-0.00034332-5.2132e-05i,-0.00035465+0.00046116i,0.00024661-0.000384i,-0.00010525-0.00054064i
-0.0010475-0.00048659i,-0.00039932-0.00024376i,-0.00015338+0.00049851i,-0.00043667+0.0015666i,-0.00039298+0.00091181i,-0.00025293-7.2885e-05i,-4.9626e-05-0.00042981i,-0.00025647-0.00052874i,-0.0010656-0.00057565i,-0.0012801-0.00015805i,-0.00098574+0.00063509i,-0.0013103+0.00050101i,-0.0013281+0.0001416i,-0.00057078+0.00043995i,7.6755e-05+0.00024754i,0.00010917+0.00015459i,8.2084e-05+0.00042807i,0.00085397-0.00047503i,0.0012641-0.0010091i,0.00098382-5.1213e-05i,0.00066038+0.00013262i,0.00056312+0.00031537i,0.00076471+0.00043691i
0.0024738+0.0010648i,0.0017483+0.001713i,0.0007429+0.002009i,0.00022589+6.9485e-05i,0.00030871-0.0014379i,0.00065503-0.0012318i,-0.00017153-0.00078284i,-0.0006987-0.0011376i,-0.000789-0.00037133i,-0.00037433+0.00054754i,1.4132e-05+0.0002161i,-0.00025672-4.1943e-05i,-0.00099762-0.0002028i,-0.00063418+2.1855e-05i,0.00060393+0.00062801i,0.00053803+0.00035693i,-0.00015522-0.0001811i,0.00031137-0.0007588i,0.00061483-0.00084545i,7.3174e-06-0.0005508i,-3.575e-05-0.00020326i,0.00025135+3.4623e-05i,0.00042293+0.00021169i
