-0.00022362-0.00063981i,0.00017849-0.0006494i,-0.0013739-0.0018545i,-0.0011354-0.0020112i,-0.00070257-0.00025775i,-0.00029851+0.0017384i,-0.00020877+0.0029447i,-0.00081944+0.0032i,-5.2231e-05+0.002175i,0.00051942+0.0012484i,0.00038699+0.00026465i,3.1767e-05-0.00028406i,-0.00047009+0.00010572i,-0.00038683-0.00054005i,8.0131e-05-0.0014404i,-0.00018268-0.00095317i,-0.000554-0.00014881i,-0.00033185-0.00035201i,6.0516e-05-4.8881e-05i,0.00061446+7.6926e-05i,0.00093246-3.7818e-05i,0.00059507+0.00011416i,0.00023781-0.00066216i
-0.00035451+0.00097432i,0.000542+0.00047666i,0.00021129+0.00028366i,0.00017065-0.00068134i,0.00058666-0.00048675i,0.00056781-0.00075862i,4.8193e-06-0.0012168i,-0.00080391-0.0010242i,-0.0010347-0.00036028i,-0.00037283+7.2843e-05i,-0.00021886-0.0004765i,-0.0004826-0.00068506i,-0.00072825+2.5111e-05i,-0.00082271+0.00049276i,-0.0003272+0.0015888i,-0.00027958+0.0021037i,-0.00030671+0.0011839i,0.00023431+0.00071371i,0.00042706+0.0012681i,0.00029671+0.0012595i,0.00035352+0.0011611i,-0.00018237+0.00050288i,-0.00058387+0.00017352i
0.0015816+0.00027596i,0.00071238-0.00052452i,0.00027784-0.0016119i,-0.00021739-0.0024908i,-0.00071531-0.0023413i,-0.00091617-0.0010107i,-0.0010433-0.00050969i,-0.0014228-0.00051597i,-0.0011776+4.2636e-05i,-0.00073613-0.00028849i,-0.00061826-0.00087453i,-0.00069747-8.5717e-05i,1.1084e-05+0.0013566i,0.00021204+0.0013254i,-0.00051708+0.0005945i,-0.00092028+0.00079832i,-0.00096291+0.0011338i,-0.00064346+0.00052857i,-0.00030493+0.00014416i,-0.00065837-0.00070143i,-0.0007542-0.00068166i,-0.00021351+5.2033e-05i,-0.0002941-0.00039034i
3.8985e-05+0.0013495i,0.00016031+0.001018i,0.00064033+0.0010641i,0.0002017+0.00054663i,-0.00021735-0.00029959i,0.00015714-0.00087061i,5.3542e-05-0.00060511i,-0.00042127-0.00046683i,-0.00063975-0.00021251i,-0.0002902+0.00041539i,-0.00014028+0.00057959i,-9.5938e-05+0.00017804i,-0.00048426-0.00012265i,-0.00047147+0.00034588i,-0.00033091+0.00058331i,-0.00057429+0.00065487i,-0.00039604+0.00047799i,-0.0011+0.00037092i,-0.0013827+0.00047132i,-0.00049765+0.00026158i,-0.00014551+0.00049763i,0.00036824+0.00028543i,0.00042322-0.00066872i
0.00049191-0.00049708i,-0.00052219-0.00067555i,-5.4023e-05-0.00075808i,0.0010884-0.00064246i,0.00021767+0.00013689i,-0.0010328-0.00012806i,-0.00081453-0.00060568i,-0.00038564+0.00038561i,-0.00056622+0.00079726i,-0.00088707+0.00038402i,-0.0010162+0.0005939i,-0.00056785+0.00073457i,-0.00014467+0.00045624i,3.2204e-05+0.00030276i,-0.00010957+0.00074985i,-0.00011217+0.00097217i,-0.00011042+0.00024643i,-0.00036769+0.00010402i,-0.0012403+0.00034489i,-0.00095098-0.00021193i,2.0705e-05-0.0003452i,-2.2275e-05-0.00010862i,-0.00015299+0.00010402i
-0.00029521-0.0016097i,-0.0013031-0.0027794i,-0.0022657-0.0014214i,-0.0023208+0.00010844i,-0.0013624+0.00023934i,-0.00021471-0.00020814i,4.4111e-05-0.0003793i,0.00017172-3.6762e-05i,-0.00019043+0.00044152i,-0.00022963+0.00022025i,-9.6001e-05+0.00026879i,-0.00023867+0.00094039i,-1.9854e-05+0.00073878i,0.00086918+0.00031337i,0.00084552+0.00033644i,0.0002739-0.00030864i,0.00031168-0.00099226i,-0.0005802-0.00063673i,-0.001148-0.00042344i,-4.9965e-05-0.00049515i,0.00044734-0.00038169i,-0.00034386+0.00033945i,-0.0007561+0.00033704i
-0.00028145-0.0017197i,-0.00027715-0.0018451i,-0.0015898-0.0017311i,-0.0017848-0.00022014i,-0.0015091+0.00065201i,-0.0010473+0.00034092i,-0.0004482-0.00012998i,-0.00089299-0.00018013i,-0.0016564+0.00065529i,-0.0010421+9.8112e-05i,-0.00019882-0.00018712i,-0.00013319+0.00046972i,-5.1375e-05+0.00063745i,-0.0002883+1.6793e-05i,-0.00050904-0.00031733i,-0.00037669-9.0324e-05i,-9.562e-05-0.00020462i,0.00064332-0.00069459i,0.0007969-0.00063547i,-5.9906e-05-0.00016687i,-0.00019004+0.0001433i,0.00022123+0.00034942i,0.00051832+0.00059453i
0.0010587+6.606e-05i,0.00082216+0.00012895i,0.0017268+7.99e-06i,0.0013971-0.00043052i,0.0010337-0.0013015i,0.00060431-0.0015508i,0.00016544-0.0015562i,-4.7017e-05-0.0013226i,-0.00022574-0.00033478i,-0.00011659+0.00047474i,0.00029478+5.2455e-05i,0.00048477-1.9009e-05i,0.0003767+0.0010507i,0.00016682+0.0016988i,-0.00043586+0.0010418i,-1.2011e-05-0.00015335i,0.00043592-0.00058853i,4.2129e-05+2.06e-06i,-0.00023649+0.00041344i,2.8792e-05+0.00077087i,-2.5987e-05+0.00051576i,-7.6439e-05-0.00012456i,-8.0891e-05-0.00032624i
-0.00018006+0.0019394i,0.0015106+0.0013183i,0.0020401+0.00033271i,0.0013722-0.00017449i,0.00046459-0.00039288i,-0.00024056-0.0010703i,-0.00079779-0.0015467i,-0.001451-0.0012174i,-0.0014297-0.00014515i,-0.00064349+0.00012482i,-0.00013093+0.00029541i,0.00041958+0.00042485i,0.00023369+0.00052157i,-0.00026209+0.00076916i,-0.00047628+0.00068153i,-0.00067935+0.00014757i,-0.00019631-8.936e-05i,0.00011897-6.4682e-05i,7.2812e-05+0.00060302i,0.00020413+0.00046324i,-0.00033704-0.00010108i,-0.00026902-0.00022143i,0.00056476-0.00070172i
-0.00026897-0.0010877i,-0.00062815-0.0011601i,-0.00097022-0.0019892i,-0.0013847-0.0022198i,-0.0013018-0.0012862i,-0.00042499-1.0951e-05i,0.00033454+0.00039382i,-2.4407e-05-0.0004247i,-0.00083933-0.00029307i,-0.00073579+0.0006975i,-0.00036979+0.00077758i,-0.00013799+0.00058784i,4.1594e-05+0.000719i,-0.0004093+0.00096136i,-0.0011615+0.0010071i,-0.0010632-3.6521e-05i,-0.00047682-0.00053742i,-0.00027577+0.00019961i,-0.00033718+0.00025282i,-0.00025409-0.00047028i,0.00039483-0.00053111i,5.5012e-05-0.00034053i,-0.00039795-0.0005418i
7.1879e-05-0.00055098i,0.0007602-0.0014111i,0.00083429-0.0020122i,0.00032958-0.0014499i,-0.00026186-0.0012489i,-0.00058445-0.00082483i,-0.00072225-0.00022281i,-0.00070047+0.000235i,-0.00079541+0.00067708i,-0.00082726+0.00054159i,-0.0003166+0.00026894i,0.00019787+0.00094959i,-0.00020095+0.0008551i,-0.00047487-0.00018478i,-0.00027178-0.00051576i,-0.00063788-0.00017312i,-0.00095252-0.0006439i,-0.00081078-0.0011432i,-0.00045277+0.00012096i,-9.6425e-05+0.0002855i,0.00026058-0.00020541i,0.00038586+0.00043777i,0.00015287+0.0012135i
