-0.0012235-5.2613e-05i,-0.0012908-0.00060289i,-0.0016748-0.0015201i,-0.0013632-0.0009905i,-0.0011613+0.00011752i,-0.0014198+0.0010205i,-0.0012502+0.0017052i,-0.00076659+0.0014014i,-0.00029576+0.00056158i,0.00033759+5.8095e-06i,0.0014164-0.00029456i,0.0015767-0.00057047i,0.00055857-0.00012091i,-0.00034255+0.00027794i,-0.00069261+5.2858e-05i,-0.0013569+0.00037231i,-0.001733+0.00059161i,-0.0015366+0.00012944i,-0.000566+3.1502e-05i,-0.00011989-0.00018053i,-5.3868e-05-0.00092238i,0.00016345-0.001643i,-9.2497e-05-0.0011576i
-0.00016323+0.00035767i,5.8197e-08-0.00016809i,0.00032595+0.00014676i,0.0011025+0.00060019i,0.00051939+0.00050952i,0.00056237-0.00037282i,0.00050998-0.00055651i,-0.00051269-0.00011154i,-0.00058331+7.4135e-05i,0.00070434-5.2494e-06i,0.001546-0.00041978i,0.0006749-0.0012415i,-0.00025923-0.00061587i,0.00044134+0.00066357i,0.00057123+0.00060655i,-0.00024914-0.00045729i,2.3761e-05-0.00096008i,0.00047011-0.00026915i,0.00029543+0.00039614i,3.9851e-06+0.00044736i,0.00033859+0.00019399i,0.00037332+2.8224e-05i,-0.00016398+0.00021476i
0.00019309-0.0015651i,-0.00072645-0.0010874i,-0.00059647-0.0009176i,-0.00012211-0.0001723i,-0.0003611+0.00025316i,-0.0011003-7.7768e-05i,-0.00057605+5.7053e-05i,0.000167+0.0010309i,-0.00013888+0.0011829i,-4.7282e-05+0.00061135i,0.0001601+0.00047779i,0.00024005+0.00039258i,-0.00015832+0.00046694i,-0.0012884+0.000337i,-0.0011858-0.0007592i,5.399e-05-0.0012961i,0.00060759-0.0010056i,-0.000117-0.0011041i,-0.00022176-0.0012183i,-6.4798e-05-0.00091916i,-0.00069669-0.00051687i,-0.00072997-0.00020846i,-0.00054739-0.00026868i
-0.00011288-0.0015442i,-1.7798e-05-0.0021555i,-0.00016171-0.0011049i,0.00033186+0.00033888i,0.00092181+0.00049989i,0.0010188-1.6878e-05i,0.00063577+1.352e-06i,0.00029716-1.7853e-05i,-0.00012386-0.00060563i,3.4969e-05-0.00093381i,0.00028627-0.00097699i,0.0001349-0.0010936i,0.00028682-0.0011968i,0.00063064-0.00030801i,0.00065815+0.00044i,0.00058381-9.8934e-05i,-0.00047783-0.00074352i,-0.0010294-0.00079359i,-0.00026871-0.00010358i,-0.00026178+0.00078314i,-0.000298+0.00099468i,-0.00018259+0.0005746i,-0.00071388-0.00039139i
-0.00073013-0.0011851i,-0.00019724-0.00139i,-0.001228-0.0012331i,-0.0018057-0.00094211i,-0.00066967-0.00036298i,-0.00058814-8.8574e-05i,-0.0009595+0.00042413i,-0.00079709+0.00055062i,-0.00033828+0.00025172i,0.00031415-3.6358e-05i,0.00077891-0.00012218i,0.00069209-0.00020934i,0.0003272-0.00062025i,0.00051596-0.00069333i,0.00072415-0.00026582i,-0.00024907-0.00037615i,-0.00049876-0.0010815i,-2.2662e-05-0.00033951i,-0.00053171+0.00063579i,-0.00060977+0.00059879i,8.1267e-05+0.0011322i,0.00087019+0.0016384i,0.00024205+0.00079796i
0.0027996+0.00066894i,0.0022485+0.00034095i,0.0026673-0.00025434i,0.0020135-0.0010504i,0.000688-0.0015192i,0.00050823-0.0010404i,0.0010599-0.00094484i,0.0013551-0.00079218i,0.0011096-0.00031848i,0.00056347-0.00042641i,-2.0101e-05-0.00017969i,-0.0003919+0.00018338i,-0.00032361+0.0005755i,-0.00045528+0.00080962i,-0.00056948+7.87e-05i,-0.0005879-0.00013659i,-0.00045099+1.5169e-06i,-0.00014743-0.0002767i,0.00035508-0.00044654i,-0.0001359-0.00042235i,-0.00065927-0.0006841i,-0.0001279-0.00040764i,-0.00047222+0.00019593i
-0.0025011-0.00033062i,-0.0022815-0.00038021i,-0.001632+0.00027585i,-0.00054328+0.00034421i,0.00043624-8.2165e-06i,0.00070846-0.0004212i,0.00034442-0.00037546i,0.00036496-0.00011003i,0.0004231+2.7681e-05i,2.5458e-05-0.00022665i,9.1958e-05+0.00032754i,0.00070014+0.00042841i,0.00025153-0.00052582i,-0.00026502-0.00047735i,0.00051975-0.00026488i,0.00026999+0.00026247i,-0.0005894+0.00014818i,-0.00060746-0.00044937i,-0.00036983-7.8082e-05i,-0.00029471+0.0001925i,-9.0902e-06-3.3392e-06i,0.00032927+0.00011566i,-6.8858e-05+0.00060876i
-0.0027145+0.0010021i,-0.0019747+0.00036606i,-0.0020867+0.0022506i,-0.001497+0.0029221i,8.4287e-05+0.0025737i,0.0012391+0.00090772i,0.0013351-0.00046422i,0.00027986-0.00025046i,-0.00069271+0.00012497i,-2.0524e-05+0.00013037i,0.0012052-0.00071812i,0.0014241-0.0011763i,0.00023463-0.00063637i,-0.00074663+9.5137e-06i,-0.00069487+0.00042946i,-0.00044514+4.6853e-05i,0.00032079-0.00067822i,0.00054449-1.7685e-05i,-0.00014819+0.0010229i,-0.00041918+0.0005212i,-0.00025753+0.00023545i,-0.00035238+0.00014988i,-0.00047137-0.00036757i
6.933e-05+0.00018954i,4.8512e-05-7.4037e-05i,0.0010315-3.0348e-05i,0.0014313+7.2109e-05i,0.00088664-0.00026834i,0.00035481-1.025e-06i,-0.0002349+0.00034908i,-0.00060356-8.3164e-05i,-0.00052253-0.00029686i,0.00028912-0.00042912i,0.00080701-0.00053713i,0.0010143-0.00037126i,0.00063959-0.00018546i,-0.00046435-0.00043901i,-0.00066636-0.00033001i,-0.00052891-0.00011525i,-0.00063263-0.00020755i,-0.0011309+0.00010756i,-0.00075272+0.00052545i,-1.4486e-05+0.00032708i,0.00022928+0.00044827i,-0.00012161+3.5295e-05i,-0.00098845-0.00061172i
0.001211-0.00054629i,0.0013139-0.00030674i,0.0011731-0.00051629i,0.0012996-0.00088239i,0.0010555-0.00093726i,0.00056883-1.9966e-05i,0.00037997+0.00063879i,0.00013267+0.00043415i,-0.00036298-0.00012911i,1.4841e-05-0.00014112i,0.00086657+3.8978e-05i,0.0011322+0.00033183i,0.00089727+0.00036817i,0.00093153-4.8058e-05i,0.00029956+0.00011558i,-0.00069017+0.00077655i,-0.00096891+0.00078998i,-0.0011637+0.00047884i,-0.0010234-0.00012189i,-0.00023448-0.00020417i,0.00065646+0.00048841i,0.00064704+0.00038645i,0.00038567+8.8936e-05i
0.00023481+0.00030719i,-0.00023896+0.00033882i,-0.00045981-1.6576e-05i,0.00033583-0.00067943i,0.00095486-0.00056737i,0.00044975+9.8438e-06i,-0.00044018-0.00033496i,-0.00056099-0.0012449i,-0.00050016-0.00090268i,-0.00075352-0.00072066i,0.00039115-0.00097479i,0.00085948-8.7056e-05i,0.00013918+0.00079296i,-0.00079241+0.00076044i,-0.00091428+0.00092504i,-0.00038335+0.00082402i,-0.00036667-3.2451e-05i,-0.00024553-0.00052301i,5.043e-05-0.00032018i,0.0005401-0.00011653i,1.9592e-05+0.00043948i,-0.001302+0.00042696i,-0.00098738+0.00010574i
