-0.003493+0.00029932i,-0.0018104+0.0014205i,-0.0015097+0.0038076i,-0.0012269+0.004122i,-0.0011626+0.0033541i,-0.001263+0.0020911i,-0.00034241+0.00066147i,0.00075198+0.00039572i,0.00045935+0.00078141i,-7.1353e-05+0.00051363i,-9.6839e-07-4.0784e-05i,4.017e-05-5.6235e-05i,4.0386e-05-9.8786e-05i,-4.2418e-05+6.295e-05i,-0.00022205-0.00032128i,0.0002847-0.00051726i,0.00076213-0.00034962i,0.00031905-0.00065164i,0.00025621-0.00085687i,0.00073313-7.8042e-05i,0.00072801+0.00021373i,0.0011128-0.0010552i,0.0010601-0.0014245i
0.0013474-0.0024729i,0.00079303-0.0025068i,0.00015995-0.0031233i,-0.0001058-0.0022586i,0.00014207-0.0015446i,0.00033411-0.0011766i,0.00049935-0.00046272i,0.00059848-0.00034857i,-0.0001632-0.00058384i,-0.00071699-0.00085969i,-0.00068295-0.00011243i,-0.00062286+0.00040849i,-0.00052461+3.0872e-05i,4.9148e-05-8.4485e-06i,7.1187e-06+0.00024026i,-0.00060816+0.00062781i,-0.00029521+0.00065141i,0.00052885+0.00053599i,0.0010733-5.7146e-05i,0.00086668-0.00030824i,0.00017448+0.00063547i,-0.00020366+0.00028057i,0.00012306-0.00036021i
-0.00026349+0.0012833i,0.0014355+0.0034947i,0.0020273+0.0033307i,0.0020167+0.00067488i,0.0017925-0.00092677i,0.0014853-0.0012751i,0.0011842-0.00068784i,0.00071249+4.0882e-05i,9.023e-05+0.00031244i,-0.00045814-0.00010291i,-0.00015343-8.7601e-05i,0.00029231+0.00075601i,0.00027695+0.00050533i,0.00035757-0.00035475i,0.00021783-0.00050629i,-0.00015018-0.0006763i,-0.00072431-0.00048102i,-0.00060535+8.8319e-05i,-0.00049609-5.9943e-05i,-0.00055704-0.00047323i,-0.0003371-0.00082115i,7.795e-05-0.00063799i,0.00024872+3.0061e-06i
-0.0011723-0.00096372i,-0.00072622-0.0010495i,-0.00080087-0.00081857i,-0.00087387-0.00040072i,-0.0008703+0.00014449i,-0.00084496+0.00031006i,-0.00066731+0.00027718i,-0.00027344-0.00015789i,-0.00014597-2.9183e-05i,-0.000592+0.00057067i,-0.00095428+0.00027787i,-0.00037+0.0005424i,-0.00059641+0.00049615i,-0.0008596+0.00040484i,-0.00024932+0.00018835i,0.00059247+0.00038348i,0.0012152+0.00075847i,0.00066524+0.00043692i,-4.9954e-05+0.00010179i,-6.9486e-05-8.9242e-05i,-0.00032326+0.00056546i,0.00076656+0.0010817i,0.0011643+0.00057309i
-4.2276e-05-8.2043e-05i,0.00014736-0.00057217i,0.00051697-0.00059618i,0.00046762-0.00097989i,0.00058465-0.0011274i,0.00073583-0.0012258i,0.00036835-0.001022i,0.00016927-0.0012556i,0.00040013-0.0010742i,0.0003648-0.00027361i,-0.00023908-0.00012565i,-0.00012957+0.00011875i,-8.8625e-05-5.0983e-06i,-0.00017838-0.00024602i,-0.0002318-0.00019765i,0.00023398-2.9829e-05i,-0.00012786+0.00070322i,-0.0008893+0.00081024i,-0.00043122+0.00043157i,-0.00015346+0.00021768i,-0.0001875-0.00040328i,0.00031769-0.0009206i,8.9205e-05-0.00017927i
-0.0011125-0.0018741i,-0.00028718-0.0022271i,0.00052402-0.00059465i,0.00023471+0.00040155i,-9.2624e-05+0.00045133i,-9.0943e-05-2.9006e-05i,-0.00023913-0.00033719i,-0.00021726-0.0003249i,0.00022064+0.00048332i,-0.00023514+0.0010467i,-0.0011342+0.00056062i,-0.00069376-0.0001656i,5.8466e-05+0.00026874i,-0.00033043+0.00090367i,-0.00069578+0.00021383i,-0.00043635-6.4967e-05i,-0.00042838-0.00010654i,-0.00015779-0.00064248i,0.00021074-0.000888i,0.00033612-0.00042183i,0.00025135+0.0004221i,5.5806e-05+0.00063944i,1.4385e-05+3.5583e-05i
0.0013542+0.00070622i,0.0018715+0.00056047i,0.0015022-0.0011265i,0.00032149-0.0030922i,0.00026796-0.0024968i,0.0008251-0.00095092i,0.0011951-0.00053634i,0.00064982-0.00055955i,0.00017811-0.00060707i,-0.00014133-0.00023464i,-0.001115+7.6755e-05i,-0.0010401+0.00028081i,-0.00030262-0.00022069i,0.0004387-2.7589e-05i,0.00072648+0.00032529i,3.9487e-05-0.00047562i,-4.8204e-05-0.00064819i,1.0106e-05-4.349e-05i,0.00019317+0.00020393i,0.00039291+0.00037505i,0.00043361+0.00023536i,0.00063983-0.00041579i,-6.8543e-05-0.00027278i
-0.00039656-0.0025047i,-0.0013014-0.0013801i,-0.0014304+0.00033807i,-0.0010168+0.00046759i,-0.00036513+5.7437e-05i,0.00018514+0.00041223i,0.00090798+0.0006926i,0.0010983-0.00017909i,0.00055316-0.00091338i,-3.9527e-05-0.00025627i,-0.00039882+0.0010229i,-0.00067289+0.0006329i,-0.0014861-0.00018023i,-0.0012508-0.00022175i,-0.00023319-0.00045498i,1.8457e-05-0.00047751i,-0.0005477+0.0001913i,-0.00034042+0.0006269i,0.00031799+0.00036931i,0.0010616-0.00021517i,0.0013779-0.00018143i,0.0010824-0.00044782i,0.00076317-0.00042681i
0.0019449-0.0014034i,0.0010732-0.00093489i,0.00071101-0.0013284i,0.00093176-0.0017795i,0.00081218-0.0019909i,-4.1441e-05-0.0010353i,-0.00044706-0.00028358i,-0.0006817+0.00020559i,-0.00086798-0.00023354i,-0.00051004-0.00066888i,-0.00059938-0.00052115i,-0.00022821-0.0005279i,-8.0177e-05-0.0011857i,-0.00043348-0.00097227i,-0.00039035-0.00048667i,-0.00071192-0.00050099i,3.4216e-05-0.00048494i,0.00035724-0.00061213i,0.00013426-0.00027976i,0.00090139+4.7827e-05i,0.001091-0.00022432i,0.00018437+0.00034582i,-0.00029216+0.00056574i
0.00015353-0.00046708i,0.00053236+0.00081641i,0.00080867+0.00057008i,0.00070762-0.0005597i,0.00069383-0.0011445i,0.0004291-0.00074807i,-4.9524e-05-0.00062374i,0.00017133-0.000975i,0.0003623-0.00076759i,9.7734e-05-0.00039754i,0.00016118-0.00013846i,-0.00016845-0.00048473i,-0.00050855-0.0011703i,-0.00059996-0.00083133i,-0.00074727-5.9293e-05i,-0.00086373-0.0001063i,-0.00068827+0.00012211i,0.00019482+0.00018482i,3.3712e-05-5.0173e-05i,-0.00045532-6.2744e-05i,-0.00028743-9.9127e-05i,-0.00048204+0.00044537i,-0.00010697+0.00040352i
0.00060459+3.193e-05i,0.00039272-0.00070053i,0.0009029-0.0015375i,0.0015039-0.00083702i,0.0015813-0.00023946i,0.00087322+7.4282e-06i,0.00047954+0.00074085i,0.000567+0.00093618i,0.00042665+1.1837e-05i,0.0003124-0.0005009i,0.00020142-0.00071545i,0.0008527-0.0013402i,0.0009799-0.0011012i,0.00022361-0.00036801i,7.3415e-05-0.00060824i,-0.00012176-0.00062108i,-7.7063e-05+0.00053009i,0.00048474+0.00096209i,0.00021411+0.00066094i,0.00010201+0.00019123i,0.0012611-0.00076045i,0.0016027-0.00067844i,0.00054462-0.00010264i
-0.00056846+0.0013831i,0.0013574+0.00093245i,0.0022697+0.0014427i,0.0028399+0.0015674i,0.0026328+0.00051204i,0.0019355+5.2622e-05i,0.0013405+9.7845e-05i,0.00085591+0.00023875i,0.00030303-0.00011036i,0.00021819-0.00049115i,0.00096152+0.00043285i,0.0010816+0.0012112i,0.00021365+0.00087018i,2.6998e-05+0.0005465i,0.00032079+0.0011766i,-7.3921e-05+0.00073385i,-7.8774e-05+1.2648e-06i,-0.0003874+8.5058e-05i,-0.00032901+0.00019186i,0.00018143+0.00049845i,0.00021668+0.00063819i,2.9273e-05+0.00055938i,-0.00037599+0.00032282i
-8.2201e-05-0.0014498i,-0.00036473-0.00073524i,-0.00039716-1.5518e-06i,3.0167e-05+0.00012453i,0.00037602-0.00082049i,0.00034303-0.0014597i,0.00046089-0.00050481i,0.00041426+0.00025822i,-0.00020323+0.00020139i,-0.00012553+0.00043547i,-0.00022591+0.0014276i,-0.00057092+0.0012161i,-0.00028461+0.00079428i,-0.00059791+0.00065805i,5.3041e-05+0.00061394i,0.00068052+0.00064625i,0.00039531+0.0003016i,0.0003712+0.00051571i,-4.545e-05+0.00086239i,-0.00051482+0.00038477i,-0.00045194-4.3192e-06i,0.00037185-0.00029138i,0.00063413-0.00041597i
8.6281e-05+0.0016278i,0.0012106+0.00096213i,0.0022134+0.0010764i,0.0020399+0.00022405i,0.001309-0.00096221i,0.00047987-0.00090994i,0.0008411+6.592e-05i,0.0011858+0.00050485i,0.00075049+0.00015024i,-0.00029276-0.0003531i,-0.00041976-0.00075365i,0.00014042-0.00062025i,0.00028814+0.00050034i,-0.00022376+0.00094674i,-0.0005506+0.00052401i,-0.00055639+0.00038071i,-0.00032766+0.00015611i,-0.00031043-0.00033058i,-0.00010054+0.00014575i,-5.8659e-05+0.0010159i,-0.00015421+0.00061516i,-0.00036686-0.00042055i,-0.000476-0.00073422i
-0.00076028-0.0024195i,-0.0014645-0.00086688i,-0.0015102-0.00094417i,-0.00051973-0.001009i,-0.00038323-0.0001773i,-0.00093687+0.00012986i,-0.00087286+0.00030076i,-0.0005641+0.00034771i,-0.00050584-0.0002356i,-3.864e-05-0.00086808i,0.00038398-0.0004693i,0.00019466+0.00023155i,-0.00032642+0.00035491i,-0.00024131-0.00035443i,0.00030009-0.00041432i,0.00046429-1.4304e-05i,-0.0001812-7.7002e-05i,-0.00037538-0.00027018i,0.0002101-8.4096e-05i,0.00039371-0.00018622i,0.00021172-0.00014799i,2.9861e-05+0.00030272i,0.00010176+9.164e-05i
0.0006083-0.0014267i,4.5603e-05-0.0010026i,0.00070839-0.0019813i,0.0016578-0.0028473i,0.0009902-0.0028823i,-0.00057142-0.0022344i,-0.00033593-0.0014244i,-7.6898e-05-0.00087716i,-0.00057144-0.0011619i,-0.00072442-0.001203i,-0.00065404-0.00030904i,-0.00055741-8.9769e-05i,-0.00038943+0.00034528i,-0.00012633+0.00033071i,0.00018719+0.0002304i,-0.00038911+0.00039449i,-0.0010236+0.00041693i,-0.0009015+1.4971e-05i,-0.00036891-0.00014805i,8.1777e-05-2.8237e-05i,0.00019879-0.00010888i,0.00022651-1.9582e-05i,-0.00032601-0.00030657i
-0.0002454+0.0011861i,0.00012446+0.0010593i,0.00039418+0.00072669i,0.00072162+0.00083694i,0.0008467+0.00043431i,0.00074837-0.0006911i,0.00091248-0.00081582i,0.00078268-0.00045142i,0.00022027+3.2064e-05i,-0.00043532+0.0008187i,-0.00012831+0.00056447i,0.0002397-0.00026528i,-0.00014845-0.00041398i,-0.00033618-0.00014756i,-0.00077448+0.00050511i,-0.00030004+0.00041327i,0.00032296+0.00010309i,0.00010233+0.00040865i,0.00022579+0.00039175i,-1.8265e-05+0.00028995i,-0.00052043+0.00058908i,1.8395e-05+0.00022291i,0.00059223-0.00051591i
0.0020083-0.00050141i,0.0013717-0.00034519i,0.0015651-0.00072974i,0.0015099-0.0019073i,0.00018777-0.0026362i,-0.00016686-0.0017608i,0.00049044-0.0011008i,-0.00010473-0.00075738i,-0.00073324-0.00052747i,-0.00065054-0.0010634i,-0.0002107-0.00059629i,-0.00055079-7.5538e-05i,-0.00062438+0.00013837i,-0.00018852+8.5492e-05i,0.00012472+5.466e-06i,0.0002161+0.0001382i,0.0006601-0.00020277i,0.00076232-0.00028775i,0.00075421-0.00032451i,0.00010277-0.0004171i,-0.00047252-0.00016056i,-0.00024729-9.6606e-05i,0.00014148+0.00040547i
0.00010328+0.0011926i,0.00044015+0.0022736i,0.0010622+0.0024393i,0.00088774+0.0013719i,0.00096586-0.00030163i,0.0012019-0.00090107i,0.0015743-0.0004751i,0.0012532+4.5817e-05i,0.00040225-0.00029274i,-0.00036827-0.00071826i,-0.00050744-0.00093376i,0.0001079-0.00064956i,0.00024682-0.00043332i,-0.00012614-0.00078688i,-0.00031368-0.00052296i,-0.00039254-0.00018172i,-0.00047597+0.00059525i,0.00019155+0.00099966i,0.00043985-0.00013571i,0.00025862-0.00046211i,0.00024875+0.00054586i,0.00044506+0.0014528i,0.00048333+0.0011285i
0.00063226-4.7103e-06i,0.0011176+0.00029538i,0.002165+0.00057187i,0.0021732+0.00070071i,0.001568-3.9429e-05i,0.00061941-0.000186i,0.00042833+0.00035377i,0.00040028+2.8049e-05i,-0.00026652-0.00056731i,-0.00040738+0.00012014i,-0.0005684+0.0012928i,-0.00089459+0.00040875i,-0.00047219-0.00036656i,3.9592e-05-0.00097604i,-4.1612e-05-0.0012081i,-2.108e-06-0.00041432i,-6.5615e-05+0.00024897i,2.2137e-05+0.00055484i,-0.00010255+0.00076004i,0.00063618+0.00070277i,0.0012898+3.3753e-05i,0.00045884-0.00028575i,0.00025281+0.0001674i
0.00049808+0.00049976i,-0.00070701+0.00031817i,-0.00044336+0.00030019i,-0.00072215+0.00051959i,-0.00065451-0.00029055i,0.0004787-1.2044e-05i,0.00056986-0.00016212i,0.00036029-0.00026853i,-0.0001769-0.00023156i,-0.0011103-0.00090041i,-0.00056182-0.00096706i,0.00025252-0.00015601i,0.00018268+0.00070092i,0.00013589+0.00062453i,-6.9008e-06+0.00036289i,-0.00011933+0.000733i,0.00050349+0.00053008i,0.0007475+0.00011273i,0.00073941+0.00013244i,0.00057819+0.00058421i,-4.8157e-05+0.00078027i,0.00012312+0.00014469i,0.00075008+9.5773e-05i
-0.00038271-0.0017298i,-0.0010323-0.0012525i,-0.00037401-0.0019108i,0.0002818-0.0018438i,-0.00038098-0.0013829i,-0.00059148-0.00039533i,9.3492e-05+0.00057767i,0.00013679+0.00028456i,4.6687e-05-0.00081848i,-0.00025283-0.00096893i,-0.0005879-9.0537e-05i,0.000146+0.00077855i,0.00069735+0.00045679i,0.00013685+0.00033382i,-0.00037736+2.651e-05i,-0.00018542-0.00023491i,-0.00022281+0.00025284i,-0.00036178+0.00065655i,0.00024948+0.00082414i,0.00072649+0.0011079i,0.00084653+0.0014107i,0.00089358+0.00067041i,0.00048727+0.00010129i
0.0014265-0.00043173i,5.1758e-05-0.00054149i,-0.00026444-0.00096833i,-8.285e-05-0.00088861i,-0.00044733-0.0008663i,-0.00056876-0.0010549i,-0.00024233-0.0005546i,0.00012978-0.00094437i,0.00025061-0.0010259i,0.00012269-0.00060931i,-0.00023876-0.00020945i,-0.00096095+0.00031386i,-0.00062155+0.00044986i,-0.00032612+0.00072763i,1.4516e-06+0.0011797i,9.8047e-05+0.00056409i,0.00014275+0.00042641i,0.00073917+0.00067803i,0.00067999+0.0003213i,-6.7613e-06-0.00015299i,-0.00067964-0.00033973i,-0.00075323-0.00049964i,-0.00072403+0.00014371i
